leftlist,rightlist,responselist,Subject
beach_5,kitchen_121,0,1
palace_25,sandbar_19,1,1
restaurant_30,beach_71,1,1
general_store_indoor_2,highway_118,1,1
library_indoor_3,playground_91,1,1
vineyard_36,abbey_38,1,1
dining_room_146,kitchen_224,1,1
bathroom_99,bedroom_258,0,1
kitchen_255,river_16,1,1
biology_laboratory_6,canal_urban_35,1,1
creek_39,mountain_87,1,1
manufactured_home_7,cabin_outdoor_15,0,1
art_studio_8,driveway_44,1,1
badlands_28,beauty_salon_39,0,1
badlands_67,cubicle_office_34,0,1
waiting_room_45,dining_room_83,1,1
forest_road_32,bedroom_182,0,1
vineyard_49,reception_2,0,1
tree_farm_7,playground_21,0,1
general_store_outdoor_23,kitchen_85,0,1
cabin_outdoor_67,bedroom_116,0,1
highway_140,iceberg_3,1,1
pasture_12,playground_59,0,1
parlor_40,pond_54,1,1
dining_room_94,parking_lot_11,1,1
playground_26,wheat_field_40,1,1
living_room_4,bedroom_121,1,1
youth_hostel_14,cottage_garden_62,1,1
bedroom_2,manufactured_home_42,1,1
beach_35,bedroom_311,0,1
living_room_231,kitchen_232,0,1
mountain_103,forest_needleleaf_8,0,1
campus_1,bathroom_131,0,1
viaduct_44,mountain_snowy_71,0,1
lecture_room_16,golf_course_31,1,1
parking_lot_55,mountain_snowy_55,1,1
ice_shelf_4,library_indoor_16,0,1
office_building_7,mountain_snowy_20,1,1
bathroom_37,waiting_room_35,1,1
pasture_36,bayou_30,0,1
pond_25,bedroom_62,0,1
rainforest_2,bedroom_254,0,1
highway_226,bedroom_139,0,1
bedroom_24,marsh_16,1,1
creek_26,bedroom_274,0,1
corridor_1,mountain_76,1,1
forest_path_54,manufactured_home_15,0,1
mountain_snowy_19,beauty_salon_24,0,1
manufactured_home_75,picnic_area_8,1,1
living_room_89,mountain_snowy_36,1,1
dining_room_104,orchard_25,1,1
creek_69,watering_hole_18,1,1
manufactured_home_35,orchard_19,0,1
pasture_98,restaurant_21,0,1
home_office_21,restaurant_3,1,1
vineyard_22,bedroom_153,0,1
courtroom_19,creek_86,1,1
desert_sand_27,creek_13,0,1
butte_26,dining_room_119,0,1
beach_1,bedroom_78,0,1
ice_shelf_16,swimming_pool_outdoor_63,0,1
pavilion_8,mountain_snowy_60,1,1
railroad_track_17,dinette_home_10,0,1
sandbar_27,valley_10,0,1
rainforest_15,vegetable_garden_49,1,1
highway_188,field_cultivated_1,1,1
art_studio_6,field_cultivated_31,1,1
hangar_indoor_1,pond_38,1,1
golf_course_6,kitchen_1,0,1
badlands_113,pasture_146,0,1
bedroom_152,baseball_field_5,1,1
dinette_vehicle_39,putting_green_22,1,1
mountain_140,ski_lodge_4,0,1
mountain_53,bedroom_214,0,1
swimming_pool_outdoor_13,islet_16,1,1
mountain_21,abbey_14,0,1
butte_3,mansion_25,0,1
dining_room_206,galley_20,1,1
forest_road_19,moat_water_30,0,1
amphitheater_8,river_16,1,1
bedroom_242,dining_room_108,1,1
dining_room_170,playground_11,1,1
fairway_61,poolroom_home_60,0,1
balcony_interior_6,cabin_outdoor_25,1,1
living_room_286,amphitheater_16,1,1
aqueduct_34,galley_18,0,1
canal_urban_87,volleyball_court_outdoor_2,1,1
golf_course_69,manufactured_home_75,0,1
manufactured_home_41,moat_water_17,1,1
bedroom_119,beach_59,1,1
playground_139,art_studio_11,0,1
abbey_40,creek_8,0,1
balcony_interior_1,living_room_296,1,1
tree_farm_4,waterfall_block_11,1,1
manufactured_home_66,forest_road_30,1,1
lobby_34,barn_12,1,1
orchard_44,beach_33,1,1
highway_193,art_gallery_8,0,1
fairway_1,golf_course_1,0,1
bedroom_114,galley_19,0,1
auditorium_22,manufactured_home_70,1,1
creek_90,courtroom_1,0,1
living_room_213,vineyard_30,1,1
library_indoor_13,badlands_117,1,1
dining_room_75,mansion_64,1,1
highway_103,highway_81,1,1
bedroom_193,viaduct_35,1,1
office_8,hotel_room_120,0,1
butte_15,pasture_97,0,1
boardwalk_23,kitchen_80,0,1
living_room_219,poolroom_home_28,0,1
poolroom_home_6,amphitheater_21,1,1
botanical_garden_1,highway_103,1,1
cabin_outdoor_65,field_cultivated_1,1,1
patio_29,orchard_15,1,1
kitchen_62,dinette_vehicle_38,0,1
movie_theater_indoor_6,bathroom_94,1,1
playground_136,bedroom_59,0,1
bedroom_254,pavilion_13,1,1
bedroom_165,beach_71,1,1
orchard_41,highway_50,1,1
living_room_250,field_cultivated_34,1,1
bedroom_183,mountain_93,1,1
sandbar_25,dining_room_165,0,1
living_room_282,palace_22,1,1
boardwalk_22,bedroom_308,0,1
cubicle_office_31,amphitheater_14,1,1
valley_7,hayfield_29,1,1
nursery_24,apartment_building_outdoor_65,1,1
underwater_coral_reef_36,residential_neighborhood_10,1,1
beach_12,bedroom_262,0,1
ski_slope_3,ski_slope_2,1,1
snowfield_26,hotel_room_13,0,1
dining_room_102,office_building_34,1,1
bedroom_276,ski_slope_2,1,1
swimming_pool_outdoor_57,fairway_52,1,1
kitchen_131,creek_42,1,1
kitchen_172,highway_55,1,1
kitchen_186,cabin_outdoor_62,1,1
lake_natural_30,playroom_13,0,1
attic_15,pasture_50,1,1
wet_bar_7,fairway_74,1,1
barn_16,dining_room_203,0,1
playground_29,parlor_23,0,1
viaduct_37,kitchen_221,0,1
cottage_garden_10,waiting_room_47,0,1
mansion_20,restaurant_patio_1,0,1
balcony_interior_35,playroom_34,0,1
library_indoor_33,waiting_room_57,1,1
bedroom_202,beach_7,1,1
abbey_36,balcony_interior_38,0,1
lecture_room_19,driveway_15,1,1
tree_farm_15,forest_broadleaf_3,0,1
badlands_23,botanical_garden_7,1,1
banquet_hall_4,mountain_112,1,1
viaduct_12,bathroom_53,0,1
bedroom_273,bedroom_13,1,1
canal_urban_71,monastery_outdoor_17,0,1
gift_shop_9,vineyard_78,1,1
lecture_room_21,river_24,1,1
bedroom_260,bedroom_155,1,1
kitchen_109,river_18,1,1
mountain_114,hotel_room_42,0,1
valley_22,athletic_field_outdoor_9,0,1
canal_natural_33,badlands_9,1,1
lobby_16,monastery_outdoor_15,1,1
kitchen_2,hayfield_29,1,1
highway_195,mountain_snowy_65,0,1
aqueduct_13,amphitheater_34,1,1
living_room_151,beach_22,1,1
park_15,balcony_interior_43,0,1
alley_4,street_1,1,1
bedroom_355,creek_60,1,1
lake_natural_57,pond_8,0,1
pasture_56,barn_6,0,1
dinette_vehicle_75,playground_97,1,1
dinette_home_29,orchard_59,1,1
barn_2,highway_99,0,1
barn_14,canal_natural_11,1,1
beach_31,bedroom_145,0,1
bayou_32,canal_natural_25,1,1
dining_room_102,patio_12,1,1
dining_room_119,rainforest_1,1,1
lobby_39,kitchen_54,1,1
marsh_18,bayou_19,1,1
amphitheater_21,living_room_250,0,1
forest_path_35,pond_30,1,1
forest_path_19,waiting_room_65,0,1
office_building_4,tree_house_7,0,1
bathroom_41,creek_38,1,1
bathroom_38,bedroom_214,1,1
kitchen_118,snowfield_23,1,1
creek_17,pasture_54,1,1
kitchen_27,cabin_outdoor_20,1,1
dining_room_201,playground_137,1,1
hotel_room_29,driveway_27,1,1
living_room_193,campus_6,1,1
veranda_2,kasbah_34,1,1
