leftlist,rightlist,responselist,Subject
botanical_garden_1,waiting_room_1,0,1
vegetable_garden_40,vineyard_25,0,1
lake_natural_60,living_room_296,0,1
lake_natural_9,kitchen_83,0,1
lake_natural_65,mountain_107,0,1
lecture_room_23,fairway_29,1,1
gift_shop_33,creek_55,1,1
art_gallery_15,lecture_room_6,0,1
bathroom_106,dinette_vehicle_9,0,1
forest_road_15,street_12,0,1
kitchen_175,lake_natural_20,1,1
aqueduct_62,highway_163,0,1
home_office_11,beauty_salon_33,0,1
living_room_133,highway_123,1,1
beach_62,forest_road_27,1,1
desert_sand_8,cottage_garden_25,0,1
apartment_building_outdoor_4,art_gallery_3,0,1
waiting_room_25,bedroom_200,0,1
campus_1,tree_farm_20,1,1
berth_12,dining_room_205,0,1
bedroom_370,forest_broadleaf_12,1,1
biology_laboratory_9,gift_shop_11,1,1
lobby_5,pasture_63,1,1
monastery_outdoor_1,mansion_11,0,1
hotel_room_10,bayou_2,1,1
living_room_236,home_office_44,1,1
corridor_7,highway_227,1,1
bedroom_260,vegetable_garden_31,1,1
golf_course_25,field_cultivated_32,0,1
forest_needleleaf_10,dining_room_113,0,1
library_indoor_17,abbey_25,1,1
sandbar_42,amphitheater_9,0,1
poolroom_home_20,pasture_36,1,1
field_cultivated_3,dining_room_48,0,1
bedroom_111,bayou_2,1,1
living_room_69,pond_31,1,1
hotel_room_105,lake_natural_57,1,1
mountain_snowy_75,cabin_outdoor_48,0,1
golf_course_8,bedroom_17,0,1
restaurant_2,playroom_31,1,1
mountain_146,golf_course_69,0,1
attic_80,balcony_interior_36,1,1
pond_47,poolroom_home_8,0,1
poolroom_establishment_1,hotel_room_70,1,1
lobby_7,auditorium_20,0,1
kitchen_55,living_room_92,1,1
ice_shelf_21,lake_natural_22,0,1
playground_101,swimming_pool_indoor_5,0,1
highway_47,cubicle_office_17,0,1
youth_hostel_9,cafeteria_13,1,1
bedroom_374,recreation_room_12,1,1
highway_17,lobby_8,0,1
kitchen_151,mountain_58,1,1
dining_room_58,bathroom_4,1,1
dinette_vehicle_16,vegetable_garden_44,1,1
highway_175,ice_shelf_3,1,1
field_wild_29,living_room_257,0,1
badlands_18,picnic_area_1,0,1
beach_56,golf_course_35,0,1
forest_broadleaf_22,dining_room_127,0,1
arch_3,youth_hostel_3,0,1
fairway_83,desert_vegetation_15,0,1
hotel_room_95,playroom_17,0,1
bathroom_111,cabin_outdoor_67,1,1
underwater_coral_reef_11,botanical_garden_27,1,1
orchard_12,mountain_78,1,1
mountain_103,kitchen_228,0,1
poolroom_establishment_7,mountain_50,1,1
courtroom_3,dinette_home_35,1,1
home_office_37,playground_75,1,1
poolroom_establishment_7,marsh_38,1,1
kitchen_170,pasture_151,1,1
pavilion_15,sandbar_4,1,1
galley_47,attic_37,1,1
mountain_14,forest_broadleaf_20,1,1
bathroom_128,orchard_52,1,1
bedroom_61,galley_31,1,1
