leftlist,rightlist,responselist,Subject
beach_5,kitchen_121,1,1
creek_11,bathroom_30,1,1
playground_49,subway_interior_5,1,1
creek_74,kitchen_244,1,1
abbey_38,desert_sand_7,0,1
underwater_coral_reef_31,putting_green_6,0,1
monastery_outdoor_16,living_room_186,1,1
mansion_71,vegetable_garden_29,1,1
creek_28,parking_lot_58,0,1
playground_99,poolroom_home_42,1,1
living_room_97,gift_shop_7,1,1
poolroom_home_18,railroad_track_2,0,1
living_room_103,mountain_92,0,1
vegetable_garden_35,pond_2,0,1
beach_23,highway_127,0,1
living_room_204,pavilion_10,0,1
playground_96,vineyard_68,0,1
mountain_snowy_62,cubicle_office_24,1,1
dining_room_227,orchard_38,0,1
bathroom_99,living_room_59,1,1
rainforest_2,playground_34,0,1
barn_35,apartment_building_outdoor_32,1,1
golf_course_53,living_room_221,1,1
manufactured_home_67,mountain_85,0,1
living_room_22,kitchen_51,1,1
living_room_195,balcony_interior_34,0,1
kindergarden_classroom_4,kitchen_245,0,1
kasbah_25,courtroom_18,1,1
vegetable_garden_12,playground_144,0,1
hayfield_31,creek_82,1,1
kitchenette_4,boardwalk_31,0,1
pond_12,youth_hostel_3,1,1
ice_shelf_18,butte_12,0,1
library_indoor_24,swimming_pool_outdoor_33,0,1
playground_7,vineyard_30,0,1
mountain_snowy_16,sandbar_32,0,1
mountain_80,kitchen_156,1,1
mansion_59,restaurant_patio_9,0,1
forest_broadleaf_16,marsh_17,0,1
aqueduct_2,youth_hostel_8,1,1
kitchen_147,vineyard_68,0,1
office_building_34,attic_43,1,1
viaduct_40,bedroom_40,1,1
kitchen_190,watering_hole_10,0,1
kitchen_181,corridor_6,0,1
lobby_10,rainforest_15,1,1
beauty_salon_16,kitchenette_2,1,1
mansion_14,bedroom_350,1,1
sandbar_14,locker_room_2,1,1
living_room_13,badlands_73,0,1
dining_room_142,marsh_30,0,1
creek_79,manufactured_home_25,0,1
snowfield_17,dining_room_93,1,1
desert_sand_3,bathroom_9,1,1
bedroom_86,viaduct_35,0,1
badlands_107,orchard_16,1,1
ski_slope_29,living_room_152,1,1
creek_66,pond_38,0,1
mountain_snowy_60,bedroom_128,1,1
desert_sand_21,pasture_136,0,1
highway_86,playground_113,1,1
fairway_25,hotel_room_12,1,1
badlands_25,attic_23,1,1
general_store_outdoor_1,dinette_vehicle_68,1,1
golf_course_11,underwater_coral_reef_18,1,1
lobby_19,bedroom_77,1,1
forest_road_25,nursery_35,1,1
