SUNName,Scene,openAbilities,openRank,manmadeAbilities,manmadeRank,naturalAbilities,closedAbilities,closedRank,naturalRank
b_badlands_sun_bndhznmhiyvvytsa,badlands_79,16.53433643,7035,-5.912349437,345,1.768067729,-1.235518525,547,6483
m_mountain_snowy_sun_blhhtdsfxglkyqwf,mountain_15,16.1614138,7034,-7.217994671,119,0.80261898,-1.775695986,296,5321
s_sandbar_sun_cjvcjyauxvrtayqv,sandbar_30,16.05482505,7033,-5.536281045,449,2.239864187,-17.21545364,10,6795
o_ocean_sun_ahgfwkxbtqvaabaw,ocean_3,15.75114639,7032,-20.29817609,39,1.684017752,-17.64400155,7,6406
f_fairway_sun_bvvfvvaviljreuhs,fairway_72,15.72181066,7031,-3.833024932,1268,0.89389598,0.216395877,1729,5433
s_sandbar_sun_cljdjpowagnnknbe,sandbar_32,15.5767243,7030,-4.488005237,924,2.188826055,0.06305078,1594,6774
o_ocean_sun_avvskgbotroklyaa,ocean_9,15.35468547,7029,-7.163231313,126,1.769661015,-29.23331891,2,6485
f_field_wild_sun_boyifrzyzrepokaf,field_wild_31,5.007591677,7028,-5.602835732,429,0.764070505,-1.933960494,249,5276
f_field_cultivated_sun_bnjcxpkuxkpevdmc,field_wild_12,4.732608907,7027,-4.830754362,755,1.791843741,-3.121728376,63,6511
b_beach_sun_akdzltwtuhaueeqi,beach_2,4.672430828,7026,-5.703708404,399,2.065052567,-2.046413975,217,6707
b_beach_sun_bimowfoneezwqocq,beach_26,4.667060831,7025,-1.970829786,2163,0.15750261,-1.077435276,638,4660
b_beach_sun_bfcfzbzkktggqxgi,beach_20,4.587879665,7024,-3.932293267,1219,0.607662736,-1.115042884,620,5132
m_marsh_sun_ayawzeosqwzvbziq,marsh_27,4.575342615,7023,-2.617869721,1855,1.643798653,-1.158518372,589,6369
f_field_wild_sun_bauzbcnattgzlvqr,field_wild_21,4.564077847,7022,-7.195754097,122,2.845856941,-2.546733364,130,6975
d_desert_sand_sun_afkfpfcdesbszufn,desert_sand_3,4.552014472,7021,-2.594243682,1865,1.397491176,-0.81056348,820,6087
d_desert_vegetation_sun_bicjveyguayuuepk,desert_sand_29,4.534726561,7020,-6.645147867,189,1.937013592,-1.607530321,364,6630
f_field_wild_sun_bwcltmwkwjsqxiln,field_wild_37,4.50219915,7019,-5.207296549,578,1.44232805,-2.261494931,174,6154
f_field_cultivated_sun_bniybfhpqstbrxjl,field_cultivated_12,4.476926667,7018,-5.434044353,478,0.897931957,-2.255514866,175,5438
f_field_cultivated_sun_brkitofqpzvfxqep,field_wild_14,4.475027979,7017,-5.036651514,653,2.114901935,-2.62745614,117,6738
o_ocean_sun_bdqydgkbisztohgb,ocean_10,4.428473235,7016,-7.214731667,120,1.537481416,-2.575333804,124,6266
o_ocean_sun_ajkbsxggiqagvnhq,ocean_4,4.421340902,7015,-18.5056049,56,0.529777959,-1.056114041,655,5051
f_fairway_sun_blkabxwdzpdmkuvo,fairway_41,4.400779913,7014,-2.126100746,2101,1.716798774,-0.910915693,743,6432
b_badlands_sun_bitacwizpgjmhuge,badlands_51,4.386775712,7013,-5.874644987,356,1.591635315,0.991937358,2406,6315
d_desert_vegetation_sun_btzkabpkznuuglno,desert_sand_36,4.370748029,7012,-6.529337804,211,1.639279388,-1.676369975,330,6365
f_fairway_sun_bofnryafpsjimzsb,fairway_43,4.337630584,7011,-2.007320384,2146,0.857303931,-0.230196372,1341,5389
