# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/standata-17ac45b048f2.json
# init = 2 (Default)
# random
#   seed = 327235529
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-202106011137-2-134bee.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-profile-202106011137-2-8f3e42.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.250188
# Diagonal elements of inverse mass matrix:
# 2.01613, 1.94401, 1.97015, 1.89474, 1.92031
-30.0437,0.952113,0.250188,3,7,0,33.3479,1.36219,1.53846,-0.188653,0.823632,0.783438,1.36219,1.53846,-0.188653,0.823632,0.783438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.785164,-0.785164,-0.608888,-0.608888,-0.608888,-0.192329,-0.459695,-0.459695,-0.459695,-0.99825,-0.99825,-0.99825,-0.44507,-0.44507,-0.163645,-0.163645,-0.163645,-0.163645,-0.163645,-0.163645,-1.89076,-1.89076,-1.89076,-0.398289,-0.398289,-0.398289,-0.385261,-0.385261,-0.385261,-0.385261,-0.385261,-0.385261,-0.385261,-1.14029,-1.32226,-0.309973,-0.309973,-1.29294,-1.29294,-1.29294,-0.320845,-0.320845,-0.673252,-0.673252,-0.673252,-0.713446
-27.4938,1,0.250188,2,7,0,31.024,0.857386,1.88151,-0.0954318,0.407435,-0.198011,0.857386,1.88151,-0.0954318,0.407435,-0.198011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33095,-1.33095,-0.306831,-0.306831,-0.306831,-0.326171,-0.493268,-0.493268,-0.493268,-0.943219,-0.943219,-0.943219,-0.298662,-0.298662,-0.129705,-0.129705,-0.129705,-0.129705,-0.129705,-0.129705,-2.10664,-2.10664,-2.10664,-0.206193,-0.206193,-0.206193,-0.117774,-0.117774,-0.117774,-0.117774,-0.117774,-0.117774,-0.117774,-2.19729,-0.975863,-0.472995,-0.472995,-0.643172,-0.643172,-0.643172,-0.745751,-0.745751,-0.435562,-0.435562,-0.435562,-1.04101
-30.6232,0.897491,0.250188,3,15,0,32.058,2.81742,3.83312,1.28774,2.67441,0.592527,2.81742,3.83312,1.28774,2.67441,0.592527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32477,-1.32477,-0.309063,-0.309063,-0.309063,-0.196065,-0.6242,-0.6242,-0.6242,-0.767202,-0.767202,-0.767202,-0.102628,-0.102628,-0.0755186,-0.0755186,-0.0755186,-0.0755186,-0.0755186,-0.0755186,-2.6209,-2.6209,-2.6209,-0.272994,-0.272994,-0.272994,-0.0383941,-0.0383941,-0.0383941,-0.0383941,-0.0383941,-0.0383941,-0.0383941,-3.27899,-1.60974,-0.223068,-0.223068,-0.404777,-0.404777,-0.404777,-1.09999,-1.09999,-0.117512,-0.117512,-0.117512,-2.1994
-30.1282,0.969699,0.250188,3,15,0,32.2099,0.835828,2.83384,0.927569,1.59357,0.00142227,0.835828,2.83384,0.927569,1.59357,0.00142227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.12518,-2.12518,-0.127165,-0.127165,-0.127165,-0.740069,-1.14213,-1.14213,-1.14213,-0.384395,-0.384395,-0.384395,-0.36056,-0.36056,-0.138573,-0.138573,-0.138573,-0.138573,-0.138573,-0.138573,-2.04485,-2.04485,-2.04485,-0.254103,-0.254103,-0.254103,-0.0572025,-0.0572025,-0.0572025,-0.0572025,-0.0572025,-0.0572025,-0.0572025,-2.88962,-1.08059,-0.414597,-0.414597,-0.333666,-0.333666,-0.333666,-1.25981,-1.25981,-0.185225,-0.185225,-0.185225,-1.77737
-28.4197,0.993843,0.250188,4,23,0,31.4686,-0.506513,-0.963231,-2.48365,-1.73976,-2.78101,-0.506513,-0.963231,-2.48365,-1.73976,-2.78101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.490639,-0.490639,-0.947357,-0.947357,-0.947357,-0.129681,-0.255684,-0.255684,-0.255684,-1.48893,-1.48893,-1.48893,-0.0978965,-0.0978965,-0.197719,-0.197719,-0.197719,-0.197719,-0.197719,-0.197719,-1.71814,-1.71814,-1.71814,-0.378436,-0.378436,-0.378436,-0.150475,-0.150475,-0.150475,-0.150475,-0.150475,-0.150475,-0.150475,-1.96825,-1.13272,-0.388836,-0.388836,-0.555479,-0.555479,-0.555479,-0.85284,-0.85284,-0.302334,-0.302334,-0.302334,-1.34358
-29.7586,0.920746,0.250188,3,7,0,31.0359,-2.00457,-0.462477,-1.44112,-2.43887,-2.66996,-2.00457,-0.462477,-1.44112,-2.43887,-2.66996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73595,-1.73595,-0.193866,-0.193866,-0.193866,-1.01404,-0.49939,-0.49939,-0.49939,-0.933694,-0.933694,-0.933694,-0.414801,-0.414801,-0.31905,-0.31905,-0.31905,-0.31905,-0.31905,-0.31905,-1.29769,-1.29769,-1.29769,-0.129771,-0.129771,-0.129771,-0.104339,-0.104339,-0.104339,-0.104339,-0.104339,-0.104339,-0.104339,-2.31182,-0.313868,-1.31162,-1.31162,-0.25668,-0.25668,-0.25668,-1.48552,-1.48552,-0.584262,-0.584262,-0.584262,-0.815354
