# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/standata-17ac6b9359ee.json
# init = 2 (Default)
# random
#   seed = 366074668
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-202106011137-3-0bd6d5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-profile-202106011137-3-8239ec.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.257693
# Diagonal elements of inverse mass matrix:
# 2.11935, 2.00931, 2.08171, 1.96039, 2.05943
-27.9447,0.991801,0.257693,4,23,0,30.4146,-0.213989,0.202652,-0.748071,-1.03943,-0.909122,-0.213989,0.202652,-0.748071,-1.03943,-0.909122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.923011,-0.923011,-0.50637,-0.50637,-0.50637,-0.461346,-0.363282,-0.363282,-0.363282,-1.18872,-1.18872,-1.18872,-0.404804,-0.404804,-0.326755,-0.326755,-0.326755,-0.326755,-0.326755,-0.326755,-1.27748,-1.27748,-1.27748,-0.253697,-0.253697,-0.253697,-0.284408,-0.284408,-0.284408,-0.284408,-0.284408,-0.284408,-0.284408,-1.39618,-0.558041,-0.849402,-0.849402,-0.615861,-0.615861,-0.615861,-0.776911,-0.776911,-0.760423,-0.760423,-0.760423,-0.630113
-26.5259,1,0.257693,2,3,0,27.8299,-0.275754,0.543176,-0.653171,-0.372693,-1.46554,-0.275754,0.543176,-0.653171,-0.372693,-1.46554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1842,-1.1842,-0.36527,-0.36527,-0.36527,-0.52214,-0.645852,-0.645852,-0.645852,-0.742791,-0.742791,-0.742791,-0.265657,-0.265657,-0.264129,-0.264129,-0.264129,-0.264129,-0.264129,-0.264129,-1.46048,-1.46048,-1.46048,-0.336593,-0.336593,-0.336593,-0.125893,-0.125893,-0.125893,-0.125893,-0.125893,-0.125893,-0.125893,-2.13461,-0.843187,-0.56271,-0.56271,-0.367283,-0.367283,-0.367283,-1.17965,-1.17965,-0.289127,-0.289127,-0.289127,-1.38197
-29.209,0.68226,0.257693,2,3,0,30.1554,1.15477,1.00347,-1.23382,-0.592164,-1.52662,1.15477,1.00347,-1.23382,-0.592164,-1.52662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.620358,-0.620358,-0.771654,-0.771654,-0.771654,-0.0877904,-0.160679,-0.160679,-0.160679,-1.90761,-1.90761,-1.90761,-0.0662263,-0.0662263,-0.101425,-0.101425,-0.101425,-0.101425,-0.101425,-0.101425,-2.33872,-2.33872,-2.33872,-0.184636,-0.184636,-0.184636,-0.076639,-0.076639,-0.076639,-0.076639,-0.076639,-0.076639,-0.076639,-2.60672,-1.06458,-0.422925,-0.422925,-0.557428,-0.557428,-0.557428,-0.850223,-0.850223,-0.331317,-0.331317,-0.331317,-1.26577
-26.9394,0.968866,0.257693,3,7,0,30.68,-0.0286325,0.533221,-0.0887447,-0.0609986,-0.932162,-0.0286325,0.533221,-0.0887447,-0.0609986,-0.932162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01303,-1.01303,-0.451172,-0.451172,-0.451172,-0.663543,-0.677095,-0.677095,-0.677095,-0.709461,-0.709461,-0.709461,-0.340135,-0.340135,-0.42976,-0.42976,-0.42976,-0.42976,-0.42976,-0.42976,-1.05173,-1.05173,-1.05173,-0.43954,-0.43954,-0.43954,-0.207818,-0.207818,-0.207818,-0.207818,-0.207818,-0.207818,-0.207818,-1.6732,-0.707116,-0.67937,-0.67937,-0.357841,-0.357841,-0.357841,-1.20126,-1.20126,-0.349575,-0.349575,-0.349575,-1.22074
-27.7096,0.869407,0.257693,3,15,0,29.5386,1.67254,1.91183,-0.142376,0.691164,-0.629936,1.67254,1.91183,-0.142376,0.691164,-0.629936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.819932,-0.819932,-0.580643,-0.580643,-0.580643,-0.150875,-0.318305,-0.318305,-0.318305,-1.29968,-1.29968,-1.29968,-0.0953201,-0.0953201,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-0.120619,-2.17482,-2.17482,-2.17482,-0.258537,-0.258537,-0.258537,-0.075782,-0.075782,-0.075782,-0.075782,-0.075782,-0.075782,-0.075782,-2.61755,-1.19436,-0.360822,-0.360822,-0.478792,-0.478792,-0.478792,-0.966352,-0.966352,-0.236527,-0.236527,-0.236527,-1.55763
-30.8924,0.838294,0.257693,2,7,0,31.8098,1.96232,1.67883,0.18785,-0.395063,-1.37546,1.96232,1.67883,0.18785,-0.395063,-1.37546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.561416,-0.561416,-0.844903,-0.844903,-0.844903,-0.156639,-0.0904507,-0.0904507,-0.0904507,-2.44783,-2.44783,-2.44783,-0.0348997,-0.0348997,-0.203064,-0.203064,-0.203064,-0.203064,-0.203064,-0.203064,-1.69405,-1.69405,-1.69405,-0.118401,-0.118401,-0.118401,-0.0460781,-0.0460781,-0.0460781,-0.0460781,-0.0460781,-0.0460781,-0.0460781,-3.10037,-0.443576,-1.02649,-1.02649,-0.190159,-0.190159,-0.190159,-1.75347,-1.75347,-0.318573,-0.318573,-0.318573,-1.29897
