# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/standata-17ac387e32f2.json
# init = 2 (Default)
# random
#   seed = 1664267551
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-202106011137-3-6a8bd6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-profile-202106011137-3-8d5623.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.228569
# Diagonal elements of inverse mass matrix:
# 2.38849, 2.37308, 2.39484, 2.43307, 2.49539
-30.0646,0.892719,0.228569,4,23,0,31.6257,-2.4623,-0.855396,-2.42457,-2.18908,-2.39116,-2.4623,-0.855396,-2.42457,-2.18908,-2.39116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.78964,-1.78964,-0.182745,-0.182745,-0.182745,-0.712189,-0.839054,-0.839054,-0.839054,-0.565843,-0.565843,-0.565843,-0.729348,-0.729348,-0.189146,-0.189146,-0.189146,-0.189146,-0.189146,-0.189146,-1.75832,-1.75832,-1.75832,-0.233888,-0.233888,-0.233888,-0.194984,-0.194984,-0.194984,-0.194984,-0.194984,-0.194984,-0.194984,-1.73075,-0.817804,-0.582321,-0.582321,-0.709991,-0.709991,-0.709991,-0.676583,-0.676583,-0.597206,-0.597206,-0.597206,-0.79928
-29.1385,0.97506,0.228569,3,15,0,31.6803,-0.331171,-0.72798,-2.15951,-1.33467,-3.5178,-0.331171,-0.72798,-2.15951,-1.33467,-3.5178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.514297,-0.514297,-0.911106,-0.911106,-0.911106,-0.149007,-0.312321,-0.312321,-0.312321,-1.31582,-1.31582,-1.31582,-0.0404805,-0.0404805,-0.214259,-0.214259,-0.214259,-0.214259,-0.214259,-0.214259,-1.64579,-1.64579,-1.64579,-0.435122,-0.435122,-0.435122,-0.0596193,-0.0596193,-0.0596193,-0.0596193,-0.0596193,-0.0596193,-0.0596193,-2.84944,-1.1883,-0.363467,-0.363467,-0.228807,-0.228807,-0.228807,-1.5871,-1.5871,-0.106779,-0.106779,-0.106779,-2.2899
-34.4723,0.657762,0.228569,3,15,0,38.9126,1.42173,-0.940497,-1.36317,-0.680348,-2.25418,1.42173,-0.940497,-1.36317,-0.680348,-2.25418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0900327,-0.0900327,-2.45226,-2.45226,-2.45226,-0.0599045,-0.115293,-0.115293,-0.115293,-2.21737,-2.21737,-2.21737,-0.0250109,-0.0250109,-0.503977,-0.503977,-0.503977,-0.503977,-0.503977,-0.503977,-0.926652,-0.926652,-0.926652,-0.831658,-0.831658,-0.831658,-0.238094,-0.238094,-0.238094,-0.238094,-0.238094,-0.238094,-0.238094,-1.55178,-1.09174,-0.408918,-0.408918,-0.343761,-0.343761,-0.343761,-1.23477,-1.23477,-0.188345,-0.188345,-0.188345,-1.76218
-29.3626,1,0.228569,2,3,0,35.0836,-0.341988,0.639949,-2.07085,-1.09061,-2.3944,-0.341988,0.639949,-2.07085,-1.09061,-2.3944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.30009,-1.30009,-0.318152,-0.318152,-0.318152,-0.163382,-0.387312,-0.387312,-0.387312,-1.13594,-1.13594,-1.13594,-0.120822,-0.120822,-0.0643671,-0.0643671,-0.0643671,-0.0643671,-0.0643671,-0.0643671,-2.77516,-2.77516,-2.77516,-0.163126,-0.163126,-0.163126,-0.0469845,-0.0469845,-0.0469845,-0.0469845,-0.0469845,-0.0469845,-0.0469845,-3.08134,-1.29885,-0.318616,-0.318616,-0.544398,-0.544398,-0.544398,-0.867956,-0.867956,-0.240198,-0.240198,-0.240198,-1.54399
-29.613,0.954778,0.228569,2,3,0,31.3781,-0.312677,0.460831,-1.89267,-0.279897,-2.75176,-0.312677,0.460831,-1.89267,-0.279897,-2.75176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1529,-1.1529,-0.379389,-0.379389,-0.379389,-0.187289,-0.709671,-0.709671,-0.709671,-0.676891,-0.676891,-0.676891,-0.0836433,-0.0836433,-0.0907867,-0.0907867,-0.0907867,-0.0907867,-0.0907867,-0.0907867,-2.44429,-2.44429,-2.44429,-0.389855,-0.389855,-0.389855,-0.0394633,-0.0394633,-0.0394633,-0.0394633,-0.0394633,-0.0394633,-0.0394633,-3.25205,-1.79454,-0.181766,-0.181766,-0.353154,-0.353154,-0.353154,-1.21224,-1.21224,-0.0810523,-0.0810523,-0.0810523,-2.55291
-27.274,0.938872,0.228569,2,3,0,30.9321,0.0662088,0.125701,-1.40775,-0.739222,-2.39348,0.0662088,0.125701,-1.40775,-0.739222,-2.39348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.723335,-0.723335,-0.663844,-0.663844,-0.663844,-0.206215,-0.36942,-0.36942,-0.36942,-1.17485,-1.17485,-1.17485,-0.0820051,-0.0820051,-0.195394,-0.195394,-0.195394,-0.195394,-0.195394,-0.195394,-1.72884,-1.72884,-1.72884,-0.35142,-0.35142,-0.35142,-0.0774474,-0.0774474,-0.0774474,-0.0774474,-0.0774474,-0.0774474,-0.0774474,-2.59663,-1.08227,-0.413739,-0.413739,-0.317119,-0.317119,-0.317119,-1.30285,-1.30285,-0.174989,-0.174989,-0.174989,-1.82925
