# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/standata-17ac2451345b.json
# init = 2 (Default)
# random
#   seed = 165663476
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-202106011138-2-2bbafb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-profile-202106011138-2-25be60.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.237923
# Diagonal elements of inverse mass matrix:
# 2.45582, 2.24373, 2.28887, 2.29466, 2.39373
-30.1683,0.955018,0.237923,3,7,0,31.0065,2.72877,2.91839,0.631546,0.825974,0.144319,2.72877,2.91839,0.631546,0.825974,0.144319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.792447,-0.792447,-0.602823,-0.602823,-0.602823,-0.115823,-0.139023,-0.139023,-0.139023,-2.04182,-2.04182,-2.04182,-0.0727275,-0.0727275,-0.0967512,-0.0967512,-0.0967512,-0.0967512,-0.0967512,-0.0967512,-2.3836,-2.3836,-2.3836,-0.116349,-0.116349,-0.116349,-0.0605373,-0.0605373,-0.0605373,-0.0605373,-0.0605373,-0.0605373,-0.0605373,-2.83461,-0.795079,-0.600651,-0.600651,-0.478918,-0.478918,-0.478918,-0.966146,-0.966146,-0.40931,-0.40931,-0.40931,-1.09097
-31.4492,0.986677,0.237923,3,15,0,32.53,1.84914,2.86916,2.22199,3.11614,1.44688,1.84914,2.86916,2.22199,3.11614,1.44688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32794,-1.32794,-0.307915,-0.307915,-0.307915,-0.896852,-1.51517,-1.51517,-1.51517,-0.248167,-0.248167,-0.248167,-0.512109,-0.512109,-0.421026,-0.421026,-0.421026,-0.421026,-0.421026,-0.421026,-1.0682,-1.0682,-1.0682,-0.824242,-0.824242,-0.824242,-0.216048,-0.216048,-0.216048,-0.216048,-0.216048,-0.216048,-0.216048,-1.63834,-1.237,-0.342848,-0.342848,-0.378882,-0.378882,-0.378882,-1.154,-1.154,-0.172595,-0.172595,-0.172595,-1.84186
-30.6086,1,0.237923,1,1,0,31.5883,1.97317,2.90482,2.1034,3.03431,1.5098,1.97317,2.90482,2.1034,3.03431,1.5098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26376,-1.26376,-0.332108,-0.332108,-0.332108,-0.760377,-1.35832,-1.35832,-1.35832,-0.297183,-0.297183,-0.297183,-0.488061,-0.488061,-0.370658,-0.370658,-0.370658,-0.370658,-0.370658,-0.370658,-1.17209,-1.17209,-1.17209,-0.759987,-0.759987,-0.759987,-0.221403,-0.221403,-0.221403,-0.221403,-0.221403,-0.221403,-0.221403,-1.61643,-1.26323,-0.332315,-0.332315,-0.43976,-0.43976,-0.43976,-1.03336,-1.03336,-0.196985,-0.196985,-0.196985,-1.7215
-28.4836,1,0.237923,3,7,0,31.004,3.24036,3.17723,2.18506,2.40238,1.69376,3.24036,3.17723,2.18506,2.40238,1.69376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.662082,-0.662082,-0.725208,-0.725208,-0.725208,-0.298688,-0.359479,-0.359479,-0.359479,-1.19746,-1.19746,-1.19746,-0.193073,-0.193073,-0.315373,-0.315373,-0.315373,-0.315373,-0.315373,-0.315373,-1.30754,-1.30754,-1.30754,-0.378964,-0.378964,-0.378964,-0.204449,-0.204449,-0.204449,-0.204449,-0.204449,-0.204449,-0.204449,-1.68792,-0.807697,-0.59038,-0.59038,-0.477371,-0.477371,-0.477371,-0.968669,-0.968669,-0.400336,-0.400336,-0.400336,-1.10895
-27.276,0.736296,0.237923,4,23,0,32.5561,-1.15404,-0.607165,-1.63992,-0.966457,-2.15147,-1.15404,-0.607165,-1.63992,-0.966457,-2.15147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00351,-1.00351,-0.456635,-0.456635,-0.456635,-0.479432,-0.791333,-0.791333,-0.791333,-0.603746,-0.603746,-0.603746,-0.313955,-0.313955,-0.304557,-0.304557,-0.304557,-0.304557,-0.304557,-0.304557,-1.33731,-1.33731,-1.33731,-0.529551,-0.529551,-0.529551,-0.193476,-0.193476,-0.193476,-0.193476,-0.193476,-0.193476,-0.193476,-1.73778,-1.08553,-0.412069,-0.412069,-0.469733,-0.469733,-0.469733,-0.98128,-0.98128,-0.266772,-0.266772,-0.266772,-1.45178
-28.4269,0.829148,0.237923,3,7,0,29.8686,-0.042225,0.760611,-0.694145,-0.568453,-2.57894,-0.042225,0.760611,-0.694145,-0.568453,-2.57894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17306,-1.17306,-0.370222,-0.370222,-0.370222,-0.419397,-0.464255,-0.464255,-0.464255,-0.990484,-0.990484,-0.990484,-0.076151,-0.076151,-0.209821,-0.209821,-0.209821,-0.209821,-0.209821,-0.209821,-1.66458,-1.66458,-1.66458,-0.234855,-0.234855,-0.234855,-0.0348387,-0.0348387,-0.0348387,-0.0348387,-0.0348387,-0.0348387,-0.0348387,-3.37439,-0.757966,-0.632275,-0.632275,-0.141378,-0.141378,-0.141378,-2.02618,-2.02618,-0.125683,-0.125683,-0.125683,-2.13617
-28.1849,0.987761,0.237923,3,7,0,30.03,-0.0759322,-0.168088,-0.56456,-0.127182,-0.983447,-0.0759322,-0.168088,-0.56456,-0.127182,-0.983447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.648131,-0.648131,-0.740286,-0.740286,-0.740286,-0.478386,-0.667851,-0.667851,-0.667851,-0.7191,-0.7191,-0.7191,-0.338987,-0.338987,-0.514433,-0.514433,-0.514433,-0.514433,-0.514433,-0.514433,-0.910904,-0.910904,-0.910904,-0.713809,-0.713809,-0.713809,-0.366364,-0.366364,-0.366364,-0.366364,-0.366364,-0.366364,-0.366364,-1.18172,-0.93556,-0.498182,-0.498182,-0.505478,-0.505478,-0.505478,-0.924366,-0.924366,-0.353993,-0.353993,-0.353993,-1.21026
-29.2489,0.978102,0.237923,3,7,0,30.8593,-0.793294,1.0789,-0.556958,-1.19239,-1.44188,-0.793294,1.0789,-0.556958,-1.19239,-1.44188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.01524,-2.01524,-0.143049,-0.143049,-0.143049,-0.818281,-0.513376,-0.513376,-0.513376,-0.912477,-0.912477,-0.912477,-0.420541,-0.420541,-0.177966,-0.177966,-0.177966,-0.177966,-0.177966,-0.177966,-1.81382,-1.81382,-1.81382,-0.0981955,-0.0981955,-0.0981955,-0.0773285,-0.0773285,-0.0773285,-0.0773285,-0.0773285,-0.0773285,-0.0773285,-2.59811,-0.425074,-1.06051,-1.06051,-0.345536,-0.345536,-0.345536,-1.23046,-1.23046,-0.576165,-0.576165,-0.576165,-0.82565
-28.1137,0.966442,0.237923,3,15,0,31.6416,0.50122,1.13373,-1.09358,-0.45976,-0.928944,0.50122,1.13373,-1.09358,-0.45976,-0.928944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0586,-1.0586,-0.42609,-0.42609,-0.42609,-0.184777,-0.323906,-0.323906,-0.323906,-1.28489,-1.28489,-1.28489,-0.214522,-0.214522,-0.102393,-0.102393,-0.102393,-0.102393,-0.102393,-0.102393,-2.3297,-2.3297,-2.3297,-0.184998,-0.184998,-0.184998,-0.11966,-0.11966,-0.11966,-0.11966,-0.11966,-0.11966,-0.11966,-2.18233,-1.05945,-0.425635,-0.425635,-0.778848,-0.778848,-0.778848,-0.614214,-0.614214,-0.485823,-0.485823,-0.485823,-0.955007
-26.6447,0.989415,0.237923,3,7,0,28.717,-0.349809,0.59999,-0.702794,-0.527999,-1.3996,-0.349809,0.59999,-0.702794,-0.527999,-1.3996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27681,-1.27681,-0.327012,-0.327012,-0.327012,-0.532149,-0.608016,-0.608016,-0.608016,-0.786206,-0.786206,-0.786206,-0.300113,-0.300113,-0.240413,-0.240413,-0.240413,-0.240413,-0.240413,-0.240413,-1.5432,-1.5432,-1.5432,-0.280418,-0.280418,-0.280418,-0.126977,-0.126977,-0.126977,-0.126977,-0.126977,-0.126977,-0.126977,-2.12657,-0.784359,-0.609564,-0.609564,-0.404248,-0.404248,-0.404248,-1.10105,-1.10105,-0.349446,-0.349446,-0.349446,-1.22105
-29.6767,0.773238,0.237923,2,7,0,30.2106,-0.338439,-0.568665,-0.339505,-0.84664,-1.5858,-0.338439,-0.568665,-0.339505,-0.84664,-1.5858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.584645,-0.584645,-0.814871,-0.814871,-0.814871,-0.692614,-0.470989,-0.470989,-0.470989,-0.97919,-0.97919,-0.97919,-0.252517,-0.252517,-0.814277,-0.814277,-0.814277,-0.814277,-0.814277,-0.814277,-0.585117,-0.585117,-0.585117,-0.563788,-0.563788,-0.563788,-0.308682,-0.308682,-0.308682,-0.308682,-0.308682,-0.308682,-0.308682,-1.32582,-0.471389,-0.978524,-0.978524,-0.252755,-0.252755,-0.252755,-1.49905,-1.49905,-0.390361,-0.390361,-0.390361,-1.12952
-30.855,0.801845,0.237923,3,15,0,35.3676,-0.325081,0.203051,-2.12162,-0.995572,-3.70066,-0.325081,0.203051,-2.12162,-0.995572,-3.70066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.991681,-0.991681,-0.463549,-0.463549,-0.463549,-0.153469,-0.413074,-0.413074,-0.413074,-1.08357,-1.08357,-1.08357,-0.0336266,-0.0336266,-0.0933225,-0.0933225,-0.0933225,-0.0933225,-0.0933225,-0.0933225,-2.41799,-2.41799,-2.41799,-0.263601,-0.263601,-0.263601,-0.0199663,-0.0199663,-0.0199663,-0.0199663,-0.0199663,-0.0199663,-0.0199663,-3.92368,-1.40694,-0.280894,-0.280894,-0.187452,-0.187452,-0.187452,-1.76649,-1.76649,-0.064724,-0.064724,-0.064724,-2.76981
-31.1198,0.911736,0.237923,3,15,0,37.4184,0.1313,0.102403,0.146611,-0.60348,-0.25461,0.1313,0.102403,0.146611,-0.60348,-0.25461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.678803,-0.678803,-0.7077,-0.7077,-0.7077,-0.700832,-0.391779,-0.391779,-0.391779,-1.12656,-1.12656,-1.12656,-0.518694,-0.518694,-0.715496,-0.715496,-0.715496,-0.715496,-0.715496,-0.715496,-0.671287,-0.671287,-0.671287,-0.401238,-0.401238,-0.401238,-0.530489,-0.530489,-0.530489,-0.530489,-0.530489,-0.530489,-0.530489,-0.887502,-0.386842,-1.13693,-1.13693,-0.512525,-0.512525,-0.512525,-0.913747,-0.913747,-0.882719,-0.882719,-0.882719,-0.53385
-27.0225,1,0.237923,3,7,0,31.4044,0.495417,0.923334,-0.84572,-0.386172,-0.999338,0.495417,0.923334,-0.84572,-0.386172,-0.999338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.929822,-0.929822,-0.501905,-0.501905,-0.501905,-0.23234,-0.34651,-0.34651,-0.34651,-1.2281,-1.2281,-1.2281,-0.202372,-0.202372,-0.157426,-0.157426,-0.157426,-0.157426,-0.157426,-0.157426,-1.92648,-1.92648,-1.92648,-0.23898,-0.23898,-0.23898,-0.136466,-0.136466,-0.136466,-0.136466,-0.136466,-0.136466,-0.136466,-2.05914,-0.94909,-0.489542,-0.489542,-0.619285,-0.619285,-0.619285,-0.772903,-0.772903,-0.432843,-0.432843,-0.432843,-1.04601
-28.0366,0.762063,0.237923,3,7,0,31.7139,0.857813,0.968569,0.111115,0.788523,-1.59808,0.857813,0.968569,0.111115,0.788523,-1.59808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.750058,-0.750058,-0.639302,-0.639302,-0.639302,-0.387932,-0.659102,-0.659102,-0.659102,-0.728392,-0.728392,-0.728392,-0.0823046,-0.0823046,-0.353639,-0.353639,-0.353639,-0.353639,-0.353639,-0.353639,-1.21109,-1.21109,-1.21109,-0.607171,-0.607171,-0.607171,-0.0739866,-0.0739866,-0.0739866,-0.0739866,-0.0739866,-0.0739866,-0.0739866,-2.64064,-1.08815,-0.410739,-0.410739,-0.166371,-0.166371,-0.166371,-1.87557,-1.87557,-0.0879572,-0.0879572,-0.0879572,-2.47456
-28.3516,0.995341,0.237923,4,23,0,29.5566,-1.06941,-0.672409,-2.30889,-1.42398,-3.49861,-1.06941,-0.672409,-2.30889,-1.42398,-3.49861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.911223,-0.911223,-0.514218,-0.514218,-0.514218,-0.254283,-0.531498,-0.531498,-0.531498,-0.886061,-0.886061,-0.886061,-0.0844405,-0.0844405,-0.177865,-0.177865,-0.177865,-0.177865,-0.177865,-0.177865,-1.81435,-1.81435,-1.81435,-0.386368,-0.386368,-0.386368,-0.0575495,-0.0575495,-0.0575495,-0.0575495,-0.0575495,-0.0575495,-0.0575495,-2.88375,-1.23045,-0.345539,-0.345539,-0.265672,-0.265672,-0.265672,-1.45539,-1.45539,-0.118319,-0.118319,-0.118319,-2.19295
-28.9103,0.933602,0.237923,3,7,0,30.333,-1.92548,-1.52913,-1.9581,-2.20198,-2.54931,-1.92548,-1.52913,-1.9581,-2.20198,-2.54931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.910832,-0.910832,-0.514481,-0.514481,-0.514481,-0.676967,-0.564425,-0.564425,-0.564425,-0.840922,-0.840922,-0.840922,-0.429108,-0.429108,-0.501487,-0.501487,-0.501487,-0.501487,-0.501487,-0.501487,-0.930464,-0.930464,-0.930464,-0.412277,-0.412277,-0.412277,-0.307874,-0.307874,-0.307874,-0.307874,-0.307874,-0.307874,-0.307874,-1.32806,-0.578627,-0.822499,-0.822499,-0.440613,-0.440613,-0.440613,-1.03182,-1.03182,-0.534485,-0.534485,-0.534485,-0.881819
-27.933,1,0.237923,2,3,0,29.3151,-1.80499,-1.14996,-2.27663,-1.98464,-2.48652,-1.80499,-1.14996,-2.27663,-1.98464,-2.48652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.07336,-1.07336,-0.418335,-0.418335,-0.418335,-0.484876,-0.60735,-0.60735,-0.60735,-0.787002,-0.787002,-0.787002,-0.409351,-0.409351,-0.280741,-0.280741,-0.280741,-0.280741,-0.280741,-0.280741,-1.40741,-1.40741,-1.40741,-0.360478,-0.360478,-0.360478,-0.233291,-0.233291,-0.233291,-0.233291,-0.233291,-0.233291,-0.233291,-1.56985,-0.849765,-0.557769,-0.557769,-0.5937,-0.5937,-0.5937,-0.803587,-0.803587,-0.473366,-0.473366,-0.473366,-0.97525
-28.7814,0.845797,0.237923,3,7,0,30.3888,-0.377487,0.0256176,-1.96875,-1.4134,-3.1588,-0.377487,0.0256176,-1.96875,-1.4134,-3.1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.914875,-0.914875,-0.511771,-0.511771,-0.511771,-0.185374,-0.303728,-0.303728,-0.303728,-1.33965,-1.33965,-1.33965,-0.0601133,-0.0601133,-0.127601,-0.127601,-0.127601,-0.127601,-0.127601,-0.127601,-2.12197,-2.12197,-2.12197,-0.212818,-0.212818,-0.212818,-0.0405681,-0.0405681,-0.0405681,-0.0405681,-0.0405681,-0.0405681,-0.0405681,-3.22499,-1.00888,-0.453541,-0.453541,-0.265593,-0.265593,-0.265593,-1.45565,-1.45565,-0.160906,-0.160906,-0.160906,-1.90631
-27.7629,0.963323,0.237923,4,23,0,30.009,1.09855,2.18765,0.953465,1.25052,0.692473,1.09855,2.18765,0.953465,1.25052,0.692473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37917,-1.37917,-0.29007,-0.29007,-0.29007,-0.623233,-0.772015,-0.772015,-0.772015,-0.620047,-0.620047,-0.620047,-0.51058,-0.51058,-0.255473,-0.255473,-0.255473,-0.255473,-0.255473,-0.255473,-1.48966,-1.48966,-1.48966,-0.330563,-0.330563,-0.330563,-0.202295,-0.202295,-0.202295,-0.202295,-0.202295,-0.202295,-0.202295,-1.69747,-0.852664,-0.55561,-0.55561,-0.571142,-0.571142,-0.571142,-0.832134,-0.832134,-0.452556,-0.452556,-0.452556,-1.0106
-28.1046,0.911703,0.237923,2,3,0,29.1763,1.61767,2.18304,0.575283,1.06722,0.872839,1.61767,2.18304,0.575283,1.06722,0.872839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01527,-1.01527,-0.449895,-0.449895,-0.449895,-0.302038,-0.455327,-0.455327,-0.455327,-1.00578,-1.00578,-1.00578,-0.388533,-0.388533,-0.182602,-0.182602,-0.182602,-0.182602,-0.182602,-0.182602,-1.79036,-1.79036,-1.79036,-0.283406,-0.283406,-0.283406,-0.238832,-0.238832,-0.238832,-0.238832,-0.238832,-0.238832,-0.238832,-1.54904,-0.969064,-0.47713,-0.47713,-0.852952,-0.852952,-0.852952,-0.555396,-0.555396,-0.600674,-0.600674,-0.600674,-0.795051
-30.4947,0.775899,0.237923,3,7,0,33.113,2.18975,3.19156,1.59572,2.35107,-0.400879,2.18975,3.19156,1.59572,2.35107,-0.400879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.31459,-1.31459,-0.312774,-0.312774,-0.312774,-0.439607,-0.777058,-0.777058,-0.777058,-0.615736,-0.615736,-0.615736,-0.0722956,-0.0722956,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-1.78045,-1.78045,-1.78045,-0.358722,-0.358722,-0.358722,-0.0271589,-0.0271589,-0.0271589,-0.0271589,-0.0271589,-0.0271589,-0.0271589,-3.6196,-1.14051,-0.385156,-0.385156,-0.127335,-0.127335,-0.127335,-2.12393,-2.12393,-0.0618506,-0.0618506,-0.0618506,-2.8138
