# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/standata-17ac69891a41.json
# init = 2 (Default)
# random
#   seed = 1166407297
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-202106011138-3-56948f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-profile-202106011138-3-328afc.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.247216
# Diagonal elements of inverse mass matrix:
# 2.06221, 2.0317, 2.02853, 2.00987, 1.92995
-28.3597,0.922556,0.247216,3,7,0,29.4013,-0.170793,1.30169,0.0315247,-0.737112,-1.1782,-0.170793,1.30169,0.0315247,-0.737112,-1.1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.67898,-1.67898,-0.206489,-0.206489,-0.206489,-0.799414,-0.449553,-0.449553,-0.449553,-1.01587,-1.01587,-1.01587,-0.311276,-0.311276,-0.247472,-0.247472,-0.247472,-0.247472,-0.247472,-0.247472,-1.51764,-1.51764,-1.51764,-0.12238,-0.12238,-0.12238,-0.0804295,-0.0804295,-0.0804295,-0.0804295,-0.0804295,-0.0804295,-0.0804295,-2.56032,-0.38093,-1.14957,-1.14957,-0.261041,-0.261041,-0.261041,-1.47076,-1.47076,-0.49673,-0.49673,-0.49673,-0.937814
-28.4702,0.814482,0.247216,3,7,0,31.9588,1.00581,1.04373,-0.949384,0.897747,-0.961109,1.00581,1.04373,-0.949384,0.897747,-0.961109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.712285,-0.712285,-0.674369,-0.674369,-0.674369,-0.132376,-0.640575,-0.640575,-0.640575,-0.748637,-0.748637,-0.748637,-0.130929,-0.130929,-0.127752,-0.127752,-0.127752,-0.127752,-0.127752,-0.127752,-2.12086,-2.12086,-2.12086,-0.622819,-0.622819,-0.622819,-0.126353,-0.126353,-0.126353,-0.126353,-0.126353,-0.126353,-0.126353,-2.13119,-1.99356,-0.146426,-0.146426,-0.687302,-0.687302,-0.687302,-0.699027,-0.699027,-0.144837,-0.144837,-0.144837,-2.00369
-28.4225,0.975962,0.247216,3,15,0,30.9871,1.46778,2.10218,0.748341,0.0247842,-0.225379,1.46778,2.10218,0.748341,0.0247842,-0.225379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05983,-1.05983,-0.425434,-0.425434,-0.425434,-0.396778,-0.212058,-0.212058,-0.212058,-1.65505,-1.65505,-1.65505,-0.168846,-0.168846,-0.22972,-0.22972,-0.22972,-0.22972,-0.22972,-0.22972,-1.58356,-1.58356,-1.58356,-0.118011,-0.118011,-0.118011,-0.0930656,-0.0930656,-0.0930656,-0.0930656,-0.0930656,-0.0930656,-0.0930656,-2.42062,-0.395431,-1.11899,-1.11899,-0.320398,-0.320398,-0.320398,-1.29412,-1.29412,-0.575868,-0.575868,-0.575868,-0.826031
-26.8636,1,0.247216,2,3,0,28.4139,0.89831,1.33839,0.373487,1.01746,-0.202799,0.89831,1.33839,0.373487,1.01746,-0.202799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.937201,-0.937201,-0.497124,-0.497124,-0.497124,-0.464777,-0.754494,-0.754494,-0.754494,-0.635347,-0.635347,-0.635347,-0.287058,-0.287058,-0.322823,-0.322823,-0.322823,-0.322823,-0.322823,-0.322823,-1.28772,-1.28772,-1.28772,-0.545502,-0.545502,-0.545502,-0.194025,-0.194025,-0.194025,-0.194025,-0.194025,-0.194025,-0.194025,-1.73521,-1.0661,-0.422128,-0.422128,-0.445955,-0.445955,-0.445955,-1.02224,-1.02224,-0.25863,-0.25863,-0.25863,-1.47889
-26.4596,0.97601,0.247216,2,3,0,27.3199,1.0863,1.41053,0.130895,0.453241,-0.312762,1.0863,1.41053,0.130895,0.453241,-0.312762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.868344,-0.868344,-0.544117,-0.544117,-0.544117,-0.325452,-0.425898,-0.425898,-0.425898,-1.05896,-1.05896,-1.05896,-0.220603,-0.220603,-0.245405,-0.245405,-0.245405,-0.245405,-0.245405,-0.245405,-1.52504,-1.52504,-1.52504,-0.32493,-0.32493,-0.32493,-0.164224,-0.164224,-0.164224,-0.164224,-0.164224,-0.164224,-0.164224,-1.88751,-0.867253,-0.544907,-0.544907,-0.495724,-0.495724,-0.495724,-0.93938,-0.93938,-0.381765,-0.381765,-0.381765,-1.14777
-27.1686,0.960025,0.247216,4,31,0,28.5343,1.71089,2.45219,1.45112,1.5344,0.363748,1.71089,2.45219,1.45112,1.5344,0.363748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.13098,-1.13098,-0.389668,-0.389668,-0.389668,-0.571675,-0.608791,-0.608791,-0.608791,-0.785281,-0.785281,-0.785281,-0.231099,-0.231099,-0.312973,-0.312973,-0.312973,-0.312973,-0.312973,-0.312973,-1.31405,-1.31405,-1.31405,-0.336042,-0.336042,-0.336042,-0.116787,-0.116787,-0.116787,-0.116787,-0.116787,-0.116787,-0.116787,-2.20523,-0.735652,-0.652375,-0.652375,-0.290504,-0.290504,-0.290504,-1.37787,-1.37787,-0.270154,-0.270154,-0.270154,-1.4408
