# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/standata-17ac70b2d602.json
# init = 2 (Default)
# random
#   seed = 1798035723
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-202106011139-1-167414.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-profile-202106011139-1-56efe7.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.226252
# Diagonal elements of inverse mass matrix:
# 2.38447, 2.41635, 2.3541, 2.38668, 2.41197
-27.2807,0.805595,0.226252,4,23,0,33.3703,-0.237362,0.121449,-1.40771,-0.675664,-1.24271,-0.237362,0.121449,-1.40771,-0.675664,-1.24271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.88856,-0.88856,-0.529749,-0.529749,-0.529749,-0.270225,-0.49782,-0.49782,-0.49782,-0.936122,-0.936122,-0.936122,-0.311825,-0.311825,-0.196157,-0.196157,-0.196157,-0.196157,-0.196157,-0.196157,-1.72531,-1.72531,-1.72531,-0.371997,-0.371997,-0.371997,-0.227609,-0.227609,-0.227609,-0.227609,-0.227609,-0.227609,-0.227609,-1.59177,-1.12471,-0.392667,-0.392667,-0.779043,-0.779043,-0.779043,-0.61405,-0.61405,-0.449288,-0.449288,-0.449288,-1.01634
-32.3375,0.620418,0.226252,2,3,0,33.7134,0.229443,-0.889819,-0.50876,-1.25529,-1.91579,0.229443,-0.889819,-0.50876,-1.25529,-1.91579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28256,-0.28256,-1.40182,-1.40182,-1.40182,-0.390671,-0.204217,-0.204217,-0.204217,-1.68895,-1.68895,-1.68895,-0.110683,-0.110683,-0.901719,-0.901719,-0.901719,-0.901719,-0.901719,-0.901719,-0.52066,-0.52066,-0.52066,-0.527017,-0.527017,-0.527017,-0.306344,-0.306344,-0.306344,-0.306344,-0.306344,-0.306344,-0.306344,-1.33231,-0.387987,-1.13451,-1.13451,-0.219031,-0.219031,-0.219031,-1.62606,-1.62606,-0.416466,-0.416466,-0.416466,-1.07697
-30.9823,1,0.226252,3,7,0,33.7114,1.64217,0.4296,0.366227,0.389197,-0.182286,1.64217,0.4296,0.366227,0.389197,-0.182286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.260387,-0.260387,-1.47296,-1.47296,-1.47296,-0.24621,-0.251268,-0.251268,-0.251268,-1.50424,-1.50424,-1.50424,-0.149545,-0.149545,-0.661963,-0.661963,-0.661963,-0.661963,-0.661963,-0.661963,-0.725336,-0.725336,-0.725336,-0.67315,-0.67315,-0.67315,-0.433292,-0.433292,-0.433292,-0.433292,-0.433292,-0.433292,-0.433292,-1.04518,-0.704698,-0.681728,-0.681728,-0.456037,-0.456037,-0.456037,-1.00455,-1.00455,-0.447686,-0.447686,-0.447686,-1.01917
-27.234,0.909083,0.226252,2,3,0,32.3049,1.2846,1.03192,0.231235,1.01728,-0.579799,1.2846,1.03192,0.231235,1.01728,-0.579799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57477,-0.57477,-0.827442,-0.827442,-0.827442,-0.299188,-0.568397,-0.568397,-0.568397,-0.835708,-0.835708,-0.835708,-0.144092,-0.144092,-0.370887,-0.370887,-0.370887,-0.370887,-0.370887,-0.370887,-1.17158,-1.17158,-1.17158,-0.685854,-0.685854,-0.685854,-0.181941,-0.181941,-0.181941,-0.181941,-0.181941,-0.181941,-0.181941,-1.79366,-1.1615,-0.375447,-0.375447,-0.367693,-0.367693,-0.367693,-1.17873,-1.17873,-0.184391,-0.184391,-0.184391,-1.78147
-27.1725,0.96109,0.226252,2,3,0,28.1621,1.06599,0.980853,-0.0891291,0.711232,-0.196955,1.06599,0.980853,-0.0891291,0.711232,-0.196955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.651484,-0.651484,-0.736622,-0.736622,-0.736622,-0.273852,-0.531418,-0.531418,-0.531418,-0.886177,-0.886177,-0.886177,-0.249061,-0.249061,-0.294917,-0.294917,-0.294917,-0.294917,-0.294917,-0.294917,-1.3649,-1.3649,-1.3649,-0.567396,-0.567396,-0.567396,-0.268463,-0.268463,-0.268463,-0.268463,-0.268463,-0.268463,-0.268463,-1.44627,-1.17135,-0.370989,-0.370989,-0.640687,-0.640687,-0.640687,-0.748513,-0.748513,-0.338794,-0.338794,-0.338794,-1.24698
-27.1556,0.986449,0.226252,4,23,0,27.9572,-0.0201468,0.201857,-1.49349,-0.374934,-1.52158,-0.0201468,0.201857,-1.49349,-0.374934,-1.52158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.810297,-0.810297,-0.588293,-0.588293,-0.588293,-0.20633,-0.531406,-0.531406,-0.531406,-0.886193,-0.886193,-0.886193,-0.201152,-0.201152,-0.168507,-0.168507,-0.168507,-0.168507,-0.168507,-0.168507,-1.86385,-1.86385,-1.86385,-0.445774,-0.445774,-0.445774,-0.164201,-0.164201,-0.164201,-0.164201,-0.164201,-0.164201,-0.164201,-1.88764,-1.40129,-0.282734,-0.282734,-0.679198,-0.679198,-0.679198,-0.707293,-0.707293,-0.275888,-0.275888,-0.275888,-1.42254
