# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/standata-17ac6c1ad88e.json
# init = 2 (Default)
# random
#   seed = 350681892
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-202106011139-2-28aad4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-profile-202106011139-2-2a6bf3.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.271105
# Diagonal elements of inverse mass matrix:
# 2.05453, 2.02261, 2.02319, 1.93492, 2.08379
-28.8516,0.855399,0.271105,2,7,0,29.8988,-0.895904,-0.387502,-0.476432,-0.523174,-1.83964,-0.895904,-0.387502,-0.476432,-0.523174,-1.83964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.979315,-0.979315,-0.470913,-0.470913,-0.470913,-0.924719,-0.896778,-0.896778,-0.896778,-0.524049,-0.524049,-0.524049,-0.328708,-0.328708,-0.649671,-0.649671,-0.649671,-0.649671,-0.649671,-0.649671,-0.7386,-0.7386,-0.7386,-0.62761,-0.62761,-0.62761,-0.210317,-0.210317,-0.210317,-0.210317,-0.210317,-0.210317,-0.210317,-1.66245,-0.670049,-0.716792,-0.716792,-0.227804,-0.227804,-0.227804,-1.59101,-1.59101,-0.237505,-0.237505,-0.237505,-1.55397
-30.1034,0.60985,0.271105,4,23,0,37.4502,2.52405,2.9699,2.39959,1.17794,0.729435,2.52405,2.9699,2.39959,1.17794,0.729435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.940715,-0.940715,-0.494868,-0.494868,-0.494868,-0.632853,-0.23131,-0.23131,-0.23131,-1.57742,-1.57742,-1.57742,-0.153743,-0.153743,-0.448111,-0.448111,-0.448111,-0.448111,-0.448111,-0.448111,-1.01842,-1.01842,-1.01842,-0.154122,-0.154122,-0.154122,-0.10112,-0.10112,-0.10112,-0.10112,-0.10112,-0.10112,-0.10112,-2.34158,-0.258312,-1.47996,-1.47996,-0.172454,-0.172454,-0.172454,-1.84261,-1.84261,-0.493832,-0.493832,-0.493832,-0.942335
-30.44,0.788622,0.271105,3,7,0,34.2424,2.18656,1.77394,1.95282,1.45721,-0.040193,2.18656,1.77394,1.95282,1.45721,-0.040193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.50797,-0.50797,-0.920589,-0.920589,-0.920589,-0.583091,-0.393543,-0.393543,-0.393543,-1.12289,-1.12289,-1.12289,-0.102446,-0.102446,-0.786581,-0.786581,-0.786581,-0.786581,-0.786581,-0.786581,-0.607702,-0.607702,-0.607702,-0.547271,-0.547271,-0.547271,-0.150985,-0.150985,-0.150985,-0.150985,-0.150985,-0.150985,-0.150985,-1.96512,-0.475738,-0.971345,-0.971345,-0.127763,-0.127763,-0.127763,-2.12078,-2.12078,-0.201887,-0.201887,-0.201887,-1.69929
-28.1792,0.909428,0.271105,4,23,0,34.8651,-1.99147,-1.03302,-2.10956,-1.62006,-3.0558,-1.99147,-1.03302,-2.10956,-1.62006,-3.0558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28305,-1.28305,-0.324608,-0.324608,-0.324608,-0.635845,-0.895994,-0.895994,-0.895994,-0.52459,-0.52459,-0.52459,-0.296364,-0.296364,-0.293247,-0.293247,-0.293247,-0.293247,-0.293247,-0.293247,-1.36978,-1.36978,-1.36978,-0.442099,-0.442099,-0.442099,-0.12424,-0.12424,-0.12424,-0.12424,-0.12424,-0.12424,-0.12424,-2.14702,-0.96755,-0.478057,-0.478057,-0.328006,-0.328006,-0.328006,-1.27425,-1.27425,-0.213449,-0.213449,-0.213449,-1.64918
-29.8473,0.487615,0.271105,2,7,0,37.0228,-0.920304,-0.0588413,-2.53881,-2.10835,-2.37459,-0.920304,-0.0588413,-2.53881,-2.10835,-2.37459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.21391,-1.21391,-0.352446,-0.352446,-0.352446,-0.180817,-0.266063,-0.266063,-0.266063,-1.45411,-1.45411,-1.45411,-0.209911,-0.209911,-0.0804238,-0.0804238,-0.0804238,-0.0804238,-0.0804238,-0.0804238,-2.56039,-2.56039,-2.56039,-0.121154,-0.121154,-0.121154,-0.0941208,-0.0941208,-0.0941208,-0.0941208,-0.0941208,-0.0941208,-0.0941208,-2.40987,-0.931361,-0.500904,-0.500904,-0.778623,-0.778623,-0.778623,-0.614405,-0.614405,-0.568862,-0.568862,-0.568862,-0.835101
-28.585,0.849033,0.271105,2,3,0,33.2956,-1.88014,-0.382975,-2.04282,-1.52809,-2.51318,-1.88014,-0.382975,-2.04282,-1.52809,-2.51318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69909,-1.69909,-0.201931,-0.201931,-0.201931,-0.615112,-0.884584,-0.884584,-0.884584,-0.532536,-0.532536,-0.532536,-0.425905,-0.425905,-0.174095,-0.174095,-0.174095,-0.174095,-0.174095,-0.174095,-1.83394,-1.83394,-1.83394,-0.276258,-0.276258,-0.276258,-0.112269,-0.112269,-0.112269,-0.112269,-0.112269,-0.112269,-0.112269,-2.24247,-0.98327,-0.468542,-0.468542,-0.485371,-0.485371,-0.485371,-0.95573,-0.95573,-0.317294,-0.317294,-0.317294,-1.30238
-32.3457,0.773089,0.271105,4,19,0,33.0597,1.82131,3.18095,0.258364,2.46001,0.480348,1.82131,3.18095,0.258364,2.46001,0.480348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.58818,-1.58818,-0.22853,-0.22853,-0.22853,-0.190223,-1.06265,-1.06265,-1.06265,-0.423943,-0.423943,-0.423943,-0.232377,-0.232377,-0.0523972,-0.0523972,-0.0523972,-0.0523972,-0.0523972,-0.0523972,-2.97499,-2.97499,-2.97499,-0.396286,-0.396286,-0.396286,-0.0650054,-0.0650054,-0.0650054,-0.0650054,-0.0650054,-0.0650054,-0.0650054,-2.76561,-2.30657,-0.104919,-0.104919,-0.810286,-0.810286,-0.810286,-0.588302,-0.588302,-0.129374,-0.129374,-0.129374,-2.10904
-30.1132,1,0.271105,3,7,0,34.3848,2.87578,2.55973,2.14451,1.27129,0.577055,2.87578,2.55973,2.14451,1.27129,0.577055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.547556,-0.547556,-0.863608,-0.863608,-0.863608,-0.392918,-0.183148,-0.183148,-0.183148,-1.78764,-1.78764,-1.78764,-0.0956617,-0.0956617,-0.506935,-0.506935,-0.506935,-0.506935,-0.506935,-0.506935,-0.922155,-0.922155,-0.922155,-0.243496,-0.243496,-0.243496,-0.129009,-0.129009,-0.129009,-0.129009,-0.129009,-0.129009,-0.129009,-2.11168,-0.34897,-1.22219,-1.22219,-0.189443,-0.189443,-0.189443,-1.7569,-1.7569,-0.405102,-0.405102,-0.405102,-1.09934
-29.5505,0.993761,0.271105,3,7,0,31.3069,2.11755,1.46734,0.67096,0.393662,-1.06238,2.11755,1.46734,0.67096,0.393662,-1.06238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.419984,-0.419984,-1.07019,-1.07019,-1.07019,-0.211371,-0.164133,-0.164133,-0.164133,-1.88802,-1.88802,-1.88802,-0.0407467,-0.0407467,-0.372223,-0.372223,-0.372223,-0.372223,-0.372223,-0.372223,-1.16861,-1.16861,-1.16861,-0.293973,-0.293973,-0.293973,-0.0766654,-0.0766654,-0.0766654,-0.0766654,-0.0766654,-0.0766654,-0.0766654,-2.60639,-0.564079,-0.841377,-0.841377,-0.162707,-0.162707,-0.162707,-1.89605,-1.89605,-0.209577,-0.209577,-0.209577,-1.66562
