# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/standata-17acc25cbe3.json
# init = 2 (Default)
# random
#   seed = 736785118
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-202106011139-3-2caae5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpwYHg20/file17ac77488271/reference/.bpcs/bt-profile-202106011139-3-40da3d.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.224791
# Diagonal elements of inverse mass matrix:
# 2.34284, 2.32577, 2.33576, 2.37553, 2.48425
-27.1179,0.964347,0.224791,4,23,0,29.7544,1.67684,2.16234,1.29056,1.00194,0.221299,1.67684,2.16234,1.29056,1.00194,0.221299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.965073,-0.965073,-0.479578,-0.479578,-0.479578,-0.518542,-0.411584,-0.411584,-0.411584,-1.08649,-1.08649,-1.08649,-0.209672,-0.209672,-0.349393,-0.349393,-0.349393,-0.349393,-0.349393,-0.349393,-1.22117,-1.22117,-1.22117,-0.27259,-0.27259,-0.27259,-0.134141,-0.134141,-0.134141,-0.134141,-0.134141,-0.134141,-0.134141,-2.07518,-0.559215,-0.847832,-0.847832,-0.295102,-0.295102,-0.295102,-1.36436,-1.36436,-0.377142,-0.377142,-0.377142,-1.15778
-29.395,0.669122,0.224791,3,7,0,33.2241,1.20561,1.8601,0.731233,1.55144,-1.24769,1.20561,1.8601,0.731233,1.55144,-1.24769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.073,-1.073,-0.418519,-0.418519,-0.418519,-0.483828,-0.880938,-0.880938,-0.880938,-0.535108,-0.535108,-0.535108,-0.0825099,-0.0825099,-0.280205,-0.280205,-0.280205,-0.280205,-0.280205,-0.280205,-1.40907,-1.40907,-1.40907,-0.550681,-0.550681,-0.550681,-0.0437297,-0.0437297,-0.0437297,-0.0437297,-0.0437297,-0.0437297,-0.0437297,-3.15151,-1.18509,-0.364879,-0.364879,-0.129464,-0.129464,-0.129464,-2.10839,-2.10839,-0.0590828,-0.0590828,-0.0590828,-2.85821
-28.3055,0.924483,0.224791,4,23,0,36.0041,0.11102,0.0183509,-1.63599,-1.50371,-1.93674,0.11102,0.0183509,-1.63599,-1.50371,-1.93674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.647886,-0.647886,-0.740555,-0.740555,-0.740555,-0.160667,-0.181442,-0.181442,-0.181442,-1.79617,-1.79617,-1.79617,-0.121353,-0.121353,-0.174976,-0.174976,-0.174976,-0.174976,-0.174976,-0.174976,-1.82932,-1.82932,-1.82932,-0.197426,-0.197426,-0.197426,-0.132388,-0.132388,-0.132388,-0.132388,-0.132388,-0.132388,-0.132388,-2.08748,-0.761475,-0.629191,-0.629191,-0.554035,-0.554035,-0.554035,-0.854787,-0.854787,-0.499888,-0.499888,-0.499888,-0.932924
-28.4267,0.912853,0.224791,4,23,0,31.7577,-0.79585,0.793681,-0.324498,-0.442979,-0.872768,-0.79585,0.793681,-0.324498,-0.442979,-0.872768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7752,-1.7752,-0.185667,-0.185667,-0.185667,-0.956341,-0.885067,-0.885067,-0.885067,-0.532196,-0.532196,-0.532196,-0.655427,-0.655427,-0.282826,-0.282826,-0.282826,-0.282826,-0.282826,-0.282826,-1.40101,-1.40101,-1.40101,-0.254915,-0.254915,-0.254915,-0.173043,-0.173043,-0.173043,-0.173043,-0.173043,-0.173043,-0.173043,-1.83949,-0.635661,-0.754141,-0.754141,-0.456126,-0.456126,-0.456126,-1.0044,-1.0044,-0.501167,-0.501167,-0.501167,-0.930956
-27.2678,0.727217,0.224791,2,7,0,32.2396,0.251242,0.187127,-0.931395,-0.475986,-0.947582,0.251242,0.187127,-0.931395,-0.475986,-0.947582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.661603,-0.661603,-0.725719,-0.725719,-0.725719,-0.267328,-0.394233,-0.394233,-0.394233,-1.12146,-1.12146,-1.12146,-0.263555,-0.263555,-0.282742,-0.282742,-0.282742,-0.282742,-0.282742,-0.282742,-1.40126,-1.40126,-1.40126,-0.415577,-0.415577,-0.415577,-0.278779,-0.278779,-0.278779,-0.278779,-0.278779,-0.278779,-0.278779,-1.41349,-0.946555,-0.491147,-0.491147,-0.685086,-0.685086,-0.685086,-0.701274,-0.701274,-0.484896,-0.484896,-0.484896,-0.956492
-28.1473,0.997028,0.224791,4,27,0,28.9082,2.02447,2.19013,1.10435,1.36066,1.15644,2.02447,2.19013,1.10435,1.36066,1.15644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.779403,-0.779403,-0.613744,-0.613744,-0.613744,-0.335381,-0.415339,-0.415339,-0.415339,-1.07915,-1.07915,-1.07915,-0.350499,-0.350499,-0.290907,-0.290907,-0.290907,-0.290907,-0.290907,-0.290907,-1.37668,-1.37668,-1.37668,-0.362056,-0.362056,-0.362056,-0.304311,-0.304311,-0.304311,-0.304311,-0.304311,-0.304311,-0.304311,-1.338,-0.829488,-0.573185,-0.573185,-0.719527,-0.719527,-0.719527,-0.667445,-0.667445,-0.596241,-0.596241,-0.596241,-0.800462
