# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/standata-16e02d69136a.json
# init = 2 (Default)
# random
#   seed = 188232434
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-202106020814-2-628453.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-profile-202106020814-2-72911e.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.215401
# Diagonal elements of inverse mass matrix:
# 2.13198, 2.18351, 2.31689, 2.14883, 2.16111
-29.1682,0.968872,0.215401,3,15,0,32.419,-2.08338,-1.93891,-2.86237,-3.20594,-3.67274,-2.08338,-1.93891,-2.86237,-3.20594,-3.67274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.767987,-0.767987,-0.62352,-0.62352,-0.62352,-0.377662,-0.28175,-0.28175,-0.28175,-1.4043,-1.4043,-1.4043,-0.185696,-0.185696,-0.33443,-0.33443,-0.33443,-0.33443,-0.33443,-0.33443,-1.25789,-1.25789,-1.25789,-0.248163,-0.248163,-0.248163,-0.162635,-0.162635,-0.162635,-0.162635,-0.162635,-0.162635,-0.162635,-1.89646,-0.536048,-0.879611,-0.879611,-0.367898,-0.367898,-0.367898,-1.17827,-1.17827,-0.48674,-0.48674,-0.48674,-0.953544
-31.4404,0.837108,0.215401,2,7,0,32.888,-1.15337,-1.96224,-3.86746,-2.07561,-3.78428,-1.15337,-1.96224,-3.86746,-2.07561,-3.78428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36836,-0.36836,-1.17723,-1.17723,-1.17723,-0.0641622,-0.334775,-0.334775,-0.334775,-1.25702,-1.25702,-1.25702,-0.0695382,-0.0695382,-0.138709,-0.138709,-0.138709,-0.138709,-0.138709,-0.138709,-2.04393,-2.04393,-2.04393,-0.638065,-0.638065,-0.638065,-0.14988,-0.14988,-0.14988,-0.14988,-0.14988,-0.14988,-0.14988,-1.97192,-1.94598,-0.154138,-0.154138,-0.735602,-0.735602,-0.735602,-0.652422,-0.652422,-0.166452,-0.166452,-0.166452,-1.87512
-29.7261,0.99409,0.215401,3,7,0,33.1775,-1.57655,-0.905665,-2.94611,-1.55969,-3.87047,-1.57655,-0.905665,-2.94611,-1.55969,-3.87047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08382,-1.08382,-0.412942,-0.412942,-0.412942,-0.226513,-0.701609,-0.701609,-0.701609,-0.684756,-0.684756,-0.684756,-0.096101,-0.096101,-0.122192,-0.122192,-0.122192,-0.122192,-0.122192,-0.122192,-2.16263,-2.16263,-2.16263,-0.418676,-0.418676,-0.418676,-0.050285,-0.050285,-0.050285,-0.050285,-0.050285,-0.050285,-0.050285,-3.01509,-1.60953,-0.22312,-0.22312,-0.334173,-0.334173,-0.334173,-1.25853,-1.25853,-0.0945685,-0.0945685,-0.0945685,-2.40534
-27.1128,0.971176,0.215401,3,7,0,30.8004,-0.720267,0.0807878,-1.05849,-1.01839,-1.38573,-0.720267,0.0807878,-1.05849,-1.01839,-1.38573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17183,-1.17183,-0.370774,-0.370774,-0.370774,-0.538268,-0.555155,-0.555155,-0.555155,-0.853276,-0.853276,-0.853276,-0.414778,-0.414778,-0.27767,-0.27767,-0.27767,-0.27767,-0.27767,-0.27767,-1.41695,-1.41695,-1.41695,-0.287541,-0.287541,-0.287541,-0.207605,-0.207605,-0.207605,-0.207605,-0.207605,-0.207605,-0.207605,-1.67412,-0.713399,-0.673298,-0.673298,-0.542853,-0.542853,-0.542853,-0.870095,-0.870095,-0.526249,-0.526249,-0.526249,-0.893592
-29.0312,0.902648,0.215401,4,19,0,30.3275,-1.34347,-1.32683,-2.97828,-2.71841,-3.23707,-1.34347,-1.32683,-2.97828,-2.71841,-3.23707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.701502,-0.701502,-0.684862,-0.684862,-0.684862,-0.178138,-0.225425,-0.225425,-0.225425,-1.60036,-1.60036,-1.60036,-0.140221,-0.140221,-0.175441,-0.175441,-0.175441,-0.175441,-0.175441,-0.175441,-1.82689,-1.82689,-1.82689,-0.222089,-0.222089,-0.222089,-0.13806,-0.13806,-0.13806,-0.13806,-0.13806,-0.13806,-0.13806,-2.0483,-0.8315,-0.571631,-0.571631,-0.572098,-0.572098,-0.572098,-0.830894,-0.830894,-0.467071,-0.467071,-0.467071,-0.985736
-28.2511,0.998603,0.215401,3,7,0,29.4761,-1.90288,-1.73957,-2.99368,-2.25046,-3.20894,-1.90288,-1.73957,-2.99368,-2.25046,-3.20894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.778132,-0.778132,-0.614823,-0.614823,-0.614823,-0.289641,-0.534383,-0.534383,-0.534383,-0.881964,-0.881964,-0.881964,-0.239714,-0.239714,-0.251016,-0.251016,-0.251016,-0.251016,-0.251016,-0.251016,-1.50512,-1.50512,-1.50512,-0.46998,-0.46998,-0.46998,-0.207072,-0.207072,-0.207072,-0.207072,-0.207072,-0.207072,-0.207072,-1.67644,-1.13227,-0.389052,-0.389052,-0.591298,-0.591298,-0.591298,-0.806559,-0.806559,-0.324599,-0.324599,-0.324599,-1.28308
