# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/standata-16e05cbe4929.json
# init = 2 (Default)
# random
#   seed = 1721054867
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-202106020814-2-6697c4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-profile-202106020814-2-09087d.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.269276
# Diagonal elements of inverse mass matrix:
# 2.03483, 1.88002, 1.8803, 1.85377, 1.89771
-27.9111,0.987309,0.269276,3,15,0,29.4012,0.356255,0.0724889,-1.10877,-1.19481,-2.08912,0.356255,0.0724889,-1.10877,-1.19481,-2.08912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.561296,-0.561296,-0.845062,-0.845062,-0.845062,-0.207885,-0.19229,-0.19229,-0.19229,-1.74335,-1.74335,-1.74335,-0.0831398,-0.0831398,-0.267652,-0.267652,-0.267652,-0.267652,-0.267652,-0.267652,-1.44891,-1.44891,-1.44891,-0.248103,-0.248103,-0.248103,-0.10898,-0.10898,-0.10898,-0.10898,-0.10898,-0.10898,-0.10898,-2.27059,-0.651054,-0.737091,-0.737091,-0.318585,-0.318585,-0.318585,-1.29893,-1.29893,-0.342801,-0.342801,-0.342801,-1.23711
-28.9653,0.892874,0.269276,2,7,0,30.1873,-0.0269488,0.841895,-1.28301,0.120742,-2.28461,-0.0269488,0.841895,-1.28301,0.120742,-2.28461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2191,-1.2191,-0.35026,-0.35026,-0.35026,-0.250582,-0.769717,-0.769717,-0.769717,-0.622026,-0.622026,-0.622026,-0.0994789,-0.0994789,-0.112832,-0.112832,-0.112832,-0.112832,-0.112832,-0.112832,-2.23774,-2.23774,-2.23774,-0.396217,-0.396217,-0.396217,-0.0429359,-0.0429359,-0.0429359,-0.0429359,-0.0429359,-0.0429359,-0.0429359,-3.16944,-1.62343,-0.219676,-0.219676,-0.312833,-0.312833,-0.312833,-1.31443,-1.31443,-0.0863924,-0.0863924,-0.0863924,-2.49174
-27.0964,0.961206,0.269276,4,23,0,30.5754,0.751026,1.16291,-0.0334527,-0.108332,-0.292411,0.751026,1.16291,-0.0334527,-0.108332,-0.292411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.920145,-0.920145,-0.508264,-0.508264,-0.508264,-0.375939,-0.353072,-0.353072,-0.353072,-1.21243,-1.21243,-1.21243,-0.301764,-0.301764,-0.264127,-0.264127,-0.264127,-0.264127,-0.264127,-0.264127,-1.46049,-1.46049,-1.46049,-0.247238,-0.247238,-0.247238,-0.209715,-0.209715,-0.209715,-0.209715,-0.209715,-0.209715,-0.209715,-1.66503,-0.656408,-0.731288,-0.731288,-0.572027,-0.572027,-0.572027,-0.830986,-0.830986,-0.605337,-0.605337,-0.605337,-0.789416
-28.7045,0.799777,0.269276,3,11,0,30.5649,0.197962,0.923685,-0.95011,0.294568,-2.2249,0.197962,0.923685,-0.95011,0.294568,-2.2249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12045,-1.12045,-0.394724,-0.394724,-0.394724,-0.275545,-0.742616,-0.742616,-0.742616,-0.64601,-0.64601,-0.64601,-0.0849541,-0.0849541,-0.142835,-0.142835,-0.142835,-0.142835,-0.142835,-0.142835,-2.01663,-2.01663,-2.01663,-0.427267,-0.427267,-0.427267,-0.0420174,-0.0420174,-0.0420174,-0.0420174,-0.0420174,-0.0420174,-0.0420174,-3.19061,-1.49779,-0.253117,-0.253117,-0.24646,-0.24646,-0.24646,-1.52125,-1.52125,-0.0774258,-0.0774258,-0.0774258,-2.5969
-28.2761,0.990857,0.269276,3,15,0,30.1592,-1.43196,-0.541908,-2.09973,-1.09451,-2.03427,-1.43196,-0.541908,-2.09973,-1.09451,-2.03427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.23409,-1.23409,-0.34404,-0.34404,-0.34404,-0.413993,-0.87604,-0.87604,-0.87604,-0.538589,-0.538589,-0.538589,-0.436668,-0.436668,-0.19111,-0.19111,-0.19111,-0.19111,-0.19111,-0.19111,-1.74894,-1.74894,-1.74894,-0.454543,-0.454543,-0.454543,-0.20281,-0.20281,-0.20281,-0.20281,-0.20281,-0.20281,-0.20281,-1.69518,-1.31709,-0.311858,-0.311858,-0.726414,-0.726414,-0.726414,-0.660952,-0.660952,-0.329821,-0.329821,-0.329821,-1.26959
-26.8603,0.967444,0.269276,3,7,0,29.206,-0.601878,0.307145,-1.24411,-0.67999,-1.88414,-0.601878,0.307145,-1.24411,-0.67999,-1.88414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.24758,-1.24758,-0.338554,-0.338554,-0.338554,-0.422728,-0.654853,-0.654853,-0.654853,-0.732966,-0.732966,-0.732966,-0.244834,-0.244834,-0.192257,-0.192257,-0.192257,-0.192257,-0.192257,-0.192257,-1.74351,-1.74351,-1.74351,-0.316738,-0.316738,-0.316738,-0.105956,-0.105956,-0.105956,-0.105956,-0.105956,-0.105956,-0.105956,-2.29724,-1.01447,-0.450351,-0.450351,-0.423485,-0.423485,-0.423485,-1.06352,-1.06352,-0.262323,-0.262323,-0.262323,-1.46647
