# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/standata-16e04617a957.json
# init = 2 (Default)
# random
#   seed = 350681892
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-202106020815-1-28aa08.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-profile-202106020815-1-2a6b27.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.293899
# Diagonal elements of inverse mass matrix:
# 1.63636, 1.62432, 1.62214, 1.55735, 1.57042
-31.2662,0.927581,0.293899,3,7,0,32.61,3.07154,4.11796,2.79603,3.92499,2.30362,3.07154,4.11796,2.79603,3.92499,2.30362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34741,-1.34741,-0.300988,-0.300988,-0.300988,-0.564849,-1.20828,-1.20828,-1.20828,-0.354834,-0.354834,-0.354834,-0.381155,-0.381155,-0.236352,-0.236352,-0.236352,-0.236352,-0.236352,-0.236352,-1.55828,-1.55828,-1.55828,-0.601309,-0.601309,-0.601309,-0.150955,-0.150955,-0.150955,-0.150955,-0.150955,-0.150955,-0.150955,-1.9653,-1.40914,-0.280181,-0.280181,-0.476949,-0.476949,-0.476949,-0.96936,-0.96936,-0.180342,-0.180342,-0.180342,-1.80172
-29.4415,1,0.293899,2,3,0,31.3796,3.48592,4.14864,2.89295,3.51335,2.10626,3.48592,4.14864,2.89295,3.51335,2.10626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.07843,-1.07843,-0.415711,-0.415711,-0.415711,-0.439985,-0.706956,-0.706956,-0.706956,-0.679526,-0.679526,-0.679526,-0.224473,-0.224473,-0.250665,-0.250665,-0.250665,-0.250665,-0.250665,-0.250665,-1.50635,-1.50635,-1.50635,-0.425125,-0.425125,-0.425125,-0.121969,-0.121969,-0.121969,-0.121969,-0.121969,-0.121969,-0.121969,-2.16435,-1.05071,-0.430308,-0.430308,-0.375244,-0.375244,-0.375244,-1.16194,-1.16194,-0.219018,-0.219018,-0.219018,-1.62611
-29.1449,0.91166,0.293899,4,23,0,32.9795,-1.00837,-1.25823,-2.90807,-2.32091,-3.72285,-1.00837,-1.25823,-2.90807,-2.32091,-3.72285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.575998,-0.575998,-0.825865,-0.825865,-0.825865,-0.139425,-0.238335,-0.238335,-0.238335,-1.55088,-1.55088,-1.55088,-0.0641379,-0.0641379,-0.1757,-0.1757,-0.1757,-0.1757,-0.1757,-0.1757,-1.82554,-1.82554,-1.82554,-0.296788,-0.296788,-0.296788,-0.0816185,-0.0816185,-0.0816185,-0.0816185,-0.0816185,-0.0816185,-0.0816185,-2.54623,-1.02922,-0.442056,-0.442056,-0.366544,-0.366544,-0.366544,-1.18132,-1.18132,-0.220035,-0.220035,-0.220035,-1.62197
-29.6987,0.88723,0.293899,3,7,0,31.3284,-1.04443,-1.9634,-2.80012,-1.97081,-3.48542,-1.04443,-1.9634,-2.80012,-1.97081,-3.48542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.335707,-0.335707,-1.25468,-1.25468,-1.25468,-0.159384,-0.3336,-0.3336,-0.3336,-1.25998,-1.25998,-1.25998,-0.08349,-0.08349,-0.359861,-0.359861,-0.359861,-0.359861,-0.359861,-0.359861,-1.19658,-1.19658,-1.19658,-0.689449,-0.689449,-0.689449,-0.197432,-0.197432,-0.197432,-0.197432,-0.197432,-0.197432,-0.197432,-1.71945,-1.19141,-0.362106,-0.362106,-0.408085,-0.408085,-0.408085,-1.09339,-1.09339,-0.198763,-0.198763,-0.198763,-1.71338
-32.2657,0.634451,0.293899,3,7,0,35.8188,-1.63937,0.259546,-1.94735,-1.69654,-3.92615,-1.63937,0.259546,-1.94735,-1.69654,-3.92615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.03845,-2.03845,-0.139528,-0.139528,-0.139528,-0.550968,-0.664973,-0.664973,-0.664973,-0.722138,-0.722138,-0.722138,-0.096758,-0.096758,-0.104398,-0.104398,-0.104398,-0.104398,-0.104398,-0.104398,-2.31129,-2.31129,-2.31129,-0.132265,-0.132265,-0.132265,-0.0150971,-0.0150971,-0.0150971,-0.0150971,-0.0150971,-0.0150971,-0.0150971,-4.20079,-0.826396,-0.575584,-0.575584,-0.129479,-0.129479,-0.129479,-2.10828,-2.10828,-0.102169,-0.102169,-0.102169,-2.33178
-31.6739,0.985216,0.293899,3,7,0,32.7031,-0.841774,-1.55692,-2.04231,-1.6653,-1.70584,-0.841774,-1.55692,-2.04231,-1.6653,-1.70584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.398185,-0.398185,-1.11333,-1.11333,-1.11333,-0.263159,-0.363867,-0.363867,-0.363867,-1.18739,-1.18739,-1.18739,-0.351673,-0.351673,-0.479619,-0.479619,-0.479619,-0.479619,-0.479619,-0.479619,-0.965006,-0.965006,-0.965006,-0.640427,-0.640427,-0.640427,-0.621455,-0.621455,-0.621455,-0.621455,-0.621455,-0.621455,-0.621455,-0.770378,-0.899316,-0.522304,-0.522304,-0.875464,-0.875464,-0.875464,-0.539,-0.539,-0.673079,-0.673079,-0.673079,-0.713627
