# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/standata-16e01b896b21.json
# init = 2 (Default)
# random
#   seed = 165663476
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-202106020815-1-2bba2f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-profile-202106020815-1-25bd94.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.276264
# Diagonal elements of inverse mass matrix:
# 2.06546, 1.93718, 2.04425, 1.97549, 1.97929
-27.7531,0.997388,0.276264,4,19,0,31.1718,2.31438,2.32122,0.805066,1.46585,0.814263,2.31438,2.32122,0.805066,1.46585,0.814263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.696575,-0.696575,-0.689731,-0.689731,-0.689731,-0.199721,-0.356305,-0.356305,-0.356305,-1.20484,-1.20484,-1.20484,-0.201393,-0.201393,-0.198486,-0.198486,-0.198486,-0.198486,-0.198486,-0.198486,-1.71464,-1.71464,-1.71464,-0.354258,-0.354258,-0.354258,-0.200148,-0.200148,-0.200148,-0.200148,-0.200148,-0.200148,-0.200148,-1.70711,-1.07715,-0.416371,-0.416371,-0.697756,-0.697756,-0.697756,-0.688559,-0.688559,-0.419513,-0.419513,-0.419513,-1.0711
-27.2106,0.962916,0.276264,4,23,0,29.5492,-0.408126,-0.198439,-1.46945,-1.20501,-2.67991,-0.408126,-0.198439,-1.46945,-1.20501,-2.67991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.803476,-0.803476,-0.59379,-0.59379,-0.59379,-0.297135,-0.372069,-0.372069,-0.372069,-1.16895,-1.16895,-1.16895,-0.0981499,-0.0981499,-0.247288,-0.247288,-0.247288,-0.247288,-0.247288,-0.247288,-1.5183,-1.5183,-1.5183,-0.3115,-0.3115,-0.3115,-0.0803075,-0.0803075,-0.0803075,-0.0803075,-0.0803075,-0.0803075,-0.0803075,-2.56178,-0.834085,-0.569641,-0.569641,-0.260871,-0.260871,-0.260871,-1.47133,-1.47133,-0.206039,-0.206039,-0.206039,-1.68094
-27.2024,0.873044,0.276264,3,7,0,29.0932,-1.27576,-0.494106,-1.845,-1.3052,-2.19639,-1.27576,-0.494106,-1.845,-1.3052,-2.19639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15848,-1.15848,-0.376824,-0.376824,-0.376824,-0.448497,-0.678535,-0.678535,-0.678535,-0.707976,-0.707976,-0.707976,-0.335235,-0.335235,-0.230325,-0.230325,-0.230325,-0.230325,-0.230325,-0.230325,-1.58122,-1.58122,-1.58122,-0.367674,-0.367674,-0.367674,-0.167434,-0.167434,-0.167434,-0.167434,-0.167434,-0.167434,-0.167434,-1.86972,-0.999035,-0.459237,-0.459237,-0.532809,-0.532809,-0.532809,-0.884197,-0.884197,-0.34371,-0.34371,-0.34371,-1.2349
-27.02,0.808792,0.276264,2,3,0,29.2177,-0.763468,-0.327819,-1.50619,-1.55557,-2.06529,-0.763468,-0.327819,-1.50619,-1.55557,-2.06529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.934511,-0.934511,-0.498861,-0.498861,-0.498861,-0.389211,-0.373557,-0.373557,-0.373557,-1.16566,-1.16566,-1.16566,-0.240618,-0.240618,-0.26833,-0.26833,-0.26833,-0.26833,-0.26833,-0.26833,-1.4467,-1.4467,-1.4467,-0.256928,-0.256928,-0.256928,-0.162089,-0.162089,-0.162089,-0.162089,-0.162089,-0.162089,-0.162089,-1.89956,-0.668765,-0.718139,-0.718139,-0.452173,-0.452173,-0.452173,-1.01127,-1.01127,-0.470416,-0.470416,-0.470416,-0.980142
-27.8165,0.840937,0.276264,2,7,0,29.38,-0.655875,0.119737,-0.891537,-1.49339,-2.38457,-0.655875,0.119737,-0.891537,-1.49339,-2.38457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15434,-1.15434,-0.378725,-0.378725,-0.378725,-0.582242,-0.359621,-0.359621,-0.359621,-1.19713,-1.19713,-1.19713,-0.163406,-0.163406,-0.310242,-0.310242,-0.310242,-0.310242,-0.310242,-0.310242,-1.32152,-1.32152,-1.32152,-0.181708,-0.181708,-0.181708,-0.0785634,-0.0785634,-0.0785634,-0.0785634,-0.0785634,-0.0785634,-0.0785634,-2.58287,-0.436833,-1.03868,-1.03868,-0.202687,-0.202687,-0.202687,-1.69572,-1.69572,-0.343709,-0.343709,-0.343709,-1.2349
-29.375,0.879518,0.276264,2,3,0,30.4708,-1.38969,-0.826229,-1.17195,-0.617179,-1.99411,-1.38969,-0.826229,-1.17195,-0.617179,-1.99411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01405,-1.01405,-0.45059,-0.45059,-0.45059,-0.807929,-1.15221,-1.15221,-1.15221,-0.379705,-0.379705,-0.379705,-0.435924,-0.435924,-0.535153,-0.535153,-0.535153,-0.535153,-0.535153,-0.535153,-0.880875,-0.880875,-0.880875,-0.803125,-0.803125,-0.803125,-0.27081,-0.27081,-0.27081,-0.27081,-0.27081,-0.27081,-0.27081,-1.43869,-1.00852,-0.453749,-0.453749,-0.364284,-0.364284,-0.364284,-1.18644,-1.18644,-0.225024,-0.225024,-0.225024,-1.60195
