# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/standata-16e07e0c2187.json
# init = 2 (Default)
# random
#   seed = 155239125
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-202106020815-1-563531.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-profile-202106020815-1-76df3f.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.267733
# Diagonal elements of inverse mass matrix:
# 2.20254, 2.26884, 2.27247, 2.24121, 2.1505
-26.803,0.908488,0.267733,2,3,0,30.5922,0.504705,1.07019,0.409872,0.33931,-0.715216,0.504705,1.07019,0.409872,0.33931,-0.715216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01534,-1.01534,-0.449857,-0.449857,-0.449857,-0.646854,-0.613865,-0.613865,-0.613865,-0.779261,-0.779261,-0.779261,-0.258706,-0.258706,-0.41653,-0.41653,-0.41653,-0.41653,-0.41653,-0.41653,-1.07684,-1.07684,-1.07684,-0.393047,-0.393047,-0.393047,-0.155061,-0.155061,-0.155061,-0.155061,-0.155061,-0.155061,-0.155061,-1.94046,-0.658488,-0.729051,-0.729051,-0.281128,-0.281128,-0.281128,-1.40622,-1.40622,-0.298887,-0.298887,-0.298887,-1.35341
-28.1902,0.835823,0.267733,3,15,0,30.007,1.17975,1.2629,0.928895,0.475292,-0.945411,1.17975,1.2629,0.928895,0.475292,-0.945411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.735584,-0.735584,-0.652438,-0.652438,-0.652438,-0.575563,-0.401707,-0.401707,-0.401707,-1.10617,-1.10617,-1.10617,-0.112805,-0.112805,-0.540025,-0.540025,-0.540025,-0.540025,-0.540025,-0.540025,-0.874031,-0.874031,-0.874031,-0.374959,-0.374959,-0.374959,-0.104257,-0.104257,-0.104257,-0.104257,-0.104257,-0.104257,-0.104257,-2.31257,-0.491848,-0.945451,-0.945451,-0.142767,-0.142767,-0.142767,-2.01707,-2.01707,-0.216356,-0.216356,-0.216356,-1.63706
-29.8331,0.782562,0.267733,4,19,0,32.4184,3.05893,3.3582,1.78286,2.43586,0.0208975,3.05893,3.3582,1.78286,2.43586,0.0208975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.853932,-0.853932,-0.554669,-0.554669,-0.554669,-0.24618,-0.429372,-0.429372,-0.429372,-1.05245,-1.05245,-1.05245,-0.0468157,-0.0468157,-0.188086,-0.188086,-0.188086,-0.188086,-0.188086,-0.188086,-1.76343,-1.76343,-1.76343,-0.334748,-0.334748,-0.334748,-0.0349161,-0.0349161,-0.0349161,-0.0349161,-0.0349161,-0.0349161,-0.0349161,-3.37222,-1.07203,-0.419027,-0.419027,-0.158462,-0.158462,-0.158462,-1.92042,-1.92042,-0.0856003,-0.0856003,-0.0856003,-2.50056
-28.5663,0.885051,0.267733,4,23,0,32.9284,0.410734,0.437012,-0.248697,-0.891987,-2.1302,0.410734,0.437012,-0.248697,-0.891987,-2.1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.706373,-0.706373,-0.680094,-0.680094,-0.680094,-0.416831,-0.240426,-0.240426,-0.240426,-1.54315,-1.54315,-1.54315,-0.0758424,-0.0758424,-0.40795,-0.40795,-0.40795,-0.40795,-0.40795,-0.40795,-1.09366,-1.09366,-1.09366,-0.234868,-0.234868,-0.234868,-0.0739463,-0.0739463,-0.0739463,-0.0739463,-0.0739463,-0.0739463,-0.0739463,-2.64116,-0.422362,-1.06565,-1.06565,-0.141812,-0.141812,-0.141812,-2.02332,-2.02332,-0.254565,-0.254565,-0.254565,-1.49278
-28.3343,0.995338,0.267733,3,15,0,29.288,-0.332464,0.819338,-0.706733,0.242306,-0.632943,-0.332464,0.819338,-0.706733,0.242306,-0.632943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42645,-1.42645,-0.274648,-0.274648,-0.274648,-0.523421,-1.02127,-1.02127,-1.02127,-0.446501,-0.446501,-0.446501,-0.554151,-0.554151,-0.196708,-0.196708,-0.196708,-0.196708,-0.196708,-0.196708,-1.72278,-1.72278,-1.72278,-0.445687,-0.445687,-0.445687,-0.21029,-0.21029,-0.21029,-0.21029,-0.21029,-0.21029,-0.21029,-1.66257,-1.27626,-0.327225,-0.327225,-0.730722,-0.730722,-0.730722,-0.656933,-0.656933,-0.348371,-0.348371,-0.348371,-1.22362
-30.0062,0.957948,0.267733,3,15,0,31.8888,2.60656,1.85848,1.14084,0.887142,-0.628883,2.60656,1.85848,1.14084,0.887142,-0.628883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.387488,-0.387488,-1.13557,-1.13557,-1.13557,-0.207755,-0.164811,-0.164811,-0.164811,-1.88423,-1.88423,-1.88423,-0.0385886,-0.0385886,-0.397367,-0.397367,-0.397367,-0.397367,-0.397367,-0.397367,-1.11501,-1.11501,-1.11501,-0.321051,-0.321051,-0.321051,-0.0798539,-0.0798539,-0.0798539,-0.0798539,-0.0798539,-0.0798539,-0.0798539,-2.56722,-0.574322,-0.828021,-0.828021,-0.157328,-0.157328,-0.157328,-1.92705,-1.92705,-0.198509,-0.198509,-0.198509,-1.71453
