# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/standata-16e0dc8735f.json
# init = 2 (Default)
# random
#   seed = 525905071
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-202106020815-4-441a96.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-profile-202106020815-4-2d234d.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.299627
# Diagonal elements of inverse mass matrix:
# 1.92098, 1.76364, 1.85875, 1.92387, 1.86612
-30.1319,1,0.299627,3,7,0,33.1939,1.33317,0.688116,-0.824153,1.00139,-1.9694,1.33317,0.688116,-0.824153,1.00139,-1.9694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.421755,-0.421755,-1.06681,-1.06681,-1.06681,-0.109423,-0.540954,-0.540954,-0.540954,-0.872735,-0.872735,-0.872735,-0.0361279,-0.0361279,-0.199186,-0.199186,-0.199186,-0.199186,-0.199186,-0.199186,-1.71146,-1.71146,-1.71146,-0.862,-0.862,-0.862,-0.0677726,-0.0677726,-0.0677726,-0.0677726,-0.0677726,-0.0677726,-0.0677726,-2.72529,-1.97493,-0.149394,-0.149394,-0.276225,-0.276225,-0.276225,-1.42148,-1.42148,-0.0499921,-0.0499921,-0.0499921,-3.02078
-27.1099,0.98936,0.299627,3,7,0,31.0223,0.980242,1.28316,-0.248994,-0.157209,-1.21676,0.980242,1.28316,-0.248994,-0.157209,-1.21676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.856035,-0.856035,-0.553113,-0.553113,-0.553113,-0.256591,-0.278113,-0.278113,-0.278113,-1.41556,-1.41556,-1.41556,-0.105383,-0.105383,-0.195623,-0.195623,-0.195623,-0.195623,-0.195623,-0.195623,-1.72778,-1.72778,-1.72778,-0.212559,-0.212559,-0.212559,-0.0788953,-0.0788953,-0.0788953,-0.0788953,-0.0788953,-0.0788953,-0.0788953,-2.57882,-0.740092,-0.648307,-0.648307,-0.322033,-0.322033,-0.322033,-1.2898,-1.2898,-0.297591,-0.297591,-0.297591,-1.35714
-27.3674,0.962626,0.299627,2,3,0,28.044,0.539416,1.27811,0.239608,-0.013511,-1.42991,0.539416,1.27811,0.239608,-0.013511,-1.42991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1292,-1.1292,-0.390514,-0.390514,-0.390514,-0.554437,-0.454423,-0.454423,-0.454423,-1.00735,-1.00735,-1.00735,-0.130634,-0.130634,-0.303053,-0.303053,-0.303053,-0.303053,-0.303053,-0.303053,-1.34155,-1.34155,-1.34155,-0.24281,-0.24281,-0.24281,-0.0645406,-0.0645406,-0.0645406,-0.0645406,-0.0645406,-0.0645406,-0.0645406,-2.77256,-0.574575,-0.827694,-0.827694,-0.172555,-0.172555,-0.172555,-1.84207,-1.84207,-0.217194,-0.217194,-0.217194,-1.63359
-27.3449,0.988293,0.299627,3,15,0,28.2936,-0.314272,0.0511858,-0.927568,-0.0588761,-1.2166,-0.314272,0.0511858,-0.927568,-0.0588761,-1.2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.892479,-0.892479,-0.527021,-0.527021,-0.527021,-0.432797,-0.828976,-0.828976,-0.828976,-0.573581,-0.573581,-0.573581,-0.340481,-0.340481,-0.31902,-0.31902,-0.31902,-0.31902,-0.31902,-0.31902,-1.29777,-1.29777,-1.29777,-0.63963,-0.63963,-0.63963,-0.247995,-0.247995,-0.247995,-0.247995,-0.247995,-0.247995,-0.247995,-1.51578,-1.219,-0.350305,-0.350305,-0.559036,-0.559036,-0.559036,-0.848071,-0.848071,-0.273228,-0.273228,-0.273228,-1.43095
-27.8385,0.924677,0.299627,3,15,0,28.9016,-0.520583,-0.527309,-1.06441,-0.814004,-2.63578,-0.520583,-0.527309,-1.06441,-0.814004,-2.63578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68979,-0.68979,-0.696516,-0.696516,-0.696516,-0.457755,-0.55716,-0.55716,-0.55716,-0.850581,-0.850581,-0.850581,-0.113873,-0.113873,-0.460231,-0.460231,-0.460231,-0.460231,-0.460231,-0.460231,-0.997333,-0.997333,-0.997333,-0.560039,-0.560039,-0.560039,-0.114599,-0.114599,-0.114599,-0.114599,-0.114599,-0.114599,-0.114599,-2.22307,-0.826168,-0.575761,-0.575761,-0.188768,-0.188768,-0.188768,-1.76014,-1.76014,-0.149917,-0.149917,-0.149917,-1.97169
-27.6463,0.762822,0.299627,2,3,0,30.8,-0.406054,0.346092,-1.71354,-0.646126,-2.18943,-0.406054,0.346092,-1.71354,-0.646126,-2.18943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.13833,-1.13833,-0.386183,-0.386183,-0.386183,-0.23941,-0.580298,-0.580298,-0.580298,-0.82037,-0.82037,-0.82037,-0.155352,-0.155352,-0.120004,-0.120004,-0.120004,-0.120004,-0.120004,-0.120004,-2.17964,-2.17964,-2.17964,-0.315361,-0.315361,-0.315361,-0.0762386,-0.0762386,-0.0762386,-0.0762386,-0.0762386,-0.0762386,-0.0762386,-2.61177,-1.36299,-0.295573,-0.295573,-0.483246,-0.483246,-0.483246,-0.959141,-0.959141,-0.193651,-0.193651,-0.193651,-1.73696
