# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/standata-16e07c423d29.json
# init = 2 (Default)
# random
#   seed = 384516122
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-202106020815-4-74a034.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-profile-202106020815-4-2673a9.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.230852
# Diagonal elements of inverse mass matrix:
# 2.0437, 2.03634, 2.12935, 2.17033, 2.13427
-27.3688,0.967906,0.230852,4,23,0,28.6124,-0.409739,0.86268,-0.942627,-0.680908,-1.55371,-0.409739,0.86268,-0.942627,-0.680908,-1.55371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5194,-1.5194,-0.24698,-0.24698,-0.24698,-0.461787,-0.566726,-0.566726,-0.566726,-0.837895,-0.837895,-0.837895,-0.276535,-0.276535,-0.152227,-0.152227,-0.152227,-0.152227,-0.152227,-0.152227,-1.95753,-1.95753,-1.95753,-0.193602,-0.193602,-0.193602,-0.0854835,-0.0854835,-0.0854835,-0.0854835,-0.0854835,-0.0854835,-0.0854835,-2.50187,-0.832545,-0.570825,-0.570825,-0.433576,-0.433576,-0.433576,-1.04466,-1.04466,-0.349093,-0.349093,-0.349093,-1.22189
-26.8219,0.977102,0.230852,3,11,0,28.6042,-0.331549,-0.253322,-1.51792,-1.1514,-2.27929,-0.331549,-0.253322,-1.51792,-1.1514,-2.27929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.733025,-0.733025,-0.654798,-0.654798,-0.654798,-0.266453,-0.364988,-0.364988,-0.364988,-1.18484,-1.18484,-1.18484,-0.133302,-0.133302,-0.248696,-0.248696,-0.248696,-0.248696,-0.248696,-0.248696,-1.5133,-1.5133,-1.5133,-0.341709,-0.341709,-0.341709,-0.123867,-0.123867,-0.123867,-0.123867,-0.123867,-0.123867,-0.123867,-2.14984,-0.893107,-0.526586,-0.526586,-0.383238,-0.383238,-0.383238,-1.14461,-1.14461,-0.280443,-0.280443,-0.280443,-1.40833
-27.8873,0.836651,0.230852,2,7,0,29.149,-0.432559,-0.546181,-1.0797,-0.896157,-2.66465,-0.432559,-0.546181,-1.0797,-0.896157,-2.66465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.637949,-0.637949,-0.751571,-0.751571,-0.751571,-0.421038,-0.487976,-0.487976,-0.487976,-0.951574,-0.951574,-0.951574,-0.101928,-0.101928,-0.461555,-0.461555,-0.461555,-0.461555,-0.461555,-0.461555,-0.995071,-0.995071,-0.995071,-0.533392,-0.533392,-0.533392,-0.113521,-0.113521,-0.113521,-0.113521,-0.113521,-0.113521,-0.113521,-2.23199,-0.789122,-0.605582,-0.605582,-0.186445,-0.186445,-0.186445,-1.7714,-1.7714,-0.157508,-0.157508,-0.157508,-1.926
-29.5674,0.923018,0.230852,3,15,0,31.8123,-1.93867,-0.595896,-2.47183,-2.38285,-2.36637,-1.93867,-0.595896,-2.47183,-2.38285,-2.36637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57477,-1.57477,-0.232001,-0.232001,-0.232001,-0.461685,-0.495517,-0.495517,-0.495517,-0.939703,-0.939703,-0.939703,-0.501989,-0.501989,-0.142551,-0.142551,-0.142551,-0.142551,-0.142551,-0.142551,-2.01849,-2.01849,-2.01849,-0.154838,-0.154838,-0.154838,-0.157219,-0.157219,-0.157219,-0.157219,-0.157219,-0.157219,-0.157219,-1.9277,-0.738626,-0.649647,-0.649647,-0.747266,-0.747266,-0.747266,-0.641807,-0.641807,-0.701421,-0.701421,-0.701421,-0.684941
-28.475,0.993349,0.230852,3,7,0,30.4127,-1.16956,-1.33695,-2.53868,-1.60153,-3.62314,-1.16956,-1.33695,-2.53868,-1.60153,-3.62314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.612952,-0.612952,-0.780339,-0.780339,-0.780339,-0.226603,-0.500308,-0.500308,-0.500308,-0.932278,-0.932278,-0.932278,-0.0824876,-0.0824876,-0.262883,-0.262883,-0.262883,-0.262883,-0.262883,-0.262883,-1.46461,-1.46461,-1.46461,-0.569581,-0.569581,-0.569581,-0.0968115,-0.0968115,-0.0968115,-0.0968115,-0.0968115,-0.0968115,-0.0968115,-2.38301,-1.2677,-0.330558,-0.330558,-0.291238,-0.291238,-0.291238,-1.3757,-1.3757,-0.124376,-0.124376,-0.124376,-2.14599
-29.6356,0.924845,0.230852,3,15,0,31.2073,-1.75692,-0.582312,-1.34757,-2.30985,-2.06428,-1.75692,-0.582312,-1.34757,-2.30985,-2.06428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44382,-1.44382,-0.269218,-0.269218,-0.269218,-0.918623,-0.45442,-0.45442,-0.45442,-1.00735,-1.00735,-1.00735,-0.551228,-0.551228,-0.382002,-0.382002,-0.382002,-0.382002,-0.382002,-0.382002,-1.14726,-1.14726,-1.14726,-0.163581,-0.163581,-0.163581,-0.204727,-0.204727,-0.204727,-0.204727,-0.204727,-0.204727,-0.204727,-1.6867,-0.323546,-1.28583,-1.28583,-0.397671,-0.397671,-0.397671,-1.11439,-1.11439,-0.823451,-0.823451,-0.823451,-0.577882
