# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/standata-16e0317db3a5.json
# init = 2 (Default)
# random
#   seed = 1233304212
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-202106020815-4-8274ce.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-profile-202106020815-4-006e37.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.257011
# Diagonal elements of inverse mass matrix:
# 1.9228, 1.85485, 2.01348, 1.86416, 1.9784
-28.4764,1,0.257011,2,3,0,32.9196,-1.91042,-1.2665,-2.44762,-1.62254,-3.51151,-1.91042,-1.2665,-2.44762,-1.62254,-3.51151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06607,-1.06607,-0.422144,-0.422144,-0.422144,-0.460195,-0.847416,-0.847416,-0.847416,-0.559527,-0.559527,-0.559527,-0.183718,-0.183718,-0.267685,-0.267685,-0.267685,-0.267685,-0.267685,-0.267685,-1.4488,-1.4488,-1.4488,-0.530893,-0.530893,-0.530893,-0.100683,-0.100683,-0.100683,-0.100683,-0.100683,-0.100683,-0.100683,-2.34569,-1.18848,-0.36339,-0.36339,-0.296476,-0.296476,-0.296476,-1.36037,-1.36037,-0.140828,-0.140828,-0.140828,-2.02981
-28.6086,0.869716,0.257011,3,7,0,31.1102,-1.44284,-0.429455,-2.25151,-2.27104,-2.45605,-1.44284,-0.429455,-2.25151,-2.27104,-2.45605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32306,-1.32306,-0.309681,-0.309681,-0.309681,-0.36842,-0.36244,-0.36244,-0.36244,-1.19065,-1.19065,-1.19065,-0.309725,-0.309725,-0.149879,-0.149879,-0.149879,-0.149879,-0.149879,-0.149879,-1.97193,-1.97193,-1.97193,-0.147182,-0.147182,-0.147182,-0.123795,-0.123795,-0.123795,-0.123795,-0.123795,-0.123795,-0.123795,-2.15039,-0.683427,-0.702962,-0.702962,-0.596097,-0.596097,-0.596097,-0.800639,-0.800639,-0.604916,-0.604916,-0.604916,-0.789923
-28.9947,0.856358,0.257011,4,23,0,32.4749,1.01756,2.56355,0.1161,0.917099,-0.0456458,1.01756,2.56355,0.1161,0.917099,-0.0456458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73916,-1.73916,-0.193181,-0.193181,-0.193181,-0.340731,-0.644176,-0.644176,-0.644176,-0.744641,-0.744641,-0.744641,-0.296651,-0.296651,-0.0829746,-0.0829746,-0.0829746,-0.0829746,-0.0829746,-0.0829746,-2.53042,-2.53042,-2.53042,-0.176248,-0.176248,-0.176248,-0.0710118,-0.0710118,-0.0710118,-0.0710118,-0.0710118,-0.0710118,-0.0710118,-2.6802,-1.17179,-0.370791,-0.370791,-0.615541,-0.615541,-0.615541,-0.777287,-0.777287,-0.323418,-0.323418,-0.323418,-1.28616
-28.4051,0.948375,0.257011,3,15,0,32.8208,0.259294,-0.267037,-0.46454,-0.16892,-1.38468,0.259294,-0.267037,-0.46454,-0.16892,-1.38468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.464217,-0.464217,-0.990548,-0.990548,-0.990548,-0.39534,-0.501788,-0.501788,-0.501788,-0.930002,-0.930002,-0.930002,-0.176648,-0.176648,-0.599264,-0.599264,-0.599264,-0.599264,-0.599264,-0.599264,-0.796767,-0.796767,-0.796767,-0.743409,-0.743409,-0.743409,-0.282958,-0.282958,-0.282958,-0.282958,-0.282958,-0.282958,-0.282958,-1.4006,-0.851842,-0.556221,-0.556221,-0.335374,-0.335374,-0.335374,-1.25551,-1.25551,-0.259656,-0.259656,-0.259656,-1.47542
-28.8642,0.884963,0.257011,3,7,0,31.4194,0.158535,1.93802,-0.115978,-0.27673,-0.845316,0.158535,1.93802,-0.115978,-0.27673,-0.845316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9354,-1.9354,-0.155914,-0.155914,-0.155914,-0.565281,-0.499012,-0.499012,-0.499012,-0.934277,-0.934277,-0.934277,-0.312227,-0.312227,-0.120643,-0.120643,-0.120643,-0.120643,-0.120643,-0.120643,-2.17464,-2.17464,-2.17464,-0.103622,-0.103622,-0.103622,-0.0599958,-0.0599958,-0.0599958,-0.0599958,-0.0599958,-0.0599958,-0.0599958,-2.84333,-0.615998,-0.77675,-0.77675,-0.393546,-0.393546,-0.393546,-1.12288,-1.12288,-0.448733,-0.448733,-0.448733,-1.01732
-27.2681,0.958836,0.257011,2,7,0,30.1233,0.180478,1.18568,0.093198,-0.355279,-0.621804,0.180478,1.18568,0.093198,-0.355279,-0.621804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.31706,-1.31706,-0.311866,-0.311866,-0.311866,-0.650459,-0.460727,-0.460727,-0.460727,-0.996484,-0.996484,-0.996484,-0.370394,-0.370394,-0.289219,-0.289219,-0.289219,-0.289219,-0.289219,-0.289219,-1.3817,-1.3817,-1.3817,-0.194066,-0.194066,-0.194066,-0.15192,-0.15192,-0.15192,-0.15192,-0.15192,-0.15192,-0.15192,-1.9594,-0.493842,-0.942319,-0.942319,-0.398233,-0.398233,-0.398233,-1.11323,-1.11323,-0.568738,-0.568738,-0.568738,-0.835263
