# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/standata-16e0a3e775d.json
# init = 2 (Default)
# random
#   seed = 520476134
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-202106020815-4-84de31.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp1DAnAW/file16e01745e3f1/reference/.bpcs/bt-profile-202106020815-4-4eb076.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.285788
# Diagonal elements of inverse mass matrix:
# 1.99355, 1.93905, 2.00921, 1.97802, 1.98781
-30.4457,0.970851,0.285788,2,7,0,31.7161,4.39082,3.95585,3.10455,3.62915,2.30913,4.39082,3.95585,3.10455,3.62915,2.30913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.499129,-0.499129,-0.934096,-0.934096,-0.934096,-0.243966,-0.383143,-0.383143,-0.383143,-1.14481,-1.14481,-1.14481,-0.117534,-0.117534,-0.355477,-0.355477,-0.355477,-0.355477,-0.355477,-0.355477,-1.20677,-1.20677,-1.20677,-0.54308,-0.54308,-0.54308,-0.176204,-0.176204,-0.176204,-0.176204,-0.176204,-0.176204,-0.176204,-1.82292,-0.989458,-0.464862,-0.464862,-0.372523,-0.372523,-0.372523,-1.16794,-1.16794,-0.236755,-0.236755,-0.236755,-1.55677
-31.5476,0.914826,0.285788,3,7,0,33.4147,4.19186,4.97301,4.23724,3.92055,2.90264,4.19186,4.97301,4.23724,3.92055,2.90264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15813,-1.15813,-0.376983,-0.376983,-0.376983,-0.716091,-0.566665,-0.566665,-0.566665,-0.837976,-0.837976,-0.837976,-0.243327,-0.243327,-0.391457,-0.391457,-0.391457,-0.391457,-0.391457,-0.391457,-1.12723,-1.12723,-1.12723,-0.299422,-0.299422,-0.299422,-0.118795,-0.118795,-0.118795,-0.118795,-0.118795,-0.118795,-0.118795,-2.18916,-0.547289,-0.863973,-0.863973,-0.2337,-0.2337,-0.2337,-1.56829,-1.56829,-0.308476,-0.308476,-0.308476,-1.32639
-30.8162,0.984922,0.285788,2,3,0,31.8772,4.52501,4.88494,3.81595,4.02703,2.98485,4.52501,4.88494,3.81595,4.02703,2.98485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.889217,-0.889217,-0.529291,-0.529291,-0.529291,-0.400187,-0.474839,-0.474839,-0.474839,-0.972823,-0.972823,-0.972823,-0.194205,-0.194205,-0.29517,-0.29517,-0.29517,-0.29517,-0.29517,-0.29517,-1.36416,-1.36416,-1.36416,-0.353503,-0.353503,-0.353503,-0.139375,-0.139375,-0.139375,-0.139375,-0.139375,-0.139375,-0.139375,-2.03947,-0.804247,-0.593166,-0.593166,-0.361562,-0.361562,-0.361562,-1.19266,-1.19266,-0.302091,-0.302091,-0.302091,-1.34427
-32.9066,0.757208,0.285788,3,7,0,33.0132,4.56059,5.43833,3.3061,4.68904,2.86527,4.56059,5.43833,3.3061,4.68904,2.86527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.22538,-1.22538,-0.347637,-0.347637,-0.347637,-0.250932,-0.759434,-0.759434,-0.759434,-0.630983,-0.630983,-0.630983,-0.16851,-0.16851,-0.112053,-0.112053,-0.112053,-0.112053,-0.112053,-0.112053,-2.24428,-2.24428,-2.24428,-0.387097,-0.387097,-0.387097,-0.0735303,-0.0735303,-0.0735303,-0.0735303,-0.0735303,-0.0735303,-0.0735303,-2.6466,-1.60675,-0.223816,-0.223816,-0.496827,-0.496827,-0.496827,-0.937663,-0.937663,-0.14964,-0.14964,-0.14964,-1.97341
-32.5279,0.97372,0.285788,2,7,0,34.3994,3.71274,4.11917,4.01332,3.00602,2.88575,3.71274,4.11917,4.01332,3.00602,2.88575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.916865,-0.916865,-0.510443,-0.510443,-0.510443,-0.854684,-0.40096,-0.40096,-0.40096,-1.10768,-1.10768,-1.10768,-0.362811,-0.362811,-0.641622,-0.641622,-0.641622,-0.641622,-0.641622,-0.641622,-0.747472,-0.747472,-0.747472,-0.284069,-0.284069,-0.284069,-0.255647,-0.255647,-0.255647,-0.255647,-0.255647,-0.255647,-0.255647,-1.48906,-0.311305,-1.3186,-1.3186,-0.280523,-0.280523,-0.280523,-1.40808,-1.40808,-0.63482,-0.63482,-0.63482,-0.755088
-31.3574,0.983895,0.285788,2,3,0,33.5614,4.02853,4.69647,2.37695,3.6986,1.78856,4.02853,4.69647,2.37695,3.6986,1.78856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08188,-1.08188,-0.413936,-0.413936,-0.413936,-0.175421,-0.54173,-0.54173,-0.54173,-0.871654,-0.871654,-0.871654,-0.101168,-0.101168,-0.0937823,-0.0937823,-0.0937823,-0.0937823,-0.0937823,-0.0937823,-2.4133,-2.4133,-2.4133,-0.313835,-0.313835,-0.313835,-0.0531516,-0.0531516,-0.0531516,-0.0531516,-0.0531516,-0.0531516,-0.0531516,-2.96106,-1.55806,-0.236411,-0.236411,-0.441617,-0.441617,-0.441617,-1.03001,-1.03001,-0.138086,-0.138086,-0.138086,-2.04813
