# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-9126d6736a2.json
# init = 2 (Default)
# random
#   seed = 164975990
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020931-1-725d88.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020931-1-8b5f4e.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.277983
# Diagonal elements of inverse mass matrix:
# 1.86266, 1.75133, 1.84399, 1.90045, 1.96495
-28.346,0.921066,0.277983,3,7,0,28.9272,1.21892,0.383422,-0.511035,-0.19111,-1.57713,1.21892,0.383422,-0.511035,-0.19111,-1.57713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.360231,-0.360231,-1.19572,-1.19572,-1.19572,-0.163218,-0.218442,-0.218442,-0.218442,-1.62847,-1.62847,-1.62847,-0.0592599,-0.0592599,-0.342759,-0.342759,-0.342759,-0.342759,-0.342759,-0.342759,-1.23722,-1.23722,-1.23722,-0.446587,-0.446587,-0.446587,-0.131713,-0.131713,-0.131713,-0.131713,-0.131713,-0.131713,-0.131713,-2.09226,-0.86585,-0.545924,-0.545924,-0.295911,-0.295911,-0.295911,-1.36201,-1.36201,-0.223198,-0.223198,-0.223198,-1.60922
-30.4002,0.81609,0.277983,3,15,0,33.1741,0.516298,1.43274,-0.385905,1.60444,-0.321478,0.516298,1.43274,-0.385905,1.60444,-0.321478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25287,-1.25287,-0.336429,-0.336429,-0.336429,-0.340518,-1.37845,-1.37845,-1.37845,-0.29031,-0.29031,-0.29031,-0.359541,-0.359541,-0.150354,-0.150354,-0.150354,-0.150354,-0.150354,-0.150354,-1.969,-1.969,-1.969,-0.782678,-0.782678,-0.782678,-0.159601,-0.159601,-0.159601,-0.159601,-0.159601,-0.159601,-0.159601,-1.91382,-2.11843,-0.128084,-0.128084,-0.725879,-0.725879,-0.725879,-0.661453,-0.661453,-0.136052,-0.136052,-0.136052,-2.06197
-27.3844,0.999425,0.277983,2,7,0,30.7546,1.4881,1.17965,0.254482,0.984512,-0.00764084,1.4881,1.17965,0.254482,0.984512,-0.00764084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.550766,-0.550766,-0.85922,-0.85922,-0.85922,-0.2556,-0.472723,-0.472723,-0.472723,-0.976313,-0.976313,-0.976313,-0.202191,-0.202191,-0.333945,-0.333945,-0.333945,-0.333945,-0.333945,-0.333945,-1.25911,-1.25911,-1.25911,-0.600331,-0.600331,-0.600331,-0.266239,-0.266239,-0.266239,-0.266239,-0.266239,-0.266239,-0.266239,-1.45353,-1.12335,-0.393322,-0.393322,-0.57065,-0.57065,-0.57065,-0.832773,-0.832773,-0.315378,-0.315378,-0.315378,-1.30753
-28.2359,0.806698,0.277983,3,15,0,30.4367,0.367594,1.87703,0.0528878,-0.21094,-0.894538,0.367594,1.87703,0.0528878,-0.21094,-0.894538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.70913,-1.70913,-0.199699,-0.199699,-0.199699,-0.548123,-0.445147,-0.445147,-0.445147,-1.02368,-1.02368,-1.02368,-0.24924,-0.24924,-0.149589,-0.149589,-0.149589,-0.149589,-0.149589,-0.149589,-1.97373,-1.97373,-1.97373,-0.116839,-0.116839,-0.116839,-0.060685,-0.060685,-0.060685,-0.060685,-0.060685,-0.060685,-0.060685,-2.83225,-0.569909,-0.833737,-0.833737,-0.327675,-0.327675,-0.327675,-1.2751,-1.2751,-0.408658,-0.408658,-0.408658,-1.09226
-32.4297,0.743749,0.277983,2,7,0,35.0302,0.884686,2.68397,-0.600514,-0.32799,-0.902914,0.884686,2.68397,-0.600514,-0.32799,-0.902914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.95236,-1.95236,-0.153079,-0.153079,-0.153079,-0.204129,-0.260363,-0.260363,-0.260363,-1.47304,-1.47304,-1.47304,-0.154746,-0.154746,-0.0367754,-0.0367754,-0.0367754,-0.0367754,-0.0367754,-0.0367754,-3.32126,-3.32126,-3.32126,-0.0480234,-0.0480234,-0.0480234,-0.0273082,-0.0273082,-0.0273082,-0.0273082,-0.0273082,-0.0273082,-0.0273082,-3.61419,-0.838665,-0.56614,-0.56614,-0.553335,-0.553335,-0.553335,-0.855735,-0.855735,-0.446445,-0.446445,-0.446445,-1.02137
-29.9434,0.994008,0.277983,2,3,0,33.5749,0.890914,2.22866,-0.073155,-0.261676,-1.36555,0.890914,2.22866,-0.073155,-0.261676,-1.36555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57079,-1.57079,-0.233044,-0.233044,-0.233044,-0.323053,-0.274458,-0.274458,-0.274458,-1.42705,-1.42705,-1.42705,-0.099592,-0.099592,-0.0953802,-0.0953802,-0.0953802,-0.0953802,-0.0953802,-0.0953802,-2.3972,-2.3972,-2.3972,-0.0796261,-0.0796261,-0.0796261,-0.0271115,-0.0271115,-0.0271115,-0.0271115,-0.0271115,-0.0271115,-0.0271115,-3.62132,-0.603322,-0.791844,-0.791844,-0.242642,-0.242642,-0.242642,-1.53504,-1.53504,-0.286369,-0.286369,-0.286369,-1.39024
