# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-912653b2fc5.json
# init = 2 (Default)
# random
#   seed = 327235529
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020931-3-133d54.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020931-3-8f2fa8.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.272102
# Diagonal elements of inverse mass matrix:
# 2.28249, 2.14933, 2.32782, 2.39505, 2.3289
-27.972,0.918457,0.272102,3,15,0,29.6716,0.216793,1.78614,0.550917,0.24205,-0.333525,0.216793,1.78614,0.550917,0.24205,-0.333525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.75847,-1.75847,-0.189115,-0.189115,-0.189115,-0.8741,-0.705855,-0.705855,-0.705855,-0.680599,-0.680599,-0.680599,-0.455376,-0.455376,-0.255238,-0.255238,-0.255238,-0.255238,-0.255238,-0.255238,-1.49047,-1.49047,-1.49047,-0.193513,-0.193513,-0.193513,-0.113392,-0.113392,-0.113392,-0.113392,-0.113392,-0.113392,-0.113392,-2.23306,-0.550591,-0.859459,-0.859459,-0.345676,-0.345676,-0.345676,-1.23012,-1.23012,-0.446211,-0.446211,-0.446211,-1.02179
-28.9193,0.895913,0.272102,3,7,0,31.0882,-0.942399,0.550304,-0.162113,-1.06265,-1.35837,-0.942399,0.550304,-0.162113,-1.06265,-1.35837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69545,-1.69545,-0.202748,-0.202748,-0.202748,-1.15754,-0.634829,-0.634829,-0.634829,-0.755078,-0.755078,-0.755078,-0.506638,-0.506638,-0.399083,-0.399083,-0.399083,-0.399083,-0.399083,-0.399083,-1.1115,-1.1115,-1.1115,-0.181737,-0.181737,-0.181737,-0.138263,-0.138263,-0.138263,-0.138263,-0.138263,-0.138263,-0.138263,-2.04693,-0.340999,-1.24153,-1.24153,-0.264151,-0.264151,-0.264151,-1.46041,-1.46041,-0.556179,-0.556179,-0.556179,-0.851898
-28.25,0.957377,0.272102,2,3,0,30.2321,-1.05135,0.550827,-0.786062,-0.499237,-1.65411,-1.05135,0.550827,-0.786062,-0.499237,-1.65411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.78571,-1.78571,-0.183536,-0.183536,-0.183536,-0.834561,-1.00683,-1.00683,-1.00683,-0.454721,-0.454721,-0.454721,-0.43651,-0.43651,-0.233222,-0.233222,-0.233222,-0.233222,-0.233222,-0.233222,-1.57011,-1.57011,-1.57011,-0.300042,-0.300042,-0.300042,-0.104592,-0.104592,-0.104592,-0.104592,-0.104592,-0.104592,-0.104592,-2.30953,-0.846809,-0.559983,-0.559983,-0.350495,-0.350495,-0.350495,-1.21854,-1.21854,-0.273911,-0.273911,-0.273911,-1.42878
-27.6487,0.964038,0.272102,2,7,0,29.2599,-0.714371,0.32306,-0.66107,-0.806625,-1.03911,-0.714371,0.32306,-0.66107,-0.806625,-1.03911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34076,-1.34076,-0.303332,-0.303332,-0.303332,-0.720153,-0.648084,-0.648084,-0.648084,-0.740338,-0.740338,-0.740338,-0.5439,-0.5439,-0.317555,-0.317555,-0.317555,-0.317555,-0.317555,-0.317555,-1.30168,-1.30168,-1.30168,-0.280004,-0.280004,-0.280004,-0.228014,-0.228014,-0.228014,-0.228014,-0.228014,-0.228014,-0.228014,-1.59019,-0.623016,-0.76857,-0.76857,-0.521884,-0.521884,-0.521884,-0.899929,-0.899929,-0.583644,-0.583644,-0.583644,-0.816133
-27.213,0.965374,0.272102,2,3,0,28.3874,-0.753319,0.284037,-0.744491,-0.993555,-1.4484,-0.753319,0.284037,-0.744491,-0.993555,-1.4484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34071,-1.34071,-0.303351,-0.303351,-0.303351,-0.697571,-0.580226,-0.580226,-0.580226,-0.820462,-0.820462,-0.820462,-0.40482,-0.40482,-0.305669,-0.305669,-0.305669,-0.305669,-0.305669,-0.305669,-1.3342,-1.3342,-1.3342,-0.24585,-0.24585,-0.24585,-0.162843,-0.162843,-0.162843,-0.162843,-0.162843,-0.162843,-0.162843,-1.89528,-0.576349,-0.825413,-0.825413,-0.40189,-0.40189,-0.40189,-1.1058,-1.1058,-0.491364,-0.491364,-0.491364,-0.946213
-27.3876,0.852068,0.272102,3,11,0,29.4322,0.0642116,0.925024,0.18804,-0.468852,-1.06389,0.0642116,0.925024,0.18804,-0.468852,-1.06389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.21345,-1.21345,-0.35264,-0.35264,-0.35264,-0.756977,-0.461722,-0.461722,-0.461722,-0.994786,-0.994786,-0.994786,-0.280391,-0.280391,-0.391065,-0.391065,-0.391065,-0.391065,-0.391065,-0.391065,-1.12805,-1.12805,-1.12805,-0.221632,-0.221632,-0.221632,-0.128256,-0.128256,-0.128256,-0.128256,-0.128256,-0.128256,-0.128256,-2.11717,-0.417697,-1.07459,-1.07459,-0.2515,-0.2515,-0.2515,-1.50343,-1.50343,-0.43925,-0.43925,-0.43925,-1.03429
