# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-9124fcf9e4d.json
# init = 2 (Default)
# random
#   seed = 1669462462
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020931-4-2c44fc.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020931-4-678c4e.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.268051
# Diagonal elements of inverse mass matrix:
# 2.24812, 2.23158, 2.30103, 2.17233, 2.2784
-27.0314,0.951503,0.268051,3,11,0,28.7434,-0.198208,0.634811,-0.836124,-0.183902,-1.87399,-0.198208,0.634811,-0.836124,-0.183902,-1.87399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.194,-1.194,-0.36098,-0.36098,-0.36098,-0.424216,-0.700325,-0.700325,-0.700325,-0.68602,-0.68602,-0.68602,-0.171565,-0.171565,-0.206779,-0.206779,-0.206779,-0.206779,-0.206779,-0.206779,-1.67771,-1.67771,-1.67771,-0.365336,-0.365336,-0.365336,-0.0782247,-0.0782247,-0.0782247,-0.0782247,-0.0782247,-0.0782247,-0.0782247,-2.58703,-1.07152,-0.419294,-0.419294,-0.303218,-0.303218,-0.303218,-1.34109,-1.34109,-0.169323,-0.169323,-0.169323,-1.85941
-27.9664,0.927161,0.268051,2,7,0,28.3384,-0.0781681,-0.27482,-0.588968,-0.770926,-1.32483,-0.0781681,-0.27482,-0.588968,-0.770926,-1.32483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.599647,-0.599647,-0.796299,-0.796299,-0.796299,-0.470013,-0.405595,-0.405595,-0.405595,-1.09835,-1.09835,-1.09835,-0.252674,-0.252674,-0.548359,-0.548359,-0.548359,-0.548359,-0.548359,-0.548359,-0.862507,-0.862507,-0.862507,-0.475549,-0.475549,-0.475549,-0.300057,-0.300057,-0.300057,-0.300057,-0.300057,-0.300057,-0.300057,-1.35006,-0.606301,-0.788259,-0.788259,-0.39143,-0.39143,-0.39143,-1.12729,-1.12729,-0.454067,-0.454067,-0.454067,-1.00797
-26.554,0.969327,0.268051,3,15,0,29.0626,1.11668,1.21629,0.176154,0.443191,-0.32138,1.11668,1.21629,0.176154,0.443191,-0.32138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.744189,-0.744189,-0.644584,-0.644584,-0.644584,-0.329607,-0.41206,-0.41206,-0.41206,-1.08555,-1.08555,-1.08555,-0.213002,-0.213002,-0.302626,-0.302626,-0.302626,-0.302626,-0.302626,-0.302626,-1.34276,-1.34276,-1.34276,-0.379519,-0.379519,-0.379519,-0.194647,-0.194647,-0.194647,-0.194647,-0.194647,-0.194647,-0.194647,-1.73231,-0.835553,-0.568516,-0.568516,-0.475008,-0.475008,-0.475008,-0.972543,-0.972543,-0.382219,-0.382219,-0.382219,-1.14679
-33.5725,0.374005,0.268051,2,3,0,33.8657,0.231924,1.60031,0.826494,1.63861,-1.72456,0.231924,1.60031,0.826494,1.63861,-1.72456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.59514,-1.59514,-0.226751,-0.226751,-0.226751,-1.03399,-1.62578,-1.62578,-1.62578,-0.219099,-0.219099,-0.219099,-0.132216,-0.132216,-0.379292,-0.379292,-0.379292,-0.379292,-0.379292,-0.379292,-1.15311,-1.15311,-1.15311,-0.712479,-0.712479,-0.712479,-0.0353453,-0.0353453,-0.0353453,-0.0353453,-0.0353453,-0.0353453,-0.0353453,-3.36021,-1.17947,-0.367361,-0.367361,-0.0751072,-0.0751072,-0.0751072,-2.62616,-2.62616,-0.0340396,-0.0340396,-0.0340396,-3.3972
-34.3893,0.96727,0.268051,3,7,0,35.7683,2.97421,1.95829,0.203996,0.318959,0.908758,2.97421,1.95829,0.203996,0.318959,0.908758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.309003,-0.309003,-1.32493,-1.32493,-1.32493,-0.0607642,-0.0679211,-0.0679211,-0.0679211,-2.72318,-2.72318,-2.72318,-0.119347,-0.119347,-0.15959,-0.15959,-0.15959,-0.15959,-0.15959,-0.15959,-1.91388,-1.91388,-1.91388,-0.177402,-0.177402,-0.177402,-0.300181,-0.300181,-0.300181,-0.300181,-0.300181,-0.300181,-0.300181,-1.34971,-0.75228,-0.637317,-0.637317,-1.10637,-1.10637,-1.10637,-0.401608,-0.401608,-1.03091,-1.03091,-1.03091,-0.441114
-31.6157,0.988144,0.268051,2,7,0,37.3675,3.2382,1.96207,0.0857804,1.20198,-0.0222482,3.2382,1.96207,0.0857804,1.20198,-0.0222482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.246168,-0.246168,-1.5223,-1.5223,-1.5223,-0.04186,-0.122678,-0.122678,-0.122678,-2.1589,-2.1589,-2.1589,-0.0376533,-0.0376533,-0.142504,-0.142504,-0.142504,-0.142504,-0.142504,-0.142504,-2.01879,-2.01879,-2.01879,-0.383646,-0.383646,-0.383646,-0.128811,-0.128811,-0.128811,-0.128811,-0.128811,-0.128811,-0.128811,-2.11313,-1.39951,-0.283315,-0.283315,-0.640591,-0.640591,-0.640591,-0.74862,-0.74862,-0.257727,-0.257727,-0.257727,-1.48195
