# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-91215950391.json
# init = 2 (Default)
# random
#   seed = 1721054867
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020931-4-6689f6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020931-4-08faaf.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.239003
# Diagonal elements of inverse mass matrix:
# 2.22511, 2.16991, 2.27221, 2.07775, 2.21884
-28.1669,1,0.239003,2,7,0,31.2107,-0.911705,-1.06784,-2.48072,-2.11114,-3.23749,-0.911705,-1.06784,-2.48072,-2.11114,-3.23749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.618125,-0.618125,-0.774257,-0.774257,-0.774257,-0.189173,-0.263414,-0.263414,-0.263414,-1.46284,-1.46284,-1.46284,-0.0932232,-0.0932232,-0.217881,-0.217881,-0.217881,-0.217881,-0.217881,-0.217881,-1.63077,-1.63077,-1.63077,-0.3018,-0.3018,-0.3018,-0.108152,-0.108152,-0.108152,-0.108152,-0.108152,-0.108152,-0.108152,-2.27781,-0.894919,-0.525331,-0.525331,-0.384705,-0.384705,-0.384705,-1.14147,-1.14147,-0.280818,-0.280818,-0.280818,-1.40717
-27.4481,0.930965,0.239003,4,23,0,29.9085,0.552446,0.941255,-0.0835571,0.513232,-1.6287,0.552446,0.941255,-0.0835571,0.513232,-1.6287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.90633,-0.90633,-0.517522,-0.517522,-0.517522,-0.424878,-0.673732,-0.673732,-0.673732,-0.712947,-0.712947,-0.712947,-0.10698,-0.10698,-0.306649,-0.306649,-0.306649,-0.306649,-0.306649,-0.306649,-1.33146,-1.33146,-1.33146,-0.501864,-0.501864,-0.501864,-0.0737513,-0.0737513,-0.0737513,-0.0737513,-0.0737513,-0.0737513,-0.0737513,-2.64371,-1.03542,-0.438627,-0.438627,-0.193329,-0.193329,-0.193329,-1.73847,-1.73847,-0.111029,-0.111029,-0.111029,-2.25296
-28.106,0.733358,0.239003,4,23,0,31.6946,1.53623,1.4497,0.901887,1.66094,0.241525,1.53623,1.4497,0.901887,1.66094,0.241525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.650818,-0.650818,-0.737348,-0.737348,-0.737348,-0.425452,-0.757443,-0.757443,-0.757443,-0.632737,-0.632737,-0.632737,-0.242144,-0.242144,-0.456292,-0.456292,-0.456292,-0.456292,-0.456292,-0.456292,-1.00411,-1.00411,-1.00411,-0.804332,-0.804332,-0.804332,-0.261396,-0.261396,-0.261396,-0.261396,-0.261396,-0.261396,-0.261396,-1.46957,-1.14303,-0.383976,-0.383976,-0.416514,-0.416514,-0.416514,-1.07687,-1.07687,-0.216607,-0.216607,-0.216607,-1.63602
-29.3784,0.937039,0.239003,3,15,0,31.1584,0.660393,2.09933,0.0872086,-0.348556,-0.225267,0.660393,2.09933,0.0872086,-0.348556,-0.225267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.65177,-1.65177,-0.212835,-0.212835,-0.212835,-0.447072,-0.310863,-0.310863,-0.310863,-1.31981,-1.31981,-1.31981,-0.34532,-0.34532,-0.125491,-0.125491,-0.125491,-0.125491,-0.125491,-0.125491,-2.13761,-2.13761,-2.13761,-0.0829397,-0.0829397,-0.0829397,-0.0933291,-0.0933291,-0.0933291,-0.0933291,-0.0933291,-0.0933291,-0.0933291,-2.41793,-0.498816,-0.93458,-0.93458,-0.549065,-0.549065,-0.549065,-0.861541,-0.861541,-0.75669,-0.75669,-0.75669,-0.633402
-27.2309,0.994491,0.239003,2,3,0,29.678,0.715895,1.804,0.24504,0.2605,-0.139831,0.715895,1.804,0.24504,0.2605,-0.139831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37842,-1.37842,-0.29032,-0.29032,-0.29032,-0.48518,-0.491152,-0.491152,-0.491152,-0.946547,-0.946547,-0.946547,-0.354154,-0.354154,-0.190914,-0.190914,-0.190914,-0.190914,-0.190914,-0.190914,-1.74987,-1.74987,-1.74987,-0.193618,-0.193618,-0.193618,-0.133792,-0.133792,-0.133792,-0.133792,-0.133792,-0.133792,-0.133792,-2.07762,-0.700907,-0.685447,-0.685447,-0.519114,-0.519114,-0.519114,-0.903985,-0.903985,-0.512882,-0.512882,-0.512882,-0.913214
-30.1543,0.769401,0.239003,3,15,0,31.5979,1.91804,2.88577,0.422406,2.27275,0.201213,1.91804,2.88577,0.422406,2.27275,0.201213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28977,-1.28977,-0.322045,-0.322045,-0.322045,-0.202211,-0.886148,-0.886148,-0.886148,-0.531437,-0.531437,-0.531437,-0.165205,-0.165205,-0.0817167,-0.0817167,-0.0817167,-0.0817167,-0.0817167,-0.0817167,-2.54508,-2.54508,-2.54508,-0.432897,-0.432897,-0.432897,-0.0660234,-0.0660234,-0.0660234,-0.0660234,-0.0660234,-0.0660234,-0.0660234,-2.75058,-1.99634,-0.145988,-0.145988,-0.588654,-0.588654,-0.588654,-0.809847,-0.809847,-0.118664,-0.118664,-0.118664,-2.19021
