# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-912b20785f.json
# init = 2 (Default)
# random
#   seed = 1664267551
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020931-4-6a7d3c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020931-4-8d4789.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.272726
# Diagonal elements of inverse mass matrix:
# 1.92404, 1.81291, 1.79696, 1.87596, 1.92199
-27.9268,0.985745,0.272726,2,3,0,28.569,-0.402414,1.08609,-0.716275,-0.101291,-1.04369,-0.402414,1.08609,-0.716275,-0.101291,-1.04369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69202,-1.69202,-0.20352,-0.20352,-0.20352,-0.54848,-0.855,-0.855,-0.855,-0.553878,-0.553878,-0.553878,-0.423055,-0.423055,-0.152642,-0.152642,-0.152642,-0.152642,-0.152642,-0.152642,-1.95501,-1.95501,-1.95501,-0.266218,-0.266218,-0.266218,-0.112313,-0.112313,-0.112313,-0.112313,-0.112313,-0.112313,-0.112313,-2.2421,-1.04719,-0.432204,-0.432204,-0.542778,-0.542778,-0.542778,-0.870198,-0.870198,-0.329081,-0.329081,-0.329081,-1.27148
-27.771,0.944855,0.272726,3,7,0,29.5737,0.183722,0.47452,-0.877342,0.203256,-2.1382,0.183722,0.47452,-0.877342,0.203256,-2.1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.84908,-0.84908,-0.558282,-0.558282,-0.558282,-0.297202,-0.702962,-0.702962,-0.702962,-0.683428,-0.683428,-0.683428,-0.0935674,-0.0935674,-0.230125,-0.230125,-0.230125,-0.230125,-0.230125,-0.230125,-1.58199,-1.58199,-1.58199,-0.566685,-0.566685,-0.566685,-0.0707703,-0.0707703,-0.0707703,-0.0707703,-0.0707703,-0.0707703,-0.0707703,-2.68349,-1.37281,-0.292216,-0.292216,-0.249521,-0.249521,-0.249521,-1.51038,-1.51038,-0.0918381,-0.0918381,-0.0918381,-2.4333
-26.7655,0.99257,0.272726,3,15,0,28.9704,-0.533494,-0.179879,-1.47776,-1.30409,-2.04592,-0.533494,-0.179879,-1.47776,-1.30409,-2.04592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.885505,-0.885505,-0.531889,-0.531889,-0.531889,-0.328558,-0.380309,-0.380309,-0.380309,-1.15091,-1.15091,-1.15091,-0.199159,-0.199159,-0.241462,-0.241462,-0.241462,-0.241462,-0.241462,-0.241462,-1.53935,-1.53935,-1.53935,-0.281343,-0.281343,-0.281343,-0.143871,-0.143871,-0.143871,-0.143871,-0.143871,-0.143871,-0.143871,-2.00991,-0.783749,-0.610077,-0.610077,-0.448889,-0.448889,-0.448889,-1.01704,-1.01704,-0.389501,-0.389501,-0.389501,-1.13133
-27.9538,0.858866,0.272726,3,15,0,29.5414,-1.67037,-0.914877,-2.43642,-1.6596,-3.2869,-1.67037,-0.914877,-2.43642,-1.6596,-3.2869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1406,-1.1406,-0.385112,-0.385112,-0.385112,-0.381749,-0.698547,-0.698547,-0.698547,-0.687776,-0.687776,-0.687776,-0.181143,-0.181143,-0.197517,-0.197517,-0.197517,-0.197517,-0.197517,-0.197517,-1.71906,-1.71906,-1.71906,-0.388567,-0.388567,-0.388567,-0.0891933,-0.0891933,-0.0891933,-0.0891933,-0.0891933,-0.0891933,-0.0891933,-2.46121,-1.15517,-0.378344,-0.378344,-0.355722,-0.355722,-0.355722,-1.2062,-1.2062,-0.179367,-0.179367,-0.179367,-1.80667
-34.3343,0.514921,0.272726,2,3,0,34.8161,-2.69412,-1.49266,-1.59395,-1.10273,-3.59221,-2.69412,-1.49266,-1.59395,-1.10273,-3.59221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.46441,-1.46441,-0.262944,-0.262944,-0.262944,-1.38746,-1.77675,-1.77675,-1.77675,-0.185352,-0.185352,-0.185352,-0.341707,-0.341707,-0.643782,-0.643782,-0.643782,-0.643782,-0.643782,-0.643782,-0.745076,-0.745076,-0.745076,-0.906999,-0.906999,-0.906999,-0.115569,-0.115569,-0.115569,-0.115569,-0.115569,-0.115569,-0.115569,-2.21512,-0.968623,-0.477399,-0.477399,-0.127136,-0.127136,-0.127136,-2.12539,-2.12539,-0.0796916,-0.0796916,-0.0796916,-2.56917
-28.4802,1,0.272726,2,3,0,34.7167,-1.31431,-1.50117,-2.13241,-2.33299,-2.85665,-1.31431,-1.50117,-2.13241,-2.33299,-2.85665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.604076,-0.604076,-0.790934,-0.790934,-0.790934,-0.365523,-0.308271,-0.308271,-0.308271,-1.32695,-1.32695,-1.32695,-0.193822,-0.193822,-0.426527,-0.426527,-0.426527,-0.426527,-0.426527,-0.426527,-1.05777,-1.05777,-1.05777,-0.361342,-0.361342,-0.361342,-0.229383,-0.229383,-0.229383,-0.229383,-0.229383,-0.229383,-0.229383,-1.58486,-0.597878,-0.798458,-0.798458,-0.39521,-0.39521,-0.39521,-1.11944,-1.11944,-0.465212,-0.465212,-0.465212,-0.988866
