# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-91210e94fa3.json
# init = 2 (Default)
# random
#   seed = 1870557270
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020932-1-3583f3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020932-1-48be82.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.245997
# Diagonal elements of inverse mass matrix:
# 2.59882, 2.46994, 2.50422, 2.54738, 2.43425
-29.4785,0.933212,0.245997,2,7,0,33.5448,0.297622,2.30064,0.288632,0.259518,-0.905861,0.297622,2.30064,0.288632,0.259518,-0.905861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.12958,-2.12958,-0.126569,-0.126569,-0.126569,-0.688662,-0.674277,-0.674277,-0.674277,-0.712381,-0.712381,-0.712381,-0.262477,-0.262477,-0.125504,-0.125504,-0.125504,-0.125504,-0.125504,-0.125504,-2.13751,-2.13751,-2.13751,-0.122114,-0.122114,-0.122114,-0.0396996,-0.0396996,-0.0396996,-0.0396996,-0.0396996,-0.0396996,-0.0396996,-3.2462,-0.678696,-0.70781,-0.70781,-0.26456,-0.26456,-0.26456,-1.45905,-1.45905,-0.271403,-0.271403,-0.271403,-1.43678
-30.7841,0.825011,0.245997,2,7,0,34.6977,0.7111,0.868707,0.645853,0.12894,-2.2527,0.7111,0.868707,0.645853,0.12894,-2.2527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.775053,-0.775053,-0.617445,-0.617445,-0.617445,-0.661056,-0.443846,-0.443846,-0.443846,-1.02601,-1.02601,-1.02601,-0.050334,-0.050334,-0.587915,-0.587915,-0.587915,-0.587915,-0.587915,-0.587915,-0.81077,-0.81077,-0.81077,-0.390165,-0.390165,-0.390165,-0.0431505,-0.0431505,-0.0431505,-0.0431505,-0.0431505,-0.0431505,-0.0431505,-3.16456,-0.467725,-0.984638,-0.984638,-0.0536382,-0.0536382,-0.0536382,-2.95219,-2.95219,-0.088376,-0.088376,-0.088376,-2.47002
-29.6813,0.96132,0.245997,2,3,0,32.8005,-0.174532,0.958364,0.0755799,0.128776,-2.28867,-0.174532,0.958364,0.0755799,0.128776,-2.28867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41212,-1.41212,-0.279221,-0.279221,-0.279221,-0.826002,-0.856257,-0.856257,-0.856257,-0.552949,-0.552949,-0.552949,-0.113987,-0.113987,-0.346161,-0.346161,-0.346161,-0.346161,-0.346161,-0.346161,-1.22894,-1.22894,-1.22894,-0.362021,-0.362021,-0.362021,-0.0381523,-0.0381523,-0.0381523,-0.0381523,-0.0381523,-0.0381523,-0.0381523,-3.28519,-0.720099,-0.666903,-0.666903,-0.0898589,-0.0898589,-0.0898589,-2.45411,-2.45411,-0.0853967,-0.0853967,-0.0853967,-2.50284
-28.6625,0.815687,0.245997,3,15,0,33.9169,-0.741366,-1.29284,-1.66884,-1.5124,-2.36042,-0.741366,-1.29284,-1.66884,-1.5124,-2.36042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.454953,-0.454953,-1.00643,-1.00643,-1.00643,-0.333291,-0.38017,-0.38017,-0.38017,-1.15121,-1.15121,-1.15121,-0.180725,-0.180725,-0.522718,-0.522718,-0.522718,-0.522718,-0.522718,-0.522718,-0.898713,-0.898713,-0.898713,-0.589381,-0.589381,-0.589381,-0.295531,-0.295531,-0.295531,-0.295531,-0.295531,-0.295531,-0.295531,-1.36311,-0.774421,-0.617986,-0.617986,-0.405986,-0.405986,-0.405986,-1.09757,-1.09757,-0.356458,-0.356458,-0.356458,-1.20448
-28.722,0.795592,0.245997,2,3,0,32.8191,-1.90461,-0.733651,-1.45299,-1.54358,-2.10724,-1.90461,-0.733651,-1.45299,-1.54358,-2.10724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44104,-1.44104,-0.27008,-0.27008,-0.27008,-0.94424,-0.889868,-0.889868,-0.889868,-0.528837,-0.528837,-0.528837,-0.596955,-0.596955,-0.396811,-0.396811,-0.396811,-0.396811,-0.396811,-0.396811,-1.11615,-1.11615,-1.11615,-0.368033,-0.368033,-0.368033,-0.225697,-0.225697,-0.225697,-0.225697,-0.225697,-0.225697,-0.225697,-1.59929,-0.648877,-0.739469,-0.739469,-0.418598,-0.418598,-0.418598,-1.07285,-1.07285,-0.450515,-0.450515,-0.450515,-1.01418
-27.0507,0.892219,0.245997,4,23,0,30.7303,1.15548,0.833689,-0.424707,0.0695602,-0.884064,1.15548,0.833689,-0.424707,0.0695602,-0.884064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54514,-0.54514,-0.86693,-0.86693,-0.86693,-0.187257,-0.290871,-0.290871,-0.290871,-1.37679,-1.37679,-1.37679,-0.122296,-0.122296,-0.250065,-0.250065,-0.250065,-0.250065,-0.250065,-0.250065,-1.50846,-1.50846,-1.50846,-0.38236,-0.38236,-0.38236,-0.165064,-0.165064,-0.165064,-0.165064,-0.165064,-0.165064,-0.165064,-1.88282,-0.970513,-0.476245,-0.476245,-0.489616,-0.489616,-0.489616,-0.948973,-0.948973,-0.325947,-0.325947,-0.325947,-1.27957
