# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-9124e4e585d.json
# init = 2 (Default)
# random
#   seed = 525905071
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020932-1-440cc8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020932-1-2d157f.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.258059
# Diagonal elements of inverse mass matrix:
# 2.16146, 2.02811, 1.97824, 2.10349, 2.00697
-28.3345,0.969584,0.258059,3,7,0,29.8748,-0.774403,-0.946869,-1.38973,-0.73563,-2.53783,-0.774403,-0.946869,-1.38973,-0.73563,-2.53783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.610628,-0.610628,-0.783094,-0.783094,-0.783094,-0.432084,-0.712721,-0.712721,-0.712721,-0.673949,-0.673949,-0.673949,-0.158247,-0.158247,-0.496035,-0.496035,-0.496035,-0.496035,-0.496035,-0.496035,-0.938895,-0.938895,-0.938895,-0.804334,-0.804334,-0.804334,-0.185424,-0.185424,-0.185424,-0.185424,-0.185424,-0.185424,-0.185424,-1.77639,-1.07275,-0.418651,-0.418651,-0.275537,-0.275537,-0.275537,-1.42364,-1.42364,-0.152666,-0.152666,-0.152666,-1.95487
-27.3423,0.611433,0.258059,3,7,0,33.1765,-0.915059,0.308412,-1.24151,-0.779763,-1.74853,-0.915059,0.308412,-1.24151,-0.779763,-1.74853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48137,-1.48137,-0.257898,-0.257898,-0.257898,-0.543185,-0.763082,-0.763082,-0.763082,-0.627786,-0.627786,-0.627786,-0.360843,-0.360843,-0.19249,-0.19249,-0.19249,-0.19249,-0.19249,-0.19249,-1.74241,-1.74241,-1.74241,-0.290302,-0.290302,-0.290302,-0.120308,-0.120308,-0.120308,-0.120308,-0.120308,-0.120308,-0.120308,-2.17725,-0.950438,-0.488692,-0.488692,-0.471432,-0.471432,-0.471432,-0.978454,-0.978454,-0.321758,-0.321758,-0.321758,-1.29053
-29.0143,0.90277,0.258059,3,7,0,29.5721,0.598447,0.981877,-0.950218,0.732374,-1.93632,0.598447,0.981877,-0.950218,0.732374,-1.93632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.903128,-0.903128,-0.519698,-0.519698,-0.519698,-0.19271,-0.762351,-0.762351,-0.762351,-0.628424,-0.628424,-0.628424,-0.076294,-0.076294,-0.135269,-0.135269,-0.135269,-0.135269,-0.135269,-0.135269,-2.06736,-2.06736,-2.06736,-0.576157,-0.576157,-0.576157,-0.0526217,-0.0526217,-0.0526217,-0.0526217,-0.0526217,-0.0526217,-0.0526217,-2.97082,-1.85309,-0.170495,-0.170495,-0.317018,-0.317018,-0.317018,-1.30312,-1.30312,-0.067044,-0.067044,-0.067044,-2.73574
-30.0258,0.964441,0.258059,3,15,0,31.792,1.29971,1.57785,0.560519,-0.204843,0.495468,1.29971,1.57785,0.560519,-0.204843,0.495468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.841855,-0.841855,-0.563717,-0.563717,-0.563717,-0.390352,-0.200585,-0.200585,-0.200585,-1.70514,-1.70514,-1.70514,-0.369788,-0.369788,-0.308631,-0.308631,-0.308631,-0.308631,-0.308631,-0.308631,-1.32596,-1.32596,-1.32596,-0.155452,-0.155452,-0.155452,-0.291766,-0.291766,-0.291766,-0.291766,-0.291766,-0.291766,-0.291766,-1.37414,-0.381968,-1.14733,-1.14733,-0.661151,-0.661151,-0.661151,-0.726202,-0.726202,-1.10339,-1.10339,-1.10339,-0.403083
-29.8795,0.921505,0.258059,3,7,0,33.22,1.57523,1.2222,-0.348297,1.56752,-1.3789,1.57523,1.2222,-0.348297,1.56752,-1.3789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.532131,-0.532131,-0.88516,-0.88516,-0.88516,-0.136357,-0.689299,-0.689299,-0.689299,-0.69701,-0.69701,-0.69701,-0.0508112,-0.0508112,-0.188918,-0.188918,-0.188918,-0.188918,-0.188918,-0.188918,-1.75942,-1.75942,-1.75942,-0.880638,-0.880638,-0.880638,-0.0715689,-0.0715689,-0.0715689,-0.0715689,-0.0715689,-0.0715689,-0.0715689,-2.67267,-2.05316,-0.137343,-0.137343,-0.305124,-0.305124,-0.305124,-1.33572,-1.33572,-0.0511946,-0.0511946,-0.0511946,-2.99761
-29.5228,0.895397,0.258059,2,7,0,33.0674,-0.0265913,1.49031,0.316275,-0.217439,0.156707,-0.0265913,1.49031,0.316275,-0.217439,0.156707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.71525,-1.71525,-0.198351,-0.198351,-0.198351,-0.879204,-0.602269,-0.602269,-0.602269,-0.793117,-0.793117,-0.793117,-0.78899,-0.78899,-0.269352,-0.269352,-0.269352,-0.269352,-0.269352,-0.269352,-1.44339,-1.44339,-1.44339,-0.166593,-0.166593,-0.166593,-0.233906,-0.233906,-0.233906,-0.233906,-0.233906,-0.233906,-0.233906,-1.56751,-0.461481,-0.995196,-0.995196,-0.616542,-0.616542,-0.616542,-0.776111,-0.776111,-0.897617,-0.897617,-0.897617,-0.523471
-27.799,0.956858,0.258059,2,3,0,30.9381,1.27336,0.880121,0.412461,0.170342,-0.825065,1.27336,0.880121,0.412461,0.170342,-0.825065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.515734,-0.515734,-0.908972,-0.908972,-0.908972,-0.352614,-0.286583,-0.286583,-0.286583,-1.3896,-1.3896,-1.3896,-0.115692,-0.115692,-0.48641,-0.48641,-0.48641,-0.48641,-0.48641,-0.48641,-0.95407,-0.95407,-0.95407,-0.399952,-0.399952,-0.399952,-0.166987,-0.166987,-0.166987,-0.166987,-0.166987,-0.166987,-0.166987,-1.87217,-0.579397,-0.821517,-0.821517,-0.25472,-0.25472,-0.25472,-1.49225,-1.49225,-0.314499,-0.314499,-0.314499,-1.30991
-27.537,1,0.258059,2,3,0,28.1278,0.664646,1.4871,-0.471217,0.700049,-1.00383,0.664646,1.4871,-0.471217,0.700049,-1.00383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18665,-1.18665,-0.364192,-0.364192,-0.364192,-0.278498,-0.711005,-0.711005,-0.711005,-0.675602,-0.675602,-0.675602,-0.17272,-0.17272,-0.131988,-0.131988,-0.131988,-0.131988,-0.131988,-0.131988,-2.09031,-2.09031,-2.09031,-0.375132,-0.375132,-0.375132,-0.0795801,-0.0795801,-0.0795801,-0.0795801,-0.0795801,-0.0795801,-0.0795801,-2.57052,-1.44127,-0.270007,-0.270007,-0.461888,-0.461888,-0.461888,-0.994504,-0.994504,-0.167187,-0.167187,-0.167187,-1.87107
