# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-9124f6ea0b.json
# init = 2 (Default)
# random
#   seed = 1798035723
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020932-2-16657a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020932-2-56e14d.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.272294
# Diagonal elements of inverse mass matrix:
# 1.91049, 1.8447, 1.81671, 1.79067, 2.01179
-28.7106,0.84848,0.272294,3,7,0,32.8525,0.177894,0.728424,-0.0143209,-1.03611,-0.795024,0.177894,0.728424,-0.0143209,-1.03611,-0.795024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00583,-1.00583,-0.455298,-0.455298,-0.455298,-0.601651,-0.260059,-0.260059,-0.260059,-1.47406,-1.47406,-1.47406,-0.320618,-0.320618,-0.389204,-0.389204,-0.389204,-0.389204,-0.389204,-0.389204,-1.13195,-1.13195,-1.13195,-0.158086,-0.158086,-0.158086,-0.197176,-0.197176,-0.197176,-0.197176,-0.197176,-0.197176,-0.197176,-1.72063,-0.307449,-1.32924,-1.32924,-0.377123,-0.377123,-0.377123,-1.15783,-1.15783,-0.820937,-0.820937,-0.820937,-0.579853
-30.351,0.905708,0.272294,3,7,0,31.2161,-0.202363,0.340311,0.238338,-0.953521,-0.561812,-0.202363,0.340311,0.238338,-0.953521,-0.561812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00085,-1.00085,-0.458179,-0.458179,-0.458179,-0.937581,-0.3865,-0.3865,-0.3865,-1.13766,-1.13766,-1.13766,-0.529487,-0.529487,-0.64346,-0.64346,-0.64346,-0.64346,-0.64346,-0.64346,-0.745433,-0.745433,-0.745433,-0.242333,-0.242333,-0.242333,-0.340541,-0.340541,-0.340541,-0.340541,-0.340541,-0.340541,-0.340541,-1.24266,-0.265173,-1.45703,-1.45703,-0.371054,-0.371054,-0.371054,-1.1712,-1.1712,-0.90806,-0.90806,-0.90806,-0.516351
-30.1602,0.965349,0.272294,3,7,0,33.1724,1.15032,1.26642,-1.13454,-0.0215763,-2.33936,1.15032,1.26642,-1.13454,-0.0215763,-2.33936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.752881,-0.752881,-0.636782,-0.636782,-0.636782,-0.0969339,-0.269857,-0.269857,-0.269857,-1.44176,-1.44176,-1.44176,-0.0300544,-0.0300544,-0.0867558,-0.0867558,-0.0867558,-0.0867558,-0.0867558,-0.0867558,-2.48772,-2.48772,-2.48772,-0.243591,-0.243591,-0.243591,-0.0268038,-0.0268038,-0.0268038,-0.0268038,-0.0268038,-0.0268038,-0.0268038,-3.63258,-1.39708,-0.284113,-0.284113,-0.26217,-0.26217,-0.26217,-1.46698,-1.46698,-0.0939382,-0.0939382,-0.0939382,-2.41172
-29.1561,0.992829,0.272294,3,7,0,31.4243,0.0123428,0.0601746,-0.421047,0.484196,-0.655389,0.0123428,0.0601746,-0.421047,0.484196,-0.655389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.717349,-0.717349,-0.669517,-0.669517,-0.669517,-0.499749,-0.95665,-0.95665,-0.95665,-0.484797,-0.484797,-0.484797,-0.414009,-0.414009,-0.481208,-0.481208,-0.481208,-0.481208,-0.481208,-0.481208,-0.96243,-0.96243,-0.96243,-0.927466,-0.927466,-0.927466,-0.398048,-0.398048,-0.398048,-0.398048,-0.398048,-0.398048,-0.398048,-1.11361,-1.24488,-0.339641,-0.339641,-0.582825,-0.582825,-0.582825,-0.817167,-0.817167,-0.277595,-0.277595,-0.277595,-1.41718
-28.8228,0.992693,0.272294,3,15,0,31.4742,2.22023,1.4215,0.354019,1.60388,0.191982,2.22023,1.4215,0.354019,1.60388,0.191982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.371496,-0.371496,-1.17022,-1.17022,-1.17022,-0.143848,-0.431727,-0.431727,-0.431727,-1.04807,-1.04807,-1.04807,-0.123602,-0.123602,-0.295555,-0.295555,-0.295555,-0.295555,-0.295555,-0.295555,-1.36304,-1.36304,-1.36304,-0.788489,-0.788489,-0.788489,-0.256526,-0.256526,-0.256526,-0.256526,-0.256526,-0.256526,-0.256526,-1.48605,-1.50182,-0.251959,-0.251959,-0.615407,-0.615407,-0.615407,-0.777444,-0.777444,-0.218074,-0.218074,-0.218074,-1.62998
-28.0832,0.900021,0.272294,3,15,0,31.6833,0.808033,0.543319,-0.110956,0.948033,-0.817968,0.808033,0.543319,-0.110956,0.948033,-0.817968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.569524,-0.569524,-0.834238,-0.834238,-0.834238,-0.335702,-0.765595,-0.765595,-0.765595,-0.625595,-0.625595,-0.625595,-0.17958,-0.17958,-0.418591,-0.418591,-0.418591,-0.418591,-0.418591,-0.418591,-1.07287,-1.07287,-1.07287,-0.91584,-0.91584,-0.91584,-0.228195,-0.228195,-0.228195,-0.228195,-0.228195,-0.228195,-0.228195,-1.58948,-1.35672,-0.297736,-0.297736,-0.400865,-0.400865,-0.400865,-1.10788,-1.10788,-0.157871,-0.157871,-0.157871,-1.92387
