# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-912ae45518.json
# init = 2 (Default)
# random
#   seed = 12365209
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020932-2-5c3cac.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020932-2-1235c7.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.238887
# Diagonal elements of inverse mass matrix:
# 2.34413, 2.17513, 2.09386, 2.18176, 2.2093
-30.444,0.906725,0.238887,2,3,0,31.0748,0.103028,0.209443,-0.739871,0.39882,-0.116339,0.103028,0.209443,-0.739871,0.39882,-0.116339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.74777,-0.74777,-0.641354,-0.641354,-0.641354,-0.357997,-0.85194,-0.85194,-0.85194,-0.556148,-0.556148,-0.556148,-0.589467,-0.589467,-0.327148,-0.327148,-0.327148,-0.327148,-0.327148,-0.327148,-1.27646,-1.27646,-1.27646,-0.792312,-0.792312,-0.792312,-0.543465,-0.543465,-0.543465,-0.543465,-0.543465,-0.543465,-0.543465,-0.869246,-1.4165,-0.277812,-0.277812,-1.05274,-1.05274,-1.05274,-0.429213,-0.429213,-0.468381,-0.468381,-0.468381,-0.98354
-27.2842,1,0.238887,2,3,0,31.0087,0.866601,0.859172,-0.912409,0.324458,-1.05561,0.866601,0.859172,-0.912409,0.324458,-1.05561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.689439,-0.689439,-0.696869,-0.696869,-0.696869,-0.155982,-0.458374,-0.458374,-0.458374,-1.00052,-1.00052,-1.00052,-0.136524,-0.136524,-0.157058,-0.157058,-0.157058,-0.157058,-0.157058,-0.157058,-1.92864,-1.92864,-1.92864,-0.461112,-0.461112,-0.461112,-0.137475,-0.137475,-0.137475,-0.137475,-0.137475,-0.137475,-0.137475,-2.05226,-1.49174,-0.254869,-0.254869,-0.624106,-0.624106,-0.624106,-0.767311,-0.767311,-0.224391,-0.224391,-0.224391,-1.60446
-26.9433,0.936379,0.238887,4,23,0,29.8717,1.37448,1.7925,1.05828,0.861112,-0.110251,1.37448,1.7925,1.05828,0.861112,-0.110251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.923845,-0.923845,-0.505821,-0.505821,-0.505821,-0.547492,-0.469052,-0.469052,-0.469052,-0.982418,-0.982418,-0.982418,-0.204217,-0.204217,-0.391959,-0.391959,-0.391959,-0.391959,-0.391959,-0.391959,-1.12618,-1.12618,-1.12618,-0.332181,-0.332181,-0.332181,-0.139029,-0.139029,-0.139029,-0.139029,-0.139029,-0.139029,-0.139029,-2.04178,-0.599416,-0.796581,-0.796581,-0.270656,-0.270656,-0.270656,-1.43918,-1.43918,-0.321044,-0.321044,-0.321044,-1.29241
-34.0285,0.561246,0.238887,3,7,0,34.6248,-0.201895,1.51849,1.18273,1.72483,-0.509207,-0.201895,1.51849,1.18273,1.72483,-0.509207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.88505,-1.88505,-0.164664,-0.164664,-0.164664,-1.60811,-2.06268,-2.06268,-2.06268,-0.13595,-0.13595,-0.13595,-0.55125,-0.55125,-0.539294,-0.539294,-0.539294,-0.539294,-0.539294,-0.539294,-0.875052,-0.875052,-0.875052,-0.801629,-0.801629,-0.801629,-0.123666,-0.123666,-0.123666,-0.123666,-0.123666,-0.123666,-0.123666,-2.15137,-1.00049,-0.458391,-0.458391,-0.169035,-0.169035,-0.169035,-1.86098,-1.86098,-0.101739,-0.101739,-0.101739,-2.33578
-30.6209,0.964707,0.238887,3,7,0,38.3505,1.83346,2.19149,0.319512,1.15128,-1.78861,1.83346,2.19149,0.319512,1.15128,-1.78861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.888101,-0.888101,-0.53007,-0.53007,-0.53007,-0.198884,-0.409137,-0.409137,-0.409137,-1.09131,-1.09131,-1.09131,-0.0263766,-0.0263766,-0.143078,-0.143078,-0.143078,-0.143078,-0.143078,-0.143078,-2.01505,-2.01505,-2.01505,-0.302607,-0.302607,-0.302607,-0.0185115,-0.0185115,-0.0185115,-0.0185115,-0.0185115,-0.0185115,-0.0185115,-3.9986,-1.19313,-0.361358,-0.361358,-0.114637,-0.114637,-0.114637,-2.22276,-2.22276,-0.0515213,-0.0515213,-0.0515213,-2.99141
-31.8137,0.820276,0.238887,3,15,0,35.3119,1.08303,3.26736,0.607467,1.22524,-0.64519,1.08303,3.26736,0.607467,1.22524,-0.64519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29099,-2.29099,-0.106658,-0.106658,-0.106658,-0.483373,-0.766778,-0.766778,-0.766778,-0.624568,-0.624568,-0.624568,-0.163479,-0.163479,-0.0676174,-0.0676174,-0.0676174,-0.0676174,-0.0676174,-0.0676174,-2.72751,-2.72751,-2.72751,-0.121999,-0.121999,-0.121999,-0.0197923,-0.0197923,-0.0197923,-0.0197923,-0.0197923,-0.0197923,-0.0197923,-3.93234,-1.049,-0.431227,-0.431227,-0.251338,-0.251338,-0.251338,-1.504,-1.504,-0.143284,-0.143284,-0.143284,-2.01371
