# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-91242bb5541.json
# init = 2 (Default)
# random
#   seed = 1159774946
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020932-3-56114d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020932-3-1342ff.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.267777
# Diagonal elements of inverse mass matrix:
# 1.95334, 1.80678, 1.9751, 1.94787, 1.84606
-29.6733,0.942486,0.267777,3,7,0,31.8589,2.23853,2.39735,0.89942,2.73088,0.808374,2.23853,2.39735,0.89942,2.73088,0.808374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.775708,-0.775708,-0.616886,-0.616886,-0.616886,-0.23276,-0.969322,-0.969322,-0.969322,-0.476972,-0.476972,-0.476972,-0.214524,-0.214524,-0.201791,-0.201791,-0.201791,-0.201791,-0.201791,-0.201791,-1.69972,-1.69972,-1.69972,-0.873752,-0.873752,-0.873752,-0.185761,-0.185761,-0.185761,-0.185761,-0.185761,-0.185761,-0.185761,-1.77474,-1.98003,-0.148575,-0.148575,-0.64866,-0.64866,-0.64866,-0.739706,-0.739706,-0.136487,-0.136487,-0.136487,-2.05899
-28.2076,0.99246,0.267777,3,9,0,30.2499,1.14467,2.40996,1.02348,0.414773,-0.185752,1.14467,2.40996,1.02348,0.414773,-0.185752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.51384,-1.51384,-0.248543,-0.248543,-0.248543,-0.634387,-0.393366,-0.393366,-0.393366,-1.12326,-1.12326,-1.12326,-0.234572,-0.234572,-0.223105,-0.223105,-0.223105,-0.223105,-0.223105,-0.223105,-1.60959,-1.60959,-1.60959,-0.127503,-0.127503,-0.127503,-0.0719417,-0.0719417,-0.0719417,-0.0719417,-0.0719417,-0.0719417,-0.0719417,-2.66765,-0.434413,-1.04312,-1.04312,-0.261154,-0.261154,-0.261154,-1.47038,-1.47038,-0.437302,-0.437302,-0.437302,-1.03783
-27.5757,0.881393,0.267777,3,7,0,30.8072,0.968902,2.04663,0.39797,0.886747,0.351323,0.968902,2.04663,0.39797,0.886747,0.351323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37067,-1.37067,-0.292945,-0.292945,-0.292945,-0.447885,-0.652913,-0.652913,-0.652913,-0.735069,-0.735069,-0.735069,-0.431294,-0.431294,-0.175891,-0.175891,-0.175891,-0.175891,-0.175891,-0.175891,-1.82455,-1.82455,-1.82455,-0.272713,-0.272713,-0.272713,-0.168513,-0.168513,-0.168513,-0.168513,-0.168513,-0.168513,-0.168513,-1.86382,-0.967106,-0.478329,-0.478329,-0.670095,-0.670095,-0.670095,-0.716743,-0.716743,-0.46085,-0.46085,-0.46085,-0.996274
-28.1778,0.885309,0.267777,3,7,0,29.1387,0.984472,1.71273,-0.210063,1.1824,-0.969779,0.984472,1.71273,-0.210063,1.1824,-0.969779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12216,-1.12216,-0.393898,-0.393898,-0.393898,-0.26455,-0.797003,-0.797003,-0.797003,-0.59907,-0.59907,-0.59907,-0.132493,-0.132493,-0.13645,-0.13645,-0.13645,-0.13645,-0.13645,-0.13645,-2.05924,-2.05924,-2.05924,-0.462736,-0.462736,-0.462736,-0.0661541,-0.0661541,-0.0661541,-0.0661541,-0.0661541,-0.0661541,-0.0661541,-2.74866,-1.61438,-0.221912,-0.221912,-0.383764,-0.383764,-0.383764,-1.14348,-1.14348,-0.109957,-0.109957,-0.109957,-2.26214
-30.5651,0.892943,0.267777,3,7,0,31.9933,1.89676,2.36521,0.839945,0.64705,-1.52654,1.89676,2.36521,0.839945,0.64705,-1.52654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.954557,-0.954557,-0.486105,-0.486105,-0.486105,-0.298296,-0.251993,-0.251993,-0.251993,-1.5017,-1.5017,-1.5017,-0.0320845,-0.0320845,-0.196851,-0.196851,-0.196851,-0.196851,-0.196851,-0.196851,-1.72212,-1.72212,-1.72212,-0.165002,-0.165002,-0.165002,-0.0202041,-0.0202041,-0.0202041,-0.0202041,-0.0202041,-0.0202041,-0.0202041,-3.91195,-0.601344,-0.794239,-0.794239,-0.0896672,-0.0896672,-0.0896672,-2.45615,-2.45615,-0.10775,-0.10775,-0.10775,-2.28134
-26.7681,0.983019,0.267777,3,7,0,30.931,0.229053,0.601538,-0.70162,0.0137557,-0.796579,0.229053,0.601538,-0.70162,0.0137557,-0.796579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.896634,-0.896634,-0.524148,-0.524148,-0.524148,-0.332384,-0.591281,-0.591281,-0.591281,-0.806579,-0.806579,-0.806579,-0.306433,-0.306433,-0.240333,-0.240333,-0.240333,-0.240333,-0.240333,-0.240333,-1.54349,-1.54349,-1.54349,-0.441834,-0.441834,-0.441834,-0.22079,-0.22079,-0.22079,-0.22079,-0.22079,-0.22079,-0.22079,-1.61891,-1.11349,-0.39811,-0.39811,-0.646794,-0.646794,-0.646794,-0.741753,-0.741753,-0.367908,-0.367908,-0.367908,-1.17824
