# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/standata-91267bbc0e7.json
# init = 2 (Default)
# random
#   seed = 1233304212
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-202106020933-3-826700.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpQr8GEV/file91231cc11d/reference/.bpcs/bt-profile-202106020933-3-006069.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.20005
# Diagonal elements of inverse mass matrix:
# 2.76335, 2.66326, 2.82544, 2.7568, 2.67194
-28.7551,0.994399,0.20005,2,3,0,28.9999,0.53074,0.30463,-0.939849,0.569246,-2.08258,0.53074,0.30463,-0.939849,0.569246,-2.08258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.586469,-0.586469,-0.812579,-0.812579,-0.812579,-0.206843,-0.712586,-0.712586,-0.712586,-0.674079,-0.674079,-0.674079,-0.0707293,-0.0707293,-0.253161,-0.253161,-0.253161,-0.253161,-0.253161,-0.253161,-1.49764,-1.49764,-1.49764,-0.834183,-0.834183,-0.834183,-0.087906,-0.087906,-0.087906,-0.087906,-0.087906,-0.087906,-0.087906,-2.47512,-1.70886,-0.19976,-0.19976,-0.276833,-0.276833,-0.276833,-1.41957,-1.41957,-0.0681465,-0.0681465,-0.0681465,-2.71998
-26.9868,0.759994,0.20005,1,3,0,33.5858,0.504003,0.860558,-0.725115,-0.452809,-1.69492,0.504003,0.860558,-0.725115,-0.452809,-1.69492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.887232,-0.887232,-0.530678,-0.530678,-0.530678,-0.256617,-0.325061,-0.325061,-0.325061,-1.28187,-1.28187,-1.28187,-0.105191,-0.105191,-0.186322,-0.186322,-0.186322,-0.186322,-0.186322,-0.186322,-1.77199,-1.77199,-1.77199,-0.238161,-0.238161,-0.238161,-0.0747878,-0.0747878,-0.0747878,-0.0747878,-0.0747878,-0.0747878,-0.0747878,-2.63026,-0.838541,-0.566234,-0.566234,-0.321474,-0.321474,-0.321474,-1.29127,-1.29127,-0.253692,-0.253692,-0.253692,-1.4958
-29.5689,0.882729,0.20005,4,23,0,30.7639,2.62094,3.2684,0.780348,1.96008,0.153452,2.62094,3.2684,0.780348,1.96008,0.153452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06838,-1.06838,-0.420929,-0.420929,-0.420929,-0.147319,-0.416344,-0.416344,-0.416344,-1.0772,-1.0772,-1.0772,-0.0813932,-0.0813932,-0.0798012,-0.0798012,-0.0798012,-0.0798012,-0.0798012,-0.0798012,-2.56785,-2.56785,-2.56785,-0.239234,-0.239234,-0.239234,-0.0434242,-0.0434242,-0.0434242,-0.0434242,-0.0434242,-0.0434242,-0.0434242,-3.15837,-1.44775,-0.26801,-0.26801,-0.42804,-0.42804,-0.42804,-1.05494,-1.05494,-0.152039,-0.152039,-0.152039,-1.95867
-29.7628,0.974657,0.20005,3,7,0,31.3401,1.71859,2.31763,2.21053,1.65746,1.28446,1.71859,2.31763,2.21053,1.65746,1.28446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.03687,-1.03687,-0.437826,-0.437826,-0.437826,-0.969071,-0.663051,-0.663051,-0.663051,-0.724177,-0.724177,-0.724177,-0.499458,-0.499458,-0.641029,-0.641029,-0.641029,-0.641029,-0.641029,-0.641029,-0.748131,-0.748131,-0.748131,-0.416578,-0.416578,-0.416578,-0.304447,-0.304447,-0.304447,-0.304447,-0.304447,-0.304447,-0.304447,-1.33762,-0.45437,-1.00744,-1.00744,-0.333687,-0.333687,-0.333687,-1.25976,-1.25976,-0.523937,-0.523937,-0.523937,-0.896941
-28.6895,1,0.20005,3,7,0,31.2297,2.37469,2.83856,0.50048,1.6554,0.156668,2.37469,2.83856,0.50048,1.6554,0.156668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.951746,-0.951746,-0.487869,-0.487869,-0.487869,-0.14278,-0.396827,-0.396827,-0.396827,-1.11612,-1.11612,-1.11612,-0.1033,-0.1033,-0.0921345,-0.0921345,-0.0921345,-0.0921345,-0.0921345,-0.0921345,-2.43022,-2.43022,-2.43022,-0.267204,-0.267204,-0.267204,-0.0661933,-0.0661933,-0.0661933,-0.0661933,-0.0661933,-0.0661933,-0.0661933,-2.74809,-1.42882,-0.2739,-0.2739,-0.535945,-0.535945,-0.535945,-0.879757,-0.879757,-0.201645,-0.201645,-0.201645,-1.70037
-27.4563,0.957741,0.20005,4,23,0,31.5728,-0.48291,-0.158779,-1.73925,-1.2441,-2.81079,-0.48291,-0.158779,-1.73925,-1.2441,-2.81079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.868288,-0.868288,-0.544158,-0.544158,-0.544158,-0.250521,-0.383293,-0.383293,-0.383293,-1.14449,-1.14449,-1.14449,-0.0930366,-0.0930366,-0.187209,-0.187209,-0.187209,-0.187209,-0.187209,-0.187209,-1.76768,-1.76768,-1.76768,-0.29102,-0.29102,-0.29102,-0.0681344,-0.0681344,-0.0681344,-0.0681344,-0.0681344,-0.0681344,-0.0681344,-2.72015,-0.971056,-0.475914,-0.475914,-0.294518,-0.294518,-0.294518,-1.36606,-1.36606,-0.189575,-0.189575,-0.189575,-1.75626
