# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/standata-d8269c7d4a9.json
# init = 2 (Default)
# random
#   seed = 188232434
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-202106021150-1-627af5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-profile-202106021150-1-7287c0.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.246764
# Diagonal elements of inverse mass matrix:
# 2.08209, 2.02878, 2.05629, 2.05036, 2.1234
-29.6451,1,0.246764,3,7,0,31.3582,3.22437,2.44851,1.86206,2.56491,0.700113,3.22437,2.44851,1.86206,2.56491,0.700113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.378649,-0.378649,-1.1545,-1.1545,-1.1545,-0.227988,-0.416823,-0.416823,-0.416823,-1.07628,-1.07628,-1.07628,-0.0770702,-0.0770702,-0.44231,-0.44231,-0.44231,-0.44231,-0.44231,-0.44231,-1.02876,-1.02876,-1.02876,-0.753041,-0.753041,-0.753041,-0.160461,-0.160461,-0.160461,-0.160461,-0.160461,-0.160461,-0.160461,-1.90886,-1.10509,-0.402241,-0.402241,-0.27222,-0.27222,-0.27222,-1.43417,-1.43417,-0.144037,-0.144037,-0.144037,-2.00884
-34.2014,0.678609,0.246764,3,7,0,37.1637,2.07532,3.11062,1.11478,3.57361,0.402115,2.07532,3.11062,1.11478,3.57361,0.402115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33919,-1.33919,-0.303891,-0.303891,-0.303891,-0.324029,-1.70002,-1.70002,-1.70002,-0.201724,-0.201724,-0.201724,-0.171972,-0.171972,-0.127425,-0.127425,-0.127425,-0.127425,-0.127425,-0.127425,-2.12326,-2.12326,-2.12326,-0.951207,-0.951207,-0.951207,-0.0645104,-0.0645104,-0.0645104,-0.0645104,-0.0645104,-0.0645104,-0.0645104,-2.77301,-2.54091,-0.0820726,-0.0820726,-0.399002,-0.399002,-0.399002,-1.11167,-1.11167,-0.041085,-0.041085,-0.041085,-3.21258
-35.2277,0.990713,0.246764,3,7,0,36.7273,2.30687,3.2668,1.34291,3.94096,0.599059,2.30687,3.2668,1.34291,3.94096,0.599059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28413,-1.28413,-0.324196,-0.324196,-0.324196,-0.323084,-1.81235,-1.81235,-1.81235,-0.178253,-0.178253,-0.178253,-0.166584,-0.166584,-0.136311,-0.136311,-0.136311,-0.136311,-0.136311,-0.136311,-2.0602,-2.0602,-2.0602,-1.086,-1.086,-1.086,-0.0671061,-0.0671061,-0.0671061,-0.0671061,-0.0671061,-0.0671061,-0.0671061,-2.73485,-2.66983,-0.0717793,-0.0717793,-0.388848,-0.388848,-0.388848,-1.1327,-1.1327,-0.0347583,-0.0347583,-0.0347583,-3.37666
-35.4194,1,0.246764,3,7,0,39.2844,4.64219,3.75954,2.63578,1.69201,0.815118,4.64219,3.75954,2.63578,1.69201,0.815118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.346199,-0.346199,-1.22885,-1.22885,-1.22885,-0.126166,-0.0510068,-0.0510068,-0.0510068,-3.00119,-3.00119,-3.00119,-0.0215396,-0.0215396,-0.281454,-0.281454,-0.281454,-0.281454,-0.281454,-0.281454,-1.40521,-1.40521,-1.40521,-0.119114,-0.119114,-0.119114,-0.0512942,-0.0512942,-0.0512942,-0.0512942,-0.0512942,-0.0512942,-0.0512942,-2.99571,-0.328698,-1.27247,-1.27247,-0.150073,-0.150073,-0.150073,-1.97073,-1.97073,-0.347889,-0.347889,-0.347889,-1.22478
-38.8621,0.706024,0.246764,3,7,0,44.2724,2.62874,5.52905,2.24745,1.89928,0.201993,2.62874,5.52905,2.24745,1.89928,0.201993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.95385,-2.95385,-0.0535471,-0.0535471,-0.0535471,-0.520564,-0.393506,-0.393506,-0.393506,-1.12297,-1.12297,-1.12297,-0.0846383,-0.0846383,-0.0368798,-0.0368798,-0.0368798,-0.0368798,-0.0368798,-0.0368798,-3.31847,-3.31847,-3.31847,-0.0261768,-0.0261768,-0.0261768,-0.00484661,-0.00484661,-0.00484661,-0.00484661,-0.00484661,-0.00484661,-0.00484661,-5.3319,-0.53414,-0.882308,-0.882308,-0.121617,-0.121617,-0.121617,-2.16707,-2.16707,-0.168205,-0.168205,-0.168205,-1.86549
-30.749,0.994787,0.246764,3,15,0,41.0695,3.71765,4.19223,3.36907,2.77582,2.74861,3.71765,4.19223,3.36907,2.77582,2.74861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.958331,-0.958331,-0.48375,-0.48375,-0.48375,-0.533971,-0.329242,-0.329242,-0.329242,-1.27107,-1.27107,-1.27107,-0.321684,-0.321684,-0.363978,-0.363978,-0.363978,-0.363978,-0.363978,-0.363978,-1.18714,-1.18714,-1.18714,-0.217193,-0.217193,-0.217193,-0.211939,-0.211939,-0.211939,-0.211939,-0.211939,-0.211939,-0.211939,-1.65556,-0.439885,-1.03314,-1.03314,-0.430286,-0.430286,-0.430286,-1.05075,-1.05075,-0.679635,-0.679635,-0.679635,-0.706844
