# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/standata-d825bca7269.json
# init = 2 (Default)
# random
#   seed = 1064546793
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-202106021150-1-6f7a0e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-profile-202106021150-1-8fabb7.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.259594
# Diagonal elements of inverse mass matrix:
# 2.22558, 2.21631, 2.16015, 2.06931, 2.0821
-28.3291,0.887251,0.259594,3,7,0,29.4559,0.356041,0.626932,-1.14488,0.485245,-1.88653,0.356041,0.626932,-1.14488,0.485245,-1.88653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.837738,-0.837738,-0.566846,-0.566846,-0.566846,-0.201245,-0.759835,-0.759835,-0.759835,-0.63063,-0.63063,-0.63063,-0.100918,-0.100918,-0.157025,-0.157025,-0.157025,-0.157025,-0.157025,-0.157025,-1.92884,-1.92884,-1.92884,-0.624811,-0.624811,-0.624811,-0.0778752,-0.0778752,-0.0778752,-0.0778752,-0.0778752,-0.0778752,-0.0778752,-2.59133,-1.80903,-0.178903,-0.178903,-0.389559,-0.389559,-0.389559,-1.1312,-1.1312,-0.0892147,-0.0892147,-0.0892147,-2.46099
-28.211,0.992996,0.259594,4,23,0,29.9861,-1.62991,-0.448393,-1.67667,-2.09379,-2.33525,-1.62991,-0.448393,-1.67667,-2.09379,-2.33525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44911,-1.44911,-0.267592,-0.267592,-0.267592,-0.670039,-0.487869,-0.487869,-0.487869,-0.951746,-0.951746,-0.951746,-0.401417,-0.401417,-0.256807,-0.256807,-0.256807,-0.256807,-0.256807,-0.256807,-1.48509,-1.48509,-1.48509,-0.176418,-0.176418,-0.176418,-0.141107,-0.141107,-0.141107,-0.141107,-0.141107,-0.141107,-0.141107,-2.02796,-0.506183,-0.923296,-0.923296,-0.417122,-0.417122,-0.417122,-1.0757,-1.0757,-0.579686,-0.579686,-0.579686,-0.82115
-29.6002,0.907213,0.259594,3,7,0,30.6206,-2.33839,-0.496816,-1.90593,-2.07871,-2.98204,-2.33839,-0.496816,-1.90593,-2.07871,-2.98204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98876,-1.98876,-0.147184,-0.147184,-0.147184,-0.93258,-0.831395,-0.831395,-0.831395,-0.571711,-0.571711,-0.571711,-0.422241,-0.422241,-0.218622,-0.218622,-0.218622,-0.218622,-0.218622,-0.218622,-1.62773,-1.62773,-1.62773,-0.186965,-0.186965,-0.186965,-0.0800186,-0.0800186,-0.0800186,-0.0800186,-0.0800186,-0.0800186,-0.0800186,-2.56524,-0.610482,-0.783267,-0.783267,-0.293355,-0.293355,-0.293355,-1.36947,-1.36947,-0.340194,-0.340194,-0.340194,-1.24352
-29.9119,0.823188,0.259594,3,7,0,33.5918,-0.492027,-0.766948,-2.83644,-0.778843,-2.60095,-0.492027,-0.766948,-2.83644,-0.778843,-2.60095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.565105,-0.565105,-0.840026,-0.840026,-0.840026,-0.0915792,-0.559987,-0.559987,-0.559987,-0.846803,-0.846803,-0.846803,-0.11455,-0.11455,-0.118893,-0.118893,-0.118893,-0.118893,-0.118893,-0.118893,-2.18839,-2.18839,-2.18839,-0.687217,-0.687217,-0.687217,-0.148225,-0.148225,-0.148225,-0.148225,-0.148225,-0.148225,-0.148225,-1.98222,-2.17783,-0.120234,-0.120234,-0.817811,-0.817811,-0.817811,-0.582316,-0.582316,-0.149872,-0.149872,-0.149872,-1.97197
-27.4195,0.983833,0.259594,2,7,0,30.4723,-1.02264,-0.580087,-1.99579,-1.09456,-2.04682,-1.02264,-0.580087,-1.99579,-1.09456,-2.04682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.93871,-0.93871,-0.496154,-0.496154,-0.496154,-0.320556,-0.657837,-0.657837,-0.657837,-0.72975,-0.72975,-0.72975,-0.306817,-0.306817,-0.217331,-0.217331,-0.217331,-0.217331,-0.217331,-0.217331,-1.63303,-1.63303,-1.63303,-0.468639,-0.468639,-0.468639,-0.207565,-0.207565,-0.207565,-0.207565,-0.207565,-0.207565,-0.207565,-1.6743,-1.24203,-0.340799,-0.340799,-0.667956,-0.667956,-0.667956,-0.71899,-0.71899,-0.326326,-0.326326,-0.326326,-1.27859
-29.1054,0.868044,0.259594,3,11,0,31.3066,-1.36705,-1.49441,-1.73026,-2.1598,-3.28121,-1.36705,-1.49441,-1.73026,-2.1598,-3.28121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.63149,-0.63149,-0.758857,-0.758857,-0.758857,-0.527942,-0.373354,-0.373354,-0.373354,-1.1661,-1.1661,-1.1661,-0.137555,-0.137555,-0.582161,-0.582161,-0.582161,-0.582161,-0.582161,-0.582161,-0.818007,-0.818007,-0.818007,-0.414806,-0.414806,-0.414806,-0.154861,-0.154861,-0.154861,-0.154861,-0.154861,-0.154861,-0.154861,-1.94166,-0.501266,-0.930803,-0.930803,-0.19231,-0.19231,-0.19231,-1.74326,-1.74326,-0.28203,-0.28203,-0.28203,-1.40344
