# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/standata-d8261282531.json
# init = 2 (Default)
# random
#   seed = 592806576
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-202106021150-1-7157c1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-profile-202106021150-1-3d5181.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.284841
# Diagonal elements of inverse mass matrix:
# 1.79371, 1.815, 1.88133, 1.86469, 1.7929
-28.3281,0.90007,0.284841,4,23,0,32.3923,1.50965,2.06932,1.5161,0.690835,-0.206068,1.50965,2.06932,1.5161,0.690835,-0.206068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01163,-1.01163,-0.451967,-0.451967,-0.451967,-0.696378,-0.365306,-0.365306,-0.365306,-1.18412,-1.18412,-1.18412,-0.165374,-0.165374,-0.454317,-0.454317,-0.454317,-0.454317,-0.454317,-0.454317,-1.00753,-1.00753,-1.00753,-0.224711,-0.224711,-0.224711,-0.0978139,-0.0978139,-0.0978139,-0.0978139,-0.0978139,-0.0978139,-0.0978139,-2.3732,-0.363336,-1.1886,-1.1886,-0.164394,-0.164394,-0.164394,-1.88656,-1.88656,-0.34205,-0.34205,-0.34205,-1.23895
-30.7743,0.581691,0.284841,4,23,0,34.734,-1.17895,-0.961089,-2.37789,-2.64504,-2.02133,-1.17895,-0.961089,-2.37789,-2.64504,-2.02133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.807996,-0.807996,-0.59014,-0.59014,-0.59014,-0.263526,-0.207686,-0.207686,-0.207686,-1.67378,-1.67378,-1.67378,-0.358153,-0.358153,-0.217116,-0.217116,-0.217116,-0.217116,-0.217116,-0.217116,-1.63392,-1.63392,-1.63392,-0.170283,-0.170283,-0.170283,-0.297415,-0.297415,-0.297415,-0.297415,-0.297415,-0.297415,-0.297415,-1.35765,-0.56847,-0.835613,-0.835613,-0.88724,-0.88724,-0.88724,-0.530673,-0.530673,-1.05286,-1.05286,-1.05286,-0.42915
-29.3906,0.932771,0.284841,3,11,0,34.8128,-0.778066,0.15505,-1.31617,0.104882,-2.35516,-0.778066,0.15505,-1.31617,0.104882,-2.35516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26481,-1.26481,-0.331694,-0.331694,-0.331694,-0.459861,-1.22906,-1.22906,-1.22906,-0.346113,-0.346113,-0.346113,-0.187785,-0.187785,-0.206725,-0.206725,-0.206725,-0.206725,-0.206725,-0.206725,-1.67795,-1.67795,-1.67795,-0.668377,-0.668377,-0.668377,-0.0781188,-0.0781188,-0.0781188,-0.0781188,-0.0781188,-0.0781188,-0.0781188,-2.58833,-1.63734,-0.216288,-0.216288,-0.302925,-0.302925,-0.302925,-1.34191,-1.34191,-0.0819775,-0.0819775,-0.0819775,-2.54202
-28.3091,0.991388,0.284841,2,7,0,30.4204,0.49156,0.190731,-1.23797,-0.547312,-2.59507,0.49156,0.190731,-1.23797,-0.547312,-2.59507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.554003,-0.554003,-0.854831,-0.854831,-0.854831,-0.163282,-0.302955,-0.302955,-0.302955,-1.34183,-1.34183,-1.34183,-0.0446441,-0.0446441,-0.214805,-0.214805,-0.214805,-0.214805,-0.214805,-0.214805,-1.6435,-1.6435,-1.6435,-0.390723,-0.390723,-0.390723,-0.0598523,-0.0598523,-0.0598523,-0.0598523,-0.0598523,-0.0598523,-0.0598523,-2.84565,-1.09695,-0.406297,-0.406297,-0.229051,-0.229051,-0.229051,-1.58615,-1.58615,-0.121354,-0.121354,-0.121354,-2.16911
-28.0918,0.986448,0.284841,3,15,0,29.7541,0.429415,0.996506,0.52099,0.356704,0.0531024,0.429415,0.996506,0.52099,0.356704,0.0531024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01636,-1.01636,-0.449273,-0.449273,-0.449273,-0.739983,-0.657453,-0.657453,-0.657453,-0.730163,-0.730163,-0.730163,-0.522589,-0.522589,-0.483391,-0.483391,-0.483391,-0.483391,-0.483391,-0.483391,-0.958907,-0.958907,-0.958907,-0.423565,-0.423565,-0.423565,-0.328801,-0.328801,-0.328801,-0.328801,-0.328801,-0.328801,-0.328801,-1.2722,-0.614374,-0.77866,-0.77866,-0.486322,-0.486322,-0.486322,-0.95421,-0.95421,-0.552824,-0.552824,-0.552824,-0.856426
-29.764,0.647075,0.284841,3,7,0,32.2184,2.23988,1.52876,-0.420974,0.319119,-0.808435,2.23988,1.52876,-0.420974,0.319119,-0.808435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.399511,-0.399511,-1.11063,-1.11063,-1.11063,-0.0675544,-0.13671,-0.13671,-0.13671,-2.05747,-2.05747,-2.05747,-0.0463479,-0.0463479,-0.133054,-0.133054,-0.133054,-0.133054,-0.133054,-0.133054,-2.08279,-2.08279,-2.08279,-0.261058,-0.261058,-0.261058,-0.0922124,-0.0922124,-0.0922124,-0.0922124,-0.0922124,-0.0922124,-0.0922124,-2.42941,-1.13015,-0.39006,-0.39006,-0.518066,-0.518066,-0.518066,-0.905527,-0.905527,-0.280525,-0.280525,-0.280525,-1.40808
