# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/standata-d8229e32a77.json
# init = 2 (Default)
# random
#   seed = 155239125
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-202106021150-3-562bd3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-profile-202106021150-3-76d5e1.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.25036
# Diagonal elements of inverse mass matrix:
# 1.67232, 1.63046, 1.62454, 1.69153, 1.6271
-32.5667,0.975274,0.25036,3,7,0,37.4241,-0.116091,0.824276,-0.574812,-0.000402572,-3.55886,-0.116091,0.824276,-0.574812,-0.000402572,-3.55886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27002,-1.27002,-0.329652,-0.329652,-0.329652,-0.489862,-0.752663,-0.752663,-0.752663,-0.636975,-0.636975,-0.636975,-0.0314756,-0.0314756,-0.220598,-0.220598,-0.220598,-0.220598,-0.220598,-0.220598,-1.61969,-1.61969,-1.61969,-0.363515,-0.363515,-0.363515,-0.0124089,-0.0124089,-0.0124089,-0.0124089,-0.0124089,-0.0124089,-0.0124089,-4.39554,-1.02104,-0.446631,-0.446631,-0.0493499,-0.0493499,-0.0493499,-3.03339,-3.03339,-0.0280848,-0.0280848,-0.0280848,-3.58654
-30.9083,1,0.25036,3,7,0,33.2123,0.0288879,0.652884,-0.704075,0.184384,-3.14599,0.0288879,0.652884,-0.704075,0.184384,-3.14599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05305,-1.05305,-0.429051,-0.429051,-0.429051,-0.392369,-0.773914,-0.773914,-0.773914,-0.618419,-0.618419,-0.618419,-0.0409491,-0.0409491,-0.22908,-0.22908,-0.22908,-0.22908,-0.22908,-0.22908,-1.58604,-1.58604,-1.58604,-0.486086,-0.486086,-0.486086,-0.0221488,-0.0221488,-0.0221488,-0.0221488,-0.0221488,-0.0221488,-0.0221488,-3.82103,-1.23296,-0.344504,-0.344504,-0.083416,-0.083416,-0.083416,-2.52533,-2.52533,-0.0351544,-0.0351544,-0.0351544,-3.36553
-28.9874,0.884855,0.25036,3,7,0,34.7486,-1.09615,0.364521,-1.49255,-0.843177,-1.2385,-1.09615,0.364521,-1.49255,-0.843177,-1.2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.66937,-1.66937,-0.208704,-0.208704,-0.208704,-0.514461,-0.827611,-0.827611,-0.827611,-0.57464,-0.57464,-0.57464,-0.624503,-0.624503,-0.145077,-0.145077,-0.145077,-0.145077,-0.145077,-0.145077,-2.00215,-2.00215,-2.00215,-0.261506,-0.261506,-0.261506,-0.183394,-0.183394,-0.183394,-0.183394,-0.183394,-0.183394,-0.183394,-1.78641,-1.06964,-0.42027,-0.42027,-0.82822,-0.82822,-0.82822,-0.574167,-0.574167,-0.514896,-0.514896,-0.514896,-0.910216
-27.3426,0.951259,0.25036,3,7,0,30.8546,-0.171844,0.440944,-0.969503,-1.24021,-1.53533,-0.171844,0.440944,-0.969503,-1.24021,-1.53533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04576,-1.04576,-0.432975,-0.432975,-0.432975,-0.371827,-0.295329,-0.295329,-0.295329,-1.3637,-1.3637,-1.3637,-0.227747,-0.227747,-0.21836,-0.21836,-0.21836,-0.21836,-0.21836,-0.21836,-1.62881,-1.62881,-1.62881,-0.17072,-0.17072,-0.17072,-0.129786,-0.129786,-0.129786,-0.129786,-0.129786,-0.129786,-0.129786,-2.10606,-0.566925,-0.837634,-0.837634,-0.449731,-0.449731,-0.449731,-1.01556,-1.01556,-0.556435,-0.556435,-0.556435,-0.851554
-29.6681,0.77599,0.25036,3,7,0,32.1033,-0.656065,-0.104638,-2.30205,-0.884076,-3.39885,-0.656065,-0.104638,-2.30205,-0.884076,-3.39885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0064,-1.0064,-0.454971,-0.454971,-0.454971,-0.176322,-0.585626,-0.585626,-0.585626,-0.813637,-0.813637,-0.813637,-0.0624026,-0.0624026,-0.105341,-0.105341,-0.105341,-0.105341,-0.105341,-0.105341,-2.30276,-2.30276,-2.30276,-0.377521,-0.377521,-0.377521,-0.0364258,-0.0364258,-0.0364258,-0.0364258,-0.0364258,-0.0364258,-0.0364258,-3.33064,-1.63486,-0.216887,-0.216887,-0.288137,-0.288137,-0.288137,-1.38493,-1.38493,-0.0777767,-0.0777767,-0.0777767,-2.59255
-28.732,0.978371,0.25036,4,23,0,32.9523,0.730607,2.44256,1.10162,0.809099,-0.334061,0.730607,2.44256,1.10162,0.809099,-0.334061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8779,-1.8779,-0.165949,-0.165949,-0.165949,-0.895762,-0.733163,-0.733163,-0.733163,-0.654671,-0.654671,-0.654671,-0.296277,-0.296277,-0.23238,-0.23238,-0.23238,-0.23238,-0.23238,-0.23238,-1.57332,-1.57332,-1.57332,-0.178357,-0.178357,-0.178357,-0.0603877,-0.0603877,-0.0603877,-0.0603877,-0.0603877,-0.0603877,-0.0603877,-2.83701,-0.557545,-0.850066,-0.850066,-0.213459,-0.213459,-0.213459,-1.64914,-1.64914,-0.27673,-0.27673,-0.27673,-1.41989
