# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/standata-d8235655737.json
# init = 2 (Default)
# random
#   seed = 384516122
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-202106021151-1-7496d6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-profile-202106021151-1-266a4b.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.249971
# Diagonal elements of inverse mass matrix:
# 2.18679, 2.16339, 2.0594, 2.10319, 2.13646
-27.7456,0.811029,0.249971,3,7,0,30.0162,1.10643,1.24286,-0.809826,0.442131,-0.669691,1.10643,1.24286,-0.809826,0.442131,-0.669691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.763684,-0.763684,-0.62726,-0.62726,-0.62726,-0.137286,-0.415173,-0.415173,-0.415173,-1.07947,-1.07947,-1.07947,-0.156399,-0.156399,-0.120792,-0.120792,-0.120792,-0.120792,-0.120792,-0.120792,-2.17347,-2.17347,-2.17347,-0.370876,-0.370876,-0.370876,-0.137763,-0.137763,-0.137763,-0.137763,-0.137763,-0.137763,-0.137763,-2.05031,-1.50345,-0.251494,-0.251494,-0.765667,-0.765667,-0.765667,-0.625533,-0.625533,-0.284396,-0.284396,-0.284396,-1.39622
-27.5535,0.967249,0.249971,3,7,0,29.1277,0.960555,2.18394,0.587638,0.397522,-0.130895,0.960555,2.18394,0.587638,0.397522,-0.130895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4813,-1.4813,-0.257917,-0.257917,-0.257917,-0.523972,-0.450744,-0.450744,-0.450744,-1.01378,-1.01378,-1.01378,-0.289478,-0.289478,-0.184523,-0.184523,-0.184523,-0.184523,-0.184523,-0.184523,-1.78083,-1.78083,-1.78083,-0.154915,-0.154915,-0.154915,-0.0942025,-0.0942025,-0.0942025,-0.0942025,-0.0942025,-0.0942025,-0.0942025,-2.40904,-0.6026,-0.792717,-0.792717,-0.397075,-0.397075,-0.397075,-1.11561,-1.11561,-0.463443,-0.463443,-0.463443,-0.99186
-26.8126,0.993251,0.249971,3,11,0,28.1557,1.08214,1.22188,-0.308648,0.437683,-1.1409,1.08214,1.22188,-0.308648,0.437683,-1.1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.765455,-0.765455,-0.625717,-0.625717,-0.625717,-0.222246,-0.42196,-0.42196,-0.42196,-1.06642,-1.06642,-1.06642,-0.102809,-0.102809,-0.195914,-0.195914,-0.195914,-0.195914,-0.195914,-0.195914,-1.72644,-1.72644,-1.72644,-0.376027,-0.376027,-0.376027,-0.0899853,-0.0899853,-0.0899853,-0.0899853,-0.0899853,-0.0899853,-0.0899853,-2.45276,-1.13438,-0.38805,-0.38805,-0.361212,-0.361212,-0.361212,-1.19346,-1.19346,-0.187531,-0.187531,-0.187531,-1.76611
-27.597,0.964904,0.249971,3,11,0,28.3771,1.09458,2.05746,1.21191,1.42625,0.299196,1.09458,2.05746,1.21191,1.42625,0.299196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28626,-1.28626,-0.32338,-0.32338,-0.32338,-0.753536,-0.872673,-0.872673,-0.872673,-0.540998,-0.540998,-0.540998,-0.372535,-0.372535,-0.357201,-0.357201,-0.357201,-0.357201,-0.357201,-0.357201,-1.20275,-1.20275,-1.20275,-0.426541,-0.426541,-0.426541,-0.159005,-0.159005,-0.159005,-0.159005,-0.159005,-0.159005,-0.159005,-1.91727,-0.806048,-0.59171,-0.59171,-0.337494,-0.337494,-0.337494,-1.25021,-1.25021,-0.280646,-0.280646,-0.280646,-1.4077
-27.324,0.956597,0.249971,4,23,0,28.761,0.414489,0.835259,-1.02036,-0.217801,-1.90728,0.414489,0.835259,-1.02036,-0.217801,-1.90728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.925501,-0.925501,-0.504732,-0.504732,-0.504732,-0.213618,-0.426165,-0.426165,-0.426165,-1.05846,-1.05846,-1.05846,-0.0935817,-0.0935817,-0.145273,-0.145273,-0.145273,-0.145273,-0.145273,-0.145273,-2.0009,-2.0009,-2.0009,-0.299266,-0.299266,-0.299266,-0.0624178,-0.0624178,-0.0624178,-0.0624178,-0.0624178,-0.0624178,-0.0624178,-2.80495,-1.17287,-0.370307,-0.370307,-0.344955,-0.344955,-0.344955,-1.23187,-1.23187,-0.169419,-0.169419,-0.169419,-1.85889
-26.9305,0.920418,0.249971,3,7,0,28.7767,-0.234657,0.765301,-0.49876,-0.268111,-0.8807,-0.234657,0.765301,-0.49876,-0.268111,-0.8807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.31323,-1.31323,-0.313273,-0.313273,-0.313273,-0.569789,-0.67656,-0.67656,-0.67656,-0.710014,-0.710014,-0.710014,-0.421414,-0.421414,-0.248815,-0.248815,-0.248815,-0.248815,-0.248815,-0.248815,-1.51288,-1.51288,-1.51288,-0.304385,-0.304385,-0.304385,-0.17632,-0.17632,-0.17632,-0.17632,-0.17632,-0.17632,-0.17632,-1.82232,-0.815107,-0.584458,-0.584458,-0.520302,-0.520302,-0.520302,-0.902242,-0.902242,-0.433045,-0.433045,-0.433045,-1.04563
