# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/standata-d82a249e4f.json
# init = 2 (Default)
# random
#   seed = 1233304212
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-202106021151-1-826b70.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-profile-202106021151-1-0064d9.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.232699
# Diagonal elements of inverse mass matrix:
# 2.32013, 2.30637, 2.42041, 2.31236, 2.47214
-28.1828,0.977345,0.232699,2,7,0,29.9398,0.950232,1.27398,-0.526523,0.3214,0.00582073,0.950232,1.27398,-0.526523,0.3214,0.00582073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.868068,-0.868068,-0.544316,-0.544316,-0.544316,-0.205694,-0.427366,-0.427366,-0.427366,-1.0562,-1.0562,-1.0562,-0.328518,-0.328518,-0.152906,-0.152906,-0.152906,-0.152906,-0.152906,-0.152906,-1.95341,-1.95341,-1.95341,-0.326236,-0.326236,-0.326236,-0.247913,-0.247913,-0.247913,-0.247913,-0.247913,-0.247913,-0.247913,-1.51608,-1.20441,-0.356488,-0.356488,-0.994332,-0.994332,-0.994332,-0.461988,-0.461988,-0.547755,-0.547755,-0.547755,-0.863334
-27.4958,0.947837,0.232699,4,23,0,33.1389,0.517906,0.317035,-0.396712,0.211213,-0.660032,0.517906,0.317035,-0.396712,0.211213,-0.660032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.597747,-0.597747,-0.798618,-0.798618,-0.798618,-0.336951,-0.551513,-0.551513,-0.551513,-0.858205,-0.858205,-0.858205,-0.268433,-0.268433,-0.398646,-0.398646,-0.398646,-0.398646,-0.398646,-0.398646,-1.11239,-1.11239,-1.11239,-0.641635,-0.641635,-0.641635,-0.319481,-0.319481,-0.319481,-0.319481,-0.319481,-0.319481,-0.319481,-1.29655,-1.04261,-0.434687,-0.434687,-0.570129,-0.570129,-0.570129,-0.83345,-0.83345,-0.349551,-0.349551,-0.349551,-1.2208
-28.3392,0.986265,0.232699,3,7,0,28.8641,0.29093,1.94627,0.346828,-0.0430739,-0.748996,0.29093,1.94627,0.346828,-0.0430739,-0.748996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83015,-1.83015,-0.174816,-0.174816,-0.174816,-0.721487,-0.540026,-0.540026,-0.540026,-0.874029,-0.874029,-0.874029,-0.30268,-0.30268,-0.183995,-0.183995,-0.183995,-0.183995,-0.183995,-0.183995,-1.78343,-1.78343,-1.78343,-0.128205,-0.128205,-0.128205,-0.0653425,-0.0653425,-0.0653425,-0.0653425,-0.0653425,-0.0653425,-0.0653425,-2.76061,-0.51708,-0.906982,-0.906982,-0.28838,-0.28838,-0.28838,-1.3842,-1.3842,-0.401225,-0.401225,-0.401225,-1.10715
-28.8239,0.930786,0.232699,3,15,0,31.3987,1.50567,1.35575,1.26808,0.60666,-0.381033,1.50567,1.35575,1.26808,0.60666,-0.381033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.620992,-0.620992,-0.770917,-0.770917,-0.770917,-0.581393,-0.34144,-0.34144,-0.34144,-1.24045,-1.24045,-1.24045,-0.141127,-0.141127,-0.650277,-0.650277,-0.650277,-0.650277,-0.650277,-0.650277,-0.737938,-0.737938,-0.737938,-0.387164,-0.387164,-0.387164,-0.162193,-0.162193,-0.162193,-0.162193,-0.162193,-0.162193,-0.162193,-1.89897,-0.416152,-1.07758,-1.07758,-0.175817,-0.175817,-0.175817,-1.82493,-1.82493,-0.316587,-0.316587,-0.316587,-1.30428
-29.9926,0.897408,0.232699,3,7,0,33.2686,1.65154,2.67342,0.200912,1.86291,0.709944,1.65154,2.67342,0.200912,1.86291,0.709944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32931,-1.32931,-0.307423,-0.307423,-0.307423,-0.210604,-0.804406,-0.804406,-0.804406,-0.593037,-0.593037,-0.593037,-0.329308,-0.329308,-0.0810018,-0.0810018,-0.0810018,-0.0810018,-0.0810018,-0.0810018,-2.55351,-2.55351,-2.55351,-0.367853,-0.367853,-0.367853,-0.131352,-0.131352,-0.131352,-0.131352,-0.131352,-0.131352,-0.131352,-2.09483,-1.83575,-0.173751,-0.173751,-0.979709,-0.979709,-0.979709,-0.470677,-0.470677,-0.274369,-0.274369,-0.274369,-1.42733
-27.4329,1,0.232699,2,3,0,30.5737,1.50074,2.49544,1.15694,1.09425,-0.0983086,1.50074,2.49544,1.15694,1.09425,-0.0983086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.30939,-1.30939,-0.314691,-0.314691,-0.314691,-0.535948,-0.510416,-0.510416,-0.510416,-0.916905,-0.916905,-0.916905,-0.18406,-0.18406,-0.232887,-0.232887,-0.232887,-0.232887,-0.232887,-0.232887,-1.57139,-1.57139,-1.57139,-0.220183,-0.220183,-0.220183,-0.0720783,-0.0720783,-0.0720783,-0.0720783,-0.0720783,-0.0720783,-0.0720783,-2.66582,-0.662295,-0.724981,-0.724981,-0.250763,-0.250763,-0.250763,-1.50601,-1.50601,-0.265009,-0.265009,-0.265009,-1.45757
-28.0864,0.894881,0.232699,4,23,0,31.1762,-1.07087,-0.25245,-1.36796,-0.465111,-2.37536,-1.07087,-0.25245,-1.36796,-0.465111,-2.37536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18385,-1.18385,-0.365426,-0.365426,-0.365426,-0.555595,-1.04121,-1.04121,-1.04121,-0.43545,-0.43545,-0.43545,-0.240048,-0.240048,-0.283484,-0.283484,-0.283484,-0.283484,-0.283484,-0.283484,-1.399,-1.399,-1.399,-0.59246,-0.59246,-0.59246,-0.113045,-0.113045,-0.113045,-0.113045,-0.113045,-0.113045,-0.113045,-2.23596,-1.24318,-0.34033,-0.34033,-0.311277,-0.311277,-0.311277,-1.31868,-1.31868,-0.138059,-0.138059,-0.138059,-2.04831
