# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/standata-d822a2a8f2b.json
# init = 2 (Default)
# random
#   seed = 520476134
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-202106021151-3-84d4d3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-profile-202106021151-3-4ea718.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.258436
# Diagonal elements of inverse mass matrix:
# 1.93577, 1.88035, 1.93765, 1.94377, 1.95816
-29.6986,0.96633,0.258436,3,15,0,31.3889,1.46881,0.923229,0.905402,0.247582,-0.912629,1.46881,0.923229,0.905402,0.247582,-0.912629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45711,-0.45711,-1.0027,-1.0027,-1.0027,-0.450606,-0.258408,-0.258408,-0.258408,-1.47964,-1.47964,-1.47964,-0.0883928,-0.0883928,-0.684273,-0.684273,-0.684273,-0.684273,-0.684273,-0.684273,-0.7021,-0.7021,-0.7021,-0.411333,-0.411333,-0.411333,-0.147969,-0.147969,-0.147969,-0.147969,-0.147969,-0.147969,-0.147969,-1.98383,-0.41738,-1.0752,-1.0752,-0.15044,-0.15044,-0.15044,-1.96847,-1.96847,-0.272634,-0.272634,-0.272634,-1.43285
-26.51,1,0.258436,2,3,0,29.2526,0.736763,1.54747,0.128217,0.434308,-0.532046,0.736763,1.54747,0.128217,0.434308,-0.532046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1785,-1.1785,-0.367792,-0.367792,-0.367792,-0.434468,-0.553311,-0.553311,-0.553311,-0.855767,-0.855767,-0.855767,-0.247771,-0.247771,-0.216638,-0.216638,-0.216638,-0.216638,-0.216638,-0.216638,-1.63589,-1.63589,-1.63589,-0.284064,-0.284064,-0.284064,-0.117774,-0.117774,-0.117774,-0.117774,-0.117774,-0.117774,-0.117774,-2.19729,-0.857858,-0.551768,-0.551768,-0.416547,-0.416547,-0.416547,-1.07681,-1.07681,-0.322422,-0.322422,-0.322422,-1.28878
-27.4738,0.782875,0.258436,2,3,0,29.4902,0.463474,0.915038,0.32907,-0.269306,-0.536417,0.463474,0.915038,0.32907,-0.269306,-0.536417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.944204,-0.944204,-0.49264,-0.49264,-0.49264,-0.628202,-0.392428,-0.392428,-0.392428,-1.12521,-1.12521,-1.12521,-0.313291,-0.313291,-0.442483,-0.442483,-0.442483,-0.442483,-0.442483,-0.442483,-1.02845,-1.02845,-1.02845,-0.266928,-0.266928,-0.266928,-0.210447,-0.210447,-0.210447,-0.210447,-0.210447,-0.210447,-0.210447,-1.6619,-0.438064,-1.03644,-1.03644,-0.351253,-0.351253,-0.351253,-1.21674,-1.21674,-0.568484,-0.568484,-0.568484,-0.835595
-27.8379,0.902359,0.258436,4,19,0,30.0007,2.21324,1.82693,0.231156,1.27297,-0.158703,2.21324,1.82693,0.231156,1.27297,-0.158703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.518534,-0.518534,-0.904838,-0.904838,-0.904838,-0.129081,-0.329681,-0.329681,-0.329681,-1.26995,-1.26995,-1.26995,-0.0892002,-0.0892002,-0.184611,-0.184611,-0.184611,-0.184611,-0.184611,-0.184611,-1.78039,-1.78039,-1.78039,-0.454045,-0.454045,-0.454045,-0.128651,-0.128651,-0.128651,-0.128651,-0.128651,-0.128651,-0.128651,-2.11429,-1.344,-0.302186,-0.302186,-0.517097,-0.517097,-0.517097,-0.906956,-0.906956,-0.214231,-0.214231,-0.214231,-1.64591
-28.2441,0.789615,0.258436,3,7,0,30.4954,0.685841,2.35047,0.838591,0.932939,-0.0693698,0.685841,2.35047,0.838591,0.932939,-0.0693698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83796,-1.83796,-0.173333,-0.173333,-0.173333,-0.772436,-0.824309,-0.824309,-0.824309,-0.577211,-0.577211,-0.577211,-0.385202,-0.385202,-0.199257,-0.199257,-0.199257,-0.199257,-0.199257,-0.199257,-1.71113,-1.71113,-1.71113,-0.216975,-0.216975,-0.216975,-0.0852012,-0.0852012,-0.0852012,-0.0852012,-0.0852012,-0.0852012,-0.0852012,-2.50504,-0.741434,-0.647085,-0.647085,-0.338859,-0.338859,-0.338859,-1.24682,-1.24682,-0.312641,-0.312641,-0.312641,-1.31495
-30.8285,0.865909,0.258436,3,15,0,36.4036,-0.193275,-1.38004,-1.5748,-1.60796,-3.03544,-0.193275,-1.38004,-1.5748,-1.60796,-3.03544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266361,-0.266361,-1.45313,-1.45313,-1.45313,-0.224099,-0.21753,-0.21753,-0.21753,-1.63221,-1.63221,-1.63221,-0.0566632,-0.0566632,-0.600503,-0.600503,-0.600503,-0.600503,-0.600503,-0.600503,-0.795259,-0.795259,-0.795259,-0.585669,-0.585669,-0.585669,-0.174807,-0.174807,-0.174807,-0.174807,-0.174807,-0.174807,-0.174807,-1.8302,-0.676705,-0.709864,-0.709864,-0.20871,-0.20871,-0.20871,-1.66935,-1.66935,-0.215041,-0.215041,-0.215041,-1.64252
