# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/standata-d825a780551.json
# init = 2 (Default)
# random
#   seed = 350681892
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-202106021151-4-28a0aa.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpodmEAi/filed8223cc25c9/reference/.bpcs/bt-profile-202106021151-4-2a61c9.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.236277
# Diagonal elements of inverse mass matrix:
# 2.23956, 2.26482, 2.26886, 2.30196, 2.36687
-27.443,0.776387,0.236277,3,15,0,33.922,0.960804,1.31953,-0.452422,-0.023518,-1.5088,0.960804,1.31953,-0.452422,-0.023518,-1.5088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.888512,-0.888512,-0.529783,-0.529783,-0.529783,-0.217815,-0.317502,-0.317502,-0.317502,-1.30182,-1.30182,-1.30182,-0.0812282,-0.0812282,-0.157004,-0.157004,-0.157004,-0.157004,-0.157004,-0.157004,-1.92896,-1.92896,-1.92896,-0.231943,-0.231943,-0.231943,-0.0574302,-0.0574302,-0.0574302,-0.0574302,-0.0574302,-0.0574302,-0.0574302,-2.88576,-0.93042,-0.501516,-0.501516,-0.298409,-0.298409,-0.298409,-1.35479,-1.35479,-0.204114,-0.204114,-0.204114,-1.6894
-27.8272,0.885323,0.236277,3,15,0,31.3979,-1.04908,-0.0370145,-0.843632,-0.688604,-1.39331,-1.04908,-0.0370145,-0.843632,-0.688604,-1.39331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3221,-1.3221,-0.31003,-0.31003,-0.31003,-0.80114,-0.889544,-0.889544,-0.889544,-0.529063,-0.529063,-0.529063,-0.535771,-0.535771,-0.369054,-0.369054,-0.369054,-0.369054,-0.369054,-0.369054,-1.17567,-1.17567,-1.17567,-0.419511,-0.419511,-0.419511,-0.229215,-0.229215,-0.229215,-0.229215,-0.229215,-0.229215,-0.229215,-1.58551,-0.773663,-0.618634,-0.618634,-0.455609,-0.455609,-0.455609,-1.00529,-1.00529,-0.401625,-0.401625,-0.401625,-1.10634
-31.1988,0.673094,0.236277,3,7,0,33.6049,-1.70284,-1.05432,-2.07912,-0.397217,-2.41145,-1.70284,-1.05432,-2.07912,-0.397217,-2.41145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06908,-1.06908,-0.420565,-0.420565,-0.420565,-0.5226,-1.54543,-1.54543,-1.54543,-0.239807,-0.239807,-0.239807,-0.400339,-0.400339,-0.306652,-0.306652,-0.306652,-0.306652,-0.306652,-0.306652,-1.33145,-1.33145,-1.33145,-1.07473,-1.07473,-1.07473,-0.229047,-0.229047,-0.229047,-0.229047,-0.229047,-0.229047,-0.229047,-1.58617,-1.85251,-0.170602,-0.170602,-0.540729,-0.540729,-0.540729,-0.873049,-0.873049,-0.125243,-0.125243,-0.125243,-2.13947
-27.5764,1,0.236277,2,7,0,31.997,-1.54762,-1.29252,-2.37316,-1.93519,-2.728,-1.54762,-1.29252,-2.37316,-1.93519,-2.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.828806,-0.828806,-0.573713,-0.573713,-0.573713,-0.363252,-0.518022,-0.518022,-0.518022,-0.905593,-0.905593,-0.905593,-0.267858,-0.267858,-0.292207,-0.292207,-0.292207,-0.292207,-0.292207,-0.292207,-1.37284,-1.37284,-1.37284,-0.422578,-0.422578,-0.422578,-0.213499,-0.213499,-0.213499,-0.213499,-0.213499,-0.213499,-0.213499,-1.64897,-0.93592,-0.49795,-0.49795,-0.531384,-0.531384,-0.531384,-0.886224,-0.886224,-0.373335,-0.373335,-0.373335,-1.16615
-27.0757,0.950537,0.236277,3,15,0,28.9838,0.295918,0.585389,-0.928879,-0.873416,-1.45403,0.295918,0.585389,-0.928879,-0.873416,-1.45403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.848321,-0.848321,-0.558849,-0.558849,-0.558849,-0.257597,-0.270465,-0.270465,-0.270465,-1.4398,-1.4398,-1.4398,-0.160232,-0.160232,-0.198826,-0.198826,-0.198826,-0.198826,-0.198826,-0.198826,-1.71309,-1.71309,-1.71309,-0.209056,-0.209056,-0.209056,-0.12231,-0.12231,-0.12231,-0.12231,-0.12231,-0.12231,-0.12231,-2.16173,-0.721263,-0.6658,-0.6658,-0.464656,-0.464656,-0.464656,-0.989805,-0.989805,-0.444401,-0.444401,-0.444401,-1.02501
-28.24,0.926962,0.236277,3,7,0,28.96,-0.179297,-0.177169,-1.57573,0.0524609,-1.81477,-0.179297,-0.177169,-1.57573,0.0524609,-1.81477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.694212,-0.694212,-0.692084,-0.692084,-0.692084,-0.221124,-0.815725,-0.815725,-0.815725,-0.583967,-0.583967,-0.583967,-0.178029,-0.178029,-0.220702,-0.220702,-0.220702,-0.220702,-0.220702,-0.220702,-1.61927,-1.61927,-1.61927,-0.814539,-0.814539,-0.814539,-0.177682,-0.177682,-0.177682,-0.177682,-0.177682,-0.177682,-0.177682,-1.81528,-1.80741,-0.17922,-0.17922,-0.580753,-0.580753,-0.580753,-0.819792,-0.819792,-0.143711,-0.143711,-0.143711,-2.01094
