# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/standata-d9723d5b613.json
# init = 2 (Default)
# random
#   seed = 1664267551
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-202106080717-1-6a81c1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-profile-202106080717-1-8d4c0e.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.326922
# Diagonal elements of inverse mass matrix:
# 1.79902, 1.67409, 1.67415, 1.73872, 1.82178
-27.2705,0.994438,0.326922,3,7,0,29.0011,0.0737924,0.402957,-0.637434,-0.204634,-0.641377,0.0737924,0.402957,-0.637434,-0.204634,-0.641377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.871212,-0.871212,-0.542048,-0.542048,-0.542048,-0.399475,-0.563593,-0.563593,-0.563593,-0.842019,-0.842019,-0.842019,-0.398178,-0.398178,-0.302558,-0.302558,-0.302558,-0.302558,-0.302558,-0.302558,-1.34295,-1.34295,-1.34295,-0.434805,-0.434805,-0.434805,-0.30153,-0.30153,-0.30153,-0.30153,-0.30153,-0.30153,-0.30153,-1.34586,-0.932781,-0.499981,-0.499981,-0.691177,-0.691177,-0.691177,-0.695121,-0.695121,-0.498431,-0.498431,-0.498431,-0.935175
-27.2705,0.491919,0.326922,2,3,0,30.1254,0.0737924,0.402957,-0.637434,-0.204634,-0.641377,0.0737924,0.402957,-0.637434,-0.204634,-0.641377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.871212,-0.871212,-0.542048,-0.542048,-0.542048,-0.399475,-0.563593,-0.563593,-0.563593,-0.842019,-0.842019,-0.842019,-0.398178,-0.398178,-0.302558,-0.302558,-0.302558,-0.302558,-0.302558,-0.302558,-1.34295,-1.34295,-1.34295,-0.434805,-0.434805,-0.434805,-0.30153,-0.30153,-0.30153,-0.30153,-0.30153,-0.30153,-0.30153,-1.34586,-0.932781,-0.499981,-0.499981,-0.691177,-0.691177,-0.691177,-0.695121,-0.695121,-0.498431,-0.498431,-0.498431,-0.935175
-28.0902,0.583431,0.326922,2,3,0,31.5334,-0.20513,1.30914,0.240616,-0.293915,-1.12164,-0.20513,1.30914,0.240616,-0.293915,-1.12164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.71309,-1.71309,-0.198826,-0.198826,-0.198826,-0.940653,-0.64974,-0.64974,-0.64974,-0.738524,-0.738524,-0.738524,-0.336409,-0.336409,-0.29529,-0.29529,-0.29529,-0.29529,-0.29529,-0.29529,-1.36381,-1.36381,-1.36381,-0.183389,-0.183389,-0.183389,-0.084312,-0.084312,-0.084312,-0.084312,-0.084312,-0.084312,-0.084312,-2.51509,-0.46118,-0.99571,-0.99571,-0.227998,-0.227998,-0.227998,-1.59025,-1.59025,-0.362587,-0.362587,-0.362587,-1.19031
-30.891,0.589033,0.326922,2,3,0,33.3335,-0.706422,0.772909,-0.155167,0.109203,-0.0139215,-0.706422,0.772909,-0.155167,0.109203,-0.0139215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.68455,-1.68455,-0.205216,-0.205216,-0.205216,-1.00629,-1.18191,-1.18191,-1.18191,-0.366282,-0.366282,-0.366282,-1.09818,-1.09818,-0.333119,-0.333119,-0.333119,-0.333119,-0.333119,-0.333119,-1.2612,-1.2612,-1.2612,-0.415376,-0.415376,-0.415376,-0.375202,-0.375202,-0.375202,-0.375202,-0.375202,-0.375202,-0.375202,-1.16203,-0.834044,-0.569673,-0.569673,-0.766262,-0.766262,-0.766262,-0.625016,-0.625016,-0.633478,-0.633478,-0.633478,-0.756603
-29.0381,0.962519,0.326922,3,15,0,34.3287,-0.0189427,0.201917,-1.34694,-1.38597,-3.0258,-0.0189427,0.201917,-1.34694,-1.38597,-3.0258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.809662,-0.809662,-0.588803,-0.588803,-0.588803,-0.235079,-0.227027,-0.227027,-0.227027,-1.59405,-1.59405,-1.59405,-0.048263,-0.048263,-0.192677,-0.192677,-0.192677,-0.192677,-0.192677,-0.192677,-1.74153,-1.74153,-1.74153,-0.185946,-0.185946,-0.185946,-0.038882,-0.038882,-0.038882,-0.038882,-0.038882,-0.038882,-0.038882,-3.2666,-0.673822,-0.712853,-0.712853,-0.17108,-0.17108,-0.17108,-1.84995,-1.84995,-0.177319,-0.177319,-0.177319,-1.81716
-28.9361,0.988956,0.326922,4,19,0,31.7416,3.40448,3.59431,2.24303,3.04948,1.16935,3.40448,3.59431,2.24303,3.04948,1.16935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.792562,-0.792562,-0.602728,-0.602728,-0.602728,-0.27234,-0.53132,-0.53132,-0.53132,-0.886316,-0.886316,-0.886316,-0.101635,-0.101635,-0.230245,-0.230245,-0.230245,-0.230245,-0.230245,-0.230245,-1.58153,-1.58153,-1.58153,-0.457387,-0.457387,-0.457387,-0.0847839,-0.0847839,-0.0847839,-0.0847839,-0.0847839,-0.0847839,-0.0847839,-2.50974,-1.17556,-0.369105,-0.369105,-0.293974,-0.293974,-0.293974,-1.36765,-1.36765,-0.141995,-0.141995,-0.141995,-2.02212
