# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/standata-d9727f4710f.json
# init = 2 (Default)
# random
#   seed = 188232434
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-202106080717-4-627b0a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-profile-202106080717-4-7287d5.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.299679
# Diagonal elements of inverse mass matrix:
# 1.78042, 1.59503, 1.68636, 1.70328, 1.70201
-27.3444,0.947947,0.299679,3,7,0,29.9228,1.76034,2.08902,0.898188,0.903147,0.609772,1.76034,2.08902,0.898188,0.903147,0.609772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.870931,-0.870931,-0.54225,-0.54225,-0.54225,-0.352241,-0.353716,-0.353716,-0.353716,-1.21091,-1.21091,-1.21091,-0.274944,-0.274944,-0.265411,-0.265411,-0.265411,-0.265411,-0.265411,-0.265411,-1.45625,-1.45625,-1.45625,-0.26657,-0.26657,-0.26657,-0.205231,-0.205231,-0.205231,-0.205231,-0.205231,-0.205231,-0.205231,-1.68448,-0.69563,-0.690671,-0.690671,-0.559301,-0.559301,-0.559301,-0.847717,-0.847717,-0.55718,-0.55718,-0.55718,-0.850555
-27.584,0.829159,0.299679,2,3,0,29.584,1.10626,2.17477,1.14281,1.44902,0.373795,1.10626,2.17477,1.14281,1.44902,0.373795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3638,-1.3638,-0.295293,-0.295293,-0.295293,-0.711587,-0.87914,-0.87914,-0.87914,-0.536383,-0.536383,-0.536383,-0.39253,-0.39253,-0.304766,-0.304766,-0.304766,-0.304766,-0.304766,-0.304766,-1.33673,-1.33673,-1.33673,-0.394715,-0.394715,-0.394715,-0.15284,-0.15284,-0.15284,-0.15284,-0.15284,-0.15284,-0.15284,-1.95381,-0.857928,-0.551717,-0.551717,-0.380811,-0.380811,-0.380811,-1.14982,-1.14982,-0.293581,-0.293581,-0.293581,-1.3688
-28.3729,0.785067,0.299679,3,7,0,30.3111,2.58447,2.9711,1.00706,1.41915,0.290734,2.58447,2.9711,1.00706,1.41915,0.290734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.905034,-0.905034,-0.518401,-0.518401,-0.518401,-0.187732,-0.271418,-0.271418,-0.271418,-1.43674,-1.43674,-1.43674,-0.0961177,-0.0961177,-0.131283,-0.131283,-0.131283,-0.131283,-0.131283,-0.131283,-2.09532,-2.09532,-2.09532,-0.192135,-0.192135,-0.192135,-0.0662911,-0.0662911,-0.0662911,-0.0662911,-0.0662911,-0.0662911,-0.0662911,-2.74666,-0.920269,-0.508182,-0.508182,-0.397797,-0.397797,-0.397797,-1.11413,-1.11413,-0.280314,-0.280314,-0.280314,-1.40873
-27.4194,0.94744,0.299679,3,7,0,29.7497,1.74097,1.90602,0.845116,0.600974,0.274206,1.74097,1.90602,0.845116,0.600974,0.274206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.77907,-0.77907,-0.614026,-0.614026,-0.614026,-0.342353,-0.277495,-0.277495,-0.277495,-1.41749,-1.41749,-1.41749,-0.207559,-0.207559,-0.297244,-0.297244,-0.297244,-0.297244,-0.297244,-0.297244,-1.35814,-1.35814,-1.35814,-0.239931,-0.239931,-0.239931,-0.178627,-0.178627,-0.178627,-0.178627,-0.178627,-0.178627,-0.178627,-1.81044,-0.578509,-0.82265,-0.82265,-0.447893,-0.447893,-0.447893,-1.0188,-1.0188,-0.543051,-0.543051,-0.543051,-0.86982
-29.4287,0.799926,0.299679,2,3,0,29.902,1.15063,2.76313,1.08864,1.61189,-0.34659,1.15063,2.76313,1.08864,1.61189,-0.34659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.79431,-1.79431,-0.181812,-0.181812,-0.181812,-0.662635,-0.950139,-0.950139,-0.950139,-0.48888,-0.48888,-0.48888,-0.201921,-0.201921,-0.17177,-0.17177,-0.17177,-0.17177,-0.17177,-0.17177,-1.84626,-1.84626,-1.84626,-0.274782,-0.274782,-0.274782,-0.0436469,-0.0436469,-0.0436469,-0.0436469,-0.0436469,-0.0436469,-0.0436469,-3.15337,-0.988608,-0.465365,-0.465365,-0.213545,-0.213545,-0.213545,-1.64878,-1.64878,-0.131969,-0.131969,-0.131969,-2.09045
-28.3003,0.954863,0.299679,2,3,0,30.6996,1.66043,1.91617,1.30407,0.846845,0.811715,1.66043,1.91617,1.30407,0.846845,0.811715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.82917,-0.82917,-0.573431,-0.573431,-0.573431,-0.530759,-0.366909,-0.366909,-0.366909,-1.18049,-1.18049,-1.18049,-0.356251,-0.356251,-0.433218,-0.433218,-0.433218,-0.433218,-0.433218,-0.433218,-1.04532,-1.04532,-1.04532,-0.295086,-0.295086,-0.295086,-0.286225,-0.286225,-0.286225,-0.286225,-0.286225,-0.286225,-0.286225,-1.39068,-0.490442,-0.947667,-0.947667,-0.47697,-0.47697,-0.47697,-0.969325,-0.969325,-0.675736,-0.675736,-0.675736,-0.710866
