# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/standata-d9733a02c75.json
# init = 2 (Default)
# random
#   seed = 1166407297
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-202106080718-1-568a7a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-profile-202106080718-1-3280e7.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.30087
# Diagonal elements of inverse mass matrix:
# 1.89595, 1.82768, 1.81973, 1.82729, 1.91825
-28.5956,0.990365,0.30087,3,7,0,32.2004,1.57737,1.68464,-0.325138,0.313555,-1.42688,1.57737,1.68464,-0.325138,0.313555,-1.42688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.748219,-0.748219,-0.640951,-0.640951,-0.640951,-0.13906,-0.248868,-0.248868,-0.248868,-1.51269,-1.51269,-1.51269,-0.0483858,-0.0483858,-0.125767,-0.125767,-0.125767,-0.125767,-0.125767,-0.125767,-2.13555,-2.13555,-2.13555,-0.226203,-0.226203,-0.226203,-0.0435698,-0.0435698,-0.0435698,-0.0435698,-0.0435698,-0.0435698,-0.0435698,-3.1551,-1.06264,-0.423948,-0.423948,-0.2869,-0.2869,-0.2869,-1.38865,-1.38865,-0.161646,-0.161646,-0.161646,-1.90208
-27.7714,0.98029,0.30087,2,7,0,29.5951,0.770232,0.736137,-0.68103,0.672258,-0.527033,0.770232,0.736137,-0.68103,0.672258,-0.527033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.676245,-0.676245,-0.71034,-0.71034,-0.71034,-0.210483,-0.645359,-0.645359,-0.645359,-0.743334,-0.743334,-0.743334,-0.241595,-0.241595,-0.217045,-0.217045,-0.217045,-0.217045,-0.217045,-0.217045,-1.63421,-1.63421,-1.63421,-0.661717,-0.661717,-0.661717,-0.249011,-0.249011,-0.249011,-0.249011,-0.249011,-0.249011,-0.249011,-1.51218,-1.58312,-0.229833,-0.229833,-0.773108,-0.773108,-0.773108,-0.61911,-0.61911,-0.263447,-0.263447,-0.263447,-1.46274
-26.8538,1,0.30087,3,7,0,27.7347,0.191474,1.20385,-0.136531,-0.260316,-1.13923,0.191474,1.20385,-0.136531,-0.260316,-1.13923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32232,-1.32232,-0.30995,-0.30995,-0.30995,-0.542533,-0.492552,-0.492552,-0.492552,-0.944343,-0.944343,-0.944343,-0.234511,-0.234511,-0.232497,-0.232497,-0.232497,-0.232497,-0.232497,-0.232497,-1.57287,-1.57287,-1.57287,-0.208048,-0.208048,-0.208048,-0.0916962,-0.0916962,-0.0916962,-0.0916962,-0.0916962,-0.0916962,-0.0916962,-2.43477,-0.633169,-0.756954,-0.756954,-0.312536,-0.312536,-0.312536,-1.31524,-1.31524,-0.347294,-0.347294,-0.347294,-1.22621
-30.5373,0.705224,0.30087,3,15,0,33.2395,0.780975,0.838522,0.939261,0.502578,0.416231,0.780975,0.838522,0.939261,0.502578,0.416231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.722334,-0.722334,-0.664788,-0.664788,-0.664788,-0.775418,-0.563605,-0.563605,-0.563605,-0.842003,-0.842003,-0.842003,-0.527313,-0.527313,-0.744784,-0.744784,-0.744784,-0.744784,-0.744784,-0.744784,-0.644046,-0.644046,-0.644046,-0.539216,-0.539216,-0.539216,-0.504129,-0.504129,-0.504129,-0.504129,-0.504129,-0.504129,-0.504129,-0.92642,-0.498455,-0.935138,-0.935138,-0.465445,-0.465445,-0.465445,-0.988474,-0.988474,-0.650905,-0.650905,-0.650905,-0.737252
-28.665,0.994639,0.30087,3,15,0,32.5294,-0.227367,-0.775958,-0.979124,-1.02149,-1.82026,-0.227367,-0.775958,-0.979124,-1.02149,-1.82026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.456008,-0.456008,-1.0046,-1.0046,-1.0046,-0.386308,-0.372926,-0.372926,-0.372926,-1.16705,-1.16705,-1.16705,-0.185098,-0.185098,-0.596715,-0.596715,-0.596715,-0.596715,-0.596715,-0.596715,-0.799881,-0.799881,-0.799881,-0.577897,-0.577897,-0.577897,-0.301539,-0.301539,-0.301539,-0.301539,-0.301539,-0.301539,-0.301539,-1.34584,-0.672188,-0.714555,-0.714555,-0.358528,-0.358528,-0.358528,-1.19966,-1.19966,-0.371483,-0.371483,-0.371483,-1.17025
-31.1793,0.541988,0.30087,2,7,0,34.9562,-0.36788,-0.0192362,-0.894097,0.764121,-2.29587,-0.36788,-0.0192362,-0.894097,0.764121,-2.29587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.882587,-0.882587,-0.533943,-0.533943,-0.533943,-0.46426,-1.41144,-1.41144,-1.41144,-0.279439,-0.279439,-0.279439,-0.135788,-0.135788,-0.348486,-0.348486,-0.348486,-0.348486,-0.348486,-0.348486,-1.22335,-1.22335,-1.22335,-1.15965,-1.15965,-1.15965,-0.097697,-0.097697,-0.097697,-0.097697,-0.097697,-0.097697,-0.097697,-2.37434,-1.83257,-0.174355,-0.174355,-0.220066,-0.220066,-0.220066,-1.62184,-1.62184,-0.0458219,-0.0458219,-0.0458219,-3.10582
