# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/standata-d977055226f.json
# init = 2 (Default)
# random
#   seed = 520476134
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-202106080718-1-84d4e8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-profile-202106080718-1-4ea72d.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.275897
# Diagonal elements of inverse mass matrix:
# 1.69873, 1.70099, 1.63359, 1.74982, 1.87191
-28.4616,0.98594,0.275897,4,31,0,30.2003,-1.34921,-1.28267,-2.6742,-2.58915,-3.46438,-1.34921,-1.28267,-2.6742,-2.58915,-3.46438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726974,-0.726974,-0.660427,-0.660427,-0.660427,-0.235709,-0.254179,-0.254179,-0.254179,-1.49412,-1.49412,-1.49412,-0.113876,-0.113876,-0.222098,-0.222098,-0.222098,-0.222098,-0.222098,-0.222098,-1.61363,-1.61363,-1.61363,-0.239623,-0.239623,-0.239623,-0.106922,-0.106922,-0.106922,-0.106922,-0.106922,-0.106922,-0.106922,-2.28864,-0.736575,-0.651527,-0.651527,-0.374155,-0.374155,-0.374155,-1.16434,-1.16434,-0.348377,-0.348377,-0.348377,-1.22361
-30.5433,0.833958,0.275897,2,3,0,31.1888,-1.85682,-1.60761,-3.11609,-1.1942,-3.16226,-1.85682,-1.60761,-3.11609,-1.1942,-3.16226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.825493,-0.825493,-0.576287,-0.576287,-0.576287,-0.249871,-1.07836,-1.07836,-1.07836,-0.415746,-0.415746,-0.415746,-0.239844,-0.239844,-0.199872,-0.199872,-0.199872,-0.199872,-0.199872,-0.199872,-1.70835,-1.70835,-1.70835,-0.921066,-0.921066,-0.921066,-0.191663,-0.191663,-0.191663,-0.191663,-0.191663,-0.191663,-0.191663,-1.74632,-2.05846,-0.136566,-0.136566,-0.670327,-0.670327,-0.670327,-0.716501,-0.716501,-0.130789,-0.130789,-0.130789,-2.09885
-31.0856,0.991894,0.275897,2,3,0,31.6565,-1.80838,-1.55804,-3.37332,-1.20382,-3.40437,-1.80838,-1.55804,-3.37332,-1.20382,-3.40437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.826133,-0.826133,-0.575789,-0.575789,-0.575789,-0.189878,-1.04044,-1.04044,-1.04044,-0.435873,-0.435873,-0.435873,-0.184576,-0.184576,-0.150824,-0.150824,-0.150824,-0.150824,-0.150824,-0.150824,-1.9661,-1.9661,-1.9661,-0.88586,-0.88586,-0.88586,-0.146535,-0.146535,-0.146535,-0.146535,-0.146535,-0.146535,-0.146535,-1.99286,-2.27767,-0.108168,-0.108168,-0.677743,-0.677743,-0.677743,-0.708792,-0.708792,-0.105029,-0.105029,-0.105029,-2.30558
-30.5158,1,0.275897,2,3,0,31.8751,-1.64174,-1.78465,-3.30672,-1.42323,-3.01876,-1.64174,-1.78465,-3.30672,-1.42323,-3.01876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.624242,-0.624242,-0.767154,-0.767154,-0.767154,-0.173276,-0.80836,-0.80836,-0.80836,-0.589848,-0.589848,-0.589848,-0.225005,-0.225005,-0.197423,-0.197423,-0.197423,-0.197423,-0.197423,-0.197423,-1.71949,-1.71949,-1.71949,-0.890099,-0.890099,-0.890099,-0.25549,-0.25549,-0.25549,-0.25549,-0.25549,-0.25549,-0.25549,-1.4896,-2.02504,-0.14155,-0.14155,-0.847457,-0.847457,-0.847457,-0.559496,-0.559496,-0.184653,-0.184653,-0.184653,-1.78019
-28.8602,0.899093,0.275897,4,23,0,37.1706,0.462855,0.979806,-0.229982,-0.723955,-2.25137,0.462855,0.979806,-0.229982,-0.723955,-2.25137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.984662,-0.984662,-0.467711,-0.467711,-0.467711,-0.405568,-0.266351,-0.266351,-0.266351,-1.45316,-1.45316,-1.45316,-0.0641536,-0.0641536,-0.261025,-0.261025,-0.261025,-0.261025,-0.261025,-0.261025,-1.47081,-1.47081,-1.47081,-0.167206,-0.167206,-0.167206,-0.0387503,-0.0387503,-0.0387503,-0.0387503,-0.0387503,-0.0387503,-0.0387503,-3.26993,-0.476357,-0.97033,-0.97033,-0.124402,-0.124402,-0.124402,-2.14579,-2.14579,-0.196467,-0.196467,-0.196467,-1.72388
-28.5674,0.962206,0.275897,3,15,0,31.9423,1.05075,1.28825,-0.280997,1.15695,0.18031,1.05075,1.28825,-0.280997,1.15695,0.18031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.818933,-0.818933,-0.58143,-0.58143,-0.58143,-0.234293,-0.747658,-0.747658,-0.747658,-0.641455,-0.641455,-0.641455,-0.349788,-0.349788,-0.189132,-0.189132,-0.189132,-0.189132,-0.189132,-0.189132,-1.75838,-1.75838,-1.75838,-0.62965,-0.62965,-0.62965,-0.285357,-0.285357,-0.285357,-0.285357,-0.285357,-0.285357,-0.285357,-1.3933,-1.65097,-0.213024,-0.213024,-0.950169,-0.950169,-0.950169,-0.488862,-0.488862,-0.319597,-0.319597,-0.319597,-1.29624
-26.7579,0.968541,0.275897,3,7,0,30.2343,1.62985,1.62824,0.258268,0.931036,-0.349183,1.62985,1.62824,0.258268,0.931036,-0.349183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.692342,-0.692342,-0.693953,-0.693953,-0.693953,-0.226104,-0.40358,-0.40358,-0.40358,-1.10239,-1.10239,-1.10239,-0.129451,-0.129451,-0.22643,-0.22643,-0.22643,-0.22643,-0.22643,-0.22643,-1.5964,-1.5964,-1.5964,-0.404115,-0.404115,-0.404115,-0.129646,-0.129646,-0.129646,-0.129646,-0.129646,-0.129646,-0.129646,-2.10707,-1.08507,-0.412305,-0.412305,-0.434854,-0.434854,-0.434854,-1.0423,-1.0423,-0.245278,-0.245278,-0.245278,-1.5255
-27.6704,0.908103,0.275897,4,19,0,29.2208,0.199287,-0.292102,-1.62913,-0.890715,-2.234,0.199287,-0.292102,-1.62913,-0.890715,-2.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.477337,-0.477337,-0.968725,-0.968725,-0.968725,-0.148996,-0.289842,-0.289842,-0.289842,-1.37984,-1.37984,-1.37984,-0.0841095,-0.0841095,-0.233193,-0.233193,-0.233193,-0.233193,-0.233193,-0.233193,-1.57022,-1.57022,-1.57022,-0.43798,-0.43798,-0.43798,-0.134034,-0.134034,-0.134034,-0.134034,-0.134034,-0.134034,-0.134034,-2.07593,-1.12902,-0.390603,-0.390603,-0.435764,-0.435764,-0.435764,-1.04064,-1.04064,-0.231895,-0.231895,-0.231895,-1.57518
-28.2681,0.709116,0.275897,2,3,0,33.2637,-0.769701,-0.339539,-1.11674,-0.140912,-2.04051,-0.769701,-0.339539,-1.11674,-0.140912,-2.04051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.931182,-0.931182,-0.50102,-0.50102,-0.50102,-0.534609,-1.05617,-1.05617,-1.05617,-0.427381,-0.427381,-0.427381,-0.247333,-0.247333,-0.378226,-0.378226,-0.378226,-0.378226,-0.378226,-0.378226,-1.15542,-1.15542,-1.15542,-0.797384,-0.797384,-0.797384,-0.167637,-0.167637,-0.167637,-0.167637,-0.167637,-0.167637,-0.167637,-1.8686,-1.29565,-0.319821,-0.319821,-0.334341,-0.334341,-0.334341,-1.25811,-1.25811,-0.13944,-0.13944,-0.13944,-2.03903
-30.335,0.901543,0.275897,3,15,0,32.7991,-0.506968,1.23971,0.192054,-1.18483,-1.02193,-0.506968,1.23971,0.192054,-1.18483,-1.02193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.90739,-1.90739,-0.160717,-0.160717,-0.160717,-1.10253,-0.410586,-0.410586,-0.410586,-1.08845,-1.08845,-1.08845,-0.468453,-0.468453,-0.300667,-0.300667,-0.300667,-0.300667,-0.300667,-0.300667,-1.34832,-1.34832,-1.34832,-0.084818,-0.084818,-0.084818,-0.0991023,-0.0991023,-0.0991023,-0.0991023,-0.0991023,-0.0991023,-0.0991023,-2.36075,-0.225033,-1.60192,-1.60192,-0.260062,-0.260062,-0.260062,-1.47405,-1.47405,-0.777908,-0.777908,-0.777908,-0.615012
-28.6611,0.902326,0.275897,2,7,0,33.6967,0.323423,1.11636,0.425054,0.946891,-1.26257,0.323423,1.11636,0.425054,0.946891,-1.26257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16623,-1.16623,-0.373297,-0.373297,-0.373297,-0.745253,-1.0527,-1.0527,-1.0527,-0.429235,-0.429235,-0.429235,-0.186267,-0.186267,-0.40608,-0.40608,-0.40608,-0.40608,-0.40608,-0.40608,-1.09738,-1.09738,-1.09738,-0.612,-0.612,-0.612,-0.0886059,-0.0886059,-0.0886059,-0.0886059,-0.0886059,-0.0886059,-0.0886059,-2.46753,-0.987726,-0.465889,-0.465889,-0.169708,-0.169708,-0.169708,-1.85733,-1.85733,-0.104143,-0.104143,-0.104143,-2.31361
-26.8984,0.889226,0.275897,3,7,0,30.8636,0.319827,1.06727,-0.109754,0.156733,-0.341361,0.319827,1.06727,-0.109754,0.156733,-0.341361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.13513,-1.13513,-0.387693,-0.387693,-0.387693,-0.501249,-0.614921,-0.614921,-0.614921,-0.778015,-0.778015,-0.778015,-0.416232,-0.416232,-0.268649,-0.268649,-0.268649,-0.268649,-0.268649,-0.268649,-1.44567,-1.44567,-1.44567,-0.33812,-0.33812,-0.33812,-0.218717,-0.218717,-0.218717,-0.218717,-0.218717,-0.218717,-0.218717,-1.62734,-0.835241,-0.568754,-0.568754,-0.584034,-0.584034,-0.584034,-0.815641,-0.815641,-0.474797,-0.474797,-0.474797,-0.972891
