# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/standata-d97478838e4.json
# init = 2 (Default)
# random
#   seed = 525905071
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-202106080718-2-44114d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-profile-202106080718-2-2d1a04.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.261209
# Diagonal elements of inverse mass matrix:
# 1.65307, 1.59741, 1.66673, 1.55276, 1.61911
-31.2195,0.825462,0.261209,3,7,0,32.7705,3.21741,2.57997,1.64832,1.77992,-0.570007,3.21741,2.57997,1.64832,1.77992,-0.570007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.424382,-0.424382,-1.06182,-1.06182,-1.06182,-0.18916,-0.213113,-0.213113,-0.213113,-1.6506,-1.6506,-1.6506,-0.0224013,-0.0224013,-0.332108,-0.332108,-0.332108,-0.332108,-0.332108,-0.332108,-1.26376,-1.26376,-1.26376,-0.371087,-0.371087,-0.371087,-0.0419604,-0.0419604,-0.0419604,-0.0419604,-0.0419604,-0.0419604,-0.0419604,-3.19194,-0.761114,-0.629508,-0.629508,-0.10327,-0.10327,-0.10327,-2.3216,-2.3216,-0.0910975,-0.0910975,-0.0910975,-2.44103
-29.8291,0.994588,0.261209,3,7,0,34.375,0.433141,2.10712,0.254513,1.09785,0.488576,0.433141,2.10712,0.254513,1.09785,0.488576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.84583,-1.84583,-0.17185,-0.17185,-0.17185,-0.607816,-1.07975,-1.07975,-1.07975,-0.415034,-0.415034,-0.415034,-0.721249,-0.721249,-0.145682,-0.145682,-0.145682,-0.145682,-0.145682,-0.145682,-1.99829,-1.99829,-1.99829,-0.310779,-0.310779,-0.310779,-0.18081,-0.18081,-0.18081,-0.18081,-0.18081,-0.18081,-0.18081,-1.79935,-1.2012,-0.357864,-0.357864,-0.817012,-0.817012,-0.817012,-0.582948,-0.582948,-0.434211,-0.434211,-0.434211,-1.04349
-28.283,1,0.261209,3,7,0,30.7086,0.774085,2.14025,0.688367,0.75455,0.561529,0.774085,2.14025,0.688367,0.75455,0.561529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.59336,-1.59336,-0.227203,-0.227203,-0.227203,-0.651207,-0.683428,-0.683428,-0.683428,-0.702962,-0.702962,-0.702962,-0.592506,-0.592506,-0.210366,-0.210366,-0.210366,-0.210366,-0.210366,-0.210366,-1.66224,-1.66224,-1.66224,-0.223263,-0.223263,-0.223263,-0.187508,-0.187508,-0.187508,-0.187508,-0.187508,-0.187508,-0.187508,-1.76622,-0.726786,-0.660603,-0.660603,-0.631738,-0.631738,-0.631738,-0.758576,-0.758576,-0.601286,-0.601286,-0.601286,-0.794308
-29.0322,0.97715,0.261209,3,15,0,30.0225,0.586501,2.31098,0.645447,0.358236,0.333629,0.586501,2.31098,0.645447,0.358236,0.333629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.88852,-1.88852,-0.164044,-0.164044,-0.164044,-0.723054,-0.585513,-0.585513,-0.585513,-0.813779,-0.813779,-0.813779,-0.574683,-0.574683,-0.173188,-0.173188,-0.173188,-0.173188,-0.173188,-0.173188,-1.83872,-1.83872,-1.83872,-0.13268,-0.13268,-0.13268,-0.129655,-0.129655,-0.129655,-0.129655,-0.129655,-0.129655,-0.129655,-2.10701,-0.559817,-0.847029,-0.847029,-0.549343,-0.549343,-0.549343,-0.861161,-0.861161,-0.68092,-0.68092,-0.68092,-0.705526
-28.8304,0.915919,0.261209,3,7,0,31.4999,1.71087,1.00023,0.624119,0.29643,-0.63909,1.71087,1.00023,0.624119,0.29643,-0.63909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.399667,-0.399667,-1.11031,-1.11031,-1.11031,-0.29066,-0.217577,-0.217577,-0.217577,-1.63202,-1.63202,-1.63202,-0.0910947,-0.0910947,-0.522671,-0.522671,-0.522671,-0.522671,-0.522671,-0.522671,-0.898782,-0.898782,-0.898782,-0.401927,-0.401927,-0.401927,-0.177403,-0.177403,-0.177403,-0.177403,-0.177403,-0.177403,-0.177403,-1.81672,-0.542666,-0.870354,-0.870354,-0.249003,-0.249003,-0.249003,-1.51221,-1.51221,-0.331016,-0.331016,-0.331016,-1.26654
-32.4605,0.849176,0.261209,3,7,0,35.3566,2.55449,1.21285,-0.754276,1.56043,-0.346812,2.55449,1.21285,-0.754276,1.56043,-0.346812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232236,-0.232236,-1.57387,-1.57387,-1.57387,-0.0359088,-0.314864,-0.314864,-0.314864,-1.30892,-1.30892,-1.30892,-0.053495,-0.053495,-0.130904,-0.130904,-0.130904,-0.130904,-0.130904,-0.130904,-2.09803,-2.09803,-2.09803,-0.881965,-0.881965,-0.881965,-0.190791,-0.190791,-0.190791,-0.190791,-0.190791,-0.190791,-0.190791,-1.75045,-2.40892,-0.0942141,-0.0942141,-0.91749,-0.91749,-0.91749,-0.510027,-0.510027,-0.138447,-0.138447,-0.138447,-2.04569
