# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/standata-d9779c29e13.json
# init = 2 (Default)
# random
#   seed = 1159774946
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-202106080718-2-5615d2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-profile-202106080718-2-134784.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.254184
# Diagonal elements of inverse mass matrix:
# 2.14881, 2.06321, 2.05554, 2.14035, 2.02431
-27.6817,0.992939,0.254184,3,15,0,31.9644,0.776053,1.40054,0.348972,-0.296392,-0.349467,0.776053,1.40054,0.348972,-0.296392,-0.349467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05337,-1.05337,-0.42888,-0.42888,-0.42888,-0.502235,-0.294288,-0.294288,-0.294288,-1.36673,-1.36673,-1.36673,-0.281023,-0.281023,-0.299653,-0.299653,-0.299653,-0.299653,-0.299653,-0.299653,-1.35122,-1.35122,-1.35122,-0.168261,-0.168261,-0.168261,-0.160223,-0.160223,-0.160223,-0.160223,-0.160223,-0.160223,-0.160223,-1.91023,-0.421648,-1.06701,-1.06701,-0.403704,-0.403704,-0.403704,-1.10214,-1.10214,-0.666962,-0.666962,-0.666962,-0.720036
-27.7321,0.953132,0.254184,3,15,0,30.0596,0.120379,-0.217644,-1.52285,-0.18021,-1.86941,0.120379,-0.217644,-1.52285,-0.18021,-1.86941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.538351,-0.538351,-0.876374,-0.876374,-0.876374,-0.176768,-0.554105,-0.554105,-0.554105,-0.854693,-0.854693,-0.854693,-0.128151,-0.128151,-0.239896,-0.239896,-0.239896,-0.239896,-0.239896,-0.239896,-1.5451,-1.5451,-1.5451,-0.71204,-0.71204,-0.71204,-0.17539,-0.17539,-0.17539,-0.17539,-0.17539,-0.17539,-0.17539,-1.82716,-1.57467,-0.232028,-0.232028,-0.534806,-0.534806,-0.534806,-0.881365,-0.881365,-0.169462,-0.169462,-0.169462,-1.85866
-27.3137,0.731181,0.254184,1,3,0,30.7595,-0.367485,0.587171,-1.21873,-0.533432,-2.07379,-0.367485,0.587171,-1.21873,-0.533432,-2.07379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28032,-1.28032,-0.32566,-0.32566,-0.32566,-0.355493,-0.613612,-0.613612,-0.613612,-0.779559,-0.779559,-0.779559,-0.166815,-0.166815,-0.152143,-0.152143,-0.152143,-0.152143,-0.152143,-0.152143,-1.95804,-1.95804,-1.95804,-0.28223,-0.28223,-0.28223,-0.0675477,-0.0675477,-0.0675477,-0.0675477,-0.0675477,-0.0675477,-0.0675477,-2.7285,-1.09339,-0.408089,-0.408089,-0.354354,-0.354354,-0.354354,-1.20941,-1.20941,-0.194172,-0.194172,-0.194172,-1.73453
-27.346,0.988666,0.254184,3,7,0,28.3866,-0.346265,-0.211907,-1.54273,-1.04035,-1.48639,-0.346265,-0.211907,-1.54273,-1.04035,-1.48639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.762581,-0.762581,-0.628223,-0.628223,-0.628223,-0.264102,-0.405153,-0.405153,-0.405153,-1.09924,-1.09924,-1.09924,-0.277465,-0.277465,-0.234487,-0.234487,-0.234487,-0.234487,-0.234487,-0.234487,-1.56531,-1.56531,-1.56531,-0.362369,-0.362369,-0.362369,-0.246529,-0.246529,-0.246529,-0.246529,-0.246529,-0.246529,-0.246529,-1.52101,-0.97556,-0.473179,-0.473179,-0.721714,-0.721714,-0.721714,-0.665373,-0.665373,-0.494793,-0.494793,-0.494793,-0.940832
-30.0581,0.770494,0.254184,4,23,0,32.4035,0.679627,1.47045,0.210666,0.45247,-2.32178,0.679627,1.47045,0.210666,0.45247,-2.32178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16478,-1.16478,-0.373954,-0.373954,-0.373954,-0.485909,-0.586005,-0.586005,-0.586005,-0.813162,-0.813162,-0.813162,-0.0485205,-0.0485205,-0.249758,-0.249758,-0.249758,-0.249758,-0.249758,-0.249758,-1.50954,-1.50954,-1.50954,-0.308458,-0.308458,-0.308458,-0.0222948,-0.0222948,-0.0222948,-0.0222948,-0.0222948,-0.0222948,-0.0222948,-3.81453,-0.82134,-0.579536,-0.579536,-0.0764647,-0.0764647,-0.0764647,-2.60891,-2.60891,-0.0605267,-0.0605267,-0.0605267,-2.83478
-27.4425,0.971986,0.254184,3,7,0,31.3602,-0.0859892,0.140881,-0.502501,-0.126958,-0.849477,-0.0859892,0.140881,-0.502501,-0.126958,-0.849477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.813002,-0.813002,-0.586132,-0.586132,-0.586132,-0.506422,-0.672873,-0.672873,-0.672873,-0.713841,-0.713841,-0.713841,-0.382564,-0.382564,-0.42233,-0.42233,-0.42233,-0.42233,-0.42233,-0.42233,-1.06571,-1.06571,-1.06571,-0.568168,-0.568168,-0.568168,-0.315864,-0.315864,-0.315864,-0.315864,-0.315864,-0.315864,-0.315864,-1.30622,-0.898445,-0.522902,-0.522902,-0.534633,-0.534633,-0.534633,-0.881609,-0.881609,-0.39577,-0.39577,-0.39577,-1.11829
-27.0888,1,0.254184,3,7,0,28.0913,0.363147,1.17225,-0.511309,-0.50856,-1.24937,0.363147,1.17225,-0.511309,-0.50856,-1.24937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17739,-1.17739,-0.368288,-0.368288,-0.368288,-0.348605,-0.349415,-0.349415,-0.349415,-1.22112,-1.22112,-1.22112,-0.18181,-0.18181,-0.170344,-0.170344,-0.170344,-0.170344,-0.170344,-0.170344,-1.8539,-1.8539,-1.8539,-0.170775,-0.170775,-0.170775,-0.0850561,-0.0850561,-0.0850561,-0.0850561,-0.0850561,-0.0850561,-0.0850561,-2.50667,-0.694523,-0.691773,-0.691773,-0.390718,-0.390718,-0.390718,-1.12878,-1.12878,-0.38983,-0.38983,-0.38983,-1.13064
-31.0176,0.722685,0.254184,2,3,0,32.1875,1.43387,-0.224977,-1.04213,-0.223789,-1.87938,1.43387,-0.224977,-1.04213,-0.223789,-1.87938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174255,-0.174255,-1.8331,-1.8331,-1.8331,-0.0807313,-0.174445,-0.174445,-0.174445,-1.8321,-1.8321,-1.8321,-0.0357512,-0.0357512,-0.365815,-0.365815,-0.365815,-0.365815,-0.365815,-0.365815,-1.18296,-1.18296,-1.18296,-0.693741,-0.693741,-0.693741,-0.174967,-0.174967,-0.174967,-0.174967,-0.174967,-0.174967,-0.174967,-1.82937,-1.18379,-0.365452,-0.365452,-0.3597,-0.3597,-0.3597,-1.19695,-1.19695,-0.174777,-0.174777,-0.174777,-1.83036
-27.3111,1,0.254184,2,3,0,31.3401,0.143654,0.884065,-0.550278,0.281398,-1.69443,0.143654,0.884065,-0.550278,0.281398,-1.69443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.13037,-1.13037,-0.389957,-0.389957,-0.389957,-0.405204,-0.764389,-0.764389,-0.764389,-0.626645,-0.626645,-0.626645,-0.147663,-0.147663,-0.213717,-0.213717,-0.213717,-0.213717,-0.213717,-0.213717,-1.64806,-1.64806,-1.64806,-0.436544,-0.436544,-0.436544,-0.0731465,-0.0731465,-0.0731465,-0.0731465,-0.0731465,-0.0731465,-0.0731465,-2.65164,-1.19306,-0.361387,-0.361387,-0.27649,-0.27649,-0.27649,-1.42064,-1.42064,-0.12984,-0.12984,-0.12984,-2.10567
-27.9084,0.946724,0.254184,2,7,0,28.9714,0.406693,0.488393,-0.51648,-1.02257,-1.89177,0.406693,0.488393,-0.51648,-1.02257,-1.89177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.734831,-0.734831,-0.653132,-0.653132,-0.653132,-0.334511,-0.214696,-0.214696,-0.214696,-1.64396,-1.64396,-1.64396,-0.0956858,-0.0956858,-0.311954,-0.311954,-0.311954,-0.311954,-0.311954,-0.311954,-1.31683,-1.31683,-1.31683,-0.199422,-0.199422,-0.199422,-0.0885013,-0.0885013,-0.0885013,-0.0885013,-0.0885013,-0.0885013,-0.0885013,-2.46866,-0.471782,-0.977872,-0.977872,-0.225354,-0.225354,-0.225354,-1.60064,-1.60064,-0.350155,-0.350155,-0.350155,-1.21935
