# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/standata-d9710640d7.json
# init = 2 (Default)
# random
#   seed = 592806576
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-202106080718-2-7157d6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmp5iQMDQ/filed9771d9341c/reference/.bpcs/bt-profile-202106080718-2-3d5196.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.314519
# Diagonal elements of inverse mass matrix:
# 1.60073, 1.55149, 1.60919, 1.65545, 1.6963
-29.4193,0.928623,0.314519,3,7,0,31.4897,3.55378,2.85617,1.73892,2.19489,0.731848,3.55378,2.85617,1.73892,2.19489,0.731848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.403979,-0.403979,-1.10159,-1.10159,-1.10159,-0.150883,-0.228684,-0.228684,-0.228684,-1.58758,-1.58758,-1.58758,-0.0577883,-0.0577883,-0.283056,-0.283056,-0.283056,-0.283056,-0.283056,-0.283056,-1.4003,-1.4003,-1.4003,-0.416201,-0.416201,-0.416201,-0.112895,-0.112895,-0.112895,-0.112895,-0.112895,-0.112895,-0.112895,-2.23722,-0.946898,-0.490929,-0.490929,-0.311364,-0.311364,-0.311364,-1.31844,-1.31844,-0.208258,-0.208258,-0.208258,-1.6713
-29.8646,0.966637,0.314519,3,7,0,31.116,2.53599,4.07758,2.52749,2.8544,1.74101,2.53599,4.07758,2.52749,2.8544,1.74101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73554,-1.73554,-0.193954,-0.193954,-0.193954,-0.688909,-0.864975,-0.864975,-0.864975,-0.54656,-0.54656,-0.54656,-0.37266,-0.37266,-0.192462,-0.192462,-0.192462,-0.192462,-0.192462,-0.192462,-1.74255,-1.74255,-1.74255,-0.257965,-0.257965,-0.257965,-0.0922679,-0.0922679,-0.0922679,-0.0922679,-0.0922679,-0.0922679,-0.0922679,-2.42884,-0.869902,-0.542992,-0.542992,-0.37531,-0.37531,-0.37531,-1.1618,-1.1618,-0.284007,-0.284007,-0.284007,-1.3974
-32.4052,0.874448,0.314519,3,7,0,32.9574,3.15297,3.29968,2.83296,2.15674,2.73271,3.15297,3.29968,2.83296,2.15674,2.73271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.769188,-0.769188,-0.622482,-0.622482,-0.622482,-0.545889,-0.314275,-0.314275,-0.314275,-1.31051,-1.31051,-1.31051,-0.504932,-0.504932,-0.486773,-0.486773,-0.486773,-0.486773,-0.486773,-0.486773,-0.95349,-0.95349,-0.95349,-0.276782,-0.276782,-0.276782,-0.449316,-0.449316,-0.449316,-0.449316,-0.449316,-0.449316,-0.449316,-1.01629,-0.411137,-1.08736,-1.08736,-0.644275,-0.644275,-0.644275,-0.744531,-0.744531,-1.02204,-1.02204,-1.02204,-0.446068
-31.337,0.975743,0.314519,3,15,0,34.9184,2.55337,3.37318,0.820579,2.23639,-0.489957,2.55337,3.37318,0.820579,2.23639,-0.489957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18481,-1.18481,-0.364999,-0.364999,-0.364999,-0.162791,-0.547166,-0.547166,-0.547166,-0.864142,-0.864142,-0.864142,-0.0465744,-0.0465744,-0.0749947,-0.0749947,-0.0749947,-0.0749947,-0.0749947,-0.0749947,-2.6276,-2.6276,-2.6276,-0.278273,-0.278273,-0.278273,-0.0207844,-0.0207844,-0.0207844,-0.0207844,-0.0207844,-0.0207844,-0.0207844,-3.88393,-1.63312,-0.217309,-0.217309,-0.238761,-0.238761,-0.238761,-1.5493,-1.5493,-0.0634045,-0.0634045,-0.0634045,-2.78976
-28.51,0.798457,0.314519,2,7,0,34.6184,2.91992,2.32538,0.943715,1.72643,0.287298,2.91992,2.32538,0.943715,1.72643,0.287298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.439425,-0.439425,-1.03397,-1.03397,-1.03397,-0.129794,-0.264794,-0.264794,-0.264794,-1.45828,-1.45828,-1.45828,-0.069423,-0.069423,-0.224071,-0.224071,-0.224071,-0.224071,-0.224071,-0.224071,-1.60573,-1.60573,-1.60573,-0.437862,-0.437862,-0.437862,-0.122464,-0.122464,-0.122464,-0.122464,-0.122464,-0.122464,-0.122464,-2.16054,-1.15921,-0.37649,-0.37649,-0.417859,-0.417859,-0.417859,-1.07428,-1.07428,-0.212796,-0.212796,-0.212796,-1.65193
-27.2333,0.986573,0.314519,3,7,0,29.0027,0.961398,1.62813,0.953658,0.456379,-0.224246,0.961398,1.62813,0.953658,0.456379,-0.224246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08108,-1.08108,-0.414349,-0.414349,-0.414349,-0.689285,-0.472185,-0.472185,-0.472185,-0.977204,-0.977204,-0.977204,-0.266624,-0.266624,-0.41173,-0.41173,-0.41173,-0.41173,-0.41173,-0.41173,-1.0862,-1.0862,-1.0862,-0.269894,-0.269894,-0.269894,-0.145713,-0.145713,-0.145713,-0.145713,-0.145713,-0.145713,-0.145713,-1.99809,-0.475105,-0.972384,-0.972384,-0.268441,-0.268441,-0.268441,-1.44634,-1.44634,-0.409657,-0.409657,-0.409657,-1.09028
