# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/standata-36587a590498.json
# init = 2 (Default)
# random
#   seed = 1721054867
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-202111100935-3-66b73c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-profile-202111100935-3-0927f5.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.272175
# Diagonal elements of inverse mass matrix:
# 1.89453, 1.85609, 1.90208, 1.90986, 1.91746
-27.3629,0.887907,0.272175,3,7,0,29.0454,-0.402311,0.12771,-0.436336,-0.22137,-1.7392,-0.402311,0.12771,-0.436336,-0.22137,-1.7392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.99287,-0.99287,-0.462848,-0.462848,-0.462848,-0.676279,-0.787705,-0.787705,-0.787705,-0.606763,-0.606763,-0.606763,-0.233221,-0.233221,-0.450376,-0.450376,-0.450376,-0.450376,-0.450376,-0.450376,-1.01442,-1.01442,-1.01442,-0.533762,-0.533762,-0.533762,-0.143754,-0.143754,-0.143754,-0.143754,-0.143754,-0.143754,-0.143754,-2.01067,-0.806396,-0.591429,-0.591429,-0.240395,-0.240395,-0.240395,-1.54326,-1.54326,-0.198183,-0.198183,-0.198183,-1.71602
-27.2873,0.925445,0.272175,3,7,0,28.7822,0.843343,0.460077,-0.185902,-0.101498,-1.30649,0.843343,0.460077,-0.185902,-0.101498,-1.30649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.519764,-0.519764,-0.903031,-0.903031,-0.903031,-0.30548,-0.328398,-0.328398,-0.328398,-1.27324,-1.27324,-1.27324,-0.110202,-0.110202,-0.421436,-0.421436,-0.421436,-0.421436,-0.421436,-0.421436,-1.06742,-1.06742,-1.06742,-0.451273,-0.451273,-0.451273,-0.157788,-0.157788,-0.157788,-0.157788,-0.157788,-0.157788,-0.157788,-1.92436,-0.736239,-0.651836,-0.651836,-0.282232,-0.282232,-0.282232,-1.40282,-1.40282,-0.262128,-0.262128,-0.262128,-1.46712
-28.0609,0.860556,0.272175,3,7,0,31.0353,-0.497913,0.730546,-0.314436,0.0107196,-0.647317,-0.497913,0.730546,-0.314436,0.0107196,-0.647317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48523,-1.48523,-0.256767,-0.256767,-0.256767,-0.789088,-0.979459,-0.979459,-0.979459,-0.470826,-0.470826,-0.470826,-0.621233,-0.621233,-0.301362,-0.301362,-0.301362,-0.301362,-0.301362,-0.301362,-1.34634,-1.34634,-1.34634,-0.396651,-0.396651,-0.396651,-0.224836,-0.224836,-0.224836,-0.224836,-0.224836,-0.224836,-0.224836,-1.6027,-0.868883,-0.543727,-0.543727,-0.540494,-0.540494,-0.540494,-0.873375,-0.873375,-0.417306,-0.417306,-0.417306,-1.07534
-28.3082,0.993795,0.272175,4,19,0,29.4489,1.86013,2.51973,1.73059,1.39854,1.27421,1.86013,2.51973,1.73059,1.39854,1.27421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.07637,-1.07637,-0.416773,-0.416773,-0.416773,-0.630474,-0.488753,-0.488753,-0.488753,-0.950341,-0.950341,-0.950341,-0.4425,-0.4425,-0.374481,-0.374481,-0.374481,-0.374481,-0.374481,-0.374481,-1.16362,-1.16362,-1.16362,-0.282086,-0.282086,-0.282086,-0.252929,-0.252929,-0.252929,-0.252929,-0.252929,-0.252929,-0.252929,-1.49845,-0.540842,-0.87289,-0.87289,-0.49077,-0.49077,-0.49077,-0.947149,-0.947149,-0.632913,-0.632913,-0.632913,-0.757244
-28.5772,0.914584,0.272175,3,7,0,29.8338,2.48615,2.2019,0.378268,0.970567,-0.254511,2.48615,2.2019,0.378268,0.970567,-0.254511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.561087,-0.561087,-0.84534,-0.84534,-0.84534,-0.114663,-0.198588,-0.198588,-0.198588,-1.71417,-1.71417,-1.71417,-0.0625311,-0.0625311,-0.14966,-0.14966,-0.14966,-0.14966,-0.14966,-0.14966,-1.97329,-1.97329,-1.97329,-0.256117,-0.256117,-0.256117,-0.0822639,-0.0822639,-0.0822639,-0.0822639,-0.0822639,-0.0822639,-0.0822639,-2.53867,-1.03252,-0.440224,-0.440224,-0.425995,-0.425995,-0.425995,-1.05877,-1.05877,-0.257533,-0.257533,-0.257533,-1.48261
-29.1238,0.993528,0.272175,4,23,0,30.5311,-0.647202,-0.601599,-1.40506,-0.908638,-3.43241,-0.647202,-0.601599,-1.40506,-0.908638,-3.43241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.716209,-0.716209,-0.670606,-0.670606,-0.670606,-0.384355,-0.570948,-0.570948,-0.570948,-0.832385,-0.832385,-0.832385,-0.0598867,-0.0598867,-0.370028,-0.370028,-0.370028,-0.370028,-0.370028,-0.370028,-1.17349,-1.17349,-1.17349,-0.551366,-0.551366,-0.551366,-0.057292,-0.057292,-0.057292,-0.057292,-0.057292,-0.057292,-0.057292,-2.8881,-0.971854,-0.475428,-0.475428,-0.123707,-0.123707,-0.123707,-2.15105,-2.15105,-0.0771061,-0.0771061,-0.0771061,-2.60088
-33.3249,0.750404,0.272175,2,7,0,34.9403,-0.420201,-0.227749,-0.429969,-0.323155,-3.78116,-0.420201,-0.227749,-0.429969,-0.323155,-3.78116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.793996,-0.793996,-0.601543,-0.601543,-0.601543,-0.688275,-0.742847,-0.742847,-0.742847,-0.645801,-0.645801,-0.645801,-0.0341135,-0.0341135,-0.59714,-0.59714,-0.59714,-0.59714,-0.59714,-0.59714,-0.79936,-0.79936,-0.79936,-0.646582,-0.646582,-0.646582,-0.0282247,-0.0282247,-0.0282247,-0.0282247,-0.0282247,-0.0282247,-0.0282247,-3.58164,-0.74798,-0.641165,-0.641165,-0.0344426,-0.0344426,-0.0344426,-3.38563,-3.38563,-0.0310068,-0.0310068,-0.0310068,-3.48901
-28.4835,0.956297,0.272175,3,15,0,40.3538,2.07421,2.72097,1.09377,0.90565,0.886591,2.07421,2.72097,1.09377,0.90565,0.886591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06793,-1.06793,-0.421166,-0.421166,-0.421166,-0.318562,-0.270649,-0.270649,-0.270649,-1.43921,-1.43921,-1.43921,-0.266163,-0.266163,-0.179383,-0.179383,-0.179383,-0.179383,-0.179383,-0.179383,-1.80658,-1.80658,-1.80658,-0.150818,-0.150818,-0.150818,-0.148172,-0.148172,-0.148172,-0.148172,-0.148172,-0.148172,-0.148172,-1.98255,-0.603502,-0.791627,-0.791627,-0.594911,-0.594911,-0.594911,-0.802095,-0.802095,-0.683663,-0.683663,-0.683663,-0.702722
-28.9061,0.952879,0.272175,3,7,0,30.0788,2.19074,2.04429,1.48392,2.18225,-0.0786665,2.19074,2.04429,1.48392,2.18225,-0.0786665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.622599,-0.622599,-0.769053,-0.769053,-0.769053,-0.400927,-0.688912,-0.688912,-0.688912,-0.6974,-0.6974,-0.6974,-0.0983721,-0.0983721,-0.451711,-0.451711,-0.451711,-0.451711,-0.451711,-0.451711,-1.01208,-1.01208,-1.01208,-0.764507,-0.764507,-0.764507,-0.113041,-0.113041,-0.113041,-0.113041,-0.113041,-0.113041,-0.113041,-2.236,-1.10207,-0.403738,-0.403738,-0.190285,-0.190285,-0.190285,-1.75287,-1.75287,-0.0991705,-0.0991705,-0.0991705,-2.36009
-28.8905,0.920019,0.272175,3,7,0,31.8504,1.95427,3.08116,0.891693,0.969959,0.240724,1.95427,3.08116,0.891693,0.969959,0.240724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.40758,-1.40758,-0.280685,-0.280685,-0.280685,-0.296815,-0.317507,-0.317507,-0.317507,-1.30181,-1.30181,-1.30181,-0.165706,-0.165706,-0.106139,-0.106139,-0.106139,-0.106139,-0.106139,-0.106139,-2.29561,-2.29561,-2.29561,-0.114303,-0.114303,-0.114303,-0.0567583,-0.0567583,-0.0567583,-0.0567583,-0.0567583,-0.0567583,-0.0567583,-2.8972,-0.733046,-0.65478,-0.65478,-0.419723,-0.419723,-0.419723,-1.07069,-1.07069,-0.39358,-0.39358,-0.39358,-1.12281
