# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/standata-3658549552a5.json
# init = 2 (Default)
# random
#   seed = 1570237587
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-202111100936-1-2df437.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-profile-202111100936-1-0325ce.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.267248
# Diagonal elements of inverse mass matrix:
# 1.85221, 1.83881, 1.85308, 1.74179, 1.90988
-32.7285,0.907985,0.267248,3,7,0,35.9332,3.87703,3.35482,2.59019,4.07961,1.08195,3.87703,3.35482,2.59019,4.07961,1.08195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.465752,-0.465752,-0.987956,-0.987956,-0.987956,-0.243841,-0.799558,-0.799558,-0.799558,-0.596979,-0.596979,-0.596979,-0.0593159,-0.0593159,-0.382198,-0.382198,-0.382198,-0.382198,-0.382198,-0.382198,-1.14684,-1.14684,-1.14684,-1.11981,-1.11981,-1.11981,-0.0980483,-0.0980483,-0.0980483,-0.0980483,-0.0980483,-0.0980483,-0.0980483,-2.37092,-1.69277,-0.203352,-0.203352,-0.199916,-0.199916,-0.199916,-1.70815,-1.70815,-0.0486988,-0.0486988,-0.0486988,-3.04635
-29.5484,1,0.267248,2,3,0,33.2907,3.92089,4.0778,2.64182,2.97746,2.32114,3.92089,4.0778,2.64182,2.97746,2.32114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.774674,-0.774674,-0.617769,-0.617769,-0.617769,-0.245528,-0.328792,-0.328792,-0.328792,-1.27223,-1.27223,-1.27223,-0.183943,-0.183943,-0.213403,-0.213403,-0.213403,-0.213403,-0.213403,-0.213403,-1.64938,-1.64938,-1.64938,-0.28725,-0.28725,-0.28725,-0.159242,-0.159242,-0.159242,-0.159242,-0.159242,-0.159242,-0.159242,-1.91589,-0.87498,-0.539345,-0.539345,-0.545608,-0.545608,-0.545608,-0.866285,-0.866285,-0.417895,-0.417895,-0.417895,-1.07421
-29.2976,1,0.267248,3,7,0,29.5832,3.78614,4.00182,2.62536,3.09164,2.32281,3.78614,4.00182,2.62536,3.09164,2.32281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.806789,-0.806789,-0.591112,-0.591112,-0.591112,-0.272499,-0.405013,-0.405013,-0.405013,-1.09952,-1.09952,-1.09952,-0.208205,-0.208205,-0.225119,-0.225119,-0.225119,-0.225119,-0.225119,-0.225119,-1.60157,-1.60157,-1.60157,-0.338221,-0.338221,-0.338221,-0.171058,-0.171058,-0.171058,-0.171058,-0.171058,-0.171058,-0.171058,-1.85006,-0.953217,-0.486945,-0.486945,-0.553271,-0.553271,-0.553271,-0.85582,-0.85582,-0.380871,-0.380871,-0.380871,-1.14969
-29.142,0.726179,0.267248,3,7,0,32.6049,3.77426,3.68559,2.57656,2.68533,1.60669,3.77426,3.68559,2.57656,2.68533,1.60669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.649796,-0.649796,-0.738463,-0.738463,-0.738463,-0.263816,-0.290112,-0.290112,-0.290112,-1.37904,-1.37904,-1.37904,-0.108366,-0.108366,-0.285088,-0.285088,-0.285088,-0.285088,-0.285088,-0.285088,-1.39412,-1.39412,-1.39412,-0.313191,-0.313191,-0.313191,-0.117843,-0.117843,-0.117843,-0.117843,-0.117843,-0.117843,-0.117843,-2.19674,-0.749009,-0.640242,-0.640242,-0.321454,-0.321454,-0.321454,-1.29133,-1.29133,-0.292713,-0.292713,-0.292713,-1.37135
-28.5151,0.928595,0.267248,3,15,0,33.542,1.44343,2.42336,0.925425,1.82209,1.01202,1.44343,2.42336,0.925425,1.82209,1.01202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.29863,-1.29863,-0.318699,-0.318699,-0.318699,-0.467318,-0.900295,-0.900295,-0.900295,-0.521634,-0.521634,-0.521634,-0.50053,-0.50053,-0.20179,-0.20179,-0.20179,-0.20179,-0.20179,-0.20179,-1.69973,-1.69973,-1.69973,-0.437038,-0.437038,-0.437038,-0.218185,-0.218185,-0.218185,-0.218185,-0.218185,-0.218185,-0.218185,-1.62952,-1.23878,-0.342119,-0.342119,-0.737383,-0.737383,-0.737383,-0.650786,-0.650786,-0.36799,-0.36799,-0.36799,-1.17806
-27.6331,0.961242,0.267248,4,23,0,30.0475,-0.12125,0.188039,-0.770259,-0.288449,-0.719333,-0.12125,0.188039,-0.770259,-0.288449,-0.719333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.859702,-0.859702,-0.550413,-0.550413,-0.550413,-0.420395,-0.613038,-0.613038,-0.613038,-0.780237,-0.780237,-0.780237,-0.438168,-0.438168,-0.324649,-0.324649,-0.324649,-0.324649,-0.324649,-0.324649,-1.28295,-1.28295,-1.28295,-0.483019,-0.483019,-0.483019,-0.339029,-0.339029,-0.339029,-0.339029,-0.339029,-0.339029,-0.339029,-1.2464,-0.962794,-0.480983,-0.480983,-0.718934,-0.718934,-0.718934,-0.668008,-0.668008,-0.500735,-0.500735,-0.500735,-0.93162
