# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/standata-36585234f778.json
# init = 2 (Default)
# random
#   seed = 1870557270
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-202111100936-3-35b139.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-profile-202111100936-3-48ebc8.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.214305
# Diagonal elements of inverse mass matrix:
# 1.68569, 1.77653, 1.76555, 1.74667, 1.77732
-26.917,0.999849,0.214305,3,7,0,28.1959,0.597009,1.07189,0.452475,0.113489,-0.705577,0.597009,1.07189,0.452475,0.113489,-0.705577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.958516,-0.958516,-0.483635,-0.483635,-0.483635,-0.623489,-0.480331,-0.480331,-0.480331,-0.963851,-0.963851,-0.963851,-0.240455,-0.240455,-0.430651,-0.430651,-0.430651,-0.430651,-0.430651,-0.430651,-1.05007,-1.05007,-1.05007,-0.324621,-0.324621,-0.324621,-0.156205,-0.156205,-0.156205,-0.156205,-0.156205,-0.156205,-0.156205,-1.93367,-0.53795,-0.876936,-0.876936,-0.27315,-0.27315,-0.27315,-1.4312,-1.4312,-0.365229,-0.365229,-0.365229,-1.18429
-26.5426,0.980725,0.214305,3,7,0,27.6495,0.841218,0.81274,-0.269926,0.415981,-0.902258,0.841218,0.81274,-0.269926,0.415981,-0.902258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.679009,-0.679009,-0.707488,-0.707488,-0.707488,-0.284564,-0.502964,-0.502964,-0.502964,-0.928201,-0.928201,-0.928201,-0.161193,-0.161193,-0.291693,-0.291693,-0.291693,-0.291693,-0.291693,-0.291693,-1.37436,-1.37436,-1.37436,-0.514317,-0.514317,-0.514317,-0.165484,-0.165484,-0.165484,-0.165484,-0.165484,-0.165484,-0.165484,-1.88048,-1.09379,-0.407884,-0.407884,-0.426151,-0.426151,-0.426151,-1.05848,-1.05848,-0.23713,-0.23713,-0.23713,-1.55537
-27.1228,0.939203,0.214305,2,7,0,27.7844,0.638137,0.612663,-0.369296,0.539205,-0.6491,0.638137,0.612663,-0.369296,0.539205,-0.6491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.680491,-0.680491,-0.705966,-0.705966,-0.705966,-0.311268,-0.644904,-0.644904,-0.644904,-0.743836,-0.743836,-0.743836,-0.243755,-0.243755,-0.318146,-0.318146,-0.318146,-0.318146,-0.318146,-0.318146,-1.3001,-1.3001,-1.3001,-0.657093,-0.657093,-0.657093,-0.249321,-0.249321,-0.249321,-0.249321,-0.249321,-0.249321,-0.249321,-1.51108,-1.24721,-0.338704,-0.338704,-0.562999,-0.562999,-0.562999,-0.842804,-0.842804,-0.266002,-0.266002,-0.266002,-1.45431
-26.6193,0.993433,0.214305,2,3,0,27.3169,0.686954,0.873762,-0.409427,0.472831,-0.751097,0.686954,0.873762,-0.409427,0.472831,-0.751097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.790907,-0.790907,-0.604099,-0.604099,-0.604099,-0.28824,-0.591806,-0.591806,-0.591806,-0.805929,-0.805929,-0.805929,-0.213004,-0.213004,-0.244633,-0.244633,-0.244633,-0.244633,-0.244633,-0.244633,-1.52782,-1.52782,-1.52782,-0.512642,-0.512642,-0.512642,-0.179768,-0.179768,-0.179768,-0.179768,-0.179768,-0.179768,-0.179768,-1.80463,-1.22857,-0.346315,-0.346315,-0.536834,-0.536834,-0.536834,-0.878504,-0.878504,-0.257795,-0.257795,-0.257795,-1.48172
-26.6193,0.734618,0.214305,2,3,0,30.3691,0.686954,0.873762,-0.409427,0.472831,-0.751097,0.686954,0.873762,-0.409427,0.472831,-0.751097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.790907,-0.790907,-0.604099,-0.604099,-0.604099,-0.28824,-0.591806,-0.591806,-0.591806,-0.805929,-0.805929,-0.805929,-0.213004,-0.213004,-0.244633,-0.244633,-0.244633,-0.244633,-0.244633,-0.244633,-1.52782,-1.52782,-1.52782,-0.512642,-0.512642,-0.512642,-0.179768,-0.179768,-0.179768,-0.179768,-0.179768,-0.179768,-0.179768,-1.80463,-1.22857,-0.346315,-0.346315,-0.536834,-0.536834,-0.536834,-0.878504,-0.878504,-0.257795,-0.257795,-0.257795,-1.48172
-29.4341,0.90238,0.214305,4,23,0,30.8046,0.206581,1.83845,1.25226,0.573894,-0.268615,0.206581,1.83845,1.25226,0.573894,-0.268615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.81049,-1.81049,-0.178617,-0.178617,-0.178617,-1.34686,-0.893574,-0.893574,-0.893574,-0.526262,-0.526262,-0.526262,-0.483514,-0.483514,-0.442402,-0.442402,-0.442402,-0.442402,-0.442402,-0.442402,-1.02859,-1.02859,-1.02859,-0.248705,-0.248705,-0.248705,-0.114751,-0.114751,-0.114751,-0.114751,-0.114751,-0.114751,-0.114751,-2.22182,-0.410416,-1.08878,-1.08878,-0.197637,-0.197637,-0.197637,-1.71851,-1.71851,-0.358114,-0.358114,-0.358114,-1.20062
-29.7313,0.953013,0.214305,3,7,0,32.6129,1.60598,1.49353,-0.419206,1.3691,0.363365,1.60598,1.49353,-0.419206,1.3691,0.363365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.638503,-0.638503,-0.750951,-0.750951,-0.750951,-0.123959,-0.581704,-0.581704,-0.581704,-0.818586,-0.818586,-0.818586,-0.253579,-0.253579,-0.137739,-0.137739,-0.137739,-0.137739,-0.137739,-0.137739,-2.05048,-2.05048,-2.05048,-0.632864,-0.632864,-0.632864,-0.279886,-0.279886,-0.279886,-0.279886,-0.279886,-0.279886,-0.279886,-1.41005,-1.94295,-0.154645,-0.154645,-1.15911,-1.15911,-1.15911,-0.376537,-0.376537,-0.311723,-0.311723,-0.311723,-1.31746
-28.4744,0.999758,0.214305,3,15,0,30.9141,1.65717,1.48229,0.104369,1.51994,0.369005,1.65717,1.48229,0.104369,1.51994,0.369005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.609528,-0.609528,-0.784402,-0.784402,-0.784402,-0.191987,-0.626887,-0.626887,-0.626887,-0.764111,-0.764111,-0.764111,-0.243555,-0.243555,-0.224823,-0.224823,-0.224823,-0.224823,-0.224823,-0.224823,-1.60275,-1.60275,-1.60275,-0.712149,-0.712149,-0.712149,-0.284033,-0.284033,-0.284033,-0.284033,-0.284033,-0.284033,-0.284033,-1.39732,-1.63293,-0.217356,-0.217356,-0.834193,-0.834193,-0.834193,-0.569558,-0.569558,-0.274855,-0.274855,-0.274855,-1.42579
-28.6319,0.994495,0.214305,3,15,0,29.6113,0.303039,1.55235,0.476945,-0.19184,-1.47319,0.303039,1.55235,0.476945,-0.19184,-1.47319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.50139,-1.50139,-0.252082,-0.252082,-0.252082,-0.783876,-0.476013,-0.476013,-0.476013,-0.970893,-0.970893,-0.970893,-0.156385,-0.156385,-0.293534,-0.293534,-0.293534,-0.293534,-0.293534,-0.293534,-1.36894,-1.36894,-1.36894,-0.161086,-0.161086,-0.161086,-0.0473908,-0.0473908,-0.0473908,-0.0473908,-0.0473908,-0.0473908,-0.0473908,-3.07293,-0.413652,-1.08244,-1.08244,-0.133005,-0.133005,-0.133005,-2.08314,-2.08314,-0.245033,-0.245033,-0.245033,-1.52638
-26.6237,0.999788,0.214305,3,7,0,28.9874,0.423772,1.29937,0.177641,0.430563,-0.583598,0.423772,1.29937,0.177641,0.430563,-0.583598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.22387,-1.22387,-0.348269,-0.348269,-0.348269,-0.577636,-0.696548,-0.696548,-0.696548,-0.689757,-0.689757,-0.689757,-0.311285,-0.311285,-0.281953,-0.281953,-0.281953,-0.281953,-0.281953,-0.281953,-1.40368,-1.40368,-1.40368,-0.350271,-0.350271,-0.350271,-0.141619,-0.141619,-0.141619,-0.141619,-0.141619,-0.141619,-0.141619,-2.02459,-0.827583,-0.574661,-0.574661,-0.383279,-0.383279,-0.383279,-1.14452,-1.14452,-0.309473,-0.309473,-0.309473,-1.32363
-27.3677,0.822675,0.214305,3,7,0,31.3677,1.1458,2.23847,0.405684,0.662719,-0.0723665,1.1458,2.23847,0.405684,0.662719,-0.0723665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38184,-1.38184,-0.289173,-0.289173,-0.289173,-0.390052,-0.480498,-0.480498,-0.480498,-0.96358,-0.96358,-0.96358,-0.259106,-0.259106,-0.148392,-0.148392,-0.148392,-0.148392,-0.148392,-0.148392,-1.98117,-1.98117,-1.98117,-0.188016,-0.188016,-0.188016,-0.0945633,-0.0945633,-0.0945633,-0.0945633,-0.0945633,-0.0945633,-0.0945633,-2.4054,-0.8299,-0.572865,-0.572865,-0.482421,-0.482421,-0.482421,-0.960471,-0.960471,-0.39168,-0.39168,-0.39168,-1.12677
-27.9385,0.989102,0.214305,4,31,0,29.0682,1.51333,1.88177,1.43265,1.38879,0.733804,1.51333,1.88177,1.43265,1.38879,0.733804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.894238,-0.894238,-0.525802,-0.525802,-0.525802,-0.653617,-0.632812,-0.632812,-0.632812,-0.757357,-0.757357,-0.757357,-0.377492,-0.377492,-0.493591,-0.493591,-0.493591,-0.493591,-0.493591,-0.493591,-0.942714,-0.942714,-0.942714,-0.476733,-0.476733,-0.476733,-0.27557,-0.27557,-0.27557,-0.27557,-0.27557,-0.27557,-0.27557,-1.42354,-0.671459,-0.715317,-0.715317,-0.40357,-0.40357,-0.40357,-1.10241,-1.10241,-0.418348,-0.418348,-0.418348,-1.07333
-28.6613,0.960839,0.214305,2,7,0,29.9567,1.15804,2.09413,1.46437,1.15687,0.972312,1.15804,2.09413,1.46437,1.15687,0.972312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26695,-1.26695,-0.330854,-0.330854,-0.330854,-0.857999,-0.692563,-0.692563,-0.692563,-0.693732,-0.693732,-0.693732,-0.60459,-0.60459,-0.427044,-0.427044,-0.427044,-0.427044,-0.427044,-0.427044,-1.0568,-1.0568,-1.0568,-0.330525,-0.330525,-0.330525,-0.28193,-0.28193,-0.28193,-0.28193,-0.28193,-0.28193,-0.28193,-1.40375,-0.551169,-0.858673,-0.858673,-0.477082,-0.477082,-0.477082,-0.969142,-0.969142,-0.605121,-0.605121,-0.605121,-0.789677
-30.029,0.948199,0.214305,4,15,0,31.0555,1.33176,0.794312,-0.222592,0.995574,-2.0638,1.33176,0.794312,-0.222592,0.995574,-2.0638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.460102,-0.460102,-0.997553,-0.997553,-0.997553,-0.191715,-0.539115,-0.539115,-0.539115,-0.875303,-0.875303,-0.875303,-0.0329722,-0.0329722,-0.308744,-0.308744,-0.308744,-0.308744,-0.308744,-0.308744,-1.32565,-1.32565,-1.32565,-0.798833,-0.798833,-0.798833,-0.0557914,-0.0557914,-0.0557914,-0.0557914,-0.0557914,-0.0557914,-0.0557914,-2.9139,-1.47727,-0.259107,-0.259107,-0.147235,-0.147235,-0.147235,-1.98844,-1.98844,-0.0458498,-0.0458498,-0.0458498,-3.10522
-27.3361,0.981116,0.214305,3,7,0,31.2311,0.549452,1.56059,0.217153,0.16748,-1.23927,0.549452,1.56059,0.217153,0.16748,-1.23927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32142,-1.32142,-0.310277,-0.310277,-0.310277,-0.540737,-0.520289,-0.520289,-0.520289,-0.902261,-0.902261,-0.902261,-0.154585,-0.154585,-0.231862,-0.231862,-0.231862,-0.231862,-0.231862,-0.231862,-1.5753,-1.5753,-1.5753,-0.221783,-0.221783,-0.221783,-0.0590405,-0.0590405,-0.0590405,-0.0590405,-0.0590405,-0.0590405,-0.0590405,-2.85891,-0.668619,-0.718292,-0.718292,-0.209505,-0.209505,-0.209505,-1.66593,-1.66593,-0.219085,-0.219085,-0.219085,-1.62584
-28.258,0.978846,0.214305,3,7,0,29.1545,0.0119981,0.514668,0.218173,0.145545,-0.442799,0.0119981,0.514668,0.218173,0.145545,-0.442799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.97574,-0.97574,-0.47307,-0.47307,-0.47307,-0.801539,-0.762148,-0.762148,-0.762148,-0.628602,-0.628602,-0.628602,-0.491384,-0.491384,-0.555849,-0.555849,-0.555849,-0.555849,-0.555849,-0.555849,-0.852343,-0.852343,-0.852343,-0.525521,-0.525521,-0.525521,-0.32488,-0.32488,-0.32488,-0.32488,-0.32488,-0.32488,-0.32488,-1.28235,-0.657492,-0.730121,-0.730121,-0.416305,-0.416305,-0.416305,-1.07728,-1.07728,-0.441634,-0.441634,-0.441634,-1.02998
-28.923,0.956824,0.214305,3,15,0,30.181,1.47483,2.20028,-0.270852,0.275597,-0.865163,1.47483,2.20028,-0.270852,0.275597,-0.865163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12026,-1.12026,-0.394814,-0.394814,-0.394814,-0.160865,-0.26346,-0.26346,-0.26346,-1.46269,-1.46269,-1.46269,-0.0919667,-0.0919667,-0.0811094,-0.0811094,-0.0811094,-0.0811094,-0.0811094,-0.0811094,-2.55224,-2.55224,-2.55224,-0.13621,-0.13621,-0.13621,-0.0455787,-0.0455787,-0.0455787,-0.0455787,-0.0455787,-0.0455787,-0.0455787,-3.11102,-1.00324,-0.456793,-0.456793,-0.439508,-0.439508,-0.439508,-1.03382,-1.03382,-0.277311,-0.277311,-0.277311,-1.41807
-26.5356,0.952625,0.214305,3,15,0,32.8236,1.01725,1.39891,-0.0335458,0.204239,-0.76696,1.01725,1.39891,-0.0335458,0.204239,-0.76696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.902078,-0.902078,-0.520414,-0.520414,-0.520414,-0.299852,-0.367085,-0.367085,-0.367085,-1.1801,-1.1801,-1.1801,-0.155233,-0.155233,-0.214079,-0.214079,-0.214079,-0.214079,-0.214079,-0.214079,-1.64654,-1.64654,-1.64654,-0.264517,-0.264517,-0.264517,-0.10854,-0.10854,-0.10854,-0.10854,-0.10854,-0.10854,-0.10854,-2.27441,-0.819091,-0.581306,-0.581306,-0.392222,-0.392222,-0.392222,-1.12564,-1.12564,-0.32109,-0.32109,-0.32109,-1.29229
-27.2812,0.946387,0.214305,3,15,0,28.392,0.981597,1.79042,0.195412,0.01975,-0.638476,0.981597,1.79042,0.195412,0.01975,-0.638476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1772,-1.1772,-0.368374,-0.368374,-0.368374,-0.375404,-0.323667,-0.323667,-0.323667,-1.28551,-1.28551,-1.28551,-0.180557,-0.180557,-0.184741,-0.184741,-0.184741,-0.184741,-0.184741,-0.184741,-1.77975,-1.77975,-1.77975,-0.157191,-0.157191,-0.157191,-0.0844645,-0.0844645,-0.0844645,-0.0844645,-0.0844645,-0.0844645,-0.0844645,-2.51336,-0.609168,-0.78483,-0.78483,-0.360717,-0.360717,-0.360717,-1.1946,-1.1946,-0.417242,-0.417242,-0.417242,-1.07547
