# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/standata-36586fc7e051.json
# init = 2 (Default)
# random
#   seed = 1798035723
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-202111100936-4-1692c0.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-profile-202111100936-4-570e93.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.253936
# Diagonal elements of inverse mass matrix:
# 2.06923, 2.04282, 2.15703, 2.13284, 2.08069
-32.5775,1,0.253936,4,15,0,37.3855,-2.49895,-2.82951,-2.57477,-2.96206,-4.54201,-2.49895,-2.82951,-2.57477,-2.96206,-4.54201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.541464,-0.541464,-0.872025,-0.872025,-0.872025,-0.655955,-0.488164,-0.488164,-0.488164,-0.951276,-0.951276,-0.951276,-0.121891,-0.121891,-0.828607,-0.828607,-0.828607,-0.828607,-0.828607,-0.828607,-0.573867,-0.573867,-0.573867,-0.629067,-0.629067,-0.629067,-0.165865,-0.165865,-0.165865,-0.165865,-0.165865,-0.165865,-0.165865,-1.87837,-0.518136,-0.905425,-0.905425,-0.13089,-0.13089,-0.13089,-2.09813,-2.09813,-0.187297,-0.187297,-0.187297,-1.76725
-32.2525,0.964101,0.253936,3,7,0,36.7573,-1.55622,-2.32802,-2.66454,-2.87822,-4.7541,-1.55622,-2.32802,-2.66454,-2.87822,-4.7541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37993,-0.37993,-1.15173,-1.15173,-1.15173,-0.285263,-0.236337,-0.236337,-0.236337,-1.55834,-1.55834,-1.55834,-0.0400365,-0.0400365,-0.538974,-0.538974,-0.538974,-0.538974,-0.538974,-0.538974,-0.875501,-0.875501,-0.875501,-0.455418,-0.455418,-0.455418,-0.0846926,-0.0846926,-0.0846926,-0.0846926,-0.0846926,-0.0846926,-0.0846926,-2.51077,-0.592005,-0.805682,-0.805682,-0.116664,-0.116664,-0.116664,-2.20622,-2.20622,-0.142558,-0.142558,-0.142558,-2.01844
-33.1094,0.598042,0.253936,3,7,0,39.2662,-2.99017,-2.32306,-2.18543,-3.47104,-3.28706,-2.99017,-2.32306,-2.18543,-3.47104,-3.28706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08133,-1.08133,-0.41422,-0.41422,-0.41422,-1.17437,-0.481343,-0.481343,-0.481343,-0.962211,-0.962211,-0.962211,-0.555678,-0.555678,-0.764327,-0.764327,-0.764327,-0.764327,-0.764327,-0.764327,-0.626699,-0.626699,-0.626699,-0.275567,-0.275567,-0.275567,-0.323071,-0.323071,-0.323071,-0.323071,-0.323071,-0.323071,-0.323071,-1.28707,-0.244109,-1.52971,-1.52971,-0.286928,-0.286928,-0.286928,-1.38856,-1.38856,-0.789359,-0.789359,-0.789359,-0.605385
-30.906,0.939715,0.253936,3,7,0,35.012,-2.0877,-1.8093,-4.04034,-2.58614,-4.61807,-2.0877,-1.8093,-4.04034,-2.58614,-4.61807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.842002,-0.842002,-0.563606,-0.563606,-0.563606,-0.132692,-0.474665,-0.474665,-0.474665,-0.973108,-0.973108,-0.973108,-0.0766181,-0.0766181,-0.10203,-0.10203,-0.10203,-0.10203,-0.10203,-0.10203,-2.33307,-2.33307,-2.33307,-0.378339,-0.378339,-0.378339,-0.0585325,-0.0585325,-0.0585325,-0.0585325,-0.0585325,-0.0585325,-0.0585325,-2.8673,-1.66413,-0.209926,-0.209926,-0.445438,-0.445438,-0.445438,-1.02316,-1.02316,-0.123176,-0.123176,-0.123176,-2.1551
-31.126,0.981128,0.253936,3,7,0,33.4576,-3.21302,-2.6529,-4.52283,-3.40411,-5.06699,-3.21302,-2.6529,-4.52283,-3.40411,-5.06699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01193,-1.01193,-0.451799,-0.451799,-0.451799,-0.238916,-0.60216,-0.60216,-0.60216,-0.793249,-0.793249,-0.793249,-0.145497,-0.145497,-0.14335,-0.14335,-0.14335,-0.14335,-0.14335,-0.14335,-2.01329,-2.01329,-2.01329,-0.38648,-0.38648,-0.38648,-0.0856714,-0.0856714,-0.0856714,-0.0856714,-0.0856714,-0.0856714,-0.0856714,-2.49977,-1.40141,-0.282693,-0.282693,-0.457634,-0.457634,-0.457634,-1.00179,-1.00179,-0.173611,-0.173611,-0.173611,-1.83649
-32.1832,0.983458,0.253936,3,7,0,32.8571,-3.97497,-2.79186,-4.58031,-4.07798,-5.47719,-3.97497,-2.79186,-4.58031,-4.07798,-5.47719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45032,-1.45032,-0.267218,-0.267218,-0.267218,-0.435598,-0.64297,-0.64297,-0.64297,-0.745976,-0.745976,-0.745976,-0.201009,-0.201009,-0.154624,-0.154624,-0.154624,-0.154624,-0.154624,-0.154624,-1.94307,-1.94307,-1.94307,-0.243999,-0.243999,-0.243999,-0.0659742,-0.0659742,-0.0659742,-0.0659742,-0.0659742,-0.0659742,-0.0659742,-2.7513,-0.975532,-0.473196,-0.473196,-0.342058,-0.342058,-0.342058,-1.23893,-1.23893,-0.220573,-0.220573,-0.220573,-1.61979
