# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/standata-36581760503b.json
# init = 2 (Default)
# random
#   seed = 736785118
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-202111100936-4-2cc991.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-profile-202111100936-4-40f8e9.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.232909
# Diagonal elements of inverse mass matrix:
# 2.16831, 2.20311, 2.19274, 2.1453, 2.15638
-34.6604,0.548745,0.232909,2,3,0,37.6064,3.33638,2.98732,2.68638,3.90978,2.78737,3.33638,2.98732,2.68638,3.90978,2.78737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.53377,-0.53377,-0.882832,-0.882832,-0.882832,-0.420053,-1.02039,-1.02039,-1.02039,-0.446996,-0.446996,-0.446996,-0.455854,-0.455854,-0.553953,-0.553953,-0.553953,-0.553953,-0.553953,-0.553953,-0.854899,-0.854899,-0.854899,-1.25717,-1.25717,-1.25717,-0.598161,-0.598161,-0.598161,-0.598161,-0.598161,-0.598161,-0.598161,-0.798111,-1.48132,-0.257914,-0.257914,-0.74492,-0.74492,-0.74492,-0.643924,-0.643924,-0.281786,-0.281786,-0.281786,-1.40419
-30.8095,0.982016,0.232909,4,23,0,38.5813,2.28506,0.887358,-0.14434,1.4948,-0.392168,2.28506,0.887358,-0.14434,1.4948,-0.392168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.220872,-0.220872,-1.61858,-1.61858,-1.61858,-0.0844233,-0.374131,-0.374131,-0.374131,-1.16439,-1.16439,-1.16439,-0.0664928,-0.0664928,-0.304835,-0.304835,-0.304835,-0.304835,-0.304835,-0.304835,-1.33653,-1.33653,-1.33653,-1.0423,-1.0423,-1.0423,-0.245429,-0.245429,-0.245429,-0.245429,-0.245429,-0.245429,-0.245429,-1.52495,-1.81658,-0.177431,-0.177431,-0.576891,-0.576891,-0.576891,-0.824719,-0.824719,-0.141091,-0.141091,-0.141091,-2.02806
-27.7168,0.969703,0.232909,2,3,0,32.0226,1.61162,2.02922,0.158606,1.44056,-0.462999,1.61162,2.02922,0.158606,1.44056,-0.462999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.923585,-0.923585,-0.505992,-0.505992,-0.505992,-0.21015,-0.61127,-0.61127,-0.61127,-0.782331,-0.782331,-0.782331,-0.11832,-0.11832,-0.14326,-0.14326,-0.14326,-0.14326,-0.14326,-0.14326,-2.01387,-2.01387,-2.01387,-0.441523,-0.441523,-0.441523,-0.0794824,-0.0794824,-0.0794824,-0.0794824,-0.0794824,-0.0794824,-0.0794824,-2.5717,-1.52686,-0.2449,-0.2449,-0.429886,-0.429886,-0.429886,-1.05149,-1.05149,-0.138924,-0.138924,-0.138924,-2.04249
-27.3645,0.909985,0.232909,2,7,0,29.5623,0.788157,1.98327,0.766455,0.440999,-0.360348,0.788157,1.98327,0.766455,0.440999,-0.360348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45953,-1.45953,-0.264417,-0.264417,-0.264417,-0.682355,-0.534558,-0.534558,-0.534558,-0.881716,-0.881716,-0.881716,-0.275441,-0.275441,-0.259416,-0.259416,-0.259416,-0.259416,-0.259416,-0.259416,-1.47623,-1.47623,-1.47623,-0.193835,-0.193835,-0.193835,-0.0916492,-0.0916492,-0.0916492,-0.0916492,-0.0916492,-0.0916492,-0.0916492,-2.43526,-0.543601,-0.869057,-0.869057,-0.280709,-0.280709,-0.280709,-1.40751,-1.40751,-0.370683,-0.370683,-0.370683,-1.17203
-26.8324,0.987832,0.232909,3,15,0,28.4865,0.942957,0.977856,-0.468177,0.132238,-0.611563,0.942957,0.977856,-0.468177,0.132238,-0.611563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.710749,-0.710749,-0.67585,-0.67585,-0.67585,-0.218225,-0.36779,-0.36779,-0.36779,-1.17851,-1.17851,-1.17851,-0.191687,-0.191687,-0.211478,-0.211478,-0.211478,-0.211478,-0.211478,-0.211478,-1.65751,-1.65751,-1.65751,-0.357179,-0.357179,-0.357179,-0.185686,-0.185686,-0.185686,-0.185686,-0.185686,-0.185686,-0.185686,-1.7751,-1.03776,-0.437341,-0.437341,-0.624022,-0.624022,-0.624022,-0.767408,-0.767408,-0.388864,-0.388864,-0.388864,-1.13266
-28.6351,0.839032,0.232909,3,7,0,29.4344,-0.434273,1.25916,-0.44542,0.124184,-1.44233,-0.434273,1.25916,-0.44542,0.124184,-1.44233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.86224,-1.86224,-0.168803,-0.168803,-0.168803,-0.687589,-1.01086,-1.01086,-1.01086,-0.452406,-0.452406,-0.452406,-0.3111,-0.3111,-0.16708,-0.16708,-0.16708,-0.16708,-0.16708,-0.16708,-1.87166,-1.87166,-1.87166,-0.278714,-0.278714,-0.278714,-0.0649494,-0.0649494,-0.0649494,-0.0649494,-0.0649494,-0.0649494,-0.0649494,-2.76645,-1.01797,-0.448364,-0.448364,-0.314093,-0.314093,-0.314093,-1.31101,-1.31101,-0.189604,-0.189604,-0.189604,-1.75612
