# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/standata-36583204b1eb.json
# init = 2 (Default)
# random
#   seed = 155239125
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-202111100936-4-5654a9.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/Rtmpp7JDRw/file3658583a8dc4/reference/.bpcs/bt-profile-202111100936-4-76feb7.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.310038
# Diagonal elements of inverse mass matrix:
# 1.73997, 1.54556, 1.65309, 1.5806, 1.72955
-27.3858,1,0.310038,2,7,0,27.6392,2.44807,2.94622,1.67784,1.94373,0.809268,2.44807,2.94622,1.67784,1.94373,0.809268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.972922,-0.972922,-0.474778,-0.474778,-0.474778,-0.380424,-0.472438,-0.472438,-0.472438,-0.976785,-0.976785,-0.976785,-0.177487,-0.177487,-0.247866,-0.247866,-0.247866,-0.247866,-0.247866,-0.247866,-1.51624,-1.51624,-1.51624,-0.312593,-0.312593,-0.312593,-0.111554,-0.111554,-0.111554,-0.111554,-0.111554,-0.111554,-0.111554,-2.2485,-0.834901,-0.569015,-0.569015,-0.35034,-0.35034,-0.35034,-1.21891,-1.21891,-0.27884,-0.27884,-0.27884,-1.4133
-27.065,0.853363,0.310038,3,11,0,29.349,0.49485,1.22973,0.499534,0.272986,-0.256675,0.49485,1.22973,0.499534,0.272986,-0.256675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12663,-1.12663,-0.391747,-0.391747,-0.391747,-0.695492,-0.588355,-0.588355,-0.588355,-0.81022,-0.81022,-0.81022,-0.386382,-0.386382,-0.393267,-0.393267,-0.393267,-0.393267,-0.393267,-0.393267,-1.12346,-1.12346,-1.12346,-0.32508,-0.32508,-0.32508,-0.203907,-0.203907,-0.203907,-0.203907,-0.203907,-0.203907,-0.203907,-1.69031,-0.586275,-0.812823,-0.812823,-0.384883,-0.384883,-0.384883,-1.14109,-1.14109,-0.462982,-0.462982,-0.462982,-0.992643
-27.8299,0.774931,0.310038,3,7,0,29.8204,0.62586,-0.0465933,-1.07304,-0.0949995,-1.79654,0.62586,-0.0465933,-1.07304,-0.0949995,-1.79654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.412411,-0.412411,-1.08486,-1.08486,-1.08486,-0.167956,-0.396313,-0.396313,-0.396313,-1.11717,-1.11717,-1.11717,-0.0849923,-0.0849923,-0.306218,-0.306218,-0.306218,-0.306218,-0.306218,-0.306218,-1.33266,-1.33266,-1.33266,-0.669237,-0.669237,-0.669237,-0.160232,-0.160232,-0.160232,-0.160232,-0.160232,-0.160232,-0.160232,-1.91018,-1.29725,-0.319216,-0.319216,-0.39545,-0.39545,-0.39545,-1.11895,-1.11895,-0.167549,-0.167549,-0.167549,-1.86909
-28.3182,0.708242,0.310038,2,7,0,32.5212,0.524052,0.844132,-1.20224,0.564979,-1.13207,0.524052,0.844132,-1.20224,0.564979,-1.13207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.865939,-0.865939,-0.545859,-0.545859,-0.545859,-0.163769,-0.71382,-0.71382,-0.71382,-0.672893,-0.672893,-0.672893,-0.174691,-0.174691,-0.121512,-0.121512,-0.121512,-0.121512,-0.121512,-0.121512,-2.16789,-2.16789,-2.16789,-0.56328,-0.56328,-0.56328,-0.129795,-0.129795,-0.129795,-0.129795,-0.129795,-0.129795,-0.129795,-2.10599,-1.92491,-0.157693,-0.157693,-0.728851,-0.728851,-0.728851,-0.658675,-0.658675,-0.168243,-0.168243,-0.168243,-1.86529
-27.8728,0.950987,0.310038,3,15,0,32.2578,0.187971,-0.384531,-1.60839,-0.894696,-2.41762,0.187971,-0.384531,-1.60839,-0.894696,-2.41762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.447318,-0.447318,-1.01982,-1.01982,-1.01982,-0.153494,-0.291692,-0.291692,-0.291692,-1.37436,-1.37436,-1.37436,-0.0712593,-0.0712593,-0.25781,-0.25781,-0.25781,-0.25781,-0.25781,-0.25781,-1.48167,-1.48167,-1.48167,-0.470251,-0.470251,-0.470251,-0.123041,-0.123041,-0.123041,-0.123041,-0.123041,-0.123041,-0.123041,-2.15613,-1.11236,-0.398663,-0.398663,-0.368249,-0.368249,-0.368249,-1.17748,-1.17748,-0.197271,-0.197271,-0.197271,-1.72019
-29.7172,0.812838,0.310038,2,3,0,30.6865,0.620824,-0.488566,-1.92172,-0.894802,-1.98055,0.620824,-0.488566,-1.92172,-0.894802,-1.98055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.284998,-0.284998,-1.39439,-1.39439,-1.39439,-0.0757255,-0.198581,-0.198581,-0.198581,-1.71421,-1.71421,-1.71421,-0.07155,-0.07155,-0.213947,-0.213947,-0.213947,-0.213947,-0.213947,-0.213947,-1.6471,-1.6471,-1.6471,-0.510517,-0.510517,-0.510517,-0.202881,-0.202881,-0.202881,-0.202881,-0.202881,-0.202881,-0.202881,-1.69486,-1.33301,-0.306095,-0.306095,-0.664164,-0.664164,-0.664164,-0.722995,-0.722995,-0.290915,-0.290915,-0.290915,-1.37666
