# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb024fad1e0.json
# init = 2 (Default)
# random
#   seed = 1159774946
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101021-1-5626eb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101021-1-13589d.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.276372
# Diagonal elements of inverse mass matrix:
# 1.55485, 1.55406, 1.67183, 1.67125, 1.62207
-28.2986,0.936622,0.276372,3,7,0,28.8789,-2.00605,-1.38169,-2.25211,-2.01986,-3.60074,-2.00605,-1.38169,-2.25211,-2.01986,-3.60074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05329,-1.05329,-0.428922,-0.428922,-0.428922,-0.57767,-0.686267,-0.686267,-0.686267,-0.700075,-0.700075,-0.700075,-0.184795,-0.184795,-0.349795,-0.349795,-0.349795,-0.349795,-0.349795,-0.349795,-1.22021,-1.22021,-1.22021,-0.424127,-0.424127,-0.424127,-0.103199,-0.103199,-0.103199,-0.103199,-0.103199,-0.103199,-0.103199,-2.32225,-0.815996,-0.583752,-0.583752,-0.23079,-0.23079,-0.23079,-1.57943,-1.57943,-0.187138,-0.187138,-0.187138,-1.76802
-28.7214,0.841784,0.276372,3,7,0,31.2895,-1.48026,-1.76463,-2.16096,-1.80894,-3.0162,-1.48026,-1.76463,-2.16096,-1.80894,-3.0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.561037,-0.561037,-0.845406,-0.845406,-0.845406,-0.409633,-0.542249,-0.542249,-0.542249,-0.870933,-0.870933,-0.870933,-0.194952,-0.194952,-0.514491,-0.514491,-0.514491,-0.514491,-0.514491,-0.514491,-0.910818,-0.910818,-0.910818,-0.671235,-0.671235,-0.671235,-0.251579,-0.251579,-0.251579,-0.251579,-0.251579,-0.251579,-0.251579,-1.50315,-0.884562,-0.532551,-0.532551,-0.354297,-0.354297,-0.354297,-1.20954,-1.20954,-0.261608,-0.261608,-0.261608,-1.46886
-29.7453,0.69284,0.276372,4,23,0,34.5419,2.02409,3.47655,1.09793,2.09236,0.452359,2.02409,3.47655,1.09793,2.09236,0.452359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.66272,-1.66272,-0.210256,-0.210256,-0.210256,-0.333662,-0.727865,-0.727865,-0.727865,-0.659595,-0.659595,-0.659595,-0.188705,-0.188705,-0.0886319,-0.0886319,-0.0886319,-0.0886319,-0.0886319,-0.0886319,-2.46725,-2.46725,-2.46725,-0.223565,-0.223565,-0.223565,-0.0474531,-0.0474531,-0.0474531,-0.0474531,-0.0474531,-0.0474531,-0.0474531,-3.07165,-1.30919,-0.314762,-0.314762,-0.421576,-0.421576,-0.421576,-1.06715,-1.06715,-0.177292,-0.177292,-0.177292,-1.8173
-28.7002,0.990852,0.276372,4,23,0,31.6347,-0.472629,1.02686,-1.17754,-0.550536,-2.11536,-0.472629,1.02686,-1.17754,-0.550536,-2.11536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.70099,-1.70099,-0.201507,-0.201507,-0.201507,-0.401561,-0.654952,-0.654952,-0.654952,-0.732859,-0.732859,-0.732859,-0.176849,-0.176849,-0.104646,-0.104646,-0.104646,-0.104646,-0.104646,-0.104646,-2.30904,-2.30904,-2.30904,-0.187734,-0.187734,-0.187734,-0.0422803,-0.0422803,-0.0422803,-0.0422803,-0.0422803,-0.0422803,-0.0422803,-3.1845,-1.055,-0.428004,-0.428004,-0.330366,-0.330366,-0.330366,-1.26819,-1.26819,-0.189896,-0.189896,-0.189896,-1.75472
-28.8436,0.999924,0.276372,3,11,0,29.4983,-1.49883,-0.205176,-2.3672,-1.34679,-2.78239,-1.49883,-0.205176,-2.3672,-1.34679,-2.78239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53603,-1.53603,-0.24237,-0.24237,-0.24237,-0.3504,-0.772056,-0.772056,-0.772056,-0.620012,-0.620012,-0.620012,-0.244553,-0.244553,-0.108937,-0.108937,-0.108937,-0.108937,-0.108937,-0.108937,-2.27096,-2.27096,-2.27096,-0.277104,-0.277104,-0.277104,-0.0732368,-0.0732368,-0.0732368,-0.0732368,-0.0732368,-0.0732368,-0.0732368,-2.65045,-1.32823,-0.307813,-0.307813,-0.506948,-0.506948,-0.506948,-0.922135,-0.922135,-0.213475,-0.213475,-0.213475,-1.64908
-27.8165,0.967205,0.276372,4,19,0,30.035,1.11714,1.05274,0.644235,0.0804442,-0.503544,1.11714,1.05274,0.644235,0.0804442,-0.503544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.661464,-0.661464,-0.725867,-0.725867,-0.725867,-0.484393,-0.303524,-0.303524,-0.303524,-1.34022,-1.34022,-1.34022,-0.180456,-0.180456,-0.509612,-0.509612,-0.509612,-0.509612,-0.509612,-0.509612,-0.918114,-0.918114,-0.918114,-0.320789,-0.320789,-0.320789,-0.19138,-0.19138,-0.19138,-0.19138,-0.19138,-0.19138,-0.19138,-1.74766,-0.450469,-1.01426,-1.01426,-0.275615,-0.275615,-0.275615,-1.42339,-1.42339,-0.443191,-0.443191,-0.443191,-1.02718
-27.9525,1,0.276372,3,7,0,28.165,0.901202,1.55172,-0.52201,0.948802,-0.867139,0.901202,1.55172,-0.52201,0.948802,-0.867139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0704,-1.0704,-0.419878,-0.419878,-0.419878,-0.215868,-0.717231,-0.717231,-0.717231,-0.66963,-0.66963,-0.66963,-0.15753,-0.15753,-0.118419,-0.118419,-0.118419,-0.118419,-0.118419,-0.118419,-2.19215,-2.19215,-2.19215,-0.436455,-0.436455,-0.436455,-0.0852811,-0.0852811,-0.0852811,-0.0852811,-0.0852811,-0.0852811,-0.0852811,-2.50414,-1.67761,-0.206802,-0.206802,-0.535399,-0.535399,-0.535399,-0.880528,-0.880528,-0.150732,-0.150732,-0.150732,-1.96667
-29.0804,0.980836,0.276372,4,23,0,30.5826,-1.69994,0.0621316,-1.27451,-1.25998,-1.74677,-1.69994,0.0621316,-1.27451,-1.25998,-1.74677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92052,-1.92052,-0.158446,-0.158446,-0.158446,-0.92832,-0.937134,-0.937134,-0.937134,-0.497167,-0.497167,-0.497167,-0.670008,-0.670008,-0.233273,-0.233273,-0.233273,-0.233273,-0.233273,-0.233273,-1.56991,-1.56991,-1.56991,-0.236315,-0.236315,-0.236315,-0.15172,-0.15172,-0.15172,-0.15172,-0.15172,-0.15172,-0.15172,-1.96062,-0.70044,-0.685907,-0.685907,-0.48464,-0.48464,-0.48464,-0.956901,-0.956901,-0.479083,-0.479083,-0.479083,-0.965878
-29.765,0.874542,0.276372,2,7,0,31.7333,-1.22099,0.439351,-2.08744,-1.57347,-2.09964,-1.22099,0.439351,-2.08744,-1.57347,-2.09964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83435,-1.83435,-0.174016,-0.174016,-0.174016,-0.350967,-0.532357,-0.532357,-0.532357,-0.884838,-0.884838,-0.884838,-0.347372,-0.347372,-0.0768825,-0.0768825,-0.0768825,-0.0768825,-0.0768825,-0.0768825,-2.60367,-2.60367,-2.60367,-0.125409,-0.125409,-0.125409,-0.075985,-0.075985,-0.075985,-0.075985,-0.075985,-0.075985,-0.075985,-2.61497,-0.982796,-0.468825,-0.468825,-0.687067,-0.687067,-0.687067,-0.699265,-0.699265,-0.464278,-0.464278,-0.464278,-0.990446
-27.3434,0.906601,0.276372,2,3,0,31.7051,-0.833157,-0.531826,-1.3015,-0.99053,-1.65904,-0.833157,-0.531826,-1.3015,-0.99053,-1.65904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.85512,-0.85512,-0.553789,-0.553789,-0.553789,-0.486148,-0.617553,-0.617553,-0.617553,-0.774926,-0.774926,-0.774926,-0.363148,-0.363148,-0.380602,-0.380602,-0.380602,-0.380602,-0.380602,-0.380602,-1.15027,-1.15027,-1.15027,-0.489869,-0.489869,-0.489869,-0.280608,-0.280608,-0.280608,-0.280608,-0.280608,-0.280608,-0.280608,-1.40782,-0.86067,-0.549703,-0.549703,-0.530271,-0.530271,-0.530271,-0.887814,-0.887814,-0.413745,-0.413745,-0.413745,-1.08225
-27.265,0.969414,0.276372,4,23,0,28.3013,0.877434,0.595453,-0.053533,0.423178,-0.569739,0.877434,0.595453,-0.053533,0.423178,-0.569739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.562063,-0.562063,-0.844044,-0.844044,-0.844044,-0.332301,-0.491594,-0.491594,-0.491594,-0.94585,-0.94585,-0.94585,-0.211261,-0.211261,-0.420403,-0.420403,-0.420403,-0.420403,-0.420403,-0.420403,-1.06939,-1.06939,-1.06939,-0.610715,-0.610715,-0.610715,-0.271448,-0.271448,-0.271448,-0.271448,-0.271448,-0.271448,-0.271448,-1.43664,-0.959644,-0.482933,-0.482933,-0.467989,-0.467989,-0.467989,-0.984195,-0.984195,-0.315172,-0.315172,-0.315172,-1.30809
-27.1447,0.901078,0.276372,3,7,0,28.9399,0.896876,1.22214,-0.381149,0.653538,-1.2782,0.896876,1.22214,-0.381149,0.653538,-1.2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.868947,-0.868947,-0.543681,-0.543681,-0.543681,-0.245755,-0.578862,-0.578862,-0.578862,-0.8222,-0.8222,-0.8222,-0.107598,-0.107598,-0.183349,-0.183349,-0.183349,-0.183349,-0.183349,-0.183349,-1.78664,-1.78664,-1.78664,-0.448726,-0.448726,-0.448726,-0.078864,-0.078864,-0.078864,-0.078864,-0.078864,-0.078864,-0.078864,-2.5792,-1.33874,-0.304051,-0.304051,-0.342008,-0.342008,-0.342008,-1.23906,-1.23906,-0.135314,-0.135314,-0.135314,-2.06705
-27.4031,0.893282,0.276372,2,3,0,28.8499,1.14721,0.999842,0.419819,0.385553,-1.07603,1.14721,0.999842,0.419819,0.385553,-1.07603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.622178,-0.622178,-0.769541,-0.769541,-0.769541,-0.394182,-0.383147,-0.383147,-0.383147,-1.1448,-1.1448,-1.1448,-0.10279,-0.10279,-0.444612,-0.444612,-0.444612,-0.444612,-0.444612,-0.444612,-1.02464,-1.02464,-1.02464,-0.432448,-0.432448,-0.432448,-0.118181,-0.118181,-0.118181,-0.118181,-0.118181,-0.118181,-0.118181,-2.19405,-0.676161,-0.710427,-0.710427,-0.202172,-0.202172,-0.202172,-1.69802,-1.69802,-0.208533,-0.208533,-0.208533,-1.67011
-29.1206,0.8772,0.276372,3,15,0,30.6034,-0.69329,-0.628468,-0.947324,-0.249815,-1.46675,-0.69329,-0.628468,-0.947324,-0.249815,-1.46675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726083,-0.726083,-0.661261,-0.661261,-0.661261,-0.574175,-0.93927,-0.93927,-0.93927,-0.495795,-0.495795,-0.495795,-0.379405,-0.379405,-0.546374,-0.546374,-0.546374,-0.546374,-0.546374,-0.546374,-0.86523,-0.86523,-0.86523,-0.90029,-0.90029,-0.90029,-0.359389,-0.359389,-0.359389,-0.359389,-0.359389,-0.359389,-0.359389,-1.19767,-1.10152,-0.404013,-0.404013,-0.466788,-0.466788,-0.466788,-0.986212,-0.986212,-0.259388,-0.259388,-0.259388,-1.47632
-27.5091,1,0.276372,2,7,0,29.9337,-0.126684,0.105261,-1.6568,-0.405927,-2.26606,-0.126684,0.105261,-1.6568,-0.405927,-2.26606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.815829,-0.815829,-0.583885,-0.583885,-0.583885,-0.195986,-0.563241,-0.563241,-0.563241,-0.842484,-0.842484,-0.842484,-0.111298,-0.111298,-0.158447,-0.158447,-0.158447,-0.158447,-0.158447,-0.158447,-1.92051,-1.92051,-1.92051,-0.469868,-0.469868,-0.469868,-0.0892532,-0.0892532,-0.0892532,-0.0892532,-0.0892532,-0.0892532,-0.0892532,-2.46057,-1.50261,-0.251734,-0.251734,-0.434217,-0.434217,-0.434217,-1.04347,-1.04347,-0.144665,-0.144665,-0.144665,-2.0048
-27.2733,0.979389,0.276372,3,7,0,28.4328,-0.483678,0.241169,-0.315973,-0.447135,-1.28502,-0.483678,0.241169,-0.315973,-0.447135,-1.28502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11986,-1.11986,-0.39501,-0.39501,-0.39501,-0.780511,-0.711585,-0.711585,-0.711585,-0.675043,-0.675043,-0.675043,-0.370684,-0.370684,-0.452885,-0.452885,-0.452885,-0.452885,-0.452885,-0.452885,-1.01003,-1.01003,-1.01003,-0.407082,-0.407082,-0.407082,-0.196686,-0.196686,-0.196686,-0.196686,-0.196686,-0.196686,-0.196686,-1.72288,-0.629715,-0.760877,-0.760877,-0.32168,-0.32168,-0.32168,-1.29073,-1.29073,-0.359507,-0.359507,-0.359507,-1.19739
-27.2044,0.842615,0.276372,2,3,0,29.3566,-0.532625,0.547835,-0.902105,-0.217067,-1.53774,-0.532625,0.547835,-0.902105,-0.217067,-1.53774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37271,-1.37271,-0.292251,-0.292251,-0.292251,-0.525375,-0.863322,-0.863322,-0.863322,-0.547764,-0.547764,-0.547764,-0.311887,-0.311887,-0.210734,-0.210734,-0.210734,-0.210734,-0.210734,-0.210734,-1.66067,-1.66067,-1.66067,-0.382114,-0.382114,-0.382114,-0.117103,-0.117103,-0.117103,-0.117103,-0.117103,-0.117103,-0.117103,-2.20268,-1.09321,-0.408175,-0.408175,-0.425004,-0.425004,-0.425004,-1.06064,-1.06064,-0.236616,-0.236616,-0.236616,-1.55729
-26.8755,0.999364,0.276372,4,23,0,27.5763,1.44594,1.36551,0.121719,0.346815,-0.555657,1.44594,1.36551,0.121719,0.346815,-0.555657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.653742,-0.653742,-0.734169,-0.734169,-0.734169,-0.235871,-0.287555,-0.287555,-0.287555,-1.38668,-1.38668,-1.38668,-0.126738,-0.126738,-0.253315,-0.253315,-0.253315,-0.253315,-0.253315,-0.253315,-1.49711,-1.49711,-1.49711,-0.308268,-0.308268,-0.308268,-0.136658,-0.136658,-0.136658,-0.136658,-0.136658,-0.136658,-0.136658,-2.05782,-0.812015,-0.58692,-0.58692,-0.41075,-0.41075,-0.41075,-1.08813,-1.08813,-0.34044,-0.34044,-0.34044,-1.24291
-29.9919,0.745422,0.276372,2,3,0,30.7019,1.54842,1.93211,0.428099,0.577752,-1.87741,1.54842,1.93211,0.428099,0.577752,-1.87741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.903283,-0.903283,-0.519593,-0.519593,-0.519593,-0.282299,-0.321236,-0.321236,-0.321236,-1.2919,-1.2919,-1.2919,-0.0320047,-0.0320047,-0.200683,-0.200683,-0.200683,-0.200683,-0.200683,-0.200683,-1.70469,-1.70469,-1.70469,-0.229613,-0.229613,-0.229613,-0.021917,-0.021917,-0.021917,-0.021917,-0.021917,-0.021917,-0.021917,-3.83143,-0.77077,-0.621118,-0.621118,-0.0950448,-0.0950448,-0.0950448,-2.40055,-2.40055,-0.0823626,-0.0823626,-0.0823626,-2.53752
-28.0902,0.977316,0.276372,3,7,0,32.4789,1.05542,1.59697,0.743198,1.29885,0.624604,1.05542,1.59697,0.743198,1.29885,0.624604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00014,-1.00014,-0.458594,-0.458594,-0.458594,-0.549172,-0.822249,-0.822249,-0.822249,-0.578823,-0.578823,-0.578823,-0.500761,-0.500761,-0.354738,-0.354738,-0.354738,-0.354738,-0.354738,-0.354738,-1.20851,-1.20851,-1.20851,-0.555156,-0.555156,-0.555156,-0.32077,-0.32077,-0.32077,-0.32077,-0.32077,-0.32077,-0.32077,-1.29313,-1.00908,-0.453429,-0.453429,-0.635607,-0.635607,-0.635607,-0.754202,-0.754202,-0.411806,-0.411806,-0.411806,-1.08605
-27.7273,0.960389,0.276372,2,3,0,29.0578,1.04627,1.93702,1.10563,1.32547,0.555549,1.04627,1.93702,1.10563,1.32547,0.555549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.23459,-1.23459,-0.343836,-0.343836,-0.343836,-0.723267,-0.842459,-0.842459,-0.842459,-0.56326,-0.56326,-0.56326,-0.477589,-0.477589,-0.361473,-0.361473,-0.361473,-0.361473,-0.361473,-0.361473,-1.19287,-1.19287,-1.19287,-0.43341,-0.43341,-0.43341,-0.224109,-0.224109,-0.224109,-0.224109,-0.224109,-0.224109,-0.224109,-1.60558,-0.809097,-0.589256,-0.589256,-0.455463,-0.455463,-0.455463,-1.00554,-1.00554,-0.380522,-0.380522,-0.380522,-1.15045
-26.6783,0.957756,0.276372,4,23,0,29.3034,-0.359253,0.356845,-0.514975,-0.386952,-1.43451,-0.359253,0.356845,-0.514975,-0.386952,-1.43451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11397,-1.11397,-0.397873,-0.397873,-0.397873,-0.618314,-0.679394,-0.679394,-0.679394,-0.707093,-0.707093,-0.707093,-0.293572,-0.293572,-0.349381,-0.349381,-0.349381,-0.349381,-0.349381,-0.349381,-1.2212,-1.2212,-1.2212,-0.388865,-0.388865,-0.388865,-0.154208,-0.154208,-0.154208,-0.154208,-0.154208,-0.154208,-0.154208,-1.94556,-0.759206,-0.631183,-0.631183,-0.335546,-0.335546,-0.335546,-1.25508,-1.25508,-0.300692,-0.300692,-0.300692,-1.34825
