# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb0107fbfa.json
# init = 2 (Default)
# random
#   seed = 12365209
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101021-1-5c524a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101021-1-124b65.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.208912
# Diagonal elements of inverse mass matrix:
# 2.3018, 2.14919, 2.13767, 2.2295, 2.22493
-28.1046,0.935202,0.208912,4,23,0,31.1059,1.32575,1.34106,0.439094,-0.226502,-0.671479,1.32575,1.34106,0.439094,-0.226502,-0.671479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.700835,-0.700835,-0.685518,-0.685518,-0.685518,-0.34503,-0.192083,-0.192083,-0.192083,-1.74433,-1.74433,-1.74433,-0.127259,-0.127259,-0.340585,-0.340585,-0.340585,-0.340585,-0.340585,-0.340585,-1.24256,-1.24256,-1.24256,-0.189423,-0.189423,-0.189423,-0.125441,-0.125441,-0.125441,-0.125441,-0.125441,-0.125441,-0.125441,-2.13798,-0.414734,-1.08033,-1.08033,-0.284705,-0.284705,-0.284705,-1.39528,-1.39528,-0.495208,-0.495208,-0.495208,-0.940185
-29.3216,0.983383,0.208912,3,15,0,30.463,1.67378,1.67214,0.703188,-0.21237,-0.727473,1.67378,1.67214,0.703188,-0.21237,-0.727473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.692325,-0.692325,-0.69397,-0.69397,-0.69397,-0.321255,-0.141199,-0.141199,-0.141199,-2.02735,-2.02735,-2.02735,-0.0867318,-0.0867318,-0.321708,-0.321708,-0.321708,-0.321708,-0.321708,-0.321708,-1.29066,-1.29066,-1.29066,-0.141416,-0.141416,-0.141416,-0.0868686,-0.0868686,-0.0868686,-0.0868686,-0.0868686,-0.0868686,-0.0868686,-2.48648,-0.336682,-1.25224,-1.25224,-0.214426,-0.214426,-0.214426,-1.64509,-1.64509,-0.468402,-0.468402,-0.468402,-0.983505
-28.8952,1,0.208912,3,7,0,30.3507,0.570814,1.31198,-0.229176,1.39246,-0.429106,0.570814,1.31198,-0.229176,1.39246,-0.429106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.13088,-1.13088,-0.389712,-0.389712,-0.389712,-0.371104,-1.18609,-1.18609,-1.18609,-0.364439,-0.364439,-0.364439,-0.313283,-0.313283,-0.19403,-0.19403,-0.19403,-0.19403,-0.19403,-0.19403,-1.73519,-1.73519,-1.73519,-0.734195,-0.734195,-0.734195,-0.161548,-0.161548,-0.161548,-0.161548,-0.161548,-0.161548,-0.161548,-1.90264,-1.80194,-0.180299,-0.180299,-0.59817,-0.59817,-0.59817,-0.798101,-0.798101,-0.149946,-0.149946,-0.149946,-1.97151
-28.3764,0.983774,0.208912,4,23,0,32.5937,-0.829491,-0.420111,-1.27491,-0.801549,-3.06929,-0.829491,-0.420111,-1.27491,-0.801549,-3.06929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.918642,-0.918642,-0.509261,-0.509261,-0.509261,-0.495035,-0.707216,-0.707216,-0.707216,-0.679274,-0.679274,-0.679274,-0.101183,-0.101183,-0.35443,-0.35443,-0.35443,-0.35443,-0.35443,-0.35443,-1.20923,-1.20923,-1.20923,-0.520506,-0.520506,-0.520506,-0.068321,-0.068321,-0.068321,-0.068321,-0.068321,-0.068321,-0.068321,-2.7175,-0.957579,-0.484218,-0.484218,-0.153776,-0.153776,-0.153776,-1.94816,-1.94816,-0.0985281,-0.0985281,-0.0985281,-2.36627
-29.9746,0.583217,0.208912,4,31,0,38.8515,2.04473,1.31084,0.889063,0.425772,0.355312,2.04473,1.31084,0.889063,0.425772,0.355312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.392068,-0.392068,-1.12596,-1.12596,-1.12596,-0.273721,-0.180741,-0.180741,-0.180741,-1.7997,-1.7997,-1.7997,-0.169428,-0.169428,-0.504333,-0.504333,-0.504333,-0.504333,-0.504333,-0.504333,-0.926109,-0.926109,-0.926109,-0.345493,-0.345493,-0.345493,-0.325418,-0.325418,-0.325418,-0.325418,-0.325418,-0.325418,-0.325418,-1.28095,-0.488095,-0.951386,-0.951386,-0.461468,-0.461468,-0.461468,-0.995219,-0.995219,-0.658538,-0.658538,-0.658538,-0.728998
-30.3219,0.930369,0.208912,2,7,0,34.5338,0.106354,2.32317,1.13735,0.590688,0.0701597,0.106354,2.32317,1.13735,0.590688,0.0701597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32023,-2.32023,-0.103419,-0.103419,-0.103419,-1.33602,-0.964354,-0.964354,-0.964354,-0.480021,-0.480021,-0.480021,-0.675214,-0.675214,-0.266584,-0.266584,-0.266584,-0.266584,-0.266584,-0.266584,-1.4524,-1.4524,-1.4524,-0.162837,-0.162837,-0.162837,-0.0999199,-0.0999199,-0.0999199,-0.0999199,-0.0999199,-0.0999199,-0.0999199,-2.35293,-0.456713,-1.00338,-1.00338,-0.29563,-0.29563,-0.29563,-1.36282,-1.36282,-0.466376,-0.466376,-0.466376,-0.986904
