# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb05d473336.json
# init = 2 (Default)
# random
#   seed = 1669462462
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101021-2-2c5a9a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101021-2-67a1ec.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.251532
# Diagonal elements of inverse mass matrix:
# 2.24236, 2.1534, 2.11683, 2.19488, 2.17443
-28.1351,0.834287,0.251532,2,3,0,33.1622,0.972225,0.730476,0.57594,0.562169,-0.399006,0.972225,0.730476,0.57594,0.562169,-0.399006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57956,-0.57956,-0.821309,-0.821309,-0.821309,-0.514508,-0.508992,-0.508992,-0.508992,-0.919048,-0.919048,-0.919048,-0.226174,-0.226174,-0.618861,-0.618861,-0.618861,-0.618861,-0.618861,-0.618861,-0.773398,-0.773398,-0.773398,-0.61253,-0.61253,-0.61253,-0.280053,-0.280053,-0.280053,-0.280053,-0.280053,-0.280053,-0.280053,-1.40954,-0.686286,-0.700056,-0.700056,-0.320062,-0.320062,-0.320062,-1.29501,-1.29501,-0.323852,-0.323852,-0.323852,-1.28503
-26.9944,0.859706,0.251532,2,3,0,30.4917,0.897936,1.69659,0.449344,0.772051,-0.845506,0.897936,1.69659,0.449344,0.772051,-0.845506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17017,-1.17017,-0.371517,-0.371517,-0.371517,-0.493797,-0.632184,-0.632184,-0.632184,-0.75807,-0.75807,-0.75807,-0.161198,-0.161198,-0.252542,-0.252542,-0.252542,-0.252542,-0.252542,-0.252542,-1.49979,-1.49979,-1.49979,-0.334122,-0.334122,-0.334122,-0.0757575,-0.0757575,-0.0757575,-0.0757575,-0.0757575,-0.0757575,-0.0757575,-2.61786,-0.867462,-0.544755,-0.544755,-0.242114,-0.242114,-0.242114,-1.53696,-1.53696,-0.180973,-0.180973,-0.180973,-1.79853
-26.7498,0.671629,0.251532,3,7,0,31.656,0.603427,0.90421,-0.247259,-0.285241,-0.695176,0.603427,0.90421,-0.247259,-0.285241,-0.695176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.854805,-0.854805,-0.554022,-0.554022,-0.554022,-0.355659,-0.344442,-0.344442,-0.344442,-1.23311,-1.23311,-1.23311,-0.241308,-0.241308,-0.274727,-0.274727,-0.274727,-0.274727,-0.274727,-0.274727,-1.4262,-1.4262,-1.4262,-0.265734,-0.265734,-0.265734,-0.184004,-0.184004,-0.184004,-0.184004,-0.184004,-0.184004,-0.184004,-1.78339,-0.674337,-0.712318,-0.712318,-0.494061,-0.494061,-0.494061,-0.941977,-0.941977,-0.50904,-0.50904,-0.50904,-0.918975
-27.0166,0.985573,0.251532,3,15,0,27.6349,0.0190672,0.335458,-0.851824,-0.0676394,-1.99164,0.0190672,0.335458,-0.851824,-0.0676394,-1.99164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.863804,-0.863804,-0.547413,-0.547413,-0.547413,-0.349655,-0.650733,-0.650733,-0.650733,-0.73744,-0.73744,-0.73744,-0.125658,-0.125658,-0.266241,-0.266241,-0.266241,-0.266241,-0.266241,-0.266241,-1.45352,-1.45352,-1.45352,-0.511773,-0.511773,-0.511773,-0.0931065,-0.0931065,-0.0931065,-0.0931065,-0.0931065,-0.0931065,-0.0931065,-2.4202,-1.16022,-0.376031,-0.376031,-0.277539,-0.277539,-0.277539,-1.41735,-1.41735,-0.136297,-0.136297,-0.136297,-2.0603
-27.1588,0.979312,0.251532,3,15,0,29.66,-0.970855,0.0562184,-1.35568,-1.25381,-2.32855,-0.970855,0.0562184,-1.35568,-1.25381,-2.32855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33313,-1.33313,-0.306052,-0.306052,-0.306052,-0.519133,-0.561646,-0.561646,-0.561646,-0.844597,-0.844597,-0.844597,-0.228929,-0.228929,-0.218075,-0.218075,-0.218075,-0.218075,-0.218075,-0.218075,-1.62997,-1.62997,-1.62997,-0.23887,-0.23887,-0.23887,-0.0881118,-0.0881118,-0.0881118,-0.0881118,-0.0881118,-0.0881118,-0.0881118,-2.47288,-0.745381,-0.643507,-0.643507,-0.320631,-0.320631,-0.320631,-1.2935,-1.2935,-0.293703,-0.293703,-0.293703,-1.36845
-29.0145,0.775133,0.251532,3,7,0,30.5641,-0.455994,-0.514494,-1.17886,-0.515967,-3.05803,-0.455994,-0.514494,-1.17886,-0.515967,-3.05803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.664325,-0.664325,-0.722825,-0.722825,-0.722825,-0.395658,-0.66361,-0.66361,-0.66361,-0.723583,-0.723583,-0.723583,-0.0715041,-0.0715041,-0.415152,-0.415152,-0.415152,-0.415152,-0.415152,-0.415152,-1.07952,-1.07952,-1.07952,-0.692411,-0.692411,-0.692411,-0.0756527,-0.0756527,-0.0756527,-0.0756527,-0.0756527,-0.0756527,-0.0756527,-2.61919,-1.07854,-0.415653,-0.415653,-0.142121,-0.142121,-0.142121,-2.02129,-2.02129,-0.0757602,-0.0757602,-0.0757602,-2.61782
