# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb0765f7134.json
# init = 2 (Default)
# random
#   seed = 155239125
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101021-2-563d01.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101021-2-76e70f.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.254403
# Diagonal elements of inverse mass matrix:
# 1.98569, 1.94564, 2.0299, 1.90294, 2.05802
-27.7215,0.690789,0.254403,3,7,0,35.0024,-0.79315,-0.237548,-1.62223,-1.49501,-3.03344,-0.79315,-0.237548,-1.62223,-1.49501,-3.03344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00905,-1.00905,-0.453446,-0.453446,-0.453446,-0.362177,-0.40257,-0.40257,-0.40257,-1.10443,-1.10443,-1.10443,-0.101136,-0.101136,-0.223467,-0.223467,-0.223467,-0.223467,-0.223467,-0.223467,-1.60814,-1.60814,-1.60814,-0.250273,-0.250273,-0.250273,-0.0592686,-0.0592686,-0.0592686,-0.0592686,-0.0592686,-0.0592686,-0.0592686,-2.85516,-0.758778,-0.63156,-0.63156,-0.218208,-0.218208,-0.218208,-1.62943,-1.62943,-0.194511,-0.194511,-0.194511,-1.73295
-27.9551,0.930299,0.254403,4,23,0,32.4342,-0.276471,-0.0758108,-0.261417,-0.49254,-1.78822,-0.276471,-0.0758108,-0.261417,-0.49254,-1.78822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.798502,-0.798502,-0.597842,-0.597842,-0.597842,-0.700702,-0.590937,-0.590937,-0.590937,-0.807006,-0.807006,-0.807006,-0.199281,-0.199281,-0.604644,-0.604644,-0.604644,-0.604644,-0.604644,-0.604644,-0.79025,-0.79025,-0.79025,-0.506335,-0.506335,-0.506335,-0.16588,-0.16588,-0.16588,-0.16588,-0.16588,-0.16588,-0.16588,-1.87829,-0.584248,-0.815371,-0.815371,-0.196578,-0.196578,-0.196578,-1.72338,-1.72338,-0.241936,-0.241936,-0.241936,-1.53761
-26.9796,0.931694,0.254403,4,19,0,29.6178,1.20699,1.25012,0.588453,0.382552,-0.49152,1.20699,1.25012,0.588453,0.382552,-0.49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.714943,-0.714943,-0.671816,-0.671816,-0.671816,-0.430957,-0.363587,-0.363587,-0.363587,-1.18803,-1.18803,-1.18803,-0.168016,-0.168016,-0.416068,-0.416068,-0.416068,-0.416068,-0.416068,-0.416068,-1.07774,-1.07774,-1.07774,-0.350636,-0.350636,-0.350636,-0.161466,-0.161466,-0.161466,-0.161466,-0.161466,-0.161466,-0.161466,-1.90311,-0.595487,-0.801388,-0.801388,-0.292375,-0.292375,-0.292375,-1.37235,-1.37235,-0.348718,-0.348718,-0.348718,-1.22279
-28.1695,0.765702,0.254403,3,7,0,30.9582,0.939342,1.88622,0.987911,0.835905,-0.950154,0.939342,1.88622,0.987911,0.835905,-0.950154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27471,-1.27471,-0.327827,-0.327827,-0.327827,-0.717727,-0.642766,-0.642766,-0.642766,-0.746202,-0.746202,-0.746202,-0.14076,-0.14076,-0.341642,-0.341642,-0.341642,-0.341642,-0.341642,-0.341642,-1.23996,-1.23996,-1.23996,-0.299976,-0.299976,-0.299976,-0.0569828,-0.0569828,-0.0569828,-0.0569828,-0.0569828,-0.0569828,-0.0569828,-2.89336,-0.62003,-0.772036,-0.772036,-0.134515,-0.134515,-0.134515,-2.07258,-2.07258,-0.154967,-0.154967,-0.154967,-1.94103
-30.4303,0.870361,0.254403,2,3,0,30.8116,0.582351,2.03853,1.42746,0.857306,-1.02738,0.582351,2.03853,1.42746,0.857306,-1.02738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.66573,-1.66573,-0.209553,-0.209553,-0.209553,-1.20244,-0.840045,-0.840045,-0.840045,-0.56509,-0.56509,-0.56509,-0.182273,-0.182273,-0.433582,-0.433582,-0.433582,-0.433582,-0.433582,-0.433582,-1.04464,-1.04464,-1.04464,-0.267661,-0.267661,-0.267661,-0.045558,-0.045558,-0.045558,-0.045558,-0.045558,-0.045558,-0.045558,-3.11146,-0.448165,-1.01832,-1.01832,-0.0823878,-0.0823878,-0.0823878,-2.53723,-2.53723,-0.141393,-0.141393,-0.141393,-2.02608
-30.5666,0.96903,0.254403,4,23,0,34.2704,-1.99331,-1.39686,-3.20029,-3.03614,-2.76587,-1.99331,-1.39686,-3.20029,-3.03614,-2.76587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.03519,-1.03519,-0.438749,-0.438749,-0.438749,-0.261671,-0.301921,-0.301921,-0.301921,-1.34475,-1.34475,-1.34475,-0.379686,-0.379686,-0.152492,-0.152492,-0.152492,-0.152492,-0.152492,-0.152492,-1.95592,-1.95592,-1.95592,-0.17741,-0.17741,-0.17741,-0.226624,-0.226624,-0.226624,-0.226624,-0.226624,-0.226624,-0.226624,-1.59564,-0.778586,-0.614437,-0.614437,-0.93376,-0.93376,-0.93376,-0.499347,-0.499347,-0.837382,-0.837382,-0.837382,-0.567118
