# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb01244ca57.json
# init = 2 (Default)
# random
#   seed = 164975990
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101021-2-727326.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101021-2-8b74ec.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.24829
# Diagonal elements of inverse mass matrix:
# 2.21949, 2.21238, 2.24342, 2.18572, 2.12325
-29.6196,0.956654,0.24829,3,7,0,29.9332,-0.803994,-0.123006,-2.3457,-1.75723,-1.75214,-0.803994,-0.123006,-2.3457,-1.75723,-1.75214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.09052,-1.09052,-0.409535,-0.409535,-0.409535,-0.193933,-0.326054,-0.326054,-0.326054,-1.27929,-1.27929,-1.27929,-0.327474,-0.327474,-0.102842,-0.102842,-0.102842,-0.102842,-0.102842,-0.102842,-2.32554,-2.32554,-2.32554,-0.178233,-0.178233,-0.178233,-0.179066,-0.179066,-0.179066,-0.179066,-0.179066,-0.179066,-0.179066,-1.8082,-1.03006,-0.441589,-0.441589,-1.03334,-1.03334,-1.03334,-0.439774,-0.439774,-0.695697,-0.695697,-0.695697,-0.690604
-29.0813,0.975891,0.24829,3,7,0,31.3804,-1.8068,-0.655025,-1.13994,-1.4916,-2.78661,-1.8068,-0.655025,-1.13994,-1.4916,-2.78661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42643,-1.42643,-0.274655,-0.274655,-0.274655,-1.08117,-0.863115,-0.863115,-0.863115,-0.547915,-0.547915,-0.547915,-0.318731,-0.318731,-0.479801,-0.479801,-0.479801,-0.479801,-0.479801,-0.479801,-0.964711,-0.964711,-0.964711,-0.359905,-0.359905,-0.359905,-0.112122,-0.112122,-0.112122,-0.112122,-0.112122,-0.112122,-0.112122,-2.24371,-0.532696,-0.884357,-0.884357,-0.176211,-0.176211,-0.176211,-1.82288,-1.82288,-0.242079,-0.242079,-0.242079,-1.53709
-27.6216,0.947616,0.24829,2,3,0,30.6652,-0.679138,-0.101725,-1.53593,-1.78646,-2.15903,-0.679138,-0.101725,-1.53593,-1.78646,-2.15903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02296,-1.02296,-0.44555,-0.44555,-0.44555,-0.353836,-0.285512,-0.285512,-0.285512,-1.39283,-1.39283,-1.39283,-0.205112,-0.205112,-0.213743,-0.213743,-0.213743,-0.213743,-0.213743,-0.213743,-1.64795,-1.64795,-1.64795,-0.170159,-0.170159,-0.170159,-0.120267,-0.120267,-0.120267,-0.120267,-0.120267,-0.120267,-0.120267,-2.17757,-0.575708,-0.826237,-0.826237,-0.429365,-0.429365,-0.429365,-1.05246,-1.05246,-0.524115,-0.524115,-0.524115,-0.896682
-27.4143,0.996244,0.24829,4,19,0,28.1331,1.71766,1.80928,0.163481,0.582672,0.0100554,1.71766,1.80928,0.163481,0.582672,0.0100554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.740001,-0.740001,-0.64839,-0.64839,-0.64839,-0.191745,-0.278711,-0.278711,-0.278711,-1.4137,-1.4137,-1.4137,-0.166615,-0.166615,-0.176353,-0.176353,-0.176353,-0.176353,-0.176353,-0.176353,-1.82215,-1.82215,-1.82215,-0.257187,-0.257187,-0.257187,-0.153088,-0.153088,-0.153088,-0.153088,-0.153088,-0.153088,-0.153088,-1.95231,-0.924549,-0.505357,-0.505357,-0.619374,-0.619374,-0.619374,-0.772799,-0.772799,-0.447277,-0.447277,-0.447277,-1.01989
-26.9472,0.981681,0.24829,4,23,0,28.5912,-0.459772,0.0229278,-1.67403,-0.922924,-2.22718,-0.459772,0.0229278,-1.67403,-0.922924,-2.22718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.963343,-0.963343,-0.480644,-0.480644,-0.480644,-0.26,-0.488149,-0.488149,-0.488149,-0.951301,-0.951301,-0.951301,-0.157666,-0.157666,-0.168256,-0.168256,-0.168256,-0.168256,-0.168256,-0.168256,-1.86522,-1.86522,-1.86522,-0.328115,-0.328115,-0.328115,-0.100196,-0.100196,-0.100196,-0.100196,-0.100196,-0.100196,-0.100196,-2.35031,-1.13762,-0.386516,-0.386516,-0.454341,-0.454341,-0.454341,-1.00749,-1.00749,-0.240098,-0.240098,-0.240098,-1.54436
-28.4074,0.868235,0.24829,4,23,0,31.7815,2.65438,2.85976,0.798922,1.84215,0.750334,2.65438,2.85976,0.798922,1.84215,0.750334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.801103,-0.801103,-0.595718,-0.595718,-0.595718,-0.145296,-0.367326,-0.367326,-0.367326,-1.17955,-1.17955,-1.17955,-0.138862,-0.138862,-0.119867,-0.119867,-0.119867,-0.119867,-0.119867,-0.119867,-2.18071,-2.18071,-2.18071,-0.308556,-0.308556,-0.308556,-0.114495,-0.114495,-0.114495,-0.114495,-0.114495,-0.114495,-0.114495,-2.22392,-1.34505,-0.301818,-0.301818,-0.669149,-0.669149,-0.669149,-0.717736,-0.717736,-0.289385,-0.289385,-0.289385,-1.3812
