# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb06b78e445.json
# init = 2 (Default)
# random
#   seed = 188232434
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101021-3-628c23.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101021-3-7298ee.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.239467
# Diagonal elements of inverse mass matrix:
# 2.57712, 2.39875, 2.41631, 2.45218, 2.42624
-29.2563,0.978037,0.239467,2,3,0,31.997,-0.793538,-0.453374,-2.43701,-0.589412,-2.8849,-0.793538,-0.453374,-2.43701,-0.589412,-2.8849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.877624,-0.877624,-0.53746,-0.53746,-0.53746,-0.17673,-0.80041,-0.80041,-0.80041,-0.596284,-0.596284,-0.596284,-0.116466,-0.116466,-0.128893,-0.128893,-0.128893,-0.128893,-0.128893,-0.128893,-2.11253,-2.11253,-2.11253,-0.62744,-0.62744,-0.62744,-0.0842519,-0.0842519,-0.0842519,-0.0842519,-0.0842519,-0.0842519,-0.0842519,-2.51577,-1.99396,-0.146363,-0.146363,-0.494071,-0.494071,-0.494071,-0.941961,-0.941961,-0.0959578,-0.0959578,-0.0959578,-2.39144
-26.9895,0.938344,0.239467,3,15,0,32.1442,-0.026137,0.856579,-0.227853,-0.353171,-0.694173,-0.026137,0.856579,-0.227853,-0.353171,-0.694173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2289,-1.2289,-0.346181,-0.346181,-0.346181,-0.597367,-0.54294,-0.54294,-0.54294,-0.869974,-0.869974,-0.869974,-0.413906,-0.413906,-0.291246,-0.291246,-0.291246,-0.291246,-0.291246,-0.291246,-1.37568,-1.37568,-1.37568,-0.261034,-0.261034,-0.261034,-0.192345,-0.192345,-0.192345,-0.192345,-0.192345,-0.192345,-0.192345,-1.7431,-0.63245,-0.757768,-0.757768,-0.486926,-0.486926,-0.486926,-0.953246,-0.953246,-0.537112,-0.537112,-0.537112,-0.878114
-27.83,0.734138,0.239467,3,7,0,30.1741,0.51657,1.27411,-0.579508,-0.679398,-1.43063,0.51657,1.27411,-0.579508,-0.679398,-1.43063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.142,-1.142,-0.384459,-0.384459,-0.384459,-0.288316,-0.264217,-0.264217,-0.264217,-1.46019,-1.46019,-1.46019,-0.13337,-0.13337,-0.145545,-0.145545,-0.145545,-0.145545,-0.145545,-0.145545,-1.99916,-1.99916,-1.99916,-0.132585,-0.132585,-0.132585,-0.0647459,-0.0647459,-0.0647459,-0.0647459,-0.0647459,-0.0647459,-0.0647459,-2.76948,-0.644449,-0.744339,-0.744339,-0.35553,-0.35553,-0.35553,-1.20665,-1.20665,-0.386476,-0.386476,-0.386476,-1.13771
-27.8032,0.977651,0.239467,3,7,0,29.1632,-0.0121479,-0.0997415,-0.525541,-0.0281234,-1.14249,-0.0121479,-0.0997415,-0.525541,-0.0281234,-1.14249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.650309,-0.650309,-0.737903,-0.737903,-0.737903,-0.469042,-0.685191,-0.685191,-0.685191,-0.701167,-0.701167,-0.701167,-0.279844,-0.279844,-0.502742,-0.502742,-0.502742,-0.502742,-0.502742,-0.502742,-0.928541,-0.928541,-0.928541,-0.729597,-0.729597,-0.729597,-0.301944,-0.301944,-0.301944,-0.301944,-0.301944,-0.301944,-0.301944,-1.34469,-0.97247,-0.475053,-0.475053,-0.431516,-0.431516,-0.431516,-1.04846,-1.04846,-0.283767,-0.283767,-0.283767,-1.39813
-28.2061,0.990067,0.239467,3,15,0,29.4882,1.33402,1.8099,-0.224456,0.170288,-1.2694,1.33402,1.8099,-0.224456,0.170288,-1.2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.959129,-0.959129,-0.483254,-0.483254,-0.483254,-0.190997,-0.271795,-0.271795,-0.271795,-1.43553,-1.43553,-1.43553,-0.0714087,-0.0714087,-0.122894,-0.122894,-0.122894,-0.122894,-0.122894,-0.122894,-2.15725,-2.15725,-2.15725,-0.177356,-0.177356,-0.177356,-0.0449655,-0.0449655,-0.0449655,-0.0449655,-0.0449655,-0.0449655,-0.0449655,-3.12426,-0.909872,-0.515128,-0.515128,-0.301373,-0.301373,-0.301373,-1.34631,-1.34631,-0.212691,-0.212691,-0.212691,-1.65238
-29.5167,0.944496,0.239467,2,3,0,29.9546,1.6336,1.83271,-0.64404,0.108895,-1.29763,1.6336,1.83271,-0.64404,0.108895,-1.29763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.797645,-0.797645,-0.598543,-0.598543,-0.598543,-0.0976033,-0.196951,-0.196951,-0.196951,-1.72166,-1.72166,-1.72166,-0.0519574,-0.0519574,-0.0806728,-0.0806728,-0.0806728,-0.0806728,-0.0806728,-0.0806728,-2.55742,-2.55742,-2.55742,-0.164145,-0.164145,-0.164145,-0.0427749,-0.0427749,-0.0427749,-0.0427749,-0.0427749,-0.0427749,-0.0427749,-3.17312,-1.13887,-0.38593,-0.38593,-0.418824,-0.418824,-0.418824,-1.07242,-1.07242,-0.219129,-0.219129,-0.219129,-1.62566
