# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb063f26418.json
# init = 2 (Default)
# random
#   seed = 327235529
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101021-4-1352f2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101021-4-8f4546.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.27632
# Diagonal elements of inverse mass matrix:
# 1.49904, 1.44695, 1.53987, 1.46509, 1.44629
-26.6428,0.99871,0.27632,2,7,0,27.3014,0.480112,1.03394,-0.146328,0.575914,-0.910697,0.480112,1.03394,-0.146328,0.575914,-0.910697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00792,-1.00792,-0.454093,-0.454093,-0.454093,-0.428199,-0.742195,-0.742195,-0.742195,-0.646393,-0.646393,-0.646393,-0.222242,-0.222242,-0.267884,-0.267884,-0.267884,-0.267884,-0.267884,-0.267884,-1.44815,-1.44815,-1.44815,-0.49013,-0.49013,-0.49013,-0.13369,-0.13369,-0.13369,-0.13369,-0.13369,-0.13369,-0.13369,-2.07833,-1.1181,-0.395861,-0.395861,-0.382283,-0.382283,-0.382283,-1.14665,-1.14665,-0.203869,-0.203869,-0.203869,-1.69048
-30.8359,0.7826,0.27632,2,3,0,31.1261,0.455859,1.78214,0.913322,-0.698441,-0.180816,0.455859,1.78214,0.913322,-0.698441,-0.180816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.56172,-1.56172,-0.235437,-0.235437,-0.235437,-0.947813,-0.274048,-0.274048,-0.274048,-1.42835,-1.42835,-1.42835,-0.424646,-0.424646,-0.350267,-0.350267,-0.350267,-0.350267,-0.350267,-0.350267,-1.21909,-1.21909,-1.21909,-0.080376,-0.080376,-0.080376,-0.131416,-0.131416,-0.131416,-0.131416,-0.131416,-0.131416,-0.131416,-2.09437,-0.181934,-1.7937,-1.7937,-0.288803,-0.288803,-0.288803,-1.38294,-1.38294,-0.985084,-0.985084,-0.985084,-0.467459
-30.0617,0.998123,0.27632,3,7,0,33.1911,1.70173,1.34675,-0.388371,1.49584,-1.5054,1.70173,1.34675,-0.388371,1.49584,-1.5054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.531327,-0.531327,-0.886306,-0.886306,-0.886306,-0.116604,-0.595492,-0.595492,-0.595492,-0.801381,-0.801381,-0.801381,-0.039675,-0.039675,-0.162441,-0.162441,-0.162441,-0.162441,-0.162441,-0.162441,-1.89756,-1.89756,-1.89756,-0.770468,-0.770468,-0.770468,-0.0561156,-0.0561156,-0.0561156,-0.0561156,-0.0561156,-0.0561156,-0.0561156,-2.90827,-2.02567,-0.141455,-0.141455,-0.283109,-0.283109,-0.283109,-1.40014,-1.40014,-0.0485284,-0.0485284,-0.0485284,-3.04977
-30.5891,0.978781,0.27632,4,23,0,32.6,-1.47247,-0.300459,-0.834149,-0.602072,-1.05897,-1.47247,-0.300459,-0.834149,-0.602072,-1.05897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44184,-1.44184,-0.269832,-0.269832,-0.269832,-1.0624,-1.2202,-1.2202,-1.2202,-0.349802,-0.349802,-0.349802,-0.921118,-0.921118,-0.461491,-0.461491,-0.461491,-0.461491,-0.461491,-0.461491,-0.99518,-0.99518,-0.99518,-0.553669,-0.553669,-0.553669,-0.384149,-0.384149,-0.384149,-0.384149,-0.384149,-0.384149,-0.384149,-1.14266,-0.815903,-0.583826,-0.583826,-0.587042,-0.587042,-0.587042,-0.811862,-0.811862,-0.490569,-0.490569,-0.490569,-0.947466
-29.7193,0.957862,0.27632,3,7,0,32.9865,1.16147,0.876905,-1.46346,0.0297151,-2.09499,1.16147,0.876905,-1.46346,0.0297151,-2.09499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.560954,-0.560954,-0.845516,-0.845516,-0.845516,-0.0699413,-0.2795,-0.2795,-0.2795,-1.41125,-1.41125,-1.41125,-0.0378012,-0.0378012,-0.0919342,-0.0919342,-0.0919342,-0.0919342,-0.0919342,-0.0919342,-2.4323,-2.4323,-2.4323,-0.356707,-0.356707,-0.356707,-0.0499383,-0.0499383,-0.0499383,-0.0499383,-0.0499383,-0.0499383,-0.0499383,-3.02183,-1.69584,-0.202662,-0.202662,-0.426429,-0.426429,-0.426429,-1.05796,-1.05796,-0.112854,-0.112854,-0.112854,-2.23756
-27.5349,0.953463,0.27632,2,3,0,31.6169,0.422185,0.846795,-1.22777,-0.168844,-1.7647,0.422185,0.846795,-1.22777,-0.168844,-1.7647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.927821,-0.927821,-0.503212,-0.503212,-0.503212,-0.175681,-0.440676,-0.440676,-0.440676,-1.03171,-1.03171,-1.03171,-0.106399,-0.106399,-0.118326,-0.118326,-0.118326,-0.118326,-0.118326,-0.118326,-2.19289,-2.19289,-2.19289,-0.30908,-0.30908,-0.30908,-0.070854,-0.070854,-0.070854,-0.070854,-0.070854,-0.070854,-0.070854,-2.68235,-1.35668,-0.297751,-0.297751,-0.460295,-0.460295,-0.460295,-0.997223,-0.997223,-0.184598,-0.184598,-0.184598,-1.78046
