# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb01820d6db.json
# init = 2 (Default)
# random
#   seed = 1870557270
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101021-4-359991.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101021-4-48d420.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.232524
# Diagonal elements of inverse mass matrix:
# 2.51482, 2.43088, 2.46123, 2.38513, 2.4705
-27.5505,0.80484,0.232524,3,11,0,31.7016,-1.38315,-0.940157,-2.04114,-1.23104,-2.7882,-1.38315,-0.940157,-2.04114,-1.23104,-2.7882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.938978,-0.938978,-0.495982,-0.495982,-0.495982,-0.417324,-0.772095,-0.772095,-0.772095,-0.619979,-0.619979,-0.619979,-0.219421,-0.219421,-0.28709,-0.28709,-0.28709,-0.28709,-0.28709,-0.28709,-1.38807,-1.38807,-1.38807,-0.558246,-0.558246,-0.558246,-0.146301,-0.146301,-0.146301,-0.146301,-0.146301,-0.146301,-0.146301,-1.99435,-1.17808,-0.36798,-0.36798,-0.387814,-0.387814,-0.387814,-1.13488,-1.13488,-0.191226,-0.191226,-0.191226,-1.74839
-29.8389,0.895022,0.232524,2,7,0,30.3993,-1.66691,-1.06078,-2.41306,-3.11913,-3.00644,-1.66691,-1.06078,-2.41306,-3.11913,-3.00644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04145,-1.04145,-0.43532,-0.43532,-0.43532,-0.388108,-0.210301,-0.210301,-0.210301,-1.66252,-1.66252,-1.66252,-0.232674,-0.232674,-0.23004,-0.23004,-0.23004,-0.23004,-0.23004,-0.23004,-1.58232,-1.58232,-1.58232,-0.120148,-0.120148,-0.120148,-0.133563,-0.133563,-0.133563,-0.133563,-0.133563,-0.133563,-0.133563,-2.07922,-0.401175,-1.10725,-1.10725,-0.43984,-0.43984,-0.43984,-1.03322,-1.03322,-0.751083,-0.751083,-0.751083,-0.638385
-31.3026,0.852045,0.232524,2,3,0,32.972,-0.968838,-0.756691,-2.86831,-3.0427,-3.07249,-0.968838,-0.756691,-2.86831,-3.0427,-3.07249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804836,-0.804836,-0.592689,-0.592689,-0.592689,-0.139456,-0.118404,-0.118404,-0.118404,-2.19227,-2.19227,-2.19227,-0.115122,-0.115122,-0.114259,-0.114259,-0.114259,-0.114259,-0.114259,-0.114259,-2.22587,-2.22587,-2.22587,-0.0968281,-0.0968281,-0.0968281,-0.0941162,-0.0941162,-0.0941162,-0.0941162,-0.0941162,-0.0941162,-0.0941162,-2.40991,-0.609745,-0.784143,-0.784143,-0.596258,-0.596258,-0.596258,-0.80044,-0.80044,-0.678366,-0.678366,-0.678366,-0.70815
-34.148,0.947358,0.232524,3,11,0,35.7429,-2.7613,-2.63056,-3.23423,-1.90421,-5.19268,-2.7613,-2.63056,-3.23423,-1.90421,-5.19268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.760653,-0.760653,-0.629912,-0.629912,-0.629912,-0.484384,-1.21084,-1.21084,-1.21084,-0.353748,-0.353748,-0.353748,-0.0842636,-0.0842636,-0.436189,-0.436189,-0.436189,-0.436189,-0.436189,-0.436189,-1.03986,-1.03986,-1.03986,-1.12087,-1.12087,-1.12087,-0.0743104,-0.0743104,-0.0743104,-0.0743104,-0.0743104,-0.0743104,-0.0743104,-2.63643,-1.56467,-0.234655,-0.234655,-0.131973,-0.131973,-0.131973,-2.09042,-2.09042,-0.0366319,-0.0366319,-0.0366319,-3.3251
-33.7039,0.885812,0.232524,3,7,0,41.6233,-3.41205,-2.75527,-4.70878,-4.99593,-5.13239,-3.41205,-2.75527,-4.70878,-4.99593,-5.13239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.07451,-1.07451,-0.417736,-0.417736,-0.417736,-0.241708,-0.186626,-0.186626,-0.186626,-1.77051,-1.77051,-1.77051,-0.164671,-0.164671,-0.132584,-0.132584,-0.132584,-0.132584,-0.132584,-0.132584,-2.0861,-2.0861,-2.0861,-0.101101,-0.101101,-0.101101,-0.0887597,-0.0887597,-0.0887597,-0.0887597,-0.0887597,-0.0887597,-0.0887597,-2.46587,-0.559844,-0.846993,-0.846993,-0.50361,-0.50361,-0.50361,-0.927212,-0.927212,-0.627246,-0.627246,-0.627246,-0.763699
-31.0144,1,0.232524,2,3,0,33.9023,-3.30917,-3.30653,-4.10245,-4.10115,-4.77295,-3.30917,-3.30653,-4.10245,-4.10115,-4.77295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.694467,-0.694467,-0.691829,-0.691829,-0.691829,-0.373188,-0.373593,-0.373593,-0.373593,-1.16558,-1.16558,-1.16558,-0.208119,-0.208119,-0.372367,-0.372367,-0.372367,-0.372367,-0.372367,-0.372367,-1.16829,-1.16829,-1.16829,-0.372771,-0.372771,-0.372771,-0.207624,-0.207624,-0.207624,-0.207624,-0.207624,-0.207624,-0.207624,-1.67404,-0.693797,-0.692497,-0.692497,-0.413072,-0.413072,-0.413072,-1.08357,-1.08357,-0.412633,-0.412633,-0.412633,-1.08443
