# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb02e2d8821.json
# init = 2 (Default)
# random
#   seed = 384516122
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101022-2-74a804.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101022-2-267b79.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.277183
# Diagonal elements of inverse mass matrix:
# 1.75918, 1.74627, 1.65117, 1.73072, 1.82771
-28.3235,0.97466,0.277183,3,15,0,29.6002,0.76155,0.302685,0.00550971,-0.264549,-1.55298,0.76155,0.302685,0.00550971,-0.264549,-1.55298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.489806,-0.489806,-0.948672,-0.948672,-0.948672,-0.384937,-0.306309,-0.306309,-0.306309,-1.33241,-1.33241,-1.33241,-0.0942299,-0.0942299,-0.555558,-0.555558,-0.555558,-0.555558,-0.555558,-0.555558,-0.852734,-0.852734,-0.852734,-0.449222,-0.449222,-0.449222,-0.145267,-0.145267,-0.145267,-0.145267,-0.145267,-0.145267,-0.145267,-2.00093,-0.567207,-0.837265,-0.837265,-0.190995,-0.190995,-0.190995,-1.74949,-1.74949,-0.243497,-0.243497,-0.243497,-1.53193
-27.4661,0.973002,0.277183,2,3,0,29.428,-0.0897751,1.04777,-0.845608,-0.332146,-1.73843,-0.0897751,1.04777,-0.845608,-0.332146,-1.73843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41563,-1.41563,-0.278091,-0.278091,-0.278091,-0.385003,-0.579287,-0.579287,-0.579287,-0.821658,-0.821658,-0.821658,-0.175891,-0.175891,-0.140251,-0.140251,-0.140251,-0.140251,-0.140251,-0.140251,-2.03363,-2.03363,-2.03363,-0.224423,-0.224423,-0.224423,-0.0598291,-0.0598291,-0.0598291,-0.0598291,-0.0598291,-0.0598291,-0.0598291,-2.84603,-0.982478,-0.469016,-0.469016,-0.343233,-0.343233,-0.343233,-1.23606,-1.23606,-0.219177,-0.219177,-0.219177,-1.62546
-29.8582,0.844367,0.277183,3,7,0,31.1549,-0.52655,-0.0758607,-0.178067,-1.15578,-0.944556,-0.52655,-0.0758607,-0.178067,-1.15578,-0.944556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.94367,-0.94367,-0.492981,-0.492981,-0.492981,-0.882492,-0.427229,-0.427229,-0.427229,-1.05646,-1.05646,-1.05646,-0.505828,-0.505828,-0.643349,-0.643349,-0.643349,-0.643349,-0.643349,-0.643349,-0.745556,-0.745556,-0.745556,-0.292389,-0.292389,-0.292389,-0.350304,-0.350304,-0.350304,-0.350304,-0.350304,-0.350304,-0.350304,-1.219,-0.319305,-1.29702,-1.29702,-0.381611,-0.381611,-0.381611,-1.1481,-1.1481,-0.804325,-0.804325,-0.804325,-0.593103
-28.3136,1,0.277183,2,7,0,31.0308,-1.02731,0.250421,-0.671245,-0.352083,-1.91612,-1.02731,0.250421,-0.671245,-0.352083,-1.91612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52355,-1.52355,-0.245819,-0.245819,-0.245819,-0.886945,-1.0867,-1.0867,-1.0867,-0.411474,-0.411474,-0.411474,-0.344401,-0.344401,-0.334939,-0.334939,-0.334939,-0.334939,-0.334939,-0.334939,-1.25661,-1.25661,-1.25661,-0.436601,-0.436601,-0.436601,-0.108471,-0.108471,-0.108471,-0.108471,-0.108471,-0.108471,-0.108471,-2.27501,-0.865407,-0.546246,-0.546246,-0.253072,-0.253072,-0.253072,-1.49795,-1.49795,-0.190033,-0.190033,-0.190033,-1.75407
-29.5156,0.953804,0.277183,4,23,0,30.5395,0.726176,1.25171,0.115672,1.66513,-0.869928,0.726176,1.25171,0.115672,1.66513,-0.869928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.990049,-0.990049,-0.464512,-0.464512,-0.464512,-0.433778,-1.269,-1.269,-1.269,-0.33005,-0.33005,-0.33005,-0.184556,-0.184556,-0.278455,-0.278455,-0.278455,-0.278455,-0.278455,-0.278455,-1.4145,-1.4145,-1.4145,-0.921068,-0.921068,-0.921068,-0.113181,-0.113181,-0.113181,-0.113181,-0.113181,-0.113181,-0.113181,-2.23482,-1.74203,-0.192572,-0.192572,-0.317155,-0.317155,-0.317155,-1.30275,-1.30275,-0.0762732,-0.0762732,-0.0762732,-2.61133
-28.3072,1,0.277183,3,7,0,30.9696,1.38143,2.01486,1.49483,1.01883,-0.452475,1.38143,2.01486,1.49483,1.01883,-0.452475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0592,-1.0592,-0.425769,-0.425769,-0.425769,-0.751453,-0.528191,-0.528191,-0.528191,-0.890795,-0.890795,-0.890795,-0.148238,-0.148238,-0.466561,-0.466561,-0.466561,-0.466561,-0.466561,-0.466561,-0.986594,-0.986594,-0.986594,-0.31433,-0.31433,-0.31433,-0.0814054,-0.0814054,-0.0814054,-0.0814054,-0.0814054,-0.0814054,-0.0814054,-2.54874,-0.483205,-0.959207,-0.959207,-0.133358,-0.133358,-0.133358,-2.08066,-2.08066,-0.206711,-0.206711,-0.206711,-1.67801
-27.9916,0.978649,0.277183,3,7,0,29.5004,1.67103,2.20285,0.346628,1.39951,0.645703,1.67103,2.20285,0.346628,1.39951,0.645703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.994003,-0.994003,-0.462182,-0.462182,-0.462182,-0.235833,-0.566574,-0.566574,-0.566574,-0.838095,-0.838095,-0.838095,-0.306513,-0.306513,-0.145192,-0.145192,-0.145192,-0.145192,-0.145192,-0.145192,-2.00141,-2.00141,-2.00141,-0.370066,-0.370066,-0.370066,-0.191229,-0.191229,-0.191229,-0.191229,-0.191229,-0.191229,-0.191229,-1.74838,-1.35219,-0.299313,-0.299313,-0.853824,-0.853824,-0.853824,-0.554749,-0.554749,-0.385652,-0.385652,-0.385652,-1.13946
-28.3689,0.938176,0.277183,3,7,0,30.0772,2.23652,3.06975,1.99649,1.79431,0.334795,2.23652,3.06975,1.99649,1.79431,0.334795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19415,-1.19415,-0.360916,-0.360916,-0.360916,-0.580318,-0.496291,-0.496291,-0.496291,-0.938497,-0.938497,-0.938497,-0.139163,-0.139163,-0.294081,-0.294081,-0.294081,-0.294081,-0.294081,-0.294081,-1.36734,-1.36734,-1.36734,-0.24632,-0.24632,-0.24632,-0.0628781,-0.0628781,-0.0628781,-0.0628781,-0.0628781,-0.0628781,-0.0628781,-2.79783,-0.597158,-0.799338,-0.799338,-0.173799,-0.173799,-0.173799,-1.8355,-1.8355,-0.208922,-0.208922,-0.208922,-1.66844
-27.6291,0.985426,0.277183,3,7,0,29.2003,1.75003,1.90107,0.763086,1.41553,0.788538,1.75003,1.90107,0.763086,1.41553,0.788538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.771512,-0.771512,-0.62048,-0.62048,-0.62048,-0.316789,-0.539819,-0.539819,-0.539819,-0.874318,-0.874318,-0.874318,-0.323764,-0.323764,-0.277985,-0.277985,-0.277985,-0.277985,-0.277985,-0.277985,-1.41596,-1.41596,-1.41596,-0.479564,-0.479564,-0.479564,-0.284221,-0.284221,-0.284221,-0.284221,-0.284221,-0.284221,-0.284221,-1.39675,-1.07166,-0.419216,-0.419216,-0.705954,-0.705954,-0.705954,-0.680502,-0.680502,-0.428005,-0.428005,-0.428005,-1.055
-28.4804,0.917944,0.277183,3,7,0,29.446,2.61642,2.42435,0.697162,1.13283,-0.0772651,2.61642,2.42435,0.697162,1.13283,-0.0772651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.601718,-0.601718,-0.793785,-0.793785,-0.793785,-0.136902,-0.204427,-0.204427,-0.204427,-1.68802,-1.68802,-1.68802,-0.0654426,-0.0654426,-0.163635,-0.163635,-0.163635,-0.163635,-0.163635,-0.163635,-1.89082,-1.89082,-1.89082,-0.24283,-0.24283,-0.24283,-0.0787674,-0.0787674,-0.0787674,-0.0787674,-0.0787674,-0.0787674,-0.0787674,-2.58038,-0.93452,-0.498855,-0.498855,-0.379099,-0.379099,-0.379099,-1.15353,-1.15353,-0.260955,-0.260955,-0.260955,-1.47105
-32.7702,0.603137,0.277183,2,3,0,35.0856,3.33496,1.75514,1.23849,1.19971,-0.47877,3.33496,1.75514,1.23849,1.19971,-0.47877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.187319,-0.187319,-1.76714,-1.76714,-1.76714,-0.115905,-0.111734,-0.111734,-0.111734,-2.24698,-2.24698,-2.24698,-0.0218258,-0.0218258,-0.467823,-0.467823,-0.467823,-0.467823,-0.467823,-0.467823,-0.984474,-0.984474,-0.984474,-0.453511,-0.453511,-0.453511,-0.101752,-0.101752,-0.101752,-0.101752,-0.101752,-0.101752,-0.101752,-2.33566,-0.673947,-0.712723,-0.712723,-0.165139,-0.165139,-0.165139,-1.8824,-1.8824,-0.17114,-0.17114,-0.17114,-1.84962
