# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb0279b0ff6.json
# init = 2 (Default)
# random
#   seed = 520476134
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101022-2-84e601.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101022-2-4eb846.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.244224
# Diagonal elements of inverse mass matrix:
# 2.40603, 2.22537, 2.19774, 2.28752, 2.42134
-28.6942,0.78982,0.244224,3,7,0,30.1992,-0.556131,0.0535331,-0.532335,0.235549,-1.72327,-0.556131,0.0535331,-0.532335,0.235549,-1.72327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04374,-1.04374,-0.434074,-0.434074,-0.434074,-0.705116,-1.16537,-1.16537,-1.16537,-0.373687,-0.373687,-0.373687,-0.270987,-0.270987,-0.442518,-0.442518,-0.442518,-0.442518,-0.442518,-0.442518,-1.02839,-1.02839,-1.02839,-0.788291,-0.788291,-0.788291,-0.156302,-0.156302,-0.156302,-0.156302,-0.156302,-0.156302,-0.156302,-1.9331,-1.14905,-0.381168,-0.381168,-0.265389,-0.265389,-0.265389,-1.45632,-1.45632,-0.131927,-0.131927,-0.131927,-2.09074
-29.3408,0.984668,0.244224,3,7,0,29.612,0.0223947,0.0913718,-0.74389,0.694013,-1.88781,0.0223947,0.0913718,-0.74389,0.694013,-1.88781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.72823,-0.72823,-0.659253,-0.659253,-0.659253,-0.381675,-1.08431,-1.08431,-1.08431,-0.412693,-0.412693,-0.412693,-0.138065,-0.138065,-0.360301,-0.360301,-0.360301,-0.360301,-0.360301,-0.360301,-1.19556,-1.19556,-1.19556,-1.03919,-1.03919,-1.03919,-0.129433,-0.129433,-0.129433,-0.129433,-0.129433,-0.129433,-0.129433,-2.10861,-1.65094,-0.213033,-0.213033,-0.276546,-0.276546,-0.276546,-1.42047,-1.42047,-0.0729122,-0.0729122,-0.0729122,-2.65473
-30.0046,0.976361,0.244224,3,15,0,31.5361,-1.86203,-0.676266,-0.940005,-1.08886,-2.40047,-1.86203,-0.676266,-0.940005,-1.08886,-2.40047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45236,-1.45236,-0.266595,-0.266595,-0.266595,-1.25687,-1.15267,-1.15267,-1.15267,-0.379494,-0.379494,-0.379494,-0.459741,-0.459741,-0.569947,-0.569947,-0.569947,-0.569947,-0.569947,-0.569947,-0.833686,-0.833686,-0.833686,-0.50798,-0.50798,-0.50798,-0.164086,-0.164086,-0.164086,-0.164086,-0.164086,-0.164086,-0.164086,-1.88829,-0.621487,-0.770342,-0.770342,-0.208744,-0.208744,-0.208744,-1.6692,-1.6692,-0.238534,-0.238534,-0.238534,-1.55014
-28.0232,0.993885,0.244224,2,7,0,31.1429,-1.08661,0.0387867,-0.955161,-1.4566,-1.54378,-1.08661,0.0387867,-0.955161,-1.4566,-1.54378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.40645,-1.40645,-0.281053,-0.281053,-0.281053,-0.761029,-0.525168,-0.525168,-0.525168,-0.895155,-0.895155,-0.895155,-0.490464,-0.490464,-0.314893,-0.314893,-0.314893,-0.314893,-0.314893,-0.314893,-1.30884,-1.30884,-1.30884,-0.202257,-0.202257,-0.202257,-0.186851,-0.186851,-0.186851,-0.186851,-0.186851,-0.186851,-0.186851,-1.76941,-0.473536,-0.97497,-0.97497,-0.441536,-0.441536,-0.441536,-1.03015,-1.03015,-0.650506,-0.650506,-0.650506,-0.737688
-30.1081,0.814012,0.244224,2,3,0,31.1126,-1.32855,-0.210962,-0.450481,-1.68616,-2.48047,-1.32855,-0.210962,-0.450481,-1.68616,-2.48047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.40056,-1.40056,-0.282972,-0.282972,-0.282972,-1.22561,-0.530244,-0.530244,-0.530244,-0.887852,-0.887852,-0.887852,-0.274619,-0.274619,-0.580542,-0.580542,-0.580542,-0.580542,-0.580542,-0.580542,-0.820061,-0.820061,-0.820061,-0.205985,-0.205985,-0.205985,-0.0983627,-0.0983627,-0.0983627,-0.0983627,-0.0983627,-0.0983627,-0.0983627,-2.36787,-0.255137,-1.49081,-1.49081,-0.1234,-0.1234,-0.1234,-2.15339,-2.15339,-0.372867,-0.372867,-0.372867,-1.16718
-28.3,0.916156,0.244224,3,7,0,33.4629,-0.494925,-0.299041,-1.12532,-0.129537,-1.24077,-0.494925,-0.299041,-1.12532,-0.129537,-1.24077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.795878,-0.795878,-0.599994,-0.599994,-0.599994,-0.426823,-0.892438,-0.892438,-0.892438,-0.52705,-0.52705,-0.52705,-0.388206,-0.388206,-0.363027,-0.363027,-0.363027,-0.363027,-0.363027,-0.363027,-1.18931,-1.18931,-1.18931,-0.781486,-0.781486,-0.781486,-0.32927,-0.32927,-0.32927,-0.32927,-0.32927,-0.32927,-0.32927,-1.271,-1.31018,-0.314398,-0.314398,-0.637088,-0.637088,-0.637088,-0.752537,-0.752537,-0.284542,-0.284542,-0.284542,-1.39577
