# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb04900544a.json
# init = 2 (Default)
# random
#   seed = 1570237587
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101022-3-2ddc8f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101022-3-030e26.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.225179
# Diagonal elements of inverse mass matrix:
# 2.28876, 2.22586, 2.10584, 2.20486, 2.12585
-29.752,0.994471,0.225179,3,7,0,30.3938,-1.5778,-2.26436,-2.90481,-2.25474,-3.30253,-1.5778,-2.26436,-2.90481,-2.25474,-3.30253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.407666,-0.407666,-1.09423,-1.09423,-1.09423,-0.235284,-0.410897,-0.410897,-0.410897,-1.08784,-1.08784,-1.08784,-0.164006,-0.164006,-0.42334,-0.42334,-0.42334,-0.42334,-0.42334,-0.42334,-1.06379,-1.06379,-1.06379,-0.69797,-0.69797,-0.69797,-0.30314,-0.30314,-0.30314,-0.30314,-0.30314,-0.30314,-0.30314,-1.34131,-1.07011,-0.420029,-0.420029,-0.513934,-0.513934,-0.513934,-0.911646,-0.911646,-0.300632,-0.300632,-0.300632,-1.34842
-29.742,0.934548,0.225179,3,15,0,32.3656,-0.926883,-1.64908,-2.48223,-1.77731,-3.88122,-0.926883,-1.64908,-2.48223,-1.77731,-3.88122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.395874,-0.395874,-1.11808,-1.11808,-1.11808,-0.191543,-0.355737,-0.355737,-0.355737,-1.20616,-1.20616,-1.20616,-0.0508007,-0.0508007,-0.360942,-0.360942,-0.360942,-0.360942,-0.360942,-0.360942,-1.19409,-1.19409,-1.19409,-0.631088,-0.631088,-0.631088,-0.101924,-0.101924,-0.101924,-0.101924,-0.101924,-0.101924,-0.101924,-2.33406,-1.10647,-0.401557,-0.401557,-0.220617,-0.220617,-0.220617,-1.61961,-1.61961,-0.115094,-0.115094,-0.115094,-2.219
-29.1122,1,0.225179,3,11,0,30.8306,-2.52899,-1.34275,-3.13581,-2.56829,-3.64878,-2.52899,-1.34275,-3.13581,-2.56829,-3.64878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45273,-1.45273,-0.266484,-0.266484,-0.266484,-0.435077,-0.673693,-0.673693,-0.673693,-0.712987,-0.712987,-0.712987,-0.282429,-0.282429,-0.153965,-0.153965,-0.153965,-0.153965,-0.153965,-0.153965,-1.94702,-1.94702,-1.94702,-0.257429,-0.257429,-0.257429,-0.0949972,-0.0949972,-0.0949972,-0.0949972,-0.0949972,-0.0949972,-0.0949972,-2.40103,-1.01664,-0.449117,-0.449117,-0.469199,-0.469199,-0.469199,-0.982172,-0.982172,-0.292242,-0.292242,-0.292242,-1.37274
-30.6389,0.632781,0.225179,3,7,0,35.6854,-0.698184,-1.56479,-2.1191,-2.55429,-3.31306,-0.698184,-1.56479,-2.1191,-2.55429,-3.31306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.350922,-0.350922,-1.21753,-1.21753,-1.21753,-0.216314,-0.145208,-0.145208,-0.145208,-2.00131,-2.00131,-2.00131,-0.070623,-0.070623,-0.453916,-0.453916,-0.453916,-0.453916,-0.453916,-0.453916,-1.00823,-1.00823,-1.00823,-0.316097,-0.316097,-0.316097,-0.16048,-0.16048,-0.16048,-0.16048,-0.16048,-0.16048,-0.16048,-1.90875,-0.499044,-0.934227,-0.934227,-0.264684,-0.264684,-0.264684,-1.45864,-1.45864,-0.384063,-0.384063,-0.384063,-1.14284
-29.4528,0.975524,0.225179,3,15,0,32.916,-2.68063,-1.20554,-2.66688,-2.72163,-3.71361,-2.68063,-1.20554,-2.66688,-2.72163,-3.71361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6811,-1.6811,-0.206004,-0.206004,-0.206004,-0.700045,-0.672858,-0.672858,-0.672858,-0.713856,-0.713856,-0.713856,-0.304497,-0.304497,-0.208578,-0.208578,-0.208578,-0.208578,-0.208578,-0.208578,-1.66992,-1.66992,-1.66992,-0.198497,-0.198497,-0.198497,-0.0782794,-0.0782794,-0.0782794,-0.0782794,-0.0782794,-0.0782794,-0.0782794,-2.58635,-0.666149,-0.720895,-0.720895,-0.300907,-0.300907,-0.300907,-1.34764,-1.34764,-0.315423,-0.315423,-0.315423,-1.30741
-28.6797,1,0.225179,3,7,0,30.0181,-1.19231,-1.69294,-2.69182,-1.70888,-3.04337,-1.19231,-1.69294,-2.69182,-1.70888,-3.04337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.473837,-0.473837,-0.974472,-0.974472,-0.974472,-0.201502,-0.467853,-0.467853,-0.467853,-0.984424,-0.984424,-0.984424,-0.145891,-0.145891,-0.313563,-0.313563,-0.313563,-0.313563,-0.313563,-0.313563,-1.31244,-1.31244,-1.31244,-0.685211,-0.685211,-0.685211,-0.230421,-0.230421,-0.230421,-0.230421,-0.230421,-0.230421,-0.230421,-1.58085,-1.30082,-0.317878,-0.317878,-0.532744,-0.532744,-0.532744,-0.884289,-0.884289,-0.233722,-0.233722,-0.233722,-1.56821
